sentences,filename
"2020 GLOBAL SUSTAINABILITY REPORTCOVID-19: An Ongoing Response to a Global Health Crisis ...................... 1 Strengthening Health Systems and Communities ......................................... 3 Stopping Future Pandemics in Their Tracks ..................................................... 4 SUSTAINABILITY OVERVIEW ................................................................... 5 Our Customer Pledge ........................................................................................ 8 Our Business ....................................................................................................... 8 Our Values ........................................................................................................... 8 Our 2030 Sustainability Plan ........................................................................... 9 Corporate Governance ...................................................................................... 9 Our Top Priority: Innovating for Access and Affordability ............................ 14 Principles of Sustainability at Abbott .............................................................. 16 ACCESS AND AFFORDABILITY ............................................................. 22 2030 Sustainability Plan Targets .................................................................... 25 Product Innovation ........................................................................................... 25 Pricing ................................................................................................................ 26 Global Partnerships .......................................................................................... 27 Health Equity Through Partnerships .............................................................. 28 DATA AND DATA PRIVACY ....................................................................... 31 Governance ....................................................................................................... 34 Our Approach to Cybersecurity ..................................................................... 34 OUR PEOPLE ................................................................................................. 36 2030 Sustainability Plan Targets .................................................................... 39 Governance ..................................................................................................... 40 Our Workplace Environment ......................................................................... 40 Talent Management Approach ......................................................................... 41 Diversity and Inclusion ..................................................................................... 45 Employee Community Engagement ............................................................. 48 Compensation and Benefits ............................................................................ 49 Listening to Our Employees ........................................................................... 50 Employee Health, Safety and Wellness ......................................................... 52 ENVIRONMENT ............................................................................................ 57 2030 Sustainability Plan Targets ................................................................... 60 Governance ........................................................................................................ 61 Strategy .............................................................................................................. 62 Managing Climate-Related Risks and Opportunities .................................. 65 Reducing Energy and Emissions ..................................................................... 67Protecting Water Resources ........................................................................... 72 Extended Producer Responsibility .................................................................. 77 Holistic Approach to Reduce Operational Waste ........................................ 77 Sustainable Life Cycles With Products and Packaging ................................ 82 Environmental Investment and Compliance ................................................. 83 SUPPLY CHAIN ............................................................................................ 84 2030 Sustainability Plan Targets .................................................................... 87 Governance ....................................................................................................... 89 Management Approach .................................................................................. 90 Supplier Risk Assessment and Engagement .................................................. 93 Safeguarding Business Continuity .................................................................. 95 Strategic Supply Chain Initiatives ................................................................... 97 FOUNDATIONS OF SUSTAINABILITY .............................................. 102 Supporting Community ................................................................................. 104 Promoting Ethics and Integrity ..................................................................... 105 Governance ..................................................................................................... 106 Our Compliance Program ............................................................................. 107 Combating Corruption and Bribery ............................................................... 110 Delivering Quality and Safety ......................................................................... 111 Governance ...................................................................................................... 112 Management Approach .................................................................................. 112 Performance Updates ..................................................................................... 116 Security and Brand Protection ....................................................................... 119 Public Policy Engagement .............................................................................. 121 REPORTING ON SUSTAINABILITY .................................................... 122 Focusing on Sustainability .............................................................................. 123 Key Financial Metrics .................................................................................... 125 Key Social Metrics ......................................................................................... 126 Key Environmental Metrics—Emissions and Energy ................................. 129 Key Environmental Metrics—Water ............................................................. 140 Key Environmental Metrics—Waste ............................................................. 144 Environment, Health and Safety (EHS) Fines, Notices and Inspections ........................................................................................... 151 Metrics Endnotes ........................................................................................... 152 INDICES ........................................................................................................ 153 Sustainability Accounting Standards Board (SASB) Index ....................... 154 Sustainable Development Goals (SDG) Index ........................................... 160 ABBOTT 2020 GLOBAL SUSTAINABILITY REPORT TABLE OF CONTENTS COVER STORY: LAMIAH TYSINGER When she was in high school, LaMiah Tysinger developed an interest in engineering and set her mind to learning all she could about a potential STEM career.",ABT_2020.pdf
"She joined Abbott as a high school STEM program intern, the first in a series of Abbott internships that saw her through university and a bachelor’s degree in industrial engineering.",ABT_2020.pdf
"Today, LaMiah is a full-time Abbott employee, working as an enterprise excellence trainer, teaching new employees to efficiently and reliably manufacture Abbott’s rapid test cards.",ABT_2020.pdf
"See also page 44.DEAR ABBOTT STAKEHOLDER, Sustainability is the fundamental challenge of our time.",ABT_2020.pdf
"And it grows continually more pressing, as the last year has demonstrated in so many ways.",ABT_2020.pdf
This is exactly the kind of challenge Abbott is built to address.,ABT_2020.pdf
Because thinking and acting for sustainability is inherent to our culture.,ABT_2020.pdf
"And it’s a natural extension of our purpose—helping people live healthier, fuller lives.",ABT_2020.pdf
We pursue this mission very deliberately through our business strategies and processes.,ABT_2020.pdf
Abbott always takes the long view.,ABT_2020.pdf
