sentences,filename
"Making a Meaningful Difference 2020 CORPORATE RESPONSIBILITY REPORTProduct InnovationWorkplace CultureEthics and ComplianceAppendix Innovation That Expands Access to CareServing Our CommunitiesEmployee Health and SafetyResponsible Procurement and LogisticsOperations 2030 Commitment and Goals2020 Priorities and GoalsIntroduction Contents 3 INTRODUCTION 3 From the Chairman and CEO 4 COVID-19: Saving and Sustaining Lives During a Global Pandemic 5 Advancing Racial Justice 6 Company Profile 7 Corporate Responsibility 11 BAXTER'S 2020 CORPORATE RESPONSIBILITY PRIORITIES AND GOALS 13 BAXTER'S 2030 CORPORATE RESPONSIBILITY COMMITMENT AND GOALS 14 PRODUCT INNOVATION 14 Patient Safety and Quality 16 Sustainable Design 17 Materials Use 19 Product End-of-Life 21 WORKPLACE CULTURE 21 Global Inclusion and Diversity 24 Employee Engagement 26 Compensation and Benefits 26 Workplace Flexibility 27 ETHICS AND COMPLIANCE 27 Companywide Accountability 28 Ethics and Compliance Training 28 Third Party Program 28 Compliance Assessments 28 Compliance Monitoring 29 Relationships With Healthcare Professionals and Government Officials 29 Ethics and Compliance Helpline 30 Privacy and Data Protection 31 EMPLOYEE HEALTH AND SAFETY 31 Injury and Illness Performance 32 Injuries and Major Incidents 32 Driving a Culture of Safety and Engagement 32 Health and Wellness Program Management and Initiatives33 OPERATIONS 34 Environmental, Health and Safety Performance 34 Energy 35 Water and Wastewater 36 Waste 36 GHG Emissions Across the Value Chain 37 GHG Emissions From Operations 37 Air Emissions 38 RESPONSIBLE PROCUREMENT AND LOGISTICS 38 Responsible Procurement 41 Green Logistics 43 INNOVATION THAT EXPANDS ACCESS TO CARE 43 Product Donations 45 The Baxter International Foundation 46 Collaborating to Improve Healthcare 49 SERVING OUR COMMUNITIES 49 Supporting Access to Clean Water and Community Resilience 50 Fostering Tomorrow’s Innovation Through STEM 51 #BaxterGivesBack: Employee Volunteerism and Giving 52 Summary of 2020 Giving 53 APPENDIX 53 About This Report 54 Materiality Assessment Findings 55 Baxter Data Summary 58 Baxter Value Chain Energy Usage and GHG Emissions 59 Baxter Facilities with ISO 14001, ISO 45001, ISO 50001 and Green Building Certifications 60 Independent Assurance Statement 61 Sustainability Accounting Standards Board Index 64 Global Reporting Initiative Index 67 EndnotesASSURANCE AND VERIFICATION Apex Companies LLC (Apex) verified Baxter’s Scope 1, 2 and 3 greenhouse gas emissions.",BAX_2020.pdf
See verification statement.,BAX_2020.pdf
"Apex also assured the following sections of the report: • Product Innovation (except Patient Safety and Quality) • Employee Health and Safety • Operations • Responsible Procurement and Logistics • Related material in the Appendix: Baxter Data Summary ; Baxter Value Chain Energy Usage and GHG Emissions ; and Baxter Facilities with ISO 14001, ISO 45001, ISO 50001 and Green Building Certifications See assurance statements in English and Spanish .",BAX_2020.pdf
Most of the financial data included in the Baxter Data Summary are taken from the audited consolidated financial statements contained in the Baxter International Inc. 2020 Annual Report on Form 10-K .,BAX_2020.pdf
"These financial statements are audited by Baxter’s independent registered public accounting firm, PricewaterhouseCoopers LLP.",BAX_2020.pdf
"BAXTER 2020 CORPORATE RESPONSIBILITY REPORT 2BAXTER 2020 CORPORATE RESPONSIBILITY REPORT3Product InnovationWorkplace CultureEthics and ComplianceAppendix Innovation That Expands Access to CareServing Our CommunitiesEmployee Health and SafetyResponsible Procurement and LogisticsOperations 2030 Commitment and Goals2020 Priorities and GoalsIntroduction BAXTER 2020 CORPORATE RESPONSIBILITY REPORT 3 JOSÉ (JOE) E. ALMEIDA | Chairman, President and Chief Executive Officer2020 was a year like no other, with unforeseen impact on so many aspects of our lives—personally and professionally.",BAX_2020.pdf
"For Baxter, the global challenges presented in 2020 also inspired a unique and powerful year in our ongoing journey of corporate responsibility.",BAX_2020.pdf
I write this letter against the backdrop of a public health crisis that continues to unfold in hot spots worldwide.,BAX_2020.pdf
"As a global healthcare company manufacturing medically essential products for patient care, Baxter rapidly emerged on the front lines of the COVID-19 pandemic in 2020.",BAX_2020.pdf
Our first priority was ensuring the health and safety of our employees.,BAX_2020.pdf
