sentences,filename
FY 2019 Sustainability Report 2I believe that healthcare is the most consequential industry in the world.,BDX_2019.pdf
"Our work provides an opportunity to make a life-changing difference for our customers, their patients, and the communities we serve and in which we live and work.",BDX_2019.pdf
"Our Purpose— advancing the world of health ™—is as impactful as it is inspiring; it reminds us that we all play a part in changing the world for the better, every single day.",BDX_2019.pdf
With the global reach of BD comes a great deal of responsibility.,BDX_2019.pdf
"Five years ago, we initiated a broader and more integrated approach to sustainability, and I am pleased with not only how far we have come, but how that approach has enabled us to respond to the significant social issues that have reverberated across the globe in recent months.",BDX_2019.pdf
"Our associates have rallied around our Purpose, developing innovative diagnostic solutions for COVID-19 in record time, increasing the availability of products used in sample collection and the treatment of critically ill patients, and working with countries around the world to enable the delivery of a potential COVID-19 vaccine.",BDX_2019.pdf
"And we have come together to have important, frank discussions about race and equality, celebrating our differences while challenging each other to make further progress in advancing our own culture of inclusion while addressing the systemic inequities faced by people of color.",BDX_2019.pdf
We remain focused on supporting priority health needs that are aligned with the U.N.,BDX_2019.pdf
Sustainable Development Goals (SDG) and shared value creation—meaning how we address unmet societal needs through business models and initiatives that also contribute to the commercial success of BD.,BDX_2019.pdf
I am pleased to share with you the progress we are making toward our 2020 sustainability goals.,BDX_2019.pdf
"These goals provide the framework for how we manage, and make an impact on, the most relevant social and environmental issues for our company.",BDX_2019.pdf
"Innovation In recent years, we’ve assembled a leading portfolio of solutions to better serve the entire healthcare continuum—from discovery to diagnosis, to the process of care, to the treatment of disease.",BDX_2019.pdf
"Our evolution has been driven by the successful acquisition and integration of CareFusion and C. R. Bard, and we are leveraging our broad new capabilities to accelerate innovation, seeking new and better solutions that address our customers’ unmet needs, improve patient outcomes, reduce the cost of care and expand access.",BDX_2019.pdf
Our Purpose and innovating to solve major health problems are mutually reinforcing goals.,BDX_2019.pdf
"When we innovate to increase access to quality healthcare, it benefits people and societies throughout the world and drives our business performance.",BDX_2019.pdf
"We call this “innovating on Purpose,” and it’s an approach that led to 25 major product launches in FY 2019, including the Purewick ™ Female External Catheter and WavelinQ ™ 4F Arteriovenous Fistula Creation Device in our BD Interventional segment; the BD HealthSight ™ Data Manager 1.1 Suite of Technologies in our BD Medical segment; and the BD Cor ™ and BD FACSDuet ™ Systems in our BD Life Sciences segment.",BDX_2019.pdf
"While we have even more major launches planned for FY 2020, we are also working to tackle some of the largest challenges in healthcare—including rapidly mustering our resources to respond to the global COVID-19 pandemic by developing multiple products for the rapid diagnosis of the virus.",BDX_2019.pdf
Access We partner and collaborate with public and nonprofit organizations around the world to address priority health needs.,BDX_2019.pdf
"This year, we were recognized by Fortune magazine on its annual list of companies who “Change the World.” We earned this honor for our work, helping to combat the threat of antimicrobial resistance through programs that raise awareness and mobilize and activate the healthcare industry, as well as leaders and communities around the world, to take action to extend the useful life of medications.",BDX_2019.pdf
"This is the third time BD has made this prestigious list since its inception—something only 17 companies can claim.Efficiency As climate change increasingly becomes one of the most disruptive forces around the world, we have identified opportunities to make environmental improvements across our value chain and build resilience in our global operations.",BDX_2019.pdf
"This year, we have integrated environmental performance data for Bard into our reporting, and while this has impacted progress against some of our targets, I’m confident that integration efforts will drive continued improvements.",BDX_2019.pdf
"Since setting our 2020 sustainability targets, we’ve continued to reduce our Scope 1 and 2 greenhouse gas emissions and water consumption.",BDX_2019.pdf
"We remain committed to renewable energy, such as installations of on-site solar power generation across our sites—most recently, at our global headquarters in Franklin Lakes, NJ.",BDX_2019.pdf
"Recognizing the increased interest from our stakeholders about our climate change management program, we are also publishing disclosures in line with the recommendations of the Task Force on Climate-related Financial Disclosures (TCFD).",BDX_2019.pdf
"BD is one of over 1,000 organizations that supports the recommendations of the TCFD.",BDX_2019.pdf
"Empowerment By building and engaging diverse teams and leveraging the unique ideas, backgrounds and experiences of our associates, we can deliver better outcomes for our global marketplace.",BDX_2019.pdf
"This focus on inclusion and diversity has long been a cultural priority at BD, and it is embedded in The BD Way, the set of values, leadership commitments and mindset that guides our behavior and actions.",BDX_2019.pdf
"As executive sponsor of WIN (Women’s Initiative Network), the company’s largest associate resource group (ARG), I’ve seen firsthand the impact we can have when we create a culture of individual belonging and empowerment.",BDX_2019.pdf
"Members of our ARGs have been instrumental in creating opportunities for our more than 65,000 global associates to network, navigate their careers and find—or be—a mentor.",BDX_2019.pdf
"Long-term impact While we’re proud of our accomplishments in FY 2019, we will never be satisfied with maintaining the status quo.",BDX_2019.pdf
"Just as we continuously seek new innovations to help more patients live better lives, we strive to be the best employer, the best environmental steward and the best corporate citizen we can possibly be.",BDX_2019.pdf
"We are in the process of taking our sustainability work to the next level, developing our 2030 impact goals that reflect the new company that BD has become.",BDX_2019.pdf
"I’m excited to share the new strategy later in 2020, along with bold commitments that will continue our focus on shared value creation.",BDX_2019.pdf
"Our role in creating a better, healthier world has never been more clear than it is today, and our associates take tremendous pride in helping the caregivers, researchers and other healthcare professionals who serve patients all around the world.",BDX_2019.pdf
We look forward to working with you—our stakeholders—as we continue advancing the world of health ™.,BDX_2019.pdf
"Sincerely, Tom Polen CEO and PresidentTo our stakeholders3This report provides an update on our global environmental, social and governance (ESG) performance against our 2020 goals, during Fiscal Year 2019 (October 1, 2018 to September 30, 2019) for Becton, Dickinson and Company (also known as “BD”) and our subsidiaries, unless otherwise stated.",BDX_2019.pdf
"We report annually on our sustainability performance, and published our last report, which highlighted progress made in Fiscal Year 2018, in June 2019.",BDX_2019.pdf
"In December 2017, BD acquired C.R.",BDX_2019.pdf
"Bard (“Bard”), a leading multinational developer, manufacturer and marketer of innovative, life-enhancing medical technologies in the fields of vascular, urological, oncological and surgical specialty products.",BDX_2019.pdf
"Bard data is integrated into all data provided throughout this report, unless noted.",BDX_2019.pdf
This report contains standard disclosures from the Global Reporting Initiative ™ (GRI) Sustainability Reporting Guidelines.,BDX_2019.pdf
"While this report is not intended to meet the requirements of the GRI Sustainability Reporting Guidelines, reference numbers for standard disclosures have been included where full or partial information has been provided.",BDX_2019.pdf
This report contains standard disclosures from the Sustainability Accounting Standards Board (SASB) Medical Equipment and Supplies Sustainability Accounting Standard.,BDX_2019.pdf
"While this report is not intended to meet all the requirements of the SASB standard, reference numbers for disclosures have been included where full or partial information has been provided.",BDX_2019.pdf
Data in this report has not been externally assured.,BDX_2019.pdf
Reporting and performance data include information on our owned and operated facilities.,BDX_2019.pdf
"We have processes in place to ensure that reporting on key sustainability performance indicators is as accurate and robust as possible, and we continually work to improve them.",BDX_2019.pdf
"We seek feedback from stakeholders each year, which informs our selection of content for sustainability reporting.",BDX_2019.pdf
"For contact information, see the final page of this report.",BDX_2019.pdf
Our previous sustainability report is available on our website .,BDX_2019.pdf
"About this report GRI disclosures: 102-1, 102-10, 102-50, 102-51, 102-52, 102-53, 102-54, 102-564BD is one of the largest global medical technology companies in the world and is advancing the world of health ™ by improving medical discovery, diagnostics and the delivery of care.",BDX_2019.pdf
"The company supports the heroes on the front lines of healthcare by developing innovative technology, services and solutions that help advance both clinical therapy for patients and clinical process for healthcare providers.",BDX_2019.pdf
"BD and its 65,000 employees have a passion and commitment to help enhance the safety and efficiency of clinicians’ care delivery process, enable laboratory scientists to accurately detect disease and advance researchers’ capabilities to develop the next generation of diagnostics and therapeutics.",BDX_2019.pdf
BD has a presence in virtually every country and partners with organizations around the world to address some of the most challenging global health issues.,BDX_2019.pdf
"By working in close collaboration with customers, BD can help enhance outcomes, lower costs, increase efficiencies, improve safety and expand access to healthcare.",BDX_2019.pdf
"For more information on BD, please visit our website .",BDX_2019.pdf
BD is headquartered in Franklin Lakes NJ and serves over 190 countries.,BDX_2019.pdf
Further details about BD (including location of operations and direct economic impact generated and distributed) can be found in our 2019 10-K filing .,BDX_2019.pdf
"BD corporate headquarters, Franklin Lakes, NJ.About BD GRI disclosures: 102-1, 102-2, 102-3, 102-4, 102-5, 102-6, 102-7, 201-15 About our businesses The BD Medical segment focuses on providing innovative solutions to reduce the spread of infection, enhance diabetes treatment, advance drug delivery, improve surgical procedures and provide effective and safe medication management.",BDX_2019.pdf
Customers served include hospitals and clinics; physicians; governmental and public health agencies; healthcare workers; retail pharmacies; pharmaceutical and biotech companies; and consumers.,BDX_2019.pdf
"The BD Life Sciences segment delivers innovative solutions from discovery to diagnosis, continually advancing science and clinical outcomes across infectious disease and cancer.",BDX_2019.pdf
"Offerings include preanalytical solutions for sample management; immunology research solutions, including flow cytometry and multiomics tools; microbiology and molecular diagnostics; lab automation and informatics solutions; and differentiated reagents and assays.",BDX_2019.pdf
"Customers served include research institutions, industrial and reference laboratories; blood banks; hospitals and clinics; alternate site healthcare; public health agencies; academic and government institutions; and pharmaceutical and biotech companies.",BDX_2019.pdf
"The BD Interventional segment focuses on developing innovative surgical, endovascular, urological and critical care interventions that not only meet clinical needs but also deliver value to health systems and improve patients’ lives.",BDX_2019.pdf
Customers served include hospitals and clinics; physicians; ambulatory surgery centers; nurses; and consumers.,BDX_2019.pdf
"Phasix™ ST Mesh Arctic Sun™ Temperature Management SystemSample products: BD Alaris™ Infusion SystemBD Hypak™ Glass Prefillable Syringes Sample products: BD Vacutainer® Blood Collection TubesBD FACSLyric™ Flow Cytometry System BD Kiestra™ Lab Automation SolutionsBD MAX™ Open System Reagent SuiteSample products:BD MaxZero™ Needle-Free Connector BD Nano™ 4mm Pen Needle Lutonix™ 035 Drug Coated Balloon PTA Catheter LifeStent™ Vascular Stent System GRI disclosures: 102-2, 102-6 6Company structure BD is structured to serve customers by providing unique solutions.",BDX_2019.pdf
The data below represents the company structure for FY 2019.,BDX_2019.pdf
"Revenue by geography (millions of dollars) United States (including Puerto Rico) $9,730 Other (including Latin America, Canada and EMA [which includes the Commonwealth of Independent States, Middle East and Africa]) $1,476 Europe $3,359 Greater Asia (including Japan and Asia Pacific) $2,726 $3.9$2.6$1.1$1.5 $1.6 $1.5 $1.2 $1.1$1.4$1.4 Medication Delivery Solutions Urology and Critical CarePeripheral InterventionSurgeryMedication Management Solutions Diabetes CarePharmaceutical SystemsPreanalytical Systems Diagnostic Systems Biosciences $17.3 Total BD revenueRevenue by segment (billions of dollars) Values in this exhibit reflect rounded numbers in billions and include Bard.$4.3 BD Life Sciences $3.9 BD Interventional$9.1 BD Medical GRI disclosures: 102-6, 102-77Value chain profile BD has more than 700 core suppliers that provide key materials, including plastics, glass, metals, textiles, electronic and mechanical sub-assemblies, and various paper, agricultural, biological, chemical and petrochemical products.BD manufactures and sells over 80,000 products worldwide.",BDX_2019.pdf
We market our products in the United States and internationally through independent distribution channels and directly to end users with company associates or independent sales representatives.,BDX_2019.pdf
GRI disclosure: 102-6Customers served BD Medical BD Life Sciences BD Interventional Hospitals • • • Clinics • • • Laboratories • Physicians' office practices • • • Consumers and retail pharmacies • Government agencies * • • • Academic and government institutions • • • Public health agencies • • Nonprofit public health agencies • Blood banks • Pharmaceutical companies† • • Biotechnology companies • • Healthcare workers • Ambulatory surgical centers •8The Antibribery and Anticorruption Program helps keep associates pointed in the right direction.,BDX_2019.pdf
"In support of the program, the Ethics and Compliance function provides resources to regional and local country management to enhance their anticorruption and compliance business practices.",BDX_2019.pdf
This includes incorporating compliance requirements into existing business practices and advising local management on anticorruption compliance-related issues.,BDX_2019.pdf
"A key focus for BD is driving compliance in our distributor networks across the globe, resulting in stronger business relationships while upholding our reputation.",BDX_2019.pdf
"The Antibribery and Anticorruption Program is advanced by fostering collaboration with business leaders to deliver consistent and clear policies and approval processes—along with enhanced third-party due diligence procedures—to help provide assurance that BD is “winning business the right way.”BD is committed to training all associates via both in-person, scenario-based sessions and learning management system courses that leverage policy materials, such as the Global Standards for Interactions with Healthcare Professionals, Healthcare Organizations and Government Officials.",BDX_2019.pdf
Joint training with distributors is a core component of the Antibribery and Anticorruption Program.,BDX_2019.pdf
"These sessions combine required anticorruption training with information about our overall strategy, progress updates for each business segment and new products.",BDX_2019.pdf
We are committed to a strong ethics and compliance culture.,BDX_2019.pdf
We do not tolerate actions or behaviors that are inconsistent with our values or violate the BD Code of Conduct or applicable laws and regulations.,BDX_2019.pdf
All BD associates are responsible for reinforcing our ethics and compliance culture and sustaining our reputation as a company dedicated to quality and integrity.,BDX_2019.pdf
"We encourage and expect everyone at BD to speak up by asking questions, raising concerns, seeking guidance and reporting actual or suspected violations of laws, our Code of Conduct, our policies or our high ethical standards.",BDX_2019.pdf
"This requirement extends to all associates, vendors and other third parties working on our behalf.The following BD Values further strengthen our culture of ethics and compliance and guide how we hold ourselves accountable to our shareholders and stakeholders.",BDX_2019.pdf
• We do what is right.,BDX_2019.pdf
• We thrive on innovation and demand quality.,BDX_2019.pdf
• We are all accountable.,BDX_2019.pdf
• We learn and improve every day.,BDX_2019.pdf
• We help each other be great.,BDX_2019.pdf
These values are cascaded through all levels of the organization.,BDX_2019.pdf
Read more about our commitment to ethics and compliance on our website .,BDX_2019.pdf
The BD Code of Conduct sets the foundation for how we behave at BD.,BDX_2019.pdf
The value “We do what is right” is the cornerstone of our code.,BDX_2019.pdf
"To do what is right, we follow the laws, rules and company policies that apply to us.",BDX_2019.pdf
"We also follow the highest ethical standards, even when there’s no specific law or policy.",BDX_2019.pdf
Our code provides guidance and resources to help us follow through on these ethical standards and protect our reputation.Everyone at BD—from directors to officers and associates—must follow our code.,BDX_2019.pdf
"It applies equally to everyone, no matter their position or level.",BDX_2019.pdf
This is a condition of employment at BD.,BDX_2019.pdf
Our code is available in English and 20 other languages.,BDX_2019.pdf
"All associates are required to complete training on our code annually, and the code is easily accessible to all associates on our company intranet pages.",BDX_2019.pdf
"Our Code of Conduct is available on our website and through our Ethics and Compliance mobile app for BD associates.How we do business Ethics and compliance Code of Conduct Antibribery and anticorruptionGRI disclosure: 102-16 GRI disclosure: 102-16 GRI disclosure: 102-169At BD, we are committed to operating in a way that respects the human rights of all associates, as well as the people in our supply chains, the communities in which we operate and those who are impacted by our products.",BDX_2019.pdf
"Rather than doing the minimum required, BD is focused on doing what is right .",BDX_2019.pdf
"This value, along with the rest of our values, guide our efforts on having a positive social impact across our businesses and operations.",BDX_2019.pdf
"Our commitment to human rights is guided by the principles outlined in the UN Declaration of Human Rights, and extends beyond BD processes and practices to those in our supply chains.",BDX_2019.pdf
"We believe that all people should be treated with dignity and respect, and we are committed to conducting our business in a manner consistent with this principle.",BDX_2019.pdf
We comply with applicable employment and human rights laws and regulations wherever we have operations; we expect our suppliers to do the same.In all of our operations: • We provide a safe and healthy workplace for our associates.,BDX_2019.pdf
