sentences,filename
"2021 Performance Report Advancing Science for LifePatient spotlight: Arnold Vargas Gonzalez Not long after joining Boston Scientific, Arnold Vargas Gonzalez sensed it would be more than just a job.",2021_boston_scientific_performance_report.pdf
"“The Boston Scientific quality culture inspired me right away,” says the 39-year-old, who is based in Coyol, Costa Rica.",2021_boston_scientific_performance_report.pdf
"Arnold worked hard to progress from product builder to quality inspector, and with encouragement and support from his leaders and colleagues, he pursued a degree in industrial engineering to advance his career in quality.",2021_boston_scientific_performance_report.pdf
"After earning a promotion to quality engineer, Arnold suffered gallbladder complications, which led to a critical surgery.",2021_boston_scientific_performance_report.pdf
"When doctors showed him the stent they were using, he knew he would make a full recovery.",2021_boston_scientific_performance_report.pdf
“I saw the Boston Scientific logo and it gave me such peace of mind.,2021_boston_scientific_performance_report.pdf
I believed in the device because we built it.” Arnold was soon back on the quality front lines and to his studies.,2021_boston_scientific_performance_report.pdf
"In 2021, amid global uncertainty, Arnold and his team stood strong — along with 41,000 Boston Scientific colleagues around the world.",2021_boston_scientific_performance_report.pdf
"Across the company, our people innovated to improve patient outcomes, stay connected with customers and deliver solutions wherever they were needed.",2021_boston_scientific_performance_report.pdf
The collective resolve of our global team accelerated our progress as a business and as a corporate citizen.,2021_boston_scientific_performance_report.pdf
"We found new ways to support our communities, protect the environment we all share and make care more equitable.",2021_boston_scientific_performance_report.pdf
"Like Arnold, we believe — in the power of doing our part, always working for a better future and advancing science for life.",2021_boston_scientific_performance_report.pdf
"Arnold Vargas Gonzalez engineer, Quality Assurance and Boston Scientific patient“ I knew my future would be here, making our products — always with the patient in mind.” Arnold and his wife Eimy, who also works in manufacturing at our Coyol site, are inspired to make life better for patients every day.",2021_boston_scientific_performance_report.pdf
2 2021 Performance ReportIntroduction Patient spotlight Table of contents A message from our Chairman and Chief Executive Officer Our mission and values Boston Scientific: 2021 at a glance Our ESG strategy 2021 highlights Awards and recognition Transforming care Investing in our people Accelerating possibilities Protecting the environment Creating value responsibly Appendix This report has been prepared in reference to the Global Reporting Initiative guidelines and the SASB standards for the Medical Equipment & Supplies industry.,2021_boston_scientific_performance_report.pdf
"Unless otherwise indicated, data in this 2021 Performance Report and appendix are as of December 31, 2021, or for the year ended December 31, 2021, as applicable.",2021_boston_scientific_performance_report.pdf
Please refer to the appendix for detailed metrics and key definitions used within this report.,2021_boston_scientific_performance_report.pdf
