sentences,filename
"3 A M essage from our CEO 4 Our S tory 8 R esponding to COVID-19 9 Gov ernance, Ethics, and Compliance 18 Our P eople 27 Our P roducts 34 Our Plane t 39 Our P artnerships 42 Dat a and Performance Introduction Responding To COVID-19 Governance, Ethics, and Compliance Our People Our Products Our Planet Our Partnerships Data and Performance 2A Message from our CEO I am proud to share our inaugural Environmental, Social, and Governance (ESG) Report.",COO_2020.pdf
We believe that operating with integrity and conducting our business in a socially and environmentally responsible manner is critical to our long-term success.,COO_2020.pdf
"In the following pages you’ll learn more about the progress we’ve made in formalizing our ESG strategy, including conducting our first materiality assessment and creating an executive ESG Steering committee, to guide our efforts going forward.",COO_2020.pdf
Our mission of improving lives one person at a time is grounded in enhancing the health and wellness of people and communities across the globe.,COO_2020.pdf
"We have aligned our commitments with the United Nations Sustainable Development Goals (“SDGs”), in particular with three SDGs that most closely connect with our business: #3 Good Health and Well-being, #12 Responsible Consumption and Production, and #17 Partnerships.",COO_2020.pdf
"This report also details our commitment to bringing health and vision care to more people around the world through ethical business practices and innovative, high-quality products.",COO_2020.pdf
"It spells out how we foster an inclusive workplace, reduce our environmental impacts, and strategically invest in programs that benefit our employees, society, and the planet.",COO_2020.pdf
"Looking back at the past year, I am proud of our response to the pandemic and impressed with the significant accomplishments of our team during this difficult time.",COO_2020.pdf
"We implemented health and safety programs for our workforce, provided full pay and benefits to 100% of employees even when our plants were temporarily shut down, and had zero involuntary reductions due to COVID-19.",COO_2020.pdf
"At the same time, we launched new products, strengthened operations with new manufacturing lines, established a leadership position in myopia management, and scaled up new channels of distribution quickly.",COO_2020.pdf
"A brief sampling of other recent accomplishments includes: • Intr oducing clariti® 1 day as the first net plastic neutral contact lens in the U.S. • Achieving LEED® Silv er certification of our global manufacturing facility in Puerto Rico • Sour cing 100% renewable electricity in all key facilities in New York and the United Kingdom • Est ablishing a Global Inclusion Council comprised of senior leaders to advance our culture of diversity and inclusion • Achieving C ertification as a Great Place to Work in the U.S. (for the third consecutive year) and recognition as one of the Top 10 Best Large Workplaces in Manufacturing and Production in the U.S. • Signing the CEO Ac tion for Diversity & Inclusion™ Pledge• Launching MiSight® 1 day c ontact lens in the U.S., following groundbreaking approval by the U.S. Food and Drug Administration • E xpanding our Biofinity brand offering to include Biofinity® toric multifocal contact lenses globally to support patients for whom contact lens wear was previously a challenge • Ac quiring Embryo Options, an established leader in cryo-storage software solutions for clinics and patients • Upgr ading RI Witness™ Assisted Reproductive Technology (ART) Management System, an electronic quality control solution that helps safeguard every step of the IVF cycle • Updating our Code of Conduct As our business has grown and evolved over the past 60-plus years, our commitment to responsible business practices has deepened.",COO_2020.pdf
There is much to be proud of and we are committed to accomplishing more.,COO_2020.pdf
We plan to strengthen and expand ESG commitments and look forward to continuing to report on how Cooper supports a healthy and sustainable world.,COO_2020.pdf
"ALBERT G. WHITE III, President and Chief Executive Officer Responding To COVID-19 Governance, Ethics, and Compliance Our People Our Products Our Planet Our Partnerships Data and Performance 3 IntroductionOur Story Often healthcare can be reactive and routine, but good healthcare is more than the absence of illness.",COO_2020.pdf
"Today, people are looking for options to support how they want to live at every stage of life.",COO_2020.pdf
"And in areas where choices are available, they want to partner with their healthcare provider so they can make well-informed decisions.",COO_2020.pdf
CooperCompanies stands apart as a global consumer medical device company that elevates standards of care.,COO_2020.pdf
Our two business units have earned the trust of doctors and clinicians worldwide by delivering practice-building resources and training.,COO_2020.pdf
"CooperVision (CVI) is one of the world’s leading manufacturers of soft contact lenses, providing a full array of daily disposable, two-week, and monthly soft contact lenses that feature advanced materials and optics.",COO_2020.pdf
"CVI has a strong heritage of solving the toughest vision challenges and is advancing the range of what contact lenses can do, such as its groundbreaking introduction of contact lenses proven to slow the progression of myopia in children age 8-12.",COO_2020.pdf
"CooperVision Specialty EyeCare develops, manufactures, and provides access to a portfolio of industry leading soft custom and rigid gas permeable lens designs, including orthokeratology and scleral lenses to address myopia, irregular cornea, and presbyopia management.",COO_2020.pdf
"CooperSurgical (CSI) advances the care of women, babies, and families around the world.",COO_2020.pdf
"The organization provides a wide range of products, technologies, and services with an emphasis on fertility solutions and preventative and therapeutic women’s healthcare.",COO_2020.pdf
"For more than 30 years, CSI has earned the trust of patients and healthcare providers by partnering on improved outcomes.",COO_2020.pdf
"Improving lives, one person at a time Responding To COVID-19 Governance, Ethics, and Compliance Our People Our Products Our Planet Our Partnerships Data and Performance 4 IntroductionCooperCompanies at a Glance NYSE: COO INTRODUCTION responding to covid-19 governance, ethics and compliance our people our products our planet our communities data and performance Headquartered in San Ramon, CA 130 countries Products sold in more than60% of employees are in manufacturing, distribution, or R&DWorldwide revenue $2.4B Year founded 1958 12,000 employees in over 30 countries Nearly 2020 Revenue CooperVision $1,843MCooperSurgical $588M Number of people our products benefited2 New product launches2 10 ~ 43.5M 1 Revenues are for fiscal year ending October 31, 2020 2 In calendar year 20201 More than Responding To COVID-19 Governance, Ethics, and Compliance Our People Our Products Our Planet Our Partnerships Data and Performance 5 IntroductionINTRODUCTION responding to covid-19 governance, ethics and compliance our people our products our planet our communities data and performance 50% board gender diversity as of July 2021 60% of new hires, VP and up, were women3 85% of surveyed employees are satisfied with their job 5 facilities LEED® or BREEAM® certified 100% renewable electricity sourcing at all key facilities in New York and the United KingdomFIRST net plastic neutral contact lens Code of Conduct updated in 2021 $1.3M raised for Optometry Giving Sight, providing eye exams for more than 250,000 people4Key ESG Highlights 2020 U.S.",COO_2020.pdf
"AWARDS Certification as a Great Place to Work (for the third consecutive year) Fortune’s Top 10 Best Large Workplaces in Manufacturing and Production 3 October 2019 - May 2020 4 Cumulative since 2011 Responding To COVID-19 Governance, Ethics, and Compliance Our People Our Products Our Planet Our Partnerships Data and Performance 6 IntroductionR&D sites: U.K.; U.S. (California); U.S. (Connecticut) CooperSurgical Centers of Excellence: China; Denmark; India; Japan; Russia; U.K.; U.S. (New Jersey) Manufacturing & Distribution: Australia; Belgium; Brazil; Canada; Chile; Costa Rica (CVI LEED® certified); Denmark; Hungary; Israel; Japan; Mexico; Netherlands; Puerto Rico (LEED® certified); Spain (LEED® certified); South Africa; T aiwan; U.K. (BREEAM® certified); U.S.",COO_2020.pdf
"Global Operations Responding To COVID-19 Governance, Ethics, and Compliance Our People Our Products Our Planet Our Partnerships Data and Performance 7 IntroductionResponding to COVID-19 • 100% of emplo yees received full pay and benefits even when plants temporarily closed; • 0 inv oluntary reductions due to COVID-19; • Additional paid time off was provided to address personal situations as appropriate and where possible; • Enhanc ed safety measures for those working onsite, including increased sanitation, physical distancing, and contact tracing; • Shifting emplo yees to remote work wherever possible; • T raining and support for our managers and employees on how to work and thrive in a virtual working environment; • 570 opt ometry practices received complimentary lenses to distribute to essential hospital workers;• Int eractive, digital training programs developed for eye care, medical, fertility, and genomics professionals, reproductive endocrinologists, and embryologists; • E xtended payment terms to many customers; • C onsistent supply of products; and • 20,000 disposable mask s, sanitization kits, and PPE donated.",COO_2020.pdf
