sentences,filename
"DEXCOM, INC. SUSTAINABILITY REPORT March 2021Whether it is through expanding access to healthcare, charitable giving, initiatives that support employees’ wellbeing, efforts to reduce waste and emissions, or ongoing ethical conduct, we firmly believe that our corporate citizenship investments are both the right choice for the business’s long-term success and the right thing to do.",DXCM_2021.pdf
"With that in mind, I am pleased to share the annual Dexcom sustainability report.",DXCM_2021.pdf
"It speaks not only to our commitment to innovative thinking, but to making a healthy positive, lasting impact on the world we share.",DXCM_2021.pdf
"I look forward to keeping you updated on our progress.Since its inception in 1999, the Dexcom mission has centered around positively impacting the lives of people with diabetes.",DXCM_2021.pdf
"And while this starts with our industry-leading continuous glucose monitoring (CGM) technology, it does not end there.",DXCM_2021.pdf
"We also strive to advance the interests of all our stakeholders – including patients, caregivers, employees, investors, and our communities – by operating in an ethical and sustainable way, one that holds true to our core values: Listen, Think Big, Be Dependable, and Serve with Integrity.",DXCM_2021.pdf
"These values are at the heart of every Dexcom sustainability activity that spans the globe.A LETTER FROM OUR CEO Kevin Sayer Chairman, President & CEO TABLE OF CONTENTS We use our Sustainability Report to share how we are managing our sustainability goals, as well as to respond to a broad set of stakeholder expectations and inquiries we receive throughout the year.",DXCM_2021.pdf
"This report covers fiscal year results for the period ended December 31, 2020, unless otherwise noted.",DXCM_2021.pdf
"Data includes our operations around the world, unless otherwise stated.",DXCM_2021.pdf
Some data has been rounded.,DXCM_2021.pdf
Monetary figures are in U.S. dollars unless otherwise noted.,DXCM_2021.pdf
"Dexcom undertakes no responsibility to update this information after the date of this report.A LETTER FROM OUR CEO ........................................................................................ 2 LISTEN ........................................................................................................................ 4 Listening to our Customers .................................................................................. 4 Dexcom Warriors ................................................................................................... 4 Active Participation within the Diabetes Community ....................................... 5 Offering Patient Choice ........................................................................................ 7 “On the Bright Side” Notifications ...................................................................... 7 Listening to our Employees .................................................................................. 8 Investing in our Employees .................................................................................. 8 Supporting Our Employees and Their Families ................................................. 9 Our Commitment to Diversity, Equity and Inclusion: ..................................... 11 THINK BIG ................................................................................................................ 15 Access to Healthcare ........................................................................................... 17 Environmental Impact ........................................................................................ 20 Conserving Natural Resources .......................................................................... 20 Reducing Waste ................................................................................................... 21 Reducing Emissions and Effluents ..................................................................... 22 Education, Monitoring and Improvement ........................................................ 23 BE DEPENDABLE ...................................................................................................... 24 Quality .................................................................................................................. 24 Employee Health and Safety .............................................................................. 26 Our COVID-19 Response .................................................................................... 27 SERVE WITH INTEGRITY ......................................................................................... 29 Board of Directors ............................................................................................... 30 Dexcom Compliance Program ........................................................................... 31 Data Privacy ......................................................................................................... 32Dexcom, Inc. Sustainability Report, March 2021 Disclaimer: Dexcom assumes no obligation to update the enclosed material after the date of this report.",DXCM_2021.pdf
4LISTEN The pursuit of continuous improvement and impact drives our global efforts at Dexcom.,DXCM_2021.pdf
