sentences,filename
"1 Sustainability Report2022 Making a World of Difference2022 Hologic Sustainability Report 1 From Our CEO ................................. 2 A M essage From Our Chairman, President and CEO ............................. 2 Our Purpose .................................... 4 H ologic Overview ................................ 5 H ologic at a Glance ............................ 6 R&D Spotlight ........................................ 8 History of Innovation ........................... 9 Shingo Prize: A World-Class Culture of Excellence ....................... 10 Materiality Assessment ..................... 11 U.N.",HOLX_2022.pdf
"Sustainable Development Goals ......................... 12 A Discussion With Our CFO: Our Sustainability Strategy ............ 13Championing Women ................ 14 Hologic Global Women’s Health Index ........................................ 15 Serving the Greater Good With the WTA ................................................ 18 Global Access Initiative ................. 20 Project Health Equality ................... 21 Helping Underserved Women Worldwide .......................... 23 Our People ...................................... 33 P eople First ........................................ 34 Key Indicators of Engagement ....................................... 35 Our People Drive Our Passion ........................................ 36 Our People Deliver Our Promise ........................................ 37 Raising the Bar: Championing World-Class Managers ................... 38 Employee Workforce Composition ....................................... 39Good Governance ...................... 44 Governance and Shareholder Engagement ....................................... 45 Clinical Trial Governance .............. 48 Supply Chain Management .......... 49 Supplier Risk Management .......... 50 Quality Management Systems .....51 Workplace Health and Safety ........................................... 52 Information Security Governance ........................................ 53 Governance Policies and Procedures ................................ 54 Reporting Frameworks .................. 56 Sustainability Accounting Standards ............................................ 56 Task Force on Climate-Related Financial Disclosures ...................... 58 Safe Harbor Statement .................. 60Table of Contents Our Communities ........................ 2 4 Strengthening Communities Through Philanthropy ..................... 25 Supporting a Diverse Range of Causes .............................. 26The Environment ......................... 2 7 Environmental Goals ....................... 28 Hologic Costa Rica's Climate Leadership ......................... 30 Environmental Initiatives in Our Diagnostics Division ................ 31 Climate Risks and Opportunities ............................ 322022 Hologic Sustainability Report 2 2022 Hologic Sustainability Report 2From Our CEO Our Purpose Championing Women Our Communities The Environment Our People Good Governance A Message From Our Chairman, President and CEO 2Hologic's virtuous circle represents our corporate objectives.",HOLX_2022.pdf
"Dear Hologic Stakeholders, Thanks to all of you for taking an interest in our sustainability journey.",HOLX_2022.pdf
"We are excited to showcase our 2022 report and the progress we continue to make living into our purpose, passion and promise: • Our purpose is to enable healthier lives everywhere, every day.",HOLX_2022.pdf
• Our passion is to champion women’s health globally.,HOLX_2022.pdf
"• Our promise is The Science of Sure® , a commitment to provide healthcare professionals clinically differentiated, high-quality products.",HOLX_2022.pdf
"Before diving into the highlights of this year’s report, I’d like to reflect on the theme of false choices raised in the introduction letter to last year’s Sustainability Report.",HOLX_2022.pdf
"These false choices, in which something is presented as undoubtedly true or false, have defined much of today’s discourse — from politics to business to everyday conversations at the dinner table.",HOLX_2022.pdf
"Perhaps inevitably, the framing of false choices has also made its way into environmental, social and governance matters.",HOLX_2022.pdf
"At Hologic, we believe the best companies don’t have to choose between sustainability and maximizing performance.",HOLX_2022.pdf
We commit to elevating women’s health worldwide while generating strong financial returns for our shareholders.,HOLX_2022.pdf
"As you will see from the breadth and depth of our initiatives, each objective is intimately connected to our business strategy because doing the right thing is fundamental to who we are.",HOLX_2022.pdf
"Our financial success, sustainability strategy, commitment to helping more women — all while reducing our carbon footprint and acting ethically in all matters with our stakeholders — are intertwined.",HOLX_2022.pdf
This relationship led to the creation of our virtuous circle.,HOLX_2022.pdf
"Through our deep focus on innovation and The Science of Sure , we generate financial returns and leverage these benefits to invest in groundbreaking women’s health initiatives like the Hologic Global Women’s Health Index, Project Health Equality and work with the World Economic Forum.",HOLX_2022.pdf
"These achievements enable us to elevate women’s health globally by advancing access, policy and awareness.2022 Hologic Sustainability Report 3 2022 Hologic Sustainability Report 3From Our CEO Our Purpose Championing Women Our Communities The Environment Our People Good Governance Steve MacMillan at the World Economic Forum gathering in May 2022.",HOLX_2022.pdf
"While we have made meaningful progress, our sustainability journey is by no means complete.",HOLX_2022.pdf
"Every day, we seek to improve and refine our strategy with heartfelt purpose, passion and promise.",HOLX_2022.pdf
The women of the world deserve nothing less.,HOLX_2022.pdf
"First, the Hologic Global Women’s Health Index , conducted annually in partnership with Gallup®, reveals unique insights directly from the experiences of women and provides a framework for making progress.",HOLX_2022.pdf
"As we highlight on page 15, the Index’s results underscore that prioritizing women’s health is more critical now than ever.",HOLX_2022.pdf
"It is striking and disheartening that even in developed economies, women’s health has taken a step back in the past year.",HOLX_2022.pdf
"For example, more than 1.5 billion women worldwide lacked essential health screenings for cancer, heart disease, diabetes and sexually transmitted infections.",HOLX_2022.pdf
This is unacceptable.,HOLX_2022.pdf
"With the multiyear Index initiative, we will continue to bring awareness to women’s health at the highest levels, as evidenced by our inaugural participation at the 2022 World Economic Forum’s gathering in Davos, Switzerland.",HOLX_2022.pdf
"We will relentlessly engage policymakers, business leaders, scholars, nonprofit advocates and others to join us in helping women around the world live longer and better.",HOLX_2022.pdf
"Second, with Project Health Equality , we collaborate with our partners to reduce the healthcare disparities gap that underserved women face.",HOLX_2022.pdf
"Research shows, for example, that Black women are almost 40% more likely to die from breast cancer compared to non-Hispanic white women.",HOLX_2022.pdf
"Together with our Project Health Equality partners, we aim to change these statistics.",HOLX_2022.pdf
"On page 21, we proudly highlight events, partnerships and programs that help women overcome systemic hurdles to high-quality healthcare.",HOLX_2022.pdf
"Third, our global alliance with the Women’s Tennis Association (WTA) creates what WTA President Micky Lawler describes as a “fantastic partnership — couldn’t have asked for a better team of people, a better brand and a better shared mission.” We and the WTA, two champions for women, have joined forces to realize further progress.",HOLX_2022.pdf
"As the WTA’s lead sponsor, Hologic works with the sport’s legends and athletes to increase awareness of preventive care, advance equality for women on and off the court as well as raise money for the charitable ACEing Cancer program to fund researchers and nonprofit groups battling women's cancers (page 18).",HOLX_2022.pdf
"Fourth, as detailed on pages 34-35, our employee engagement is best-in-class.",HOLX_2022.pdf
"It is a direct reflection of our vibrant culture, created by teams of people committed to living our organization’s purpose.",HOLX_2022.pdf
"In 2022, Hologic received Gallup’s Exceptional Workplace Award for the second year in a row.",HOLX_2022.pdf
"As I speak with both long-serving and new employees, our purpose shines through as a strong motivator for continued success.",HOLX_2022.pdf
