sentences,filename
"Corporate Responsibility Report 8,000 people one global purpose2Corporate Responsibility Report3To be a great company that creates exceptional long-term value for our customers, employees, and shareholders by enhancing the health and well-being of pets, people, and livestock.Our PurposeWelcome to our Corporate Responsibility (CR) report.",IDXX_2018.pdf
"In this report, you will see how we are strong believers in how our business advances the human condition, while also advancing how we are doing business in a way that is socially and environmentally responsible.",IDXX_2018.pdf
The work we do makes a positive impact in the world in part by supporting the human-animal bond through advances in pet health care.,IDXX_2018.pdf
"Pets can’t tell you how they feel, so bloodwork results help give pets a voice in their healthcare.",IDXX_2018.pdf
Our innovations in pet care diagnostics expand their vocabulary.,IDXX_2018.pdf
"Corporate responsibility is embedded into our Purpose and our Guiding Principles, which we refined in the year 2010 as a result of a deep company introspection of what makes IDEXX who we are and aspire to be.",IDXX_2018.pdf
"They have stood the test of time, and I am deeply proud of them.",IDXX_2018.pdf
"I am so pleased to share in this report an update on the work our employees are doing to help our communities, protect the environment, nurture our people, and grow our business.",IDXX_2018.pdf
"Sharing provides visibility into that work, motivating IDEXX employees across the globe to continue in this good work.In addition, because people want to work for a responsible company that they can be proud of, we believe it’s important to show what IDEXX is all about, from our innovative culture, to the way we support the health and well-being of our employees and their families, to community volunteering, and to how we design our products and even our buildings.",IDXX_2018.pdf
These topics are a big part of our report.,IDXX_2018.pdf
"I’d like to thank our employees, customers, vendors and other partners for contributing to the good we’ve done to date.",IDXX_2018.pdf
"I look forward to IDEXX finding ways on how we can advance our ideals in corporate responsibility, consistent with our Purpose.",IDXX_2018.pdf
We invite you to follow us on our journey.,IDXX_2018.pdf
"Jonathan W. Ayers Chairman, President and Chief Executive OfficerA Message from Jon Ayers, IDEXX CEO IDEXX seeks to be a good citizen of the communities in which we do business by contributing to their health and quality of life, by conducting ourselves with the highest ethical standards and by being environmentally responsible.",IDXX_2018.pdf
"4Our Six Guiding Principles: • Achieve and sustain market leadership • Exceed the expectations of our customers • Empower and reward our employees • Innovate with intelligence • Cultivate entrepreneurial spirit • Contribute to our communitiesWorld Headquarters Westbrook, Maine 1/3 of total employees North America 5,628 Europe 1,842 Latin America 130 Asia Pacific 514 Africa Middle East 56• ••• •••• • ••• •• •••• • •••• ••••••••••••••••••••• •• ••• 5IDEXX Laboratories, Inc. is a member of the S&P 500® Index and is a leader in pet healthcare innovation, serving veterinarians around the world with a broad range of diagnostic and information technology- based products and services.",IDXX_2018.pdf
Our common stock is quoted on the NASDAQ Global Select Market under the symbol IDXX.,IDXX_2018.pdf
"IDEXX is also a worldwide leader in providing diagnostic tests and information for livestock and poultry, and testing for the quality and safety of water and milk.",IDXX_2018.pdf
