sentences,filename
"Sustainability Report 2019 PN1066134-US RevA 01/20202 of 48 PN1066134-US RevA 01/2020 Intuitive Sustainability Report 2019Table of contents 04 From the desk of Gary Guthart, CEO 0 4 How we create and assess sustainable value 06 Founding principles 07 History10 Focus on patients 12 Design 12 Human factors and clinical development 12 Engineering 1 3 Patient and care team safety 13 C ommitment to clinical evidence, risk assessment and mitigation 14 C linical Risk Review Board (CRRB) 1 5 Commitment to training 16 I ntuitive Technology Training Pathway (TTP) 17 T raining Passport Program 18 V irtual environment skill building 18 Telementoring 1 9 Supporting our customers 19 Genesis 2 0 F ield service and preventive maintenance 2 1 T echnical support 2 1 I nstruments & Accessories (I&A) support 22 Supply chain sustainability 2 3 Supply chain management 2 4 S electing and supporting our suppliers 2 4 Supplier business reviews (SBRs) 2 4 Supplier handbook and scorecard 2 4 Supplier symposium 2 5 Compliance 25 S mall Business Administration 25 Th e Dodd-Frank Act 25 C alifornia Transparency in Supply Chain Act (CALTISCA) 25 U nited Kingdom (U.K.) Modern Slavery Act 25 R estriction of Hazardous Substances (RoHS) 26 Environmental stewardship 2 7 ISO 14001 certified 2 8 Managing waste 28 R ecertification of components 28 P roprietary recycling 28 E lectronic waste 28 M edical waste3 of 48 PN1066134-US RevA 01/2020 Intuitive Sustainability Report 2019Table of contents 2 9 Sustainable transportation 29 C ompany-provided public transportation 29 E lectric vehicle (EV) charging stations 29 B ike-share program 30 T alent and workplace experience 3 2 Inclusion and Diversity 3 3 Our culture: we are Intuitive 33 I nvestment in people 34 W orkplace Experience Committee (WEC) 34 Workplace services 35 G lobal on-site events 35 S ports and fitness 3 5 Employee health and safety 36 E mployee Resource Groups (ERGs) 36 W omen in Technology (WITy) 37 Creating stronger communities 39 G iving back: The Intuitive Foundation 39 D a Vinci Research Kit (dVRK) 40 S TEM education 40 F IRST Robotics 41 C ommunity activities 41 S unnyvale Community Services 42 S tanford blood drives 42 P addle for Cancer 43 Corporate governance 4 4 Board of Directors 4 5 Governance and Nominating Committee 4 5 Sustainability Steering Committee 4 5 Ethical business conduct 4 6 Anti-bribery and anti-corruption 4 6 Tax transparency 47 Conclusion 4 of 48 Intuitive Sustainability Report 2019 PN1066134-US RevA 01/2020At Intuitive, our innovations are grounded in a commitment to understanding human needs and technology’s potential.",ISRG_2019.pdf
"Inquiry and exploration have shaped our team, our approach to serving the needs of healthcare providers, and our commitment to bettering the communities in which we live and work.",ISRG_2019.pdf
We believe that minimally invasive care is life-enhancing care.,ISRG_2019.pdf
"Through ingenuity and intelligent technology, we expand the potential of physicians to heal without constraints.",ISRG_2019.pdf
"Both our mission and our approach to corporate sustainability are focused on contributing to a better future for physicians, healthcare teams, and their patients—and for our employees, communities, and the world.",ISRG_2019.pdf
Two key frameworks guide us as a team and serve as the foundation for how we approach corporate sustainability: • Our founding principles – Articulate our corporate values and align and inspire our work.,ISRG_2019.pdf
"• Our value framework – Presents our value-creation model, by audience, in an interdependent series of beliefs and associated actions.",ISRG_2019.pdf
The following pages provide an overview of our corporate sustainability initiatives.,ISRG_2019.pdf
"These range from our work to help improve patient outcomes to our deep investment in care team education and training, from global supply chain sustainability to compliance, social responsibility, and more.",ISRG_2019.pdf
Our goal is to create real value for the constituents we serve.,ISRG_2019.pdf
Here’s how we approach value creation at Intuitive: Patient value Our products and technologies are designed to enable physicians to safely and effectively provide better outcomes and reduce disruption in patients’ lives.,ISRG_2019.pdf
Development of these tools and technologies is informed by a deep understanding of the needs of the care team and the environment in which its members operate.,ISRG_2019.pdf
"We are guided by the desire to provide care teams with solutions that allow their patients to get back to what matters most, safely, effectively, and efficiently.",ISRG_2019.pdf
"Physician value Our commitment to enhancing patient value starts with physicians, whose care teams are the focal point of our efforts: from offering rigorous, ongoing training programs; to the continuous testing and improvement of our products and performance; to regularly assessing customer satisfaction in pursuit of improving the products and services we offer as well as the creation of innovative new solutions.From the desk of Gary Guthart, CEO ”Our value framework and founding principles inform our approach to corporate sustainability.” Gary Guthart, Ph.D. Chief Executive OfficerIntuitive How we create and assess sustainable value Patient valuePhysician valueHospital valuePayer valueEmployee valueShareholder value 2 5 3 6 1 45 of 48 Intuitive Sustainability Report 2019 PN1066134-US RevA 01/2020Hospital value Hospitals are central to physicians’ and our shared pursuit of the Quadruple Aim: obtaining better outcomes, and a better experience for patients and care teams, while achieving lower costs per patient episode.",ISRG_2019.pdf
"We know that efficiency, reduced team-to-team variation, service quality, and managing operating costs matter to our hospital customers.",ISRG_2019.pdf
"We offer a range of solutions and ownership models at different price points to meet the needs of customers and healthcare systems at different stages of adoption and collaborate to build strong, cost-effective robotics programs.",ISRG_2019.pdf
"We work together to create, support, and measure programs that support the Quadruple Aim.",ISRG_2019.pdf
"Payer value Globally, payers benefit by improved health and lower total cost-to-treat of the populations they manage.",ISRG_2019.pdf
"We work with physicians, providers, and payers to quantify the value of the work we do for the populations they serve, from both a clinical and economic perspective.",ISRG_2019.pdf
Employee value Intuitive invests in our people to support their growth and contribution.,ISRG_2019.pdf
"Among our team, mutual respect, inclusive practices, and diversity of perspective are valued.",ISRG_2019.pdf
"We set meaningful goals, commit to evaluating ourselves fairly and frankly, and reward great work.",ISRG_2019.pdf
We also invest in the communities in which our employees live and work.,ISRG_2019.pdf
"Intuitive continues to develop high-quality, environmentally responsible, and sustainable workspaces that strive to support employee health and well-being.",ISRG_2019.pdf
"We launched the Intuitive Foundation in January 2019, along with a matching program for employee gifts, to formalize our longstanding commitments to physician training and Science, Technology, Engineering and Math (STEM) education.By aligning employee incentives to support Intuitive’s long-term sustainability, we believe that investing in our people builds a stronger company that will benefit all our stakeholders.",ISRG_2019.pdf
"Shareholder value We seek first to meet the expectations we’ve set for ourselves with patients, physicians, hospitals, payers, and employees, and add the responsibility to build value for long-term shareholders.",ISRG_2019.pdf
"We serve as good stewards of our technology and operate in a way that is responsible and legally compliant, as well as fiscally and operationally sound.",ISRG_2019.pdf
"This means making appropriate investments in clinical research and physician training infrastructure, understanding and meeting relevant standards and best practices in the markets we serve, and building and managing socially and environmentally responsible supply chains that manage business and reputational risks.From the desk of Gary Guthart, CEO Since our founding, we’ve relied on the scientific method and we value evidence.",ISRG_2019.pdf
The pursuit of deep understanding of human need and healthcare systems inform the work we do today and the solutions we will deliver tomorrow.6 of 48 Intuitive Sustainability Report 2019 PN1066134-US RevA 01/2020We view our pursuit of corporate sustainability as an ongoing effort and we understand that frank assessment followed by continuous improvement is essential to progress.,ISRG_2019.pdf
We are proud of the efforts highlighted in our inaugural Intuitive Sustainability Report and look forward to making improvements and sharing our progress in the years to come.,ISRG_2019.pdf
"Gary Guthart, Ph.D. Chief Executive OfficerIntuitiveFrom the desk of Gary Guthart, CEO Founding principles These have been our guideposts since our formation.",ISRG_2019.pdf
"Patients first, always.Our products and services impact lives — we see our role in healthcare as a solemn responsibility.",ISRG_2019.pdf
We focus on the problems that matter most to our customers.,ISRG_2019.pdf
Quality counts.,ISRG_2019.pdf
We never bend or wink at the truth.,ISRG_2019.pdf
"If something goes wrong, we seek to find the root cause, not to blame.",ISRG_2019.pdf
We understand that quality requires investment.,ISRG_2019.pdf
Strive for meaningful progress daily.,ISRG_2019.pdf
We are working on a hard set of problems that impact people’s lives.,ISRG_2019.pdf
We strive to meet our long-term goals with daily focus and diligence.,ISRG_2019.pdf
Small teams win.,ISRG_2019.pdf
"We believe in small, agile, inclusive teams of outstanding staff that deliver results and exceed our customers’ expectations.",ISRG_2019.pdf
First-principles thinking.Innovation is essential to our success.,ISRG_2019.pdf
"We frame problems clearly, understand key performance metrics and evidence, brainstorm broadly and implement solutions that address the whole.",ISRG_2019.pdf
Learn from everyone.,ISRG_2019.pdf
Copy no one.,ISRG_2019.pdf
"As pioneers of robotic-assisted surgery, we have introduced new ideas and challenged the status quo.",ISRG_2019.pdf
"We actively learn from our customers, our team and those outside our company.",ISRG_2019.pdf
Believe the beliefs.,ISRG_2019.pdf
Deliver the results.,ISRG_2019.pdf
We behave in ways consistent with our values and expect to achieve our goals.,ISRG_2019.pdf
We attend to both the “how” and the “what.” Humility.,ISRG_2019.pdf
We reject personal and organizational arrogance.,ISRG_2019.pdf
"A better idea can come from anywhere inside or outside our organization — our doors and minds are always open.7 of 48 Intuitive Sustainability Report 2019 PN1066134-US RevA 01/2020Intuitive was founded in 1995 to create innovative, robotic-assisted systems that help empower physicians and hospitals to make surgery less invasive than an open approach.",ISRG_2019.pdf
"Since the da Vinci® surgical system became one of the first robotic-assisted systems cleared by the FDA for general laparoscopic surgery, it has taken robotic-assisted surgery from science fiction to reality.History 1995 Intuitive is founded.",ISRG_2019.pdf
"2000 The da Vinci surgical system becomes one of the first FDA-cleared minimally invasive, robotic-assisted surgical systems, and Intuitive launches the first da Vinci system.25 Number of years Intuitive has been innovating new approaches to minimally invasive surgery.",ISRG_2019.pdf
8 of 48 Intuitive Sustainability Report 2019 PN1066134-US RevA 01/20207.,ISRG_2019.pdf
2 million+ Number of minimally invasive da Vinci procedures completed worldwide through 2019.26 seconds How often a surgeon starts a da Vinci procedure.,ISRG_2019.pdf
"1.2 million+ Number of da Vinci procedures performed in 2019.Da Vinci Xi Da Vinci Si Da Vinci XDa Vinci S Da Vinci SP Da Vinci5,582 Number of da Vinci systems around the world.67 Countries50 States9 of 48 Intuitive Sustainability Report 2019 PN1066134-US RevA 01/2020Company overview Da Vinci SP Ion Endoluminal System We’re continuously improving current products while also working with physicians to create new minimally invasive products to help solve the world’s most complex surgical challenges.",ISRG_2019.pdf
"Our da Vinci SP 1 surgical system allows urology and transoral surgeons in the U.S. to enter the body through a single, small incision.",ISRG_2019.pdf
"And, with the recent FDA clearance of our Ion ™ system for minimally invasive peripheral lung biopsies, we’re extending our focus beyond surgery.",ISRG_2019.pdf
"4 Number of generations of da Vinci systems introduced, including the flagship da Vinci Xi ® surgical system in 2014.1 1 Not all da Vinci surgical system models are available in all markets.10 of 48 Intuitive Sustainability Report 2019 PN1066134-US RevA 01/2020Focus on patients11 of 48 Intuitive Sustainability Report 2019 PN1066134-US RevA 01/2020 Focus on patients Our goal is to help physicians and care teams provide better care to the patients they serve.",ISRG_2019.pdf
"We focus on innovating for minimally invasive care because we believe less invasive interventions—whether for surgeries or biopsies—not only benefit healthcare networks and care providers, but also can contribute to improving patient outcomes.",ISRG_2019.pdf
"At Intuitive, we believe that minimally invasive care is life-enhancing care.",ISRG_2019.pdf
"Through ingenuity and intelligent technology, we expand the potential of physicians to heal without constraints.",ISRG_2019.pdf
"With our mission above as inspiration, we focus our sustainability efforts on helping care teams pursue the goals of the Quadruple Aim: Our teams focus on innovations that help improve the Quadruple Aim in the hands of our customers.",ISRG_2019.pdf
"Conceiving, designing, building, and delivering technologies and solutions that help our customers achieve these goals requires a commitment to understanding human needs and technology’s potential across multiple functions of our business.",ISRG_2019.pdf
11 of 48 Intuitive Sustainability Report 2019 PN1066134-US RevA 01/2020Better patient outcomes Lower total cost of treatment per patient episodeBetter patient experience throughout the process Better care team experience 12 of 48 Intuitive Sustainability Report 2019 PN1066134-US RevA 01/2020Focus on patients We recognize that minimally invasive surgery and biopsy involve a complex set of tasks performed by many trained professionals to create an individualized path to recovery and wellness for a patient.,ISRG_2019.pdf
"To create innovations — for both minimally invasive surgery and biopsy—that are highly effective in care environments, we form teams with diverse skills including those trained in human-centered design, human factors, clinical development, and engineering disciplines.",ISRG_2019.pdf
