sentences,filename
"Engineering impact Medtronic 2021 Integrated Performance ReportContents About this report 4 Letters to our stakeholders 5 At a glance: A year of impact 7Our business: Engineering the extraordinary 8 Our ongoing C OVID-19 response 12 Advancing social justice and equity 14 Our impact: Employee stories 16FY21 environmental sustainability highlights 28 Clima te risk and resilience 29 Reducing our operational footprint 30 P roduct stewardship 34Material issues and targets 19 Sustainability governance 21Stakeholder engagement 23 Contribution to the UN Sustainable Development Goals 25FY21 governance and accountability highlights 72 Corporate governance 73 Ethical business conduct 76 Ethics in sales and mark eting 79 Our economic impac t 81 FY21 social impact highlights 37 Global healthcare access 38Philanthropy 45 Inclusion, diversity, and equity 51 Supporting a global workforce 55 Patient safety and product quality 60 Data privacy and security 65 Supply chain responsibility 67Global Reporting Initiative index 84 Sustainability Accounting Standards Board index 105 Task Force on Climate-Related Financial Disclosures 108 World Economic Forum 112Employee data summary 116Introduction Environmental sustainability ESG strategy Social impact Governance and accountability ESG Disclosure Index 2 Medtronic 2021 Integrated Performance Report Introduction We see extraordinary possibilities to increase our positive impact.",MDT_2021.pdf
"Our environmental, social, and governance (ESG) efforts, combined with the passion of our 90,000+ employees, drive better outcomes for our world through a healthier society and healthier planet.",MDT_2021.pdf
"About this report 4 Letters to our stakeholders 5 At a glance: A year of impact 7Our business: Engineering the extraordinary 8Our ongoing COVID-19 response 12 Advancing social justice and equity 14 Our impact: Employee stories 16 3 Medtronic 2021 Integrated Performance Report About this report This report reflects the Medtronic material ESG topics in alignment with leading reporting frameworks and standards, including the Global Reporting Initiative; the Sustainability Accounting Standards Board; the Task Force on Climate-Related Financial Disclosures; and the World Economic Forum Stakeholder Capitalism Metrics, which are detailed in our ESG Disclosure Index.",MDT_2021.pdf
"Unless otherwise stated, all performance reporting covers our fiscal year 2021 (FY21), from April 25, 2020 through April 30, 2021.",MDT_2021.pdf
This report includes data from Medtronic plc and its consolidated subsidiaries.,MDT_2021.pdf
"Environmental, health, and safety data are from our manufacturing and research and development facilities.",MDT_2021.pdf
"A third party has verified our FY19, FY20, and FY21 health and safety data, shared on page 57.",MDT_2021.pdf
"In some instances, reported data may be best estimates or rounded.",MDT_2021.pdf
We have omitted Medtronic subsidiaries whose impact on overall data is less than 10%.,MDT_2021.pdf
"All financial information is reported in U.S. dollars.This report contains forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995, which are subject to risks and uncertainties, including risks related to competitive factors; difficulties and delays inherent in the development, manufacturing, marketing, and sale of medical products; government regulation and general economic conditions; and other risks and uncertainties described in our periodic reports.",MDT_2021.pdf
