MRK_2019.pdf,MRK_2018.pdf,MRK_2020.pdf,MRK_2021.pdf
"Environmental, Social & Governance (ESG) Progress Report 2019/20202 MSD ESG Progress Report 2019/2020This is the Environmental, Social & Governance (ESG) Progress Report 2019/2020 of Merck & Co., Inc., Kenilworth, N.J., U.S.A., which is known as MSD outside the U.S. and Canada.",,,
"This report is a supplement to our comprehensive online report, available at MSDresponsibility.com .",,,
"Information on documents filed with the Securities and Exchange Commission (SEC), such as our Form 10-K and Proxy Statement, can be found on our corporate website , which is intended only for residents of the U.S. and Canada.3-7 Introduction GRI/SASB disclosures 8–22 General Disclosures 23–35 Economic 36–58 Environmental 59–85 Social86–95 GRI/SASB indices An SDG index can be found at MSDresponsibility.comContentsHighlights 43% Management roles held by women.1 Zero Employees laid off in 2020 as the result of the pandemic, including our 500-person summer internship program.Employees 25.4% Purchased electricity from renewable sources.1,4 By 2040, our goal is 100%.",,,
"15%Environmental Sustainability$2.4B Spend with minority-, women-, veteran-, LGBT- and disability-owned suppliers.1Ethics & Values 1 As of December 31, 2019.",,,
"2 As defined by the Institute for Health Metrics and Evaluation (IHME) using GBD 2017 data; excluding road injury, self-harm, interpersonal violence and neonatal disorders.",,,
"3 This number is slightly higher in 2019 than in years past due to our expanded collaboration with MSD-Welcome Trust Hilleman Laboratories and our acquisitions of Immune Design and Peloton, Tilos Therapeutics and Calporta in 2019.",,,
"4 We have defined “purchased electricity” as electricity sourced from external suppliers as well as renewable electricity that was generated and utilized onsite where we retained the renewable attributes or where we have obtained renewable attributes through contract.100% Top 20 global burdens of disease addressed by our products and pipeline.1,2,3 Ebola Our Ebola Zaire Vaccine, ERVEBO, has been prequalified by the WHO, approved by the U.S. FDA, and approved by the Government of the Democratic Republic of the Congo (DRC).1We are currently advancing two SARS-CoV-2/COVID-19 vaccine candidates.",,,
"344M Treatments for the elimination of river blindness and lymphatic filariasis (LF) shipped to endemic countries.1Access to Health Reduction in water use since 2015.1 3 MSD ESG Progress Report 2019/2020 Introduction General Disclosures Economic Environmental Social IndicesDear Stakeholders, As we launch our 2019/2020 Corporate Responsibility Report, the world continues to face a health crisis of proportions unprecedented in our lifetimes.",,,
"With the COVID-19 pandemic persisting in communities across the globe, never has there been a moment when our mission — to save and improve lives — appears as clear and compelling.",,,
"For more than 125 years, our unwavering commitment to inventing new medicines and vaccines in the fight against infectious diseases means that we have the capability, capacity and expertise to help develop effective responses to the pandemic.",,,
We are advancing two SARS-CoV-2/COVID-19 vaccines — one in partnership with IAVI and another through our acquisition of Themis Bioscience.,,,
"In addition, we are collaborating with Ridgeback Bio to develop a novel antiviral candidate.",,,
"We are also proud to be a part of the global collaborations, joining research efforts with the Institute for Systems Biology as well as the ACTIV (Accelerating COVID-19 Therapeutic Interventions and Vaccines) consortium, led by National Institutes of Health.",,,
"And we are collaborating with the Bill & Melinda Gates Foundation as well as other global stakeholders, on issues of access and the equitable deployment of pandemic vaccines.",,,
