sentences,filename
Sustainability Report 2020Contents Message from the CEO ......................................................................................................... 01 Message from the CSO ......................................................................................................... 02 About Insulet ........................................................................................................................ 03 Responding to COVID-19 ..................................................................................................... 07 2020 Performance ................................................................................................................ 11 Appendix ............................................................................................................................... 59 About This Report .......................................................................................................................................................... 59 SASB and GRI Content Index ......................................................................................................................................... 60Our Approach to Sustainability .......................................................................................... 13 Materiality and Stakeholder Engagement ...................................................................................................................... 14 Sustainability Strategy .................................................................................................................................................. 17 Governance and Ethics .................................................................................................................................................. 20 Resilient Operations ............................................................................................................ 23 Sustainable Operations ................................................................................................................................................. 24 Supplier Responsibility .................................................................................................................................................. 30 Sustainable Product Innovation ......................................................................................... 32 Product and Packaging Design ...................................................................................................................................... 33 Product Takeback .......................................................................................................................................................... 43 People and Communities ..................................................................................................... 45 Health and Wellbeing .................................................................................................................................................... 46 Inclusive and Inspiring Culture ...................................................................................................................................... 5001 Message from the CEOWe are passionate about our mission to simplify and improve the lives of people with diabetes.,PODD_2020.pdf
"Along with our unwavering focus on positively impacting the diabetes community, we are committed to responsible and sustainable growth as a Company.",PODD_2020.pdf
"As such, I am pleased to share our 2020 Sustainability Report, which details our efforts to implement a comprehensive sustainability strategy, building on the Company’s existing capabilities while holistically addressing the environmental, social, and governance (ESG) issues that impact our business.",PODD_2020.pdf
This important work is being led by our newly appointed Chief Sustainability Officer and supported by a Global Sustainability function to foster deeper collaboration across the entire business.,PODD_2020.pdf
"Our sustainability strategy focuses on three pillars: Resilient Operations, Sustainable Product Innovation, and People and Communities.",PODD_2020.pdf
"Targeted areas address sustainable operations and supplier responsibility, product design and packaging, and our inclusivity and inspirational culture.",PODD_2020.pdf
"Together, these focus areas do more than just align key initiatives for responsible growth.",PODD_2020.pdf
"They create differentiated opportunities to help set ambitious goals for the future while we continue to break barriers with consumer-focused innovations such as Omnipod®, Omnipod DASH®, and our latest product generation Omnipod® 5 Automated Insulin Delivery System, expected to launch in 2021.",PODD_2020.pdf
Our pursuit of sustainability took on a broader meaning for Insulet during the pandemic as the impact of COVID-19 changed our Company and the world.,PODD_2020.pdf
"Within Insulet, our response meant not only completely changing how we work, but also a heightened focus on ensuring that our customers maintained uninterrupted access to our life-changing products.",PODD_2020.pdf
"Overnight, Insulet made significant adjustments across all of our key activities to mitigate and address these challenges.",PODD_2020.pdf
"I believe our customer-first mindset and unrelenting commitment to quality, value, and service unified our employees.",PODD_2020.pdf
"Our team brought the same spirit of innovation as seen in our products to every challenge, implementing countless new initiatives.",PODD_2020.pdf
"These included an enhanced customer financial assistance program and virtual customer training to ensure access, availability, and successful use at critical times.",PODD_2020.pdf
"I invite you to read our special section on COVID-19, which fully details our efforts.",PODD_2020.pdf
Insulet’s unified response to the pandemic gave each of us a sense of pride and purpose amidst unprecedented circumstances.,PODD_2020.pdf
"Moreover, this work intensified our commitment to work in a more collaborative, empathetic, and comprehensive way as we address the business impacts on our people and the planet.",PODD_2020.pdf
I am so proud of the adaptability and total engagement of all employees.,PODD_2020.pdf
"In the midst of these adjustments during the pandemic, we also celebrated Insulet’s 20th year in business.",PODD_2020.pdf
"We have much to be proud of, with an average annual revenue growth of 20% over the past five years.",PODD_2020.pdf
"This increase not only highlights our accomplishments, but it clearly demonstrates that how we operate is just as important as the bottom line.",PODD_2020.pdf
"Hypergrowth warrants hyper attention to sustainability, and Insulet is committed to responsible business practices that help our customers, employees, and communities thrive.",PODD_2020.pdf
Thank you for joining us on this journey and learning more about sustainability at Insulet.,PODD_2020.pdf
"Sincerely, Shacey Petrovic President and Chief Executive Officer Message from the CEO02 Message from the CSOAs we reflect on our progress and continue to shape our sustainability roadmap, we are cognizant of our increasing responsibilities and opportunities to address and bring awareness to global imperatives and create lasting value for our diverse set of stakeholders.",PODD_2020.pdf
I am honored to lead this charge as Insulet’s first Chief Sustainability Officer and partner with my colleagues and larger ecosystem to focus on Insulet’s sustainability vision to “Deliver growth with purpose: innovating to improve lives and preserve our planet.” Change needs to happen now.,PODD_2020.pdf
"Therefore, driven by our leadership team, we embarked on our effort with a sense of urgency and purpose to develop a comprehensive strategy that considered our most important ESG issues.",PODD_2020.pdf
We accelerated our work by undertaking a research and stakeholder-focused process to both validate our understanding and illuminate new opportunities about our most important sustainability topics.,PODD_2020.pdf
You can learn more about these results by reading the Materiality and Stakeholder Engagement section of this report.,PODD_2020.pdf
"Leveraging the results of this exercise, we took the next step by conducting an even deeper dive on our business, our long-term goals, and most importantly, our stakeholders’ key expectations, to develop a comprehensive sustainability strategy.",PODD_2020.pdf
"The challenges and opportunities of 2020 further demonstrated the need for a holistic, Company-wide approach to sustainability.",PODD_2020.pdf
"Never has it been clearer that companies must be focused on strong, resilient operations, sustainable products and innovation, and their people and communities.",PODD_2020.pdf
"In real time, we saw how our business model and work-to-date prepared us to continue serving our customers, find new and better ways to foster collaboration, and ensure access for the global diabetes community.",PODD_2020.pdf
"At Insulet, our success will be measured by how we are improving lives and outcomes for people with diabetes.",PODD_2020.pdf
"Our “North Stars” of product quality and safety, affordability and accessibility, customer centricity, and more are authentic to who we are today and will help us continue transforming our business moving forward.",PODD_2020.pdf
Our next steps on strategy implementation will focus on establishing foundational programs and baselines for both immediate advancements and long-term goals aligned with leading frameworks and best practices.,PODD_2020.pdf
"Moreover, our inclusive culture will continue to strengthen our capabilities to empower strategic action and engagement in new business models.",PODD_2020.pdf
"Together, we are focused, we are driven, and we are inspired.",PODD_2020.pdf
"As an organization poised to continue our growth as we deliver life- changing products in innovative ways, we are incorporating sustainability best practices in everything we do.",PODD_2020.pdf
So much of what we already do has social impacts on a broad scale as we simplify life and improve outcomes for our customers and work relentlessly to bring advanced technology to the market.,PODD_2020.pdf
