sentences,filename
" ResMed 18/19 Report on ESG Issues Page 1 of 48 Sustainability Report June 2020 ResMed 18/19 Report on ESG Issues Page 2 of 48 Report scope and reference This Sustainability Report focuses on Economic, Environmental , and Social Governance (ESG) issues that encompass our global operations , including those of our international subsidiaries.",RMD_2019.pdf
Our approach is to include standards where applicable to the Global Reporting Initiative (GRI) Sustainability Reporting Guidelines.,RMD_2019.pdf
Any gaps in the data are noted in the relevant sectio n. The report focuses on the three financial years ended 30 June 2017 –2019.,RMD_2019.pdf
This report also provides background to issues relevant to these periods.,RMD_2019.pdf
"This report should be read with documents filed with the US Securities Exchange Commission, in particula r our 2019 Form 10 -K annual report and our 2019 Form DEF 14A proxy statement for shareholders.",RMD_2019.pdf
These filed documents take precedence over this ESG report in the event of any unintended inconsistency.,RMD_2019.pdf
All references to dollars are US dollars unless otherwise noted.,RMD_2019.pdf
References in this font are hyperl inked to their source or page reference.,RMD_2019.pdf
The preparation of the report has been informed by the reporting guidelines of the GRI Reporting Framework.,RMD_2019.pdf
APPENDIX 1 at the end of the documents matches the information in the report with the relevant GRI indicato rs.,RMD_2019.pdf
"While this report has been prepared with due care , it has not been externally assured.",RMD_2019.pdf
"Further information can be obtained by contacting Justin Italiano at ResMed Inc., Sydney, at +61 2 8884 1000 , or by visiting the c ompany’s multilingual website at www.resmed.com .",RMD_2019.pdf
"ResMed Inc. 9001 Spectrum Center Blvd San Diego, CA 92123 United States of America ResMed 18/19 Report on ESG Issues Page 3 of 48 Table of Contents ............................................................................................................................................. 1 Report scope and reference .............................................................................................................................................. 2 RESMED IN BRIEF ............................................................................................................................................................... 6 Locations and business ...................................................................................................................................................... 6 GOVERNANCE .................................................................................................................................................................. 11 OUR PEOPLE .................................................................................................................................................................... 17 OUR PRODUCTS ............................................................................................................................................................... 26 COMMUNITY .................................................................................................................................................................. 30 ENVIRONMENT ................................................................................................................................................................ 35 Appendix 1 – References to GRI core metrics ................................................................................................................ 47 ResMed 18/19 Report on ESG Issues Page 4 of 48 OUR APPROACH TO ESG ResMed has a mission to help people sleep better, breathe better, and live healthier, higher -quality lives outside the hospital.",RMD_2019.pdf
"In 2019, we improved 105 million lives and our ambitious goal is to improve 250 million lives in out- of- hospital healthcare in 2025.",RMD_2019.pdf
"As I write this letter in May 2020, the world remains in the throes of a global respiratory pandemic caused by a novel coronav irus, and its deadly consequence: COVID -19.",RMD_2019.pdf
"Amid significant loss of life around the world, and broad economic impacts from lockdowns in many countries, we are grateful that we can be part of the solution as we live our mission.",RMD_2019.pdf
"During this pandemic, many tens of thousands of people have accessed ResMed ventilators and mask systems, allowing them to breathe while their own immune system fight s against th is virus.",RMD_2019.pdf
We are proud of tripling our production of ventilators during this crisis .,RMD_2019.pdf
"At the same time, we have focused on our core business es: help ing the 936 million people worldwide who suffocate every night with sleep apnea, the 400 million people worldwide who suffer from chronic obstructive pulmonary disease , and millions more who benefit from a streamli ned out-of-hospital healthcare ecosystem that includes home medical equipment to skilled nursing facilities, to home health and hospice, and beyond.",RMD_2019.pdf
"ResMed is proud to provide innovative, digital, cloud -connected solutions to people living with sleep apnea , COPD, asthma, and other chronic diseases in over 140 countries.",RMD_2019.pdf
"For over 30 years, our mission has been encompassed in what we call the “triple aim”: to improve quality of life, to prevent the progression of chronic disease, and to reduce unnecessary hea lthcare costs.",RMD_2019.pdf
"What ESG means to us ResMed’s overall strategy is grounded in our business sustainability because innovation, ethical business practices, and operational excellence are precisely what enable us to save and enrich millions of lives.",RMD_2019.pdf
"In short, our approach to the environment, our social communities, and best -practice governance is simply part of our DNA.",RMD_2019.pdf
"In fact, this type of altruistic foundation overlaps fully with our business goal of improving 250 million lives in out- of-hospital healthcare : it is key to our growth so we can serve hundreds of millions of people.",RMD_2019.pdf
"ResMed’s core strength is our team – we have 7,500+ people who have chosen to join us, and become ResMedians to help us serve customers in over 140 countries worldwide.",RMD_2019.pdf
We’re deeply committed to understanding the needs of our team and engaging deeply with their professional and personal development.,RMD_2019.pdf
"We are laser -focused on hiring, developing, and advancing the best talent in the field of healthcare.",RMD_2019.pdf
"Our corporate culture demands high levels of innovation and a rigorous code of ethics and values – starting with tone at the top, and all the way through to the customer, including our most important customer, the patient.",RMD_2019.pdf
"Meeting these standards of excellence every day requires a global team, dedicated to innovation and excellence.",RMD_2019.pdf
"Each year, and with ever -increasing detail, new research reveals the role healthy sleep plays in personal and population health.",RMD_2019.pdf
"Untreated sleep apnea is strongly linked to heart failure, hypertension, diabetes, obesity, COPD, peri-operative risks , and beyond.",RMD_2019.pdf
