sentences,filename
"1 Teleflex 2021 Global Impact Report Advancing sustainable healthcare by focusing on our products, patients, people and the environment2021 Global Impact Report2 TELEFLEX 2021 GLOBAL IMPACT REPORTContents About this Report 3 Information Concerning Forward-Looking Statements 3 CEO Message 4 Corporate Social Responsibility Chair Message 5 Teleflex at a Glance 7 Our Products 10 Our Impact 13 Portfolio Optimization 14 Product Development 14 Our Supply Chain 15 - Global Procurement 15 - Manufacturing 15 - Distribution and Logistics 15 - Commercial Organization and Customers 15 Corporate Social Responsibility 17 Stakeholder Engagement 20 Continued Support for Employees through the COVID-19 Pandemic 22 Principles of Ethics & Governance 24 Corporate Governance 24 - Board of Directors 24 - Executive Compensation 25 Participating in Public Policy 26 Industry Groups and Trade Associations 26 Driving a Culture of Compliance: Integrity in All We Do 28 - The Teleflex Promise: Our Global Code of Ethics 28 - Policies and Procedures: Providing a Framework for Success 28 - Training and Communication: Supporting and Reinforcing our Message 30- Auditing and Monitoring: Understanding how our Policies and Training are Working in Practice 31 - Reporting and Investigations: Encouraging a Speak-Up Culture 31 Annual Teleflex Enterprise Risk Assessment 31 Sales and Marketing Practices 32 IT Security and Privacy 32 Planet & Environment 34 Product Stewardship and Circularity 35 Responsible Consumption and Production 35 - Water 35 - Safe Materials and Chemicals 35 - Logistics and Distribution 35 Emissions and Climate Change 36 - Emissions and Energy Targets 36 - Energy 38 Waste 39 People 41 Talent Management and Development 41 Tuition Assistance 42 Benefits 42 Family Support 43 Diversity, Equity, and Inclusion 45 - DEI Leadership 46 - Inclusive Leadership Training 47 - DEI in Recruitment 47 - DEI in Retention 48 - Pay Equity Analysis 2021 50 - Employee Resource Groups 50Employee Recognition 51 Employee Health and Safety: Our Zero Harm Vision for our People 53 - Occupational Health and Safety Management 54 - Identifying and Managing Hazards 55 - Employee Consultation 55 - Health and Safety Training 55 - Employee Health and Safety Tracking 55 Prosperity & Sustainable Healthcare 57 Product Training and Education: Engage, Educate, Align 57 Medical Education Grants 59 Clinical Research 59 Clinical Research Grants 60 Healthcare Access and Equity 60 Innovation, Safety and Quality from Concept to Commercialization 61 - Research, Development and Innovation 61 - Product Quality and Safety 61 - Labor and Supplier Standards 61 Philanthropy 62 - Teleflex Foundation 62 - Ukraine Support 62 - Humanitarian Donations 62 Community Engagement 63 Global Reporting Initiative (GRI) Index 67 Sustainability Accounting Standards Board (SASB) Index 75 United Nations Sustainable Development Goals (UN SDGs) 80CEO Message Corporate Social Responsibility Chair MessageTeleflex at a Glance Corporate Social ResponsibilityContinued Support for Employees through the COVID-19 PandemicPrinciples of Ethics & GovernancePlanet & Environment People Prosperity & Sustainable HealthcareGlobal Reporting InitiativeSustainability Accounting Standards Board (SASB) IndexUnited Nations Sustainable Development Goals (UN SDGs)3 TELEFLEX 2021 GLOBAL IMPACT REPORTAbout this Report Teleflex Incorporated’s second annual Global Impact Report details our Corporate Social Responsibility (CSR) program and encompasses our current progress and future aspirations as a company.",Teleflex_2021_Global_Impact_Report.pdf
"This report also showcases practical ways in which we seek to address evolving Environmental, Social and Governance (ESG) standards to identify and quantify the measures of our sustainability and societal impact.",Teleflex_2021_Global_Impact_Report.pdf
This report has been prepared in accordance with the Global Reporting Initiative (GRI) 2021 Standards and in line with the Sustainability Accounting Standards Board’s (SASB) industry-specific standards for medical equipment.,Teleflex_2021_Global_Impact_Report.pdf
Tables providing relevant information and mapping of applicable reporting standards to relevant information included elsewhere in this report are included at the end of this report.,Teleflex_2021_Global_Impact_Report.pdf
"Unless otherwise noted, this report provides information as of and for the year ending December 31, 2021, and includes information from our owned and operated facilities globally.",Teleflex_2021_Global_Impact_Report.pdf
"This report includes certain information pertaining to our Respiratory business, a significant portion of which we divested to Medline Industries, Inc. on June 28, 2021.",Teleflex_2021_Global_Impact_Report.pdf
"While we have internal processes in place to ensure that our reporting is accurate and as robust as possible, the data in this report has not been externally assured.",Teleflex_2021_Global_Impact_Report.pdf
Teleflex is considering external assurance in the future.,Teleflex_2021_Global_Impact_Report.pdf
We value feedback from all of our stakeholders.,Teleflex_2021_Global_Impact_Report.pdf
You can contact us regarding this report or our CSR Program at CSR@teleflex.com.,Teleflex_2021_Global_Impact_Report.pdf
