sentences,filename
"2019 dentsplysirona.com REPORT Corporate Social Responsibility Report 2019 Message from the CEOӏContents 02 03ӏDentsply Sirona at a Glance 05ӏCorporate Social Responsibility Platform 07ӏImproving Oral Health 17ӏGovernance 21ӏWorkplace 27ӏSupporting Local Communities 31ӏMarketplace 33ӏEnvironment, Health & Safety 37ӏPolitical Spending 38ӏConclusionDear Reader, As a true global player and the largest manufacturer of professional dental products and technologies, we take Corporate Social Responsi - bility (CSR) seriously.",XRAY_2019.pdf
Everyone at Dentsply Sirona shares a common Vision: to improve oral healthcare around the world.,XRAY_2019.pdf
Our CSR platform therefore includes a core focus through corporate philanthropy on initiatives that aim to improve oral healthcare.,XRAY_2019.pdf
We measure our success not only by how much value we can create for our shareholders and customers but also by the positive impact we make on local and global commu- nities.,XRAY_2019.pdf
Growth and success come with additional responsibility.,XRAY_2019.pdf
"That’s why, as we have grown significantly in the rapidly developing regions of Asia, Latin America and the Middle East, we are taking steps to reduce our environmental footprint by increasing efficiency and further improving our processes.",XRAY_2019.pdf
"Every day, we empower dental profes- sionals all over the world to provide mil - lions of patients with better dental care and make people smile.",XRAY_2019.pdf
At the heart of our business are innovative products and integrated solutions for dental profes- sionals that make a difference in the lives of their patients.,XRAY_2019.pdf
"As a global leader in the dental industry, we constantly strive to exceed expectations – of our customers, our employees, our shareholders and the communities in which we live and work.",XRAY_2019.pdf
02 Our Company and its employees work together to deliver meaningful innovation to meet the constantly evolving needs of our customers.,XRAY_2019.pdf
"We spend over $150 million annually to advance dentistry, and have the largest research and development platform in the industry with over 600 R&D professionals in our work - force.",XRAY_2019.pdf
We also make clinical educa - tion a priority.,XRAY_2019.pdf
"Last year, our clinical education programs reached over 470,000 people from 97 countries.",XRAY_2019.pdf
Our employees’ passion for innovation fosters our Company’s culture and brings out the best in our people.,XRAY_2019.pdf
We see our employees as our most valuable asset.,XRAY_2019.pdf
"Their health, safety and development are a priority and critically important to our future success.",XRAY_2019.pdf
"We make their voices heard, as each individual contribution is vital to shaping the future of our Company and better serving our customers.",XRAY_2019.pdf
Dentsply Sirona’s executive team continues to look for new ways to strengthen our CSR initiatives and build even greater trust among all of our stakeholders.,XRAY_2019.pdf
"The 2019 CSR Report shares an overview of how Dentsply Sirona and its employees are working together to make a difference: by giving back to communities, supporting local initiatives and working to improve oral health globally.",XRAY_2019.pdf
"Respectfully yours, Don Casey, Chief Executive Office r Dentsply Sirona at a Glance Commitment to innovation and education • 59 training facilities, dental academies and showrooms worldwide • Training of over 470,000 dental professionals annually • Nearly 14,800 clinical education and training courses conducted in 97 countries • More than 100 years of innovations that have helped improve dental care: - Invented CEREC - Introduced first dental X-ray unit - Developed first electric dental drill - Pioneered ultrasonic scaling - Established the gold standard for endodontic files among many other milestones Key global figures • Sales in over 120 countries • Infrastructure in more than 40 countries • More than 15,000 employees worldwide • Revenue $4 billion in Sales • Member of S&P 500® Percent of 2019 Sales by Region*Research & development • Investments of over $150 million annually • All disciplines under one roof, close to product management • ~300 scientists, engineers and software developers • Collaborative relationships with leading universities • Focused on best design, ergonomics and improved workflows for dental professionals U.S. 34% Europe 40%Rest of World 26%03 *Non-U.S. GAAP net sales, excluding precious metal content04 Together, we will build a world-class organization for a bright future.",XRAY_2019.pdf
We will deliver innovation that is substantial and supported.,XRAY_2019.pdf
We will lead in clinical education.,XRAY_2019.pdf
We will take advantage of scale.We will be responsible for creating demand for our products.We recognize there is one customer.,XRAY_2019.pdf
"Operating Principles Every day, we empower dental professionals all over the world to provide millions of patients with better dental care and make people smile.",XRAY_2019.pdf
