sentences,filename
2021 SUSTAINABILITY REPORT ENVIRONMENTAL | SOCIAL | GOVERNANCECOMPANY PROFILE Corporate Overview .................................................................. 2 Mission and Guiding Principles.,3821-1-glbl-en-2021-sustainability-report-interactive.pdf
"................................................. 2 Our Sustainability Commitment ................................................ 2 Our Approach to ESG ................................................................. 3 COVID -19 ................................................................................... 5 ENVIRONMENTAL Environmental Risk Management Policy .................................... 6 Compliance ........................................................................... 6 Continuous Improvement ...................................................... 6 Business Integration .............................................................. 6 Environment & Climate Change ............................................. 6 Health & Safety ...................................................................... 6 Communication & Education ................................................. 6 Environmental Targets .............................................................. 7 SOCIAL Talent ........................................................................................ 8 Culture Promises ....................................................................... 8 Team Member Engagement ....................................................... 8 Performance Management ........................................................ 8 Learning and Development ....................................................... 9 Global Mentoring Program ........................................................ 9 Virtual Work Support ................................................................ 9 Team Member Recognition ........................................................ 9 Talent Acquisition ...................................................................... 9 Early Career / Development Rotational Programs ...................... 9 Global Mentoring Program ........................................................ 9 Diversity, Equity & Inclusion .................................................... 10 Health, Safety & Wellness ........................................................ 10 Pay Equity ................................................................................ 10 Collective Bargaining ............................................................... 11 Discrimination Policy ................................................................ 11 Product Quality ........................................................................ 11 Supplier Code of Conduct ........................................................ 12 Supplier Social Responsibility Audits ....................................... 12 Supplier Diligence ................................................................... 12 Supplier Quality Audits ............................................................ 12Supplier Diversity Policy .......................................................... 13 Management of Risks Associated with Use of Critical Materials ................................................................. 13 Animal Testing Policy ............................................................... 13 Clinical Trial Program ............................................................... 13 Clinical Trial Transparency ....................................................... 14 Grants, Donations and Funding ............................................... 14 Zimmer Biomet Foundation ................................................. 14 Zimmer Biomet Medical Missions ........................................ 15 Zimmer Biomet Corporate Grants ........................................ 15 Advancing Diversity, Equity and Inclusion ........................... 16 Access to Healthcare ............................................................... 16 Movement is Life .................................................................. 16 Patient Privacy and Data Security ............................................ 17 Privacy ................................................................................ 17 Data Security ....................................................................... 17 Data Usage .......................................................................... 17 Ownership ........................................................................... 17 Cybersecurity .......................................................................... 18 GOVERNANCE Corporate Governance ............................................................ 19 Audit Committee ................................................................. 19 Compensation and Management Development Committee .19 Corporate Governance Committee ...................................... 20 Quality, Regulatory and Technology Committee .................. 20 Executive Compensation ......................................................... 20 Ethical Business Conduct ......................................................... 20 Countering Corruption ............................................................ 21 Whistleblower Program ........................................................... 22 Ethical Marketing .................................................................... 23 Zimmer Biomet’s Statement of Engagement on Public Policy Issues ............................................................ 23 How Zimmer Biomet Engages .................................................. 24 Industry Groups and Trade Associations .................................. 25 Political Contributions ............................................................. 25 2020 Sustainability Accounting Standards Board Index ............................................................................. 26Table of Contents *The disclosures in this report are for WholeCo Zimmer Biomet including Dental & Spine segment3 CEO INTRODUCTION Every day, the Zimmer Biomet team works towards our mission of alleviating pain and improving quality of life for people around the world.",3821-1-glbl-en-2021-sustainability-report-interactive.pdf
We also work toward being a responsible corporate citizen.,3821-1-glbl-en-2021-sustainability-report-interactive.pdf
"This Sustainability Report describes our annual accomplishments in developing a more sustainable business, reducing waste and use of natural resources, and improving the environmental performance of our operations.",3821-1-glbl-en-2021-sustainability-report-interactive.pdf
It also describes our commitment to the highest standards of patient safety and quality in our products and services and to world-class integrity and ethical business practices.,3821-1-glbl-en-2021-sustainability-report-interactive.pdf
"In 2021, we continued to make strong progress against our sustainability commitments.",3821-1-glbl-en-2021-sustainability-report-interactive.pdf
"As a company, we are increasingly focused on advancing these initiatives and even more ambitious about what we can achieve, together.",3821-1-glbl-en-2021-sustainability-report-interactive.pdf
"On behalf of all of us at Zimmer Biomet, I thank you for your support.",3821-1-glbl-en-2021-sustainability-report-interactive.pdf
I look forward to continuing to share our progress with you as we move ahead.,3821-1-glbl-en-2021-sustainability-report-interactive.pdf
"Bryan Hanson Chairman, President and CEO, Zimmer Biomet Corporate Overview Zimmer Biomet is a global medical technology leader with a comprehensive portfolio designed to maximize mobility and improve health.",3821-1-glbl-en-2021-sustainability-report-interactive.pdf
