,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"2019 GLOBAL SUSTAINABILITY REPORTCONTENTS Sustainability Overview .
","('Business_Model_Resilience', 0.23459550738334656)","('Product_Design_And_Lifecycle_Management', 0.16917051374912262)","('Supply_Chain_Management', 0.15919175744056702)","('NON-ESG', 0.23459550738334656)","('NON-ESG', 0.16917051374912262)","('NON-ESG', 0.15919175744056702)"
Line 2,"Our Business .
","('Business_Model_Resilience', 0.28659284114837646)","('Customer_Privacy', 0.1499490737915039)","('Director_Removal', 0.07373366504907608)","('NON-ESG', 0.28659284114837646)","('NON-ESG', 0.1499490737915039)","('NON-ESG', 0.07373366504907608)"
Line 3,"Corporate Governance .
","('Competitive_Behavior', 0.2577420771121979)","('Systemic_Risk_Management', 0.16401955485343933)","('Business_Ethics', 0.09896515309810638)","('NON-ESG', 0.2577420771121979)","('NON-ESG', 0.16401955485343933)","('NON-ESG', 0.09896515309810638)"
Line 4,"Sustainability at Abbott .
","('Product_Design_And_Lifecycle_Management', 0.4124208986759186)","('Supply_Chain_Management', 0.08550751954317093)","('Business_Model_Resilience', 0.06462757289409637)","('NON-ESG', 0.4124208986759186)","('NON-ESG', 0.08550751954317093)","('NON-ESG', 0.06462757289409637)"
Line 5,"Supporting the Sustainable Development Goals .
","('Human_Rights_And_Community_Relations', 0.6033405065536499)","('Ecological_Impacts', 0.07986337691545486)","('Business_Model_Resilience', 0.05616339296102524)","(['Community Relations'], 0.6033405065536499)","('NON-ESG', 0.07986337691545486)","('NON-ESG', 0.05616339296102524)"
Line 6,"COVID-19: Meeting a Global Health Challenge .
","('Access_And_Affordability', 0.2388509064912796)","('Product_Quality_And_Safety', 0.15237700939178467)","('Employee_Health_And_Safety', 0.09854226559400558)","('NON-ESG', 0.2388509064912796)","('NON-ESG', 0.15237700939178467)","('NON-ESG', 0.09854226559400558)"
Line 7,"Section 1: Promoting Ethics and Integrity .
","('Business_Ethics', 0.957015872001648)","('Competitive_Behavior', 0.004411257803440094)","('Data_Security', 0.002768311183899641)","(['Business Ethics'], 0.957015872001648)","('NON-ESG', 0.004411257803440094)","('NON-ESG', 0.002768311183899641)"
Line 8,"Integrity in All That We Do .
","('Business_Ethics', 0.9540607929229736)","('Competitive_Behavior', 0.004363919608294964)","('Data_Security', 0.0035054797772318125)","(['Business Ethics'], 0.9540607929229736)","('NON-ESG', 0.004363919608294964)","('NON-ESG', 0.0035054797772318125)"
Line 9,"Governance .
","('Management_Of_Legal_And_Regulatory_Framework', 0.35481375455856323)","('Human_Rights_And_Community_Relations', 0.21645507216453552)","('Competitive_Behavior', 0.04825617000460625)","('NON-ESG', 0.35481375455856323)","('NON-ESG', 0.21645507216453552)","('NON-ESG', 0.04825617000460625)"
Line 10,"Our Compliance Program .
","('Business_Ethics', 0.6227568984031677)","('Management_Of_Legal_And_Regulatory_Framework', 0.19719147682189941)","('Human_Rights_And_Community_Relations', 0.020562920719385147)","(['Business Ethics'], 0.6227568984031677)","('NON-ESG', 0.19719147682189941)","('NON-ESG', 0.020562920719385147)"
Line 11,"Combating Corruption and Bribery .
","('Business_Ethics', 0.9651241302490234)","('Competitive_Behavior', 0.003234578762203455)","('Data_Security', 0.0028390565421432257)","(['Business Ethics'], 0.9651241302490234)","('NON-ESG', 0.003234578762203455)","('NON-ESG', 0.0028390565421432257)"
Line 12,"Section 2: Ensuring Quality and Safety .
","('Employee_Health_And_Safety', 0.716966450214386)","('Product_Quality_And_Safety', 0.14168398082256317)","('Product_Design_And_Lifecycle_Management', 0.016787203028798103)","(['Operational Eco-Efficiency'], 0.716966450214386)","('NON-ESG', 0.14168398082256317)","('NON-ESG', 0.016787203028798103)"
Line 13,"Delivering Quality and Safety   .
","('Employee_Health_And_Safety', 0.7231744527816772)","('Critical_Incident_Risk_Management', 0.09985945373773575)","('Product_Quality_And_Safety', 0.04920078068971634)","(['Operational Eco-Efficiency'], 0.7231744527816772)","('NON-ESG', 0.09985945373773575)","('NON-ESG', 0.04920078068971634)"
Line 14,"Governance  .
","('Management_Of_Legal_And_Regulatory_Framework', 0.35481375455856323)","('Human_Rights_And_Community_Relations', 0.21645507216453552)","('Competitive_Behavior', 0.04825617000460625)","('NON-ESG', 0.35481375455856323)","('NON-ESG', 0.21645507216453552)","('NON-ESG', 0.04825617000460625)"
Line 15,"Management Approach .
","('Business_Model_Resilience', 0.265585333108902)","('Supply_Chain_Management', 0.12214446812868118)","('Systemic_Risk_Management', 0.07068470120429993)","('NON-ESG', 0.265585333108902)","('NON-ESG', 0.12214446812868118)","('NON-ESG', 0.07068470120429993)"
Line 16,"Performance Updates .
","('Business_Model_Resilience', 0.1406569480895996)","('Management_Of_Legal_And_Regulatory_Framework', 0.13920347392559052)","('Data_Security', 0.13528408110141754)","('NON-ESG', 0.1406569480895996)","('NON-ESG', 0.13920347392559052)","('NON-ESG', 0.13528408110141754)"
Line 17,"Security and Brand Protection .
","('Data_Security', 0.9153966307640076)","('Customer_Privacy', 0.011662838980555534)","('Systemic_Risk_Management', 0.007393521722406149)","(['Information Security/Cybersecurity & System Availability'], 0.9153966307640076)","('NON-ESG', 0.011662838980555534)","('NON-ESG', 0.007393521722406149)"
Line 18,"Cybersecurity .
","('Data_Security', 0.6627269983291626)","('Business_Model_Resilience', 0.06883599609136581)","('Systemic_Risk_Management', 0.044365253299474716)","(['Information Security/Cybersecurity & System Availability'], 0.6627269983291626)","('NON-ESG', 0.06883599609136581)","('NON-ESG', 0.044365253299474716)"
Line 19,"Section 3: Supporting Communities .
","('Human_Rights_And_Community_Relations', 0.8582482933998108)","('Access_And_Affordability', 0.022830061614513397)","('Ecological_Impacts', 0.014699449762701988)","(['Community Relations'], 0.8582482933998108)","('NON-ESG', 0.022830061614513397)","('NON-ESG', 0.014699449762701988)"
Line 20,"Improving Access to Healthcare .
","('Access_And_Affordability', 0.9114848971366882)","('Human_Rights_And_Community_Relations', 0.010963472537696362)","('Critical_Incident_Risk_Management', 0.00858858972787857)","(['Health Outcome Contribution'], 0.9114848971366882)","('NON-ESG', 0.010963472537696362)","('NON-ESG', 0.00858858972787857)"
Line 21,"Management Approach .
","('Business_Model_Resilience', 0.265585333108902)","('Supply_Chain_Management', 0.12214446812868118)","('Systemic_Risk_Management', 0.07068470120429993)","('NON-ESG', 0.265585333108902)","('NON-ESG', 0.12214446812868118)","('NON-ESG', 0.07068470120429993)"
Line 22,"Shared Impact .
","('Human_Rights_And_Community_Relations', 0.3107256591320038)","('Access_And_Affordability', 0.1330658197402954)","('Business_Model_Resilience', 0.06899010390043259)","('NON-ESG', 0.3107256591320038)","('NON-ESG', 0.1330658197402954)","('NON-ESG', 0.06899010390043259)"
Line 23,"Making a Positive Impact: Community Outreach .
","('Human_Rights_And_Community_Relations', 0.6528109312057495)","('Access_And_Affordability', 0.13009893894195557)","('Employee_Engagement_Inclusion_And_Diversity', 0.03805917128920555)","(['Community Relations'], 0.6528109312057495)","('NON-ESG', 0.13009893894195557)","('NON-ESG', 0.03805917128920555)"
Line 24,"Engaging Employees and Communities .
","('Human_Rights_And_Community_Relations', 0.9010475873947144)","('Employee_Engagement_Inclusion_And_Diversity', 0.017632542178034782)","('Employee_Health_And_Safety', 0.010962667874991894)","(['Community Relations'], 0.9010475873947144)","('NON-ESG', 0.017632542178034782)","('NON-ESG', 0.010962667874991894)"
