,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"2020 GLOBAL SUSTAINABILITY REPORTCOVID-19: An Ongoing Response to a Global Health Crisis .
","('Physical_Impacts_Of_Climate_Change', 0.4294552206993103)","('Systemic_Risk_Management', 0.18026870489120483)","('Critical_Incident_Risk_Management', 0.15244190394878387)","('NON-ESG', 0.4294552206993103)","('NON-ESG', 0.18026870489120483)","('NON-ESG', 0.15244190394878387)"
Line 2,"Strengthening Health Systems and Communities .
","('Human_Rights_And_Community_Relations', 0.870560884475708)","('Access_And_Affordability', 0.03568996116518974)","('Critical_Incident_Risk_Management', 0.012558650225400925)","(['Community Relations'], 0.870560884475708)","('NON-ESG', 0.03568996116518974)","('NON-ESG', 0.012558650225400925)"
Line 3,"Stopping Future Pandemics in Their Tracks .
","('Critical_Incident_Risk_Management', 0.5047767758369446)","('Business_Ethics', 0.07588648796081543)","('Air_Quality', 0.058562248945236206)","(['Risk & Crisis Management'], 0.5047767758369446)","('NON-ESG', 0.07588648796081543)","('NON-ESG', 0.058562248945236206)"
Line 4,"SUSTAINABILITY OVERVIEW  .
","('Product_Design_And_Lifecycle_Management', 0.5525414347648621)","('Supply_Chain_Management', 0.06879404932260513)","('Product_Quality_And_Safety', 0.05850980058312416)","(['Product Stewardship'], 0.5525414347648621)","('NON-ESG', 0.06879404932260513)","('NON-ESG', 0.05850980058312416)"
Line 5,"Our Customer Pledge .
","('Customer_Privacy', 0.18912062048912048)","('Data_Security', 0.13565446436405182)","('Product_Design_And_Lifecycle_Management', 0.10372716933488846)","('NON-ESG', 0.18912062048912048)","('NON-ESG', 0.13565446436405182)","('NON-ESG', 0.10372716933488846)"
Line 6,"Our Business .
","('Business_Model_Resilience', 0.28659284114837646)","('Customer_Privacy', 0.1499490737915039)","('Director_Removal', 0.07373366504907608)","('NON-ESG', 0.28659284114837646)","('NON-ESG', 0.1499490737915039)","('NON-ESG', 0.07373366504907608)"
Line 7,"Our Values .
","('Human_Rights_And_Community_Relations', 0.27166053652763367)","('Customer_Privacy', 0.08884038776159286)","('Employee_Engagement_Inclusion_And_Diversity', 0.08526818454265594)","('NON-ESG', 0.27166053652763367)","('NON-ESG', 0.08884038776159286)","('NON-ESG', 0.08526818454265594)"
Line 8,"Our 2030 Sustainability Plan .
","('Business_Model_Resilience', 0.4219835698604584)","('Product_Design_And_Lifecycle_Management', 0.14124125242233276)","('Physical_Impacts_Of_Climate_Change', 0.07922299951314926)","('NON-ESG', 0.4219835698604584)","('NON-ESG', 0.14124125242233276)","('NON-ESG', 0.07922299951314926)"
Line 9,"Corporate Governance .
","('Competitive_Behavior', 0.2577420771121979)","('Systemic_Risk_Management', 0.16401955485343933)","('Business_Ethics', 0.09896515309810638)","('NON-ESG', 0.2577420771121979)","('NON-ESG', 0.16401955485343933)","('NON-ESG', 0.09896515309810638)"
Line 10,"Our Top Priority: Innovating for Access and Affordability .
","('Access_And_Affordability', 0.8600504398345947)","('Product_Quality_And_Safety', 0.014723089523613453)","('Human_Rights_And_Community_Relations', 0.01214646827429533)","(['Health Outcome Contribution'], 0.8600504398345947)","('NON-ESG', 0.014723089523613453)","('NON-ESG', 0.01214646827429533)"
