,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"MAKING A   MEANIN GFUL   DIFF ERENCE 2019 CORPORATE    RESPONSIBILITY REPORTProduct   Innovation2020   Priorities   and GoalsWorkplace   CultureEthics and   ComplianceResponsible  Procurement and  LogisticsInnovation That  Expands   Access to CareEmployee   Health   and SafetyOperationsServing Our  CommunitiesIntroduction BAXTER 2019 CORPORATE RESPONSIBILITY REPORT TABLE OF CONTENTS 3  INTRODUCTION 3 From the Chairman and CEO 4 Company Profile 5 Corporate Responsibility 7  BAXTER 2020    CORPORATE RESPONSIBILITY    PRIORITIES AND GOALS  9 PRODUCT INNOVATION 9 Patient Safety and Quality 11 Sustainable Design 12 Materials Use 13 Product End-of-Life 15 WORKPLACE CULTURE 15 Global Inclusion and Diversity 18 Employee Engagement 19 Compensation and Benefits 19 Workplace Flexibility 20 ETHICS AND COMPLIANCE  20 Companywide Accountability 21 Ethics and Compliance Training 21 Third Party Program 21 Compliance Assessments 21 Compliance Monitoring 22 Relationships With Healthcare    Professionals and Government Officials 22 Ethics and Compliance Helpline 22 Privacy and Data Protection  23 EMPLOYEE HEALTH    AND SAFETY 23 Injury and Illness Performance 24 Injuries and Major Incidents 24 Driving a Culture of Safety    and Engagement 24 Health and Wellness Program    Management and Initiatives25 OPERATIONS 26 Energy 27 Water and Wastewater 28 Waste 28 GHG Emissions Across the Value Chain 29 GHG Emissions From Operations 29 Air Emissions 30 RESPONSIBLE PROCUREMENT     AND LOGISTICS 30 Responsible Procurement 33 Green Logistics 34 INNOVATION THAT EXPANDS     ACCESS TO CARE 34 Product Donations  35 The Baxter International Foundation 36 Collaborating to Improve Healthcare 38 SERVING OUR COMMUNITIES 38 Supporting Access to Clean Water    and Community Wellness 39 Fostering Tomorrow’s Innovation    Through STEM 39 #BaxterGivesBack:     Employee Volunteerism and Giving 40 Summary of 2019 Giving 41 APPENDIX 41 About This Report and Recognition 42 2018 Materiality Assessment Findings 43 Baxter Data Summary 45 Baxter Value Chain Energy Usage    and GHG Emissions 46 Baxter Facilities with ISO 14001,    OHSAS 18001, ISO 50001    and Green Building Certifications 47 Independent Assurance Statement 48 Global Reporting Initiative Index 51 EndnotesAssurance and Verification  Apex Companies LLC (Apex) verified  Baxter’s Scope 1, 2 and 3 greenhouse gas  emissions.
","('Employee_Health_And_Safety', 0.17515771090984344)","('Human_Rights_And_Community_Relations', 0.1468941569328308)","('Product_Quality_And_Safety', 0.11225035041570663)","('NON-ESG', 0.17515771090984344)","('NON-ESG', 0.1468941569328308)","('NON-ESG', 0.11225035041570663)"
Line 2,"MAKING A   MEANIN GFUL   DIFF ERENCE 2019 CORPORATE    RESPONSIBILITY REPORTProduct   Innovation2020   Priorities   and GoalsWorkplace   CultureEthics and   ComplianceResponsible  Procurement and  LogisticsInnovation That  Expands   Access to CareEmployee   Health   and SafetyOperationsServing Our  CommunitiesIntroduction BAXTER 2019 CORPORATE RESPONSIBILITY REPORT TABLE OF CONTENTS 3  INTRODUCTION 3 From the Chairman and CEO 4 Company Profile 5 Corporate Responsibility 7  BAXTER 2020    CORPORATE RESPONSIBILITY    PRIORITIES AND GOALS  9 PRODUCT INNOVATION 9 Patient Safety and Quality 11 Sustainable Design 12 Materials Use 13 Product End-of-Life 15 WORKPLACE CULTURE 15 Global Inclusion and Diversity 18 Employee Engagement 19 Compensation and Benefits 19 Workplace Flexibility 20 ETHICS AND COMPLIANCE  20 Companywide Accountability 21 Ethics and Compliance Training 21 Third Party Program 21 Compliance Assessments 21 Compliance Monitoring 22 Relationships With Healthcare    Professionals and Government Officials 22 Ethics and Compliance Helpline 22 Privacy and Data Protection  23 EMPLOYEE HEALTH    AND SAFETY 23 Injury and Illness Performance 24 Injuries and Major Incidents 24 Driving a Culture of Safety    and Engagement 24 Health and Wellness Program    Management and Initiatives25 OPERATIONS 26 Energy 27 Water and Wastewater 28 Waste 28 GHG Emissions Across the Value Chain 29 GHG Emissions From Operations 29 Air Emissions 30 RESPONSIBLE PROCUREMENT     AND LOGISTICS 30 Responsible Procurement 33 Green Logistics 34 INNOVATION THAT EXPANDS     ACCESS TO CARE 34 Product Donations  35 The Baxter International Foundation 36 Collaborating to Improve Healthcare 38 SERVING OUR COMMUNITIES 38 Supporting Access to Clean Water    and Community Wellness 39 Fostering Tomorrow’s Innovation    Through STEM 39 #BaxterGivesBack:     Employee Volunteerism and Giving 40 Summary of 2019 Giving 41 APPENDIX 41 About This Report and Recognition 42 2018 Materiality Assessment Findings 43 Baxter Data Summary 45 Baxter Value Chain Energy Usage    and GHG Emissions 46 Baxter Facilities with ISO 14001,    OHSAS 18001, ISO 50001    and Green Building Certifications 47 Independent Assurance Statement 48 Global Reporting Initiative Index 51 EndnotesAssurance and Verification  Apex Companies LLC (Apex) verified  Baxter’s Scope 1, 2 and 3 greenhouse gas  emissions.
","('Business_Ethics', 0.7877303957939148)","('Product_Quality_And_Safety', 0.05901387706398964)","('Employee_Engagement_Inclusion_And_Diversity', 0.02646729163825512)","(['Business Ethics'], 0.7877303957939148)","('NON-ESG', 0.05901387706398964)","('NON-ESG', 0.02646729163825512)"
Line 3,"MAKING A   MEANIN GFUL   DIFF ERENCE 2019 CORPORATE    RESPONSIBILITY REPORTProduct   Innovation2020   Priorities   and GoalsWorkplace   CultureEthics and   ComplianceResponsible  Procurement and  LogisticsInnovation That  Expands   Access to CareEmployee   Health   and SafetyOperationsServing Our  CommunitiesIntroduction BAXTER 2019 CORPORATE RESPONSIBILITY REPORT TABLE OF CONTENTS 3  INTRODUCTION 3 From the Chairman and CEO 4 Company Profile 5 Corporate Responsibility 7  BAXTER 2020    CORPORATE RESPONSIBILITY    PRIORITIES AND GOALS  9 PRODUCT INNOVATION 9 Patient Safety and Quality 11 Sustainable Design 12 Materials Use 13 Product End-of-Life 15 WORKPLACE CULTURE 15 Global Inclusion and Diversity 18 Employee Engagement 19 Compensation and Benefits 19 Workplace Flexibility 20 ETHICS AND COMPLIANCE  20 Companywide Accountability 21 Ethics and Compliance Training 21 Third Party Program 21 Compliance Assessments 21 Compliance Monitoring 22 Relationships With Healthcare    Professionals and Government Officials 22 Ethics and Compliance Helpline 22 Privacy and Data Protection  23 EMPLOYEE HEALTH    AND SAFETY 23 Injury and Illness Performance 24 Injuries and Major Incidents 24 Driving a Culture of Safety    and Engagement 24 Health and Wellness Program    Management and Initiatives25 OPERATIONS 26 Energy 27 Water and Wastewater 28 Waste 28 GHG Emissions Across the Value Chain 29 GHG Emissions From Operations 29 Air Emissions 30 RESPONSIBLE PROCUREMENT     AND LOGISTICS 30 Responsible Procurement 33 Green Logistics 34 INNOVATION THAT EXPANDS     ACCESS TO CARE 34 Product Donations  35 The Baxter International Foundation 36 Collaborating to Improve Healthcare 38 SERVING OUR COMMUNITIES 38 Supporting Access to Clean Water    and Community Wellness 39 Fostering Tomorrow’s Innovation    Through STEM 39 #BaxterGivesBack:     Employee Volunteerism and Giving 40 Summary of 2019 Giving 41 APPENDIX 41 About This Report and Recognition 42 2018 Materiality Assessment Findings 43 Baxter Data Summary 45 Baxter Value Chain Energy Usage    and GHG Emissions 46 Baxter Facilities with ISO 14001,    OHSAS 18001, ISO 50001    and Green Building Certifications 47 Independent Assurance Statement 48 Global Reporting Initiative Index 51 EndnotesAssurance and Verification  Apex Companies LLC (Apex) verified  Baxter’s Scope 1, 2 and 3 greenhouse gas  emissions.
","('Employee_Health_And_Safety', 0.9705138206481934)","('Air_Quality', 0.00292382319457829)","('Critical_Incident_Risk_Management', 0.002383033512160182)","(['Operational Eco-Efficiency'], 0.9705138206481934)","('NON-ESG', 0.00292382319457829)","('NON-ESG', 0.002383033512160182)"
Line 4,"MAKING A   MEANIN GFUL   DIFF ERENCE 2019 CORPORATE    RESPONSIBILITY REPORTProduct   Innovation2020   Priorities   and GoalsWorkplace   CultureEthics and   ComplianceResponsible  Procurement and  LogisticsInnovation That  Expands   Access to CareEmployee   Health   and SafetyOperationsServing Our  CommunitiesIntroduction BAXTER 2019 CORPORATE RESPONSIBILITY REPORT TABLE OF CONTENTS 3  INTRODUCTION 3 From the Chairman and CEO 4 Company Profile 5 Corporate Responsibility 7  BAXTER 2020    CORPORATE RESPONSIBILITY    PRIORITIES AND GOALS  9 PRODUCT INNOVATION 9 Patient Safety and Quality 11 Sustainable Design 12 Materials Use 13 Product End-of-Life 15 WORKPLACE CULTURE 15 Global Inclusion and Diversity 18 Employee Engagement 19 Compensation and Benefits 19 Workplace Flexibility 20 ETHICS AND COMPLIANCE  20 Companywide Accountability 21 Ethics and Compliance Training 21 Third Party Program 21 Compliance Assessments 21 Compliance Monitoring 22 Relationships With Healthcare    Professionals and Government Officials 22 Ethics and Compliance Helpline 22 Privacy and Data Protection  23 EMPLOYEE HEALTH    AND SAFETY 23 Injury and Illness Performance 24 Injuries and Major Incidents 24 Driving a Culture of Safety    and Engagement 24 Health and Wellness Program    Management and Initiatives25 OPERATIONS 26 Energy 27 Water and Wastewater 28 Waste 28 GHG Emissions Across the Value Chain 29 GHG Emissions From Operations 29 Air Emissions 30 RESPONSIBLE PROCUREMENT     AND LOGISTICS 30 Responsible Procurement 33 Green Logistics 34 INNOVATION THAT EXPANDS     ACCESS TO CARE 34 Product Donations  35 The Baxter International Foundation 36 Collaborating to Improve Healthcare 38 SERVING OUR COMMUNITIES 38 Supporting Access to Clean Water    and Community Wellness 39 Fostering Tomorrow’s Innovation    Through STEM 39 #BaxterGivesBack:     Employee Volunteerism and Giving 40 Summary of 2019 Giving 41 APPENDIX 41 About This Report and Recognition 42 2018 Materiality Assessment Findings 43 Baxter Data Summary 45 Baxter Value Chain Energy Usage    and GHG Emissions 46 Baxter Facilities with ISO 14001,    OHSAS 18001, ISO 50001    and Green Building Certifications 47 Independent Assurance Statement 48 Global Reporting Initiative Index 51 EndnotesAssurance and Verification  Apex Companies LLC (Apex) verified  Baxter’s Scope 1, 2 and 3 greenhouse gas  emissions.
","('Access_And_Affordability', 0.6560661792755127)","('Human_Rights_And_Community_Relations', 0.13514737784862518)","('Employee_Health_And_Safety', 0.0331534706056118)","(['Health Outcome Contribution'], 0.6560661792755127)","('NON-ESG', 0.13514737784862518)","('NON-ESG', 0.0331534706056118)"
Line 5,"MAKING A   MEANIN GFUL   DIFF ERENCE 2019 CORPORATE    RESPONSIBILITY REPORTProduct   Innovation2020   Priorities   and GoalsWorkplace   CultureEthics and   ComplianceResponsible  Procurement and  LogisticsInnovation That  Expands   Access to CareEmployee   Health   and SafetyOperationsServing Our  CommunitiesIntroduction BAXTER 2019 CORPORATE RESPONSIBILITY REPORT TABLE OF CONTENTS 3  INTRODUCTION 3 From the Chairman and CEO 4 Company Profile 5 Corporate Responsibility 7  BAXTER 2020    CORPORATE RESPONSIBILITY    PRIORITIES AND GOALS  9 PRODUCT INNOVATION 9 Patient Safety and Quality 11 Sustainable Design 12 Materials Use 13 Product End-of-Life 15 WORKPLACE CULTURE 15 Global Inclusion and Diversity 18 Employee Engagement 19 Compensation and Benefits 19 Workplace Flexibility 20 ETHICS AND COMPLIANCE  20 Companywide Accountability 21 Ethics and Compliance Training 21 Third Party Program 21 Compliance Assessments 21 Compliance Monitoring 22 Relationships With Healthcare    Professionals and Government Officials 22 Ethics and Compliance Helpline 22 Privacy and Data Protection  23 EMPLOYEE HEALTH    AND SAFETY 23 Injury and Illness Performance 24 Injuries and Major Incidents 24 Driving a Culture of Safety    and Engagement 24 Health and Wellness Program    Management and Initiatives25 OPERATIONS 26 Energy 27 Water and Wastewater 28 Waste 28 GHG Emissions Across the Value Chain 29 GHG Emissions From Operations 29 Air Emissions 30 RESPONSIBLE PROCUREMENT     AND LOGISTICS 30 Responsible Procurement 33 Green Logistics 34 INNOVATION THAT EXPANDS     ACCESS TO CARE 34 Product Donations  35 The Baxter International Foundation 36 Collaborating to Improve Healthcare 38 SERVING OUR COMMUNITIES 38 Supporting Access to Clean Water    and Community Wellness 39 Fostering Tomorrow’s Innovation    Through STEM 39 #BaxterGivesBack:     Employee Volunteerism and Giving 40 Summary of 2019 Giving 41 APPENDIX 41 About This Report and Recognition 42 2018 Materiality Assessment Findings 43 Baxter Data Summary 45 Baxter Value Chain Energy Usage    and GHG Emissions 46 Baxter Facilities with ISO 14001,    OHSAS 18001, ISO 50001    and Green Building Certifications 47 Independent Assurance Statement 48 Global Reporting Initiative Index 51 EndnotesAssurance and Verification  Apex Companies LLC (Apex) verified  Baxter’s Scope 1, 2 and 3 greenhouse gas  emissions.
","('GHG_Emissions', 0.9686928391456604)","('Air_Quality', 0.004052258562296629)","('Ecological_Impacts', 0.003568340092897415)","(['Climate Change'], 0.9686928391456604)","('NON-ESG', 0.004052258562296629)","('NON-ESG', 0.003568340092897415)"
Line 6,"See verification statement .
","('Management_Of_Legal_And_Regulatory_Framework', 0.31611311435699463)","('Human_Rights_And_Community_Relations', 0.12202560156583786)","('Competitive_Behavior', 0.07404723763465881)","('NON-ESG', 0.31611311435699463)","('NON-ESG', 0.12202560156583786)","('NON-ESG', 0.07404723763465881)"
Line 7,"Apex also assured the following sections of the report:  • Product Innovation (except Patient Safety   and Quality)  • Employee Health and Safety  • Operations  • Responsible Procurement and Logistics  • Baxter World Environment Week content in the  Serving Our Communities section  • Related material in the Appendix: Baxter Data   Summary ; Baxter Value Chain Energy Usage and    GHG Emissions ; and Baxter Facilities with    ISO 14001, OHSAS 18001, ISO 50001 and Green    Building Certifications   See assurance statements in English  and Spanish .
","('Product_Quality_And_Safety', 0.5222105383872986)","('Product_Design_And_Lifecycle_Management', 0.19342975318431854)","('GHG_Emissions', 0.04318010434508324)","(['Product Quality & Recall Management'], 0.5222105383872986)","('NON-ESG', 0.19342975318431854)","('NON-ESG', 0.04318010434508324)"
Line 8,"Apex also assured the following sections of the report:  • Product Innovation (except Patient Safety   and Quality)  • Employee Health and Safety  • Operations  • Responsible Procurement and Logistics  • Baxter World Environment Week content in the  Serving Our Communities section  • Related material in the Appendix: Baxter Data   Summary ; Baxter Value Chain Energy Usage and    GHG Emissions ; and Baxter Facilities with    ISO 14001, OHSAS 18001, ISO 50001 and Green    Building Certifications   See assurance statements in English  and Spanish .
","('Management_Of_Legal_And_Regulatory_Framework', 0.2725675404071808)","('Business_Ethics', 0.11894220113754272)","('Competitive_Behavior', 0.06532665342092514)","('NON-ESG', 0.2725675404071808)","('NON-ESG', 0.11894220113754272)","('NON-ESG', 0.06532665342092514)"
Line 9,"Most of the financial data included in the Baxter   Data Summary  are taken from the audited  consolidated financial statements contained in  the Baxter International Inc.
","('Management_Of_Legal_And_Regulatory_Framework', 0.42108649015426636)","('Systemic_Risk_Management', 0.2085205763578415)","('Business_Ethics', 0.0510159395635128)","('NON-ESG', 0.42108649015426636)","('NON-ESG', 0.2085205763578415)","('NON-ESG', 0.0510159395635128)"
Line 10,"2019 Annual Report .
","('Business_Model_Resilience', 0.1694282740354538)","('Management_Of_Legal_And_Regulatory_Framework', 0.14556649327278137)","('Physical_Impacts_Of_Climate_Change', 0.10747735947370529)","('NON-ESG', 0.1694282740354538)","('NON-ESG', 0.14556649327278137)","('NON-ESG', 0.10747735947370529)"
