,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"Making a   Meaningful   Difference 2020 CORPORATE    RESPONSIBILITY REPORTProduct  InnovationWorkplace  CultureEthics and  ComplianceAppendix Innovation  That Expands  Access to CareServing Our  CommunitiesEmployee  Health and  SafetyResponsible  Procurement  and LogisticsOperations 2030  Commitment  and Goals2020  Priorities  and GoalsIntroduction Contents 3  INTRODUCTION 3 From the Chairman and CEO 4 COVID-19: Saving and Sustaining Lives    During a Global Pandemic 5 Advancing Racial Justice 6 Company Profile 7 Corporate Responsibility 11  BAXTER'S 2020 CORPORATE     RESPONSIBILITY PRIORITIES    AND GOALS 13  BAXTER'S 2030 CORPORATE     RESPONSIBILITY COMMITMENT    AND GOALS   14 PRODUCT INNOVATION 14 Patient Safety and Quality 16 Sustainable Design 17 Materials Use 19 Product End-of-Life 21 WORKPLACE CULTURE 21 Global Inclusion and Diversity 24 Employee Engagement 26 Compensation and Benefits 26 Workplace Flexibility 27 ETHICS AND COMPLIANCE   27 Companywide Accountability 28 Ethics and Compliance Training 28 Third Party Program 28 Compliance Assessments 28 Compliance Monitoring 29 Relationships With Healthcare Professionals    and Government Officials 29 Ethics and Compliance Helpline 30 Privacy and Data Protection  31 EMPLOYEE HEALTH AND SAFETY 31 Injury and Illness Performance 32 Injuries and Major Incidents 32 Driving a Culture of Safety and Engagement 32 Health and Wellness Program Management    and Initiatives33 OPERATIONS 34 Environmental, Health and Safety    Performance 34 Energy 35 Water and Wastewater 36 Waste 36 GHG Emissions Across the Value Chain 37 GHG Emissions From Operations 37 Air Emissions 38 RESPONSIBLE PROCUREMENT     AND LOGISTICS 38 Responsible Procurement 41 Green Logistics 43 INNOVATION THAT EXPANDS     ACCESS TO CARE 43 Product Donations  45 The Baxter International Foundation 46 Collaborating to Improve Healthcare 49 SERVING OUR COMMUNITIES 49 Supporting Access to Clean Water and     Community Resilience 50 Fostering Tomorrow’s Innovation Through STEM 51 #BaxterGivesBack: Employee Volunteerism     and Giving 52 Summary of 2020 Giving 53 APPENDIX 53 About This Report 54 Materiality Assessment Findings 55 Baxter Data Summary 58 Baxter Value Chain Energy Usage and    GHG Emissions 59 Baxter Facilities with ISO 14001, ISO 45001,    ISO 50001 and Green Building Certifications 60 Independent Assurance Statement 61 Sustainability Accounting Standards    Board Index 64 Global Reporting Initiative Index  67 EndnotesASSURANCE AND VERIFICATION  Apex Companies LLC (Apex) verified  Baxter’s Scope 1, 2 and 3 greenhouse  gas emissions.
","('Employee_Health_And_Safety', 0.7417070269584656)","('Access_And_Affordability', 0.06797574460506439)","('Product_Quality_And_Safety', 0.030464353039860725)","(['Operational Eco-Efficiency'], 0.7417070269584656)","('NON-ESG', 0.06797574460506439)","('NON-ESG', 0.030464353039860725)"
Line 2,"Making a   Meaningful   Difference 2020 CORPORATE    RESPONSIBILITY REPORTProduct  InnovationWorkplace  CultureEthics and  ComplianceAppendix Innovation  That Expands  Access to CareServing Our  CommunitiesEmployee  Health and  SafetyResponsible  Procurement  and LogisticsOperations 2030  Commitment  and Goals2020  Priorities  and GoalsIntroduction Contents 3  INTRODUCTION 3 From the Chairman and CEO 4 COVID-19: Saving and Sustaining Lives    During a Global Pandemic 5 Advancing Racial Justice 6 Company Profile 7 Corporate Responsibility 11  BAXTER'S 2020 CORPORATE     RESPONSIBILITY PRIORITIES    AND GOALS 13  BAXTER'S 2030 CORPORATE     RESPONSIBILITY COMMITMENT    AND GOALS   14 PRODUCT INNOVATION 14 Patient Safety and Quality 16 Sustainable Design 17 Materials Use 19 Product End-of-Life 21 WORKPLACE CULTURE 21 Global Inclusion and Diversity 24 Employee Engagement 26 Compensation and Benefits 26 Workplace Flexibility 27 ETHICS AND COMPLIANCE   27 Companywide Accountability 28 Ethics and Compliance Training 28 Third Party Program 28 Compliance Assessments 28 Compliance Monitoring 29 Relationships With Healthcare Professionals    and Government Officials 29 Ethics and Compliance Helpline 30 Privacy and Data Protection  31 EMPLOYEE HEALTH AND SAFETY 31 Injury and Illness Performance 32 Injuries and Major Incidents 32 Driving a Culture of Safety and Engagement 32 Health and Wellness Program Management    and Initiatives33 OPERATIONS 34 Environmental, Health and Safety    Performance 34 Energy 35 Water and Wastewater 36 Waste 36 GHG Emissions Across the Value Chain 37 GHG Emissions From Operations 37 Air Emissions 38 RESPONSIBLE PROCUREMENT     AND LOGISTICS 38 Responsible Procurement 41 Green Logistics 43 INNOVATION THAT EXPANDS     ACCESS TO CARE 43 Product Donations  45 The Baxter International Foundation 46 Collaborating to Improve Healthcare 49 SERVING OUR COMMUNITIES 49 Supporting Access to Clean Water and     Community Resilience 50 Fostering Tomorrow’s Innovation Through STEM 51 #BaxterGivesBack: Employee Volunteerism     and Giving 52 Summary of 2020 Giving 53 APPENDIX 53 About This Report 54 Materiality Assessment Findings 55 Baxter Data Summary 58 Baxter Value Chain Energy Usage and    GHG Emissions 59 Baxter Facilities with ISO 14001, ISO 45001,    ISO 50001 and Green Building Certifications 60 Independent Assurance Statement 61 Sustainability Accounting Standards    Board Index 64 Global Reporting Initiative Index  67 EndnotesASSURANCE AND VERIFICATION  Apex Companies LLC (Apex) verified  Baxter’s Scope 1, 2 and 3 greenhouse  gas emissions.
","('Business_Ethics', 0.6046351790428162)","('Employee_Engagement_Inclusion_And_Diversity', 0.14860504865646362)","('Employee_Health_And_Safety', 0.03550775349140167)","(['Business Ethics'], 0.6046351790428162)","('NON-ESG', 0.14860504865646362)","('NON-ESG', 0.03550775349140167)"
Line 3,"Making a   Meaningful   Difference 2020 CORPORATE    RESPONSIBILITY REPORTProduct  InnovationWorkplace  CultureEthics and  ComplianceAppendix Innovation  That Expands  Access to CareServing Our  CommunitiesEmployee  Health and  SafetyResponsible  Procurement  and LogisticsOperations 2030  Commitment  and Goals2020  Priorities  and GoalsIntroduction Contents 3  INTRODUCTION 3 From the Chairman and CEO 4 COVID-19: Saving and Sustaining Lives    During a Global Pandemic 5 Advancing Racial Justice 6 Company Profile 7 Corporate Responsibility 11  BAXTER'S 2020 CORPORATE     RESPONSIBILITY PRIORITIES    AND GOALS 13  BAXTER'S 2030 CORPORATE     RESPONSIBILITY COMMITMENT    AND GOALS   14 PRODUCT INNOVATION 14 Patient Safety and Quality 16 Sustainable Design 17 Materials Use 19 Product End-of-Life 21 WORKPLACE CULTURE 21 Global Inclusion and Diversity 24 Employee Engagement 26 Compensation and Benefits 26 Workplace Flexibility 27 ETHICS AND COMPLIANCE   27 Companywide Accountability 28 Ethics and Compliance Training 28 Third Party Program 28 Compliance Assessments 28 Compliance Monitoring 29 Relationships With Healthcare Professionals    and Government Officials 29 Ethics and Compliance Helpline 30 Privacy and Data Protection  31 EMPLOYEE HEALTH AND SAFETY 31 Injury and Illness Performance 32 Injuries and Major Incidents 32 Driving a Culture of Safety and Engagement 32 Health and Wellness Program Management    and Initiatives33 OPERATIONS 34 Environmental, Health and Safety    Performance 34 Energy 35 Water and Wastewater 36 Waste 36 GHG Emissions Across the Value Chain 37 GHG Emissions From Operations 37 Air Emissions 38 RESPONSIBLE PROCUREMENT     AND LOGISTICS 38 Responsible Procurement 41 Green Logistics 43 INNOVATION THAT EXPANDS     ACCESS TO CARE 43 Product Donations  45 The Baxter International Foundation 46 Collaborating to Improve Healthcare 49 SERVING OUR COMMUNITIES 49 Supporting Access to Clean Water and     Community Resilience 50 Fostering Tomorrow’s Innovation Through STEM 51 #BaxterGivesBack: Employee Volunteerism     and Giving 52 Summary of 2020 Giving 53 APPENDIX 53 About This Report 54 Materiality Assessment Findings 55 Baxter Data Summary 58 Baxter Value Chain Energy Usage and    GHG Emissions 59 Baxter Facilities with ISO 14001, ISO 45001,    ISO 50001 and Green Building Certifications 60 Independent Assurance Statement 61 Sustainability Accounting Standards    Board Index 64 Global Reporting Initiative Index  67 EndnotesASSURANCE AND VERIFICATION  Apex Companies LLC (Apex) verified  Baxter’s Scope 1, 2 and 3 greenhouse  gas emissions.
","('Employee_Health_And_Safety', 0.9838356971740723)","('Employee_Engagement_Inclusion_And_Diversity', 0.0016319724963977933)","('Critical_Incident_Risk_Management', 0.001409315038472414)","(['Operational Eco-Efficiency'], 0.9838356971740723)","('NON-ESG', 0.0016319724963977933)","('NON-ESG', 0.001409315038472414)"
Line 4,"Making a   Meaningful   Difference 2020 CORPORATE    RESPONSIBILITY REPORTProduct  InnovationWorkplace  CultureEthics and  ComplianceAppendix Innovation  That Expands  Access to CareServing Our  CommunitiesEmployee  Health and  SafetyResponsible  Procurement  and LogisticsOperations 2030  Commitment  and Goals2020  Priorities  and GoalsIntroduction Contents 3  INTRODUCTION 3 From the Chairman and CEO 4 COVID-19: Saving and Sustaining Lives    During a Global Pandemic 5 Advancing Racial Justice 6 Company Profile 7 Corporate Responsibility 11  BAXTER'S 2020 CORPORATE     RESPONSIBILITY PRIORITIES    AND GOALS 13  BAXTER'S 2030 CORPORATE     RESPONSIBILITY COMMITMENT    AND GOALS   14 PRODUCT INNOVATION 14 Patient Safety and Quality 16 Sustainable Design 17 Materials Use 19 Product End-of-Life 21 WORKPLACE CULTURE 21 Global Inclusion and Diversity 24 Employee Engagement 26 Compensation and Benefits 26 Workplace Flexibility 27 ETHICS AND COMPLIANCE   27 Companywide Accountability 28 Ethics and Compliance Training 28 Third Party Program 28 Compliance Assessments 28 Compliance Monitoring 29 Relationships With Healthcare Professionals    and Government Officials 29 Ethics and Compliance Helpline 30 Privacy and Data Protection  31 EMPLOYEE HEALTH AND SAFETY 31 Injury and Illness Performance 32 Injuries and Major Incidents 32 Driving a Culture of Safety and Engagement 32 Health and Wellness Program Management    and Initiatives33 OPERATIONS 34 Environmental, Health and Safety    Performance 34 Energy 35 Water and Wastewater 36 Waste 36 GHG Emissions Across the Value Chain 37 GHG Emissions From Operations 37 Air Emissions 38 RESPONSIBLE PROCUREMENT     AND LOGISTICS 38 Responsible Procurement 41 Green Logistics 43 INNOVATION THAT EXPANDS     ACCESS TO CARE 43 Product Donations  45 The Baxter International Foundation 46 Collaborating to Improve Healthcare 49 SERVING OUR COMMUNITIES 49 Supporting Access to Clean Water and     Community Resilience 50 Fostering Tomorrow’s Innovation Through STEM 51 #BaxterGivesBack: Employee Volunteerism     and Giving 52 Summary of 2020 Giving 53 APPENDIX 53 About This Report 54 Materiality Assessment Findings 55 Baxter Data Summary 58 Baxter Value Chain Energy Usage and    GHG Emissions 59 Baxter Facilities with ISO 14001, ISO 45001,    ISO 50001 and Green Building Certifications 60 Independent Assurance Statement 61 Sustainability Accounting Standards    Board Index 64 Global Reporting Initiative Index  67 EndnotesASSURANCE AND VERIFICATION  Apex Companies LLC (Apex) verified  Baxter’s Scope 1, 2 and 3 greenhouse  gas emissions.
","('GHG_Emissions', 0.7559565305709839)","('Air_Quality', 0.14195187389850616)","('Energy_Management', 0.013176623731851578)","(['Climate Change'], 0.7559565305709839)","('NON-ESG', 0.14195187389850616)","('NON-ESG', 0.013176623731851578)"
Line 5,"Making a   Meaningful   Difference 2020 CORPORATE    RESPONSIBILITY REPORTProduct  InnovationWorkplace  CultureEthics and  ComplianceAppendix Innovation  That Expands  Access to CareServing Our  CommunitiesEmployee  Health and  SafetyResponsible  Procurement  and LogisticsOperations 2030  Commitment  and Goals2020  Priorities  and GoalsIntroduction Contents 3  INTRODUCTION 3 From the Chairman and CEO 4 COVID-19: Saving and Sustaining Lives    During a Global Pandemic 5 Advancing Racial Justice 6 Company Profile 7 Corporate Responsibility 11  BAXTER'S 2020 CORPORATE     RESPONSIBILITY PRIORITIES    AND GOALS 13  BAXTER'S 2030 CORPORATE     RESPONSIBILITY COMMITMENT    AND GOALS   14 PRODUCT INNOVATION 14 Patient Safety and Quality 16 Sustainable Design 17 Materials Use 19 Product End-of-Life 21 WORKPLACE CULTURE 21 Global Inclusion and Diversity 24 Employee Engagement 26 Compensation and Benefits 26 Workplace Flexibility 27 ETHICS AND COMPLIANCE   27 Companywide Accountability 28 Ethics and Compliance Training 28 Third Party Program 28 Compliance Assessments 28 Compliance Monitoring 29 Relationships With Healthcare Professionals    and Government Officials 29 Ethics and Compliance Helpline 30 Privacy and Data Protection  31 EMPLOYEE HEALTH AND SAFETY 31 Injury and Illness Performance 32 Injuries and Major Incidents 32 Driving a Culture of Safety and Engagement 32 Health and Wellness Program Management    and Initiatives33 OPERATIONS 34 Environmental, Health and Safety    Performance 34 Energy 35 Water and Wastewater 36 Waste 36 GHG Emissions Across the Value Chain 37 GHG Emissions From Operations 37 Air Emissions 38 RESPONSIBLE PROCUREMENT     AND LOGISTICS 38 Responsible Procurement 41 Green Logistics 43 INNOVATION THAT EXPANDS     ACCESS TO CARE 43 Product Donations  45 The Baxter International Foundation 46 Collaborating to Improve Healthcare 49 SERVING OUR COMMUNITIES 49 Supporting Access to Clean Water and     Community Resilience 50 Fostering Tomorrow’s Innovation Through STEM 51 #BaxterGivesBack: Employee Volunteerism     and Giving 52 Summary of 2020 Giving 53 APPENDIX 53 About This Report 54 Materiality Assessment Findings 55 Baxter Data Summary 58 Baxter Value Chain Energy Usage and    GHG Emissions 59 Baxter Facilities with ISO 14001, ISO 45001,    ISO 50001 and Green Building Certifications 60 Independent Assurance Statement 61 Sustainability Accounting Standards    Board Index 64 Global Reporting Initiative Index  67 EndnotesASSURANCE AND VERIFICATION  Apex Companies LLC (Apex) verified  Baxter’s Scope 1, 2 and 3 greenhouse  gas emissions.
","('GHG_Emissions', 0.9633185863494873)","('Management_Of_Legal_And_Regulatory_Framework', 0.003713472280651331)","('Air_Quality', 0.0035050197038799524)","(['Climate Change'], 0.9633185863494873)","('NON-ESG', 0.003713472280651331)","('NON-ESG', 0.0035050197038799524)"
Line 6,"Making a   Meaningful   Difference 2020 CORPORATE    RESPONSIBILITY REPORTProduct  InnovationWorkplace  CultureEthics and  ComplianceAppendix Innovation  That Expands  Access to CareServing Our  CommunitiesEmployee  Health and  SafetyResponsible  Procurement  and LogisticsOperations 2030  Commitment  and Goals2020  Priorities  and GoalsIntroduction Contents 3  INTRODUCTION 3 From the Chairman and CEO 4 COVID-19: Saving and Sustaining Lives    During a Global Pandemic 5 Advancing Racial Justice 6 Company Profile 7 Corporate Responsibility 11  BAXTER'S 2020 CORPORATE     RESPONSIBILITY PRIORITIES    AND GOALS 13  BAXTER'S 2030 CORPORATE     RESPONSIBILITY COMMITMENT    AND GOALS   14 PRODUCT INNOVATION 14 Patient Safety and Quality 16 Sustainable Design 17 Materials Use 19 Product End-of-Life 21 WORKPLACE CULTURE 21 Global Inclusion and Diversity 24 Employee Engagement 26 Compensation and Benefits 26 Workplace Flexibility 27 ETHICS AND COMPLIANCE   27 Companywide Accountability 28 Ethics and Compliance Training 28 Third Party Program 28 Compliance Assessments 28 Compliance Monitoring 29 Relationships With Healthcare Professionals    and Government Officials 29 Ethics and Compliance Helpline 30 Privacy and Data Protection  31 EMPLOYEE HEALTH AND SAFETY 31 Injury and Illness Performance 32 Injuries and Major Incidents 32 Driving a Culture of Safety and Engagement 32 Health and Wellness Program Management    and Initiatives33 OPERATIONS 34 Environmental, Health and Safety    Performance 34 Energy 35 Water and Wastewater 36 Waste 36 GHG Emissions Across the Value Chain 37 GHG Emissions From Operations 37 Air Emissions 38 RESPONSIBLE PROCUREMENT     AND LOGISTICS 38 Responsible Procurement 41 Green Logistics 43 INNOVATION THAT EXPANDS     ACCESS TO CARE 43 Product Donations  45 The Baxter International Foundation 46 Collaborating to Improve Healthcare 49 SERVING OUR COMMUNITIES 49 Supporting Access to Clean Water and     Community Resilience 50 Fostering Tomorrow’s Innovation Through STEM 51 #BaxterGivesBack: Employee Volunteerism     and Giving 52 Summary of 2020 Giving 53 APPENDIX 53 About This Report 54 Materiality Assessment Findings 55 Baxter Data Summary 58 Baxter Value Chain Energy Usage and    GHG Emissions 59 Baxter Facilities with ISO 14001, ISO 45001,    ISO 50001 and Green Building Certifications 60 Independent Assurance Statement 61 Sustainability Accounting Standards    Board Index 64 Global Reporting Initiative Index  67 EndnotesASSURANCE AND VERIFICATION  Apex Companies LLC (Apex) verified  Baxter’s Scope 1, 2 and 3 greenhouse  gas emissions.
","('GHG_Emissions', 0.9661589860916138)","('Ecological_Impacts', 0.0037670356687158346)","('Air_Quality', 0.003701118053868413)","(['Climate Change'], 0.9661589860916138)","('NON-ESG', 0.0037670356687158346)","('NON-ESG', 0.003701118053868413)"
Line 7,"See verification statement.
","('Management_Of_Legal_And_Regulatory_Framework', 0.31611311435699463)","('Human_Rights_And_Community_Relations', 0.12202560156583786)","('Competitive_Behavior', 0.07404723763465881)","('NON-ESG', 0.31611311435699463)","('NON-ESG', 0.12202560156583786)","('NON-ESG', 0.07404723763465881)"
Line 8,"Apex also assured the following sections of the report:  • Product Innovation (except Patient Safety   and Quality)  • Employee Health and Safety  • Operations  • Responsible Procurement and Logistics  • Related material in the Appendix: Baxter Data  Summary ; Baxter Value Chain Energy Usage and  GHG Emissions ; and Baxter Facilities with ISO  14001, ISO 45001, ISO 50001 and Green Building  Certifications   See assurance statements in English  and Spanish .
","('Product_Quality_And_Safety', 0.5482500195503235)","('Product_Design_And_Lifecycle_Management', 0.15670736134052277)","('GHG_Emissions', 0.0486692376434803)","(['Product Quality & Recall Management'], 0.5482500195503235)","('NON-ESG', 0.15670736134052277)","('NON-ESG', 0.0486692376434803)"
Line 9,"Most of the financial data included in the    Baxter Data Summary  are taken from the audited  consolidated financial statements contained in the  Baxter International Inc.
","('Management_Of_Legal_And_Regulatory_Framework', 0.42108649015426636)","('Systemic_Risk_Management', 0.2085205763578415)","('Business_Ethics', 0.0510159395635128)","('NON-ESG', 0.42108649015426636)","('NON-ESG', 0.2085205763578415)","('NON-ESG', 0.0510159395635128)"
Line 10,"2020 Annual Report on   Form 10-K .
","('Management_Of_Legal_And_Regulatory_Framework', 0.35881057381629944)","('Access_And_Affordability', 0.1790991574525833)","('Human_Rights_And_Community_Relations', 0.07688659429550171)","('NON-ESG', 0.35881057381629944)","('NON-ESG', 0.1790991574525833)","('NON-ESG', 0.07688659429550171)"
