,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"FY 2019 Sustainability Report 2I believe that healthcare is the most consequential industry in the  world.
","('Business_Model_Resilience', 0.3257538676261902)","('Systemic_Risk_Management', 0.23081114888191223)","('Supply_Chain_Management', 0.2063949853181839)","('NON-ESG', 0.3257538676261902)","('NON-ESG', 0.23081114888191223)","('NON-ESG', 0.2063949853181839)"
Line 2,"Our work provides an opportunity to make a life-changing  difference for our customers, their patients, and the communities   we serve and in which we live and work.
","('Human_Rights_And_Community_Relations', 0.3770920932292938)","('Employee_Engagement_Inclusion_And_Diversity', 0.17360754311084747)","('Access_And_Affordability', 0.08082456141710281)","('NON-ESG', 0.3770920932292938)","('NON-ESG', 0.17360754311084747)","('NON-ESG', 0.08082456141710281)"
Line 3,"Our Purpose— advancing the  world of health ™—is as impactful as it is inspiring; it reminds us that we  all play a part in changing the world for the better, every single day.
","('Human_Rights_And_Community_Relations', 0.2937503755092621)","('Access_And_Affordability', 0.17421700060367584)","('Business_Model_Resilience', 0.09355106949806213)","('NON-ESG', 0.2937503755092621)","('NON-ESG', 0.17421700060367584)","('NON-ESG', 0.09355106949806213)"
Line 4,"With the global reach of BD comes a great deal of responsibility.
","('Human_Rights_And_Community_Relations', 0.45028945803642273)","('Access_And_Affordability', 0.15047886967658997)","('Employee_Engagement_Inclusion_And_Diversity', 0.03980280086398125)","('NON-ESG', 0.45028945803642273)","('NON-ESG', 0.15047886967658997)","('NON-ESG', 0.03980280086398125)"
Line 5,"Five  years ago, we initiated a broader and more integrated approach to  sustainability, and I am pleased with not only how far we have come,  but how that approach has enabled us to respond to the significant  social issues that have reverberated across the globe in recent months.
","('Human_Rights_And_Community_Relations', 0.9186094999313354)","('Business_Model_Resilience', 0.009457639418542385)","('Physical_Impacts_Of_Climate_Change', 0.006505154073238373)","(['Community Relations'], 0.9186094999313354)","('NON-ESG', 0.009457639418542385)","('NON-ESG', 0.006505154073238373)"
Line 6,"Our associates have rallied around our Purpose, developing innovative  diagnostic solutions for COVID-19 in record time, increasing the  availability of products used in sample collection and the treatment of  critically ill patients, and working with countries around the world to  enable the delivery of a potential COVID-19 vaccine.
","('Access_And_Affordability', 0.3349391222000122)","('Customer_Welfare', 0.13180001080036163)","('Product_Quality_And_Safety', 0.09265567362308502)","('NON-ESG', 0.3349391222000122)","('NON-ESG', 0.13180001080036163)","('NON-ESG', 0.09265567362308502)"
Line 7,"And we have  come together to have important, frank discussions about race and  equality, celebrating our differences while challenging each other to  make further progress in advancing our own culture of inclusion while  addressing the systemic inequities faced by people of color.
","('Employee_Engagement_Inclusion_And_Diversity', 0.9716392755508423)","('Human_Rights_And_Community_Relations', 0.003333629807457328)","('Employee_Health_And_Safety', 0.0022531000431627035)","(['Human Capital Development'], 0.9716392755508423)","('NON-ESG', 0.003333629807457328)","('NON-ESG', 0.0022531000431627035)"
Line 8,"We remain focused on supporting priority health needs that are  aligned with the U.N. Sustainable Development Goals (SDG) and  shared value creation—meaning how we address unmet societal  needs through business models and initiatives that also contribute to  the commercial success of BD.
","('Business_Model_Resilience', 0.38232141733169556)","('Human_Rights_And_Community_Relations', 0.2318340539932251)","('Supply_Chain_Management', 0.04729140177369118)","('NON-ESG', 0.38232141733169556)","('NON-ESG', 0.2318340539932251)","('NON-ESG', 0.04729140177369118)"
Line 9,"I am pleased to share with you the  progress we are making toward our 2020 sustainability goals.
","('Business_Model_Resilience', 0.5615549087524414)","('Product_Design_And_Lifecycle_Management', 0.056673888117074966)","('Physical_Impacts_Of_Climate_Change', 0.04899246618151665)","(['Codes of Business Conduct'], 0.5615549087524414)","('NON-ESG', 0.056673888117074966)","('NON-ESG', 0.04899246618151665)"
Line 10,"These  goals provide the framework for how we manage, and make an impact  on, the most relevant social and environmental issues for our company.
","('Human_Rights_And_Community_Relations', 0.9344555139541626)","('Business_Model_Resilience', 0.006238448433578014)","('Physical_Impacts_Of_Climate_Change', 0.005264818202704191)","(['Community Relations'], 0.9344555139541626)","('NON-ESG', 0.006238448433578014)","('NON-ESG', 0.005264818202704191)"
