,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"FY 2021    Environmental, Social  and Governance Report Together We AdvanceAppendices  Transparency Responsible supply chain Product impact Climate change Introduction Healthy workforce and communities Table of contents 3 T o our stakeholders  ESG highlights  About this r eport  About BD  About our business   Stakeholder  engagement  ESG assessment  ESG str ategy  ESG go vernance  Alignment with  UN SDGs85  A wards and recognitions   Appendices 87 En vironmental, social and  governance (ESG) issues  UN Sust ainable Development  Goals (SDGs)  Dat a tables  GRI inde x  S ASB index  T CFD disclosures  P olicies, guidelines and  statements center  A cronyms and glossary75 Transparency 76 BD c ommitment and goals  ESG r eporting governance  C orporate governance  P articipation in the  policymaking process  Ent erprise risk management  Ethics and c ompliance  Ethics in sales and mark eting  Human rights  C ybersecurity program51 Health y workforce  and communities 52 BD c ommitment and goals Human c apital management  Human c apital development  Inclusion, div ersity  and equity  C ompensation, benefits and  well-being  Good J obs Strategy  Health and saf ety  Health y communities  A dvancing healthcare access  and equity  Antimicr obial resistance  (AMR) 43 R esponsible supply  chain 44 BD c ommitment and goals R esponsible sourcing  Global supply chain33 P roduct impact 34 BD c ommitment and goals BD Sust ainable Medical  Technology Institute  (BD SMTI)  Management of mat erials  of concern  Pr oduct takeback  Pr oduct safety  Labor atory animal welfare  Medic al affairs  Global clinic al affairs23 Climate change 24 BD c ommitment and goals  Climat e change  management   Energy  W ater management  W aste management  Air emissions  En vironmental data  governance and collection  En vironmental justice  En vironment, health and  safety management2021 ESG Report2021 ESG Report Appendices Transparency Healthy workforce and communities Responsible supply chain Product impact Climate change Introduction While the pandemic challenged the way every business operates, at BD, it pushed  us to evolve to be more agile and efficient, using our scale and speed to create more innovative solutions faster than ever before.
","('Supply_Chain_Management', 0.36621567606925964)","('Physical_Impacts_Of_Climate_Change', 0.22008803486824036)","('Business_Model_Resilience', 0.11872199177742004)","('NON-ESG', 0.36621567606925964)","('NON-ESG', 0.22008803486824036)","('NON-ESG', 0.11872199177742004)"
Line 2,"FY 2021    Environmental, Social  and Governance Report Together We AdvanceAppendices  Transparency Responsible supply chain Product impact Climate change Introduction Healthy workforce and communities Table of contents 3 T o our stakeholders  ESG highlights  About this r eport  About BD  About our business   Stakeholder  engagement  ESG assessment  ESG str ategy  ESG go vernance  Alignment with  UN SDGs85  A wards and recognitions   Appendices 87 En vironmental, social and  governance (ESG) issues  UN Sust ainable Development  Goals (SDGs)  Dat a tables  GRI inde x  S ASB index  T CFD disclosures  P olicies, guidelines and  statements center  A cronyms and glossary75 Transparency 76 BD c ommitment and goals  ESG r eporting governance  C orporate governance  P articipation in the  policymaking process  Ent erprise risk management  Ethics and c ompliance  Ethics in sales and mark eting  Human rights  C ybersecurity program51 Health y workforce  and communities 52 BD c ommitment and goals Human c apital management  Human c apital development  Inclusion, div ersity  and equity  C ompensation, benefits and  well-being  Good J obs Strategy  Health and saf ety  Health y communities  A dvancing healthcare access  and equity  Antimicr obial resistance  (AMR) 43 R esponsible supply  chain 44 BD c ommitment and goals R esponsible sourcing  Global supply chain33 P roduct impact 34 BD c ommitment and goals BD Sust ainable Medical  Technology Institute  (BD SMTI)  Management of mat erials  of concern  Pr oduct takeback  Pr oduct safety  Labor atory animal welfare  Medic al affairs  Global clinic al affairs23 Climate change 24 BD c ommitment and goals  Climat e change  management   Energy  W ater management  W aste management  Air emissions  En vironmental data  governance and collection  En vironmental justice  En vironment, health and  safety management2021 ESG Report2021 ESG Report Appendices Transparency Healthy workforce and communities Responsible supply chain Product impact Climate change Introduction While the pandemic challenged the way every business operates, at BD, it pushed  us to evolve to be more agile and efficient, using our scale and speed to create more innovative solutions faster than ever before.
","('Business_Ethics', 0.9714909791946411)","('Management_Of_Legal_And_Regulatory_Framework', 0.002387196524068713)","('Competitive_Behavior', 0.002349890535697341)","(['Business Ethics'], 0.9714909791946411)","('NON-ESG', 0.002387196524068713)","('NON-ESG', 0.002349890535697341)"
Line 3,"FY 2021    Environmental, Social  and Governance Report Together We AdvanceAppendices  Transparency Responsible supply chain Product impact Climate change Introduction Healthy workforce and communities Table of contents 3 T o our stakeholders  ESG highlights  About this r eport  About BD  About our business   Stakeholder  engagement  ESG assessment  ESG str ategy  ESG go vernance  Alignment with  UN SDGs85  A wards and recognitions   Appendices 87 En vironmental, social and  governance (ESG) issues  UN Sust ainable Development  Goals (SDGs)  Dat a tables  GRI inde x  S ASB index  T CFD disclosures  P olicies, guidelines and  statements center  A cronyms and glossary75 Transparency 76 BD c ommitment and goals  ESG r eporting governance  C orporate governance  P articipation in the  policymaking process  Ent erprise risk management  Ethics and c ompliance  Ethics in sales and mark eting  Human rights  C ybersecurity program51 Health y workforce  and communities 52 BD c ommitment and goals Human c apital management  Human c apital development  Inclusion, div ersity  and equity  C ompensation, benefits and  well-being  Good J obs Strategy  Health and saf ety  Health y communities  A dvancing healthcare access  and equity  Antimicr obial resistance  (AMR) 43 R esponsible supply  chain 44 BD c ommitment and goals R esponsible sourcing  Global supply chain33 P roduct impact 34 BD c ommitment and goals BD Sust ainable Medical  Technology Institute  (BD SMTI)  Management of mat erials  of concern  Pr oduct takeback  Pr oduct safety  Labor atory animal welfare  Medic al affairs  Global clinic al affairs23 Climate change 24 BD c ommitment and goals  Climat e change  management   Energy  W ater management  W aste management  Air emissions  En vironmental data  governance and collection  En vironmental justice  En vironment, health and  safety management2021 ESG Report2021 ESG Report Appendices Transparency Healthy workforce and communities Responsible supply chain Product impact Climate change Introduction While the pandemic challenged the way every business operates, at BD, it pushed  us to evolve to be more agile and efficient, using our scale and speed to create more innovative solutions faster than ever before.
","('Supply_Chain_Management', 0.9450423717498779)","('Systemic_Risk_Management', 0.006223512347787619)","('Product_Design_And_Lifecycle_Management', 0.004532140213996172)","(['Supply Chain Management'], 0.9450423717498779)","('NON-ESG', 0.006223512347787619)","('NON-ESG', 0.004532140213996172)"
Line 4,"FY 2021    Environmental, Social  and Governance Report Together We AdvanceAppendices  Transparency Responsible supply chain Product impact Climate change Introduction Healthy workforce and communities Table of contents 3 T o our stakeholders  ESG highlights  About this r eport  About BD  About our business   Stakeholder  engagement  ESG assessment  ESG str ategy  ESG go vernance  Alignment with  UN SDGs85  A wards and recognitions   Appendices 87 En vironmental, social and  governance (ESG) issues  UN Sust ainable Development  Goals (SDGs)  Dat a tables  GRI inde x  S ASB index  T CFD disclosures  P olicies, guidelines and  statements center  A cronyms and glossary75 Transparency 76 BD c ommitment and goals  ESG r eporting governance  C orporate governance  P articipation in the  policymaking process  Ent erprise risk management  Ethics and c ompliance  Ethics in sales and mark eting  Human rights  C ybersecurity program51 Health y workforce  and communities 52 BD c ommitment and goals Human c apital management  Human c apital development  Inclusion, div ersity  and equity  C ompensation, benefits and  well-being  Good J obs Strategy  Health and saf ety  Health y communities  A dvancing healthcare access  and equity  Antimicr obial resistance  (AMR) 43 R esponsible supply  chain 44 BD c ommitment and goals R esponsible sourcing  Global supply chain33 P roduct impact 34 BD c ommitment and goals BD Sust ainable Medical  Technology Institute  (BD SMTI)  Management of mat erials  of concern  Pr oduct takeback  Pr oduct safety  Labor atory animal welfare  Medic al affairs  Global clinic al affairs23 Climate change 24 BD c ommitment and goals  Climat e change  management   Energy  W ater management  W aste management  Air emissions  En vironmental data  governance and collection  En vironmental justice  En vironment, health and  safety management2021 ESG Report2021 ESG Report Appendices Transparency Healthy workforce and communities Responsible supply chain Product impact Climate change Introduction While the pandemic challenged the way every business operates, at BD, it pushed  us to evolve to be more agile and efficient, using our scale and speed to create more innovative solutions faster than ever before.
","('Air_Quality', 0.5809741616249084)","('Product_Quality_And_Safety', 0.09248737245798111)","('Employee_Health_And_Safety', 0.07365402579307556)","(['Operational Eco-Efficiency'], 0.5809741616249084)","('NON-ESG', 0.09248737245798111)","('NON-ESG', 0.07365402579307556)"
Line 5,"FY 2021    Environmental, Social  and Governance Report Together We AdvanceAppendices  Transparency Responsible supply chain Product impact Climate change Introduction Healthy workforce and communities Table of contents 3 T o our stakeholders  ESG highlights  About this r eport  About BD  About our business   Stakeholder  engagement  ESG assessment  ESG str ategy  ESG go vernance  Alignment with  UN SDGs85  A wards and recognitions   Appendices 87 En vironmental, social and  governance (ESG) issues  UN Sust ainable Development  Goals (SDGs)  Dat a tables  GRI inde x  S ASB index  T CFD disclosures  P olicies, guidelines and  statements center  A cronyms and glossary75 Transparency 76 BD c ommitment and goals  ESG r eporting governance  C orporate governance  P articipation in the  policymaking process  Ent erprise risk management  Ethics and c ompliance  Ethics in sales and mark eting  Human rights  C ybersecurity program51 Health y workforce  and communities 52 BD c ommitment and goals Human c apital management  Human c apital development  Inclusion, div ersity  and equity  C ompensation, benefits and  well-being  Good J obs Strategy  Health and saf ety  Health y communities  A dvancing healthcare access  and equity  Antimicr obial resistance  (AMR) 43 R esponsible supply  chain 44 BD c ommitment and goals R esponsible sourcing  Global supply chain33 P roduct impact 34 BD c ommitment and goals BD Sust ainable Medical  Technology Institute  (BD SMTI)  Management of mat erials  of concern  Pr oduct takeback  Pr oduct safety  Labor atory animal welfare  Medic al affairs  Global clinic al affairs23 Climate change 24 BD c ommitment and goals  Climat e change  management   Energy  W ater management  W aste management  Air emissions  En vironmental data  governance and collection  En vironmental justice  En vironment, health and  safety management2021 ESG Report2021 ESG Report Appendices Transparency Healthy workforce and communities Responsible supply chain Product impact Climate change Introduction While the pandemic challenged the way every business operates, at BD, it pushed  us to evolve to be more agile and efficient, using our scale and speed to create more innovative solutions faster than ever before.
","('Business_Model_Resilience', 0.508194088935852)","('Product_Design_And_Lifecycle_Management', 0.11285145580768585)","('Systemic_Risk_Management', 0.07625552266836166)","(['Codes of Business Conduct'], 0.508194088935852)","('NON-ESG', 0.11285145580768585)","('NON-ESG', 0.07625552266836166)"
Line 6,"And now, we’re strengthening those muscles so we remain agile in the future and continue to deliver on our ambitious plans to accelerate the future of healthcare for decades to come.
","('Business_Model_Resilience', 0.4056605398654938)","('Access_And_Affordability', 0.09118224680423737)","('Systemic_Risk_Management', 0.07278172671794891)","('NON-ESG', 0.4056605398654938)","('NON-ESG', 0.09118224680423737)","('NON-ESG', 0.07278172671794891)"
Line 7,"As we look ahead, we’re using that same mindset as we take action to address the  most relevant environmental, social and governance (ESG) issues.
","('Human_Rights_And_Community_Relations', 0.7602099180221558)","('Business_Model_Resilience', 0.03821565955877304)","('Management_Of_Legal_And_Regulatory_Framework', 0.03771490231156349)","(['Community Relations'], 0.7602099180221558)","('NON-ESG', 0.03821565955877304)","('NON-ESG', 0.03771490231156349)"
Line 8,"We’ve made commitments that build on our Purpose of advancing the world of health TM and  focus on enhancing the stewardship of our company, planet, community and human health.
","('Human_Rights_And_Community_Relations', 0.8967228531837463)","('Access_And_Affordability', 0.018198346719145775)","('Ecological_Impacts', 0.012571518309414387)","(['Community Relations'], 0.8967228531837463)","('NON-ESG', 0.018198346719145775)","('NON-ESG', 0.012571518309414387)"
Line 9,"True to our culture, we’re delivering on these commitments today.
","('Human_Rights_And_Community_Relations', 0.48738527297973633)","('Business_Model_Resilience', 0.16826088726520538)","('Employee_Engagement_Inclusion_And_Diversity', 0.054875411093235016)","('NON-ESG', 0.48738527297973633)","('NON-ESG', 0.16826088726520538)","('NON-ESG', 0.054875411093235016)"
Line 10,"Together we advance We have strong momentum behind our BD 2025 strategy, which focuses on three pillars: GROW  through category innovations that improve customer outcomes  and reinvent the future of healthcare globally; SIMPLIFY the company and how we do business; and EMPOWER our people.
","('Business_Model_Resilience', 0.4736279249191284)","('Product_Design_And_Lifecycle_Management', 0.20627446472644806)","('Customer_Welfare', 0.056272365152835846)","('NON-ESG', 0.4736279249191284)","('NON-ESG', 0.20627446472644806)","('NON-ESG', 0.056272365152835846)"
