,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"Science.
","('Product_Design_And_Lifecycle_Management', 0.09684973210096359)","('Supply_Chain_Management', 0.06944214552640915)","('Access_And_Affordability', 0.066627137362957)","('NON-ESG', 0.09684973210096359)","('NON-ESG', 0.06944214552640915)","('NON-ESG', 0.066627137362957)"
Line 2,"Humanity.
","('Human_Rights_And_Community_Relations', 0.19511690735816956)","('Competitive_Behavior', 0.08816685527563095)","('Ecological_Impacts', 0.07323853671550751)","('NON-ESG', 0.19511690735816956)","('NON-ESG', 0.08816685527563095)","('NON-ESG', 0.07323853671550751)"
Line 3,"Purpose.
","('Director_Removal', 0.1130162701010704)","('Human_Rights_And_Community_Relations', 0.08996808528900146)","('Business_Ethics', 0.08701804280281067)","('NON-ESG', 0.1130162701010704)","('NON-ESG', 0.08996808528900146)","('NON-ESG', 0.08701804280281067)"
Line 4,"2020 PERFORMANCE REPORT	 Boston	Scientific	2020	Performance	Report		 Our Mission  Patient Spotlight Table of Contents A Message to Company Profile Transforming Care Investing in  Advancing Protecting the Creating Value      Stakeholders    Our People Possibilities Environment Responsibly Boston Scientific is   dedicated to transforming  lives through innovative  medical solutions that   improve the health of   patients around the world.
","('Access_And_Affordability', 0.5339739322662354)","('Customer_Welfare', 0.06579560041427612)","('Employee_Health_And_Safety', 0.0581400990486145)","(['Health Outcome Contribution'], 0.5339739322662354)","('NON-ESG', 0.06579560041427612)","('NON-ESG', 0.0581400990486145)"
Line 5,"When science, humanity   and purpose connect,   lives can be transformed.
","('Human_Rights_And_Community_Relations', 0.4382680058479309)","('Employee_Engagement_Inclusion_And_Diversity', 0.11768747121095657)","('Business_Model_Resilience', 0.056842878460884094)","('NON-ESG', 0.4382680058479309)","('NON-ESG', 0.11768747121095657)","('NON-ESG', 0.056842878460884094)"
Line 6,"Advancing science   for lifePURPOSE A deep caring for   human lifeHUMANITY Pushing the boundaries  of what’s possibleSCIENCE	 Boston	Scientific	2020	Performance	Report		 Our Mission  Patient Spotlight Table of Contents A Message to Company Profile Transforming Care Investing in  Advancing Protecting the Creating Value      Stakeholders    Our People Possibilities Environment Responsibly At Boston Scientific, our 2020 story unfolded through   the experiences of health care professionals, patients, our  employees and communities during a global pandemic.
","('Access_And_Affordability', 0.3868548274040222)","('Employee_Engagement_Inclusion_And_Diversity', 0.08522643148899078)","('Customer_Welfare', 0.065501369535923)","('NON-ESG', 0.3868548274040222)","('NON-ESG', 0.08522643148899078)","('NON-ESG', 0.065501369535923)"
Line 7,"Advancing science   for lifePURPOSE A deep caring for   human lifeHUMANITY Pushing the boundaries  of what’s possibleSCIENCE	 Boston	Scientific	2020	Performance	Report		 Our Mission  Patient Spotlight Table of Contents A Message to Company Profile Transforming Care Investing in  Advancing Protecting the Creating Value      Stakeholders    Our People Possibilities Environment Responsibly At Boston Scientific, our 2020 story unfolded through   the experiences of health care professionals, patients, our  employees and communities during a global pandemic.
","('Human_Rights_And_Community_Relations', 0.6798533797264099)","('Access_And_Affordability', 0.06246716156601906)","('Critical_Incident_Risk_Management', 0.05708293244242668)","(['Community Relations'], 0.6798533797264099)","('NON-ESG', 0.06246716156601906)","('NON-ESG', 0.05708293244242668)"
Line 8,"As we saw humanity tested, our people stepped up in   unforeseen ways to work safely as they served customers   and navigated the complexities of delivering critical   solutions to patients everywhere.
","('Access_And_Affordability', 0.3189327120780945)","('Product_Design_And_Lifecycle_Management', 0.09203960001468658)","('Critical_Incident_Risk_Management', 0.06380987912416458)","('NON-ESG', 0.3189327120780945)","('NON-ESG', 0.09203960001468658)","('NON-ESG', 0.06380987912416458)"
Line 9,"In a year of reckoning,   we were compelled to act — inside and outside the   company — as we came face to face with deep social  unrest, inequities and health disparities.
","('Systemic_Risk_Management', 0.9013338685035706)","('Physical_Impacts_Of_Climate_Change', 0.015424283221364021)","('Business_Model_Resilience', 0.013300666585564613)","(['Risk & Crisis Management'], 0.9013338685035706)","('NON-ESG', 0.015424283221364021)","('NON-ESG', 0.013300666585564613)"
Line 10,"Our people   cared for one another and our communities in ways never   imagined as they stayed true to our values and focused   on addressing the needs of patients.
","('Human_Rights_And_Community_Relations', 0.8711287975311279)","('Access_And_Affordability', 0.04922586306929588)","('Employee_Engagement_Inclusion_And_Diversity', 0.009143674746155739)","(['Community Relations'], 0.8711287975311279)","('NON-ESG', 0.04922586306929588)","('NON-ESG', 0.009143674746155739)"
