,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"3 A M essage from our CEO  Our S tory  R esponding to COVID- Gov ernance, Ethics, and Compliance  Our P eople  Our P roducts   Our Plane t  Our P artnerships  Dat a and Performance Introduction Responding To COVID-19 Governance, Ethics, and Compliance Our People Our Products Our Planet Our Partnerships Data and Performance  2A Message from our CEO I am proud to share our inaugural Environmental,  Social, and Governance (ESG) Report.
","('Business_Ethics', 0.9362571239471436)","('Management_Of_Legal_And_Regulatory_Framework', 0.009247071109712124)","('Director_Removal', 0.0053909639827907085)","(['Business Ethics'], 0.9362571239471436)","('NON-ESG', 0.009247071109712124)","('NON-ESG', 0.0053909639827907085)"
Line 2,"We believe that operating with integrity and conducting our business in a socially and environmentally responsible manner is critical to our long-term success.
","('Human_Rights_And_Community_Relations', 0.4367437958717346)","('Business_Model_Resilience', 0.15320304036140442)","('Business_Ethics', 0.06001891940832138)","('NON-ESG', 0.4367437958717346)","('NON-ESG', 0.15320304036140442)","('NON-ESG', 0.06001891940832138)"
Line 3,"In the following pages you’ll learn more about the progress we’ve made in formalizing our ESG strategy, including conducting our first materiality assessment and creating an executive ESG Steering committee, to guide our efforts going forward.
","('Business_Model_Resilience', 0.5892523527145386)","('Systemic_Risk_Management', 0.05869981646537781)","('Human_Rights_And_Community_Relations', 0.05045362561941147)","(['Codes of Business Conduct'], 0.5892523527145386)","('NON-ESG', 0.05869981646537781)","('NON-ESG', 0.05045362561941147)"
Line 4,"Our mission of improving lives one person at a time  is grounded in enhancing the health and wellness of people and communities across the globe.
","('Employee_Health_And_Safety', 0.6076483726501465)","('Access_And_Affordability', 0.10932672768831253)","('Human_Rights_And_Community_Relations', 0.07075710594654083)","(['Operational Eco-Efficiency'], 0.6076483726501465)","('NON-ESG', 0.10932672768831253)","('NON-ESG', 0.07075710594654083)"
Line 5,"We have aligned our commitments with the United Nations Sustainable Development Goals (“SDGs”), in particular with three SDGs that most closely connect with our business: #3 Good Health and Well-being, #12 Responsible Consumption and Production, and #17 Partnerships.
","('Access_And_Affordability', 0.26683905720710754)","('Employee_Health_And_Safety', 0.2621994614601135)","('Human_Rights_And_Community_Relations', 0.103232242166996)","('NON-ESG', 0.26683905720710754)","('NON-ESG', 0.2621994614601135)","('NON-ESG', 0.103232242166996)"
Line 6,"This report also details our commitment to bringing  health and vision care to more people around the world through ethical business practices and innovative, high-quality products.
","('Product_Design_And_Lifecycle_Management', 0.889500617980957)","('Product_Quality_And_Safety', 0.026716912165284157)","('Customer_Welfare', 0.018298134207725525)","(['Product Stewardship'], 0.889500617980957)","('NON-ESG', 0.026716912165284157)","('NON-ESG', 0.018298134207725525)"
Line 7,"It spells out how we foster an inclusive workplace, reduce our environmental impacts, and strategically invest in programs that benefit our employees, society, and the planet.
","('Human_Rights_And_Community_Relations', 0.4425484538078308)","('Employee_Engagement_Inclusion_And_Diversity', 0.3111923336982727)","('Access_And_Affordability', 0.04385646432638168)","('NON-ESG', 0.4425484538078308)","('NON-ESG', 0.3111923336982727)","('NON-ESG', 0.04385646432638168)"
Line 8,"Looking back at the past year, I am proud of our  response to the pandemic and impressed with the significant accomplishments of our team during this difficult time.
","('Physical_Impacts_Of_Climate_Change', 0.43971580266952515)","('Critical_Incident_Risk_Management', 0.20307233929634094)","('Systemic_Risk_Management', 0.05388498306274414)","('NON-ESG', 0.43971580266952515)","('NON-ESG', 0.20307233929634094)","('NON-ESG', 0.05388498306274414)"
Line 9,"We implemented health and safety programs for our workforce, provided full pay and benefits to 100% of employees even when our plants were temporarily shut down, and had zero involuntary reductions due to COVID-19.
","('Employee_Health_And_Safety', 0.9751992225646973)","('Employee_Engagement_Inclusion_And_Diversity', 0.003986298106610775)","('Labor_Practices', 0.003618877148255706)","(['Operational Eco-Efficiency'], 0.9751992225646973)","('NON-ESG', 0.003986298106610775)","('NON-ESG', 0.003618877148255706)"
Line 10,"At the same time, we launched new products, strengthened operations with new manufacturing lines, established a leadership position in myopia management, and scaled up new channels of distribution quickly.
","('Product_Design_And_Lifecycle_Management', 0.9564757347106934)","('Customer_Welfare', 0.0060511138290166855)","('Product_Quality_And_Safety', 0.004426414147019386)","(['Product Stewardship'], 0.9564757347106934)","('NON-ESG', 0.0060511138290166855)","('NON-ESG', 0.004426414147019386)"
