,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"Environmental, Social,   and Governance   Highlights Report 3 A M essage from our CEO  4 Who W e Are 7  Our S tories 8  Our P eople 16  Our Plane t 21  Our P artnerships 24  About This R eport  25  Dat a and Performance T ables Introduction  Who We Are  Our Stories  Our People   Our Planet   Our Partnerships   About This Report Data and Performance I am proud to share our   CY 2021 Environmental, Social, and Governance (ESG) highlights report, which reflects our ESG performance over the past year.
","('Human_Rights_And_Community_Relations', 0.47383859753608704)","('Business_Model_Resilience', 0.1860722005367279)","('Management_Of_Legal_And_Regulatory_Framework', 0.047766175121068954)","('NON-ESG', 0.47383859753608704)","('NON-ESG', 0.1860722005367279)","('NON-ESG', 0.047766175121068954)"
Line 2,"2021, like the year before,  was marked by the ongoing  COVID-19 pandemic and its increasing impact on the global supply chain.
","('Supply_Chain_Management', 0.9203124046325684)","('Physical_Impacts_Of_Climate_Change', 0.01327976118773222)","('Systemic_Risk_Management', 0.008060415275394917)","(['Supply Chain Management'], 0.9203124046325684)","('NON-ESG', 0.01327976118773222)","('NON-ESG', 0.008060415275394917)"
Line 3,"But it also illustrated the unwavering resilience of Cooper employees and their commitment to improving lives one person at a time.
","('Business_Model_Resilience', 0.8882331252098083)","('Physical_Impacts_Of_Climate_Change', 0.01168074831366539)","('Product_Design_And_Lifecycle_Management', 0.011205698363482952)","(['Codes of Business Conduct'], 0.8882331252098083)","('NON-ESG', 0.01168074831366539)","('NON-ESG', 0.011205698363482952)"
Line 4,"Less than 12 months after sharing our ESG framework with you in our inaugural ESG report, I am proud of the success we have achieved in the three areas that make up our ESG Framework: people, planet, and partnerships.
","('Business_Model_Resilience', 0.5197423696517944)","('Human_Rights_And_Community_Relations', 0.09790580719709396)","('Systemic_Risk_Management', 0.09188436716794968)","(['Codes of Business Conduct'], 0.5197423696517944)","('NON-ESG', 0.09790580719709396)","('NON-ESG', 0.09188436716794968)"
Line 5,"Our investment in developing life-changing  solutions continued to drive value for both  our Company and patients.
","('Product_Design_And_Lifecycle_Management', 0.5410083532333374)","('Access_And_Affordability', 0.10275520384311676)","('Business_Model_Resilience', 0.07030953466892242)","(['Product Stewardship'], 0.5410083532333374)","('NON-ESG', 0.10275520384311676)","('NON-ESG', 0.07030953466892242)"
Line 6,"We reached a significant milestone when the Chinese  National Medical Products Administration, which regulates medical devices and pharmaceuticals in China, approved CooperVision MiSight®   1 day  contact lenses in August 2021.1 MiSight® is proven  to prevent Myopia (nearsightedness or short-sightedness) progression, 2 which is estimated to  impact 80% of Chinese high school students.3 With  this approval, MiSight is now available in 38 countries worldwide.
","('Employee_Health_And_Safety', 0.44479191303253174)","('Product_Quality_And_Safety', 0.14818371832370758)","('Access_And_Affordability', 0.08481310307979584)","('NON-ESG', 0.44479191303253174)","('NON-ESG', 0.14818371832370758)","('NON-ESG', 0.08481310307979584)"
Line 7,"We also continued to support the education of eye  care professionals and their ability to serve patients.
","('Access_And_Affordability', 0.8377110362052917)","('Employee_Health_And_Safety', 0.02168315462768078)","('Employee_Engagement_Inclusion_And_Diversity', 0.020570704713463783)","(['Health Outcome Contribution'], 0.8377110362052917)","('NON-ESG', 0.02168315462768078)","('NON-ESG', 0.020570704713463783)"
Line 8,"This included our partnership with the Special Olympics Lions Clubs International Foundation Opening Eyes® program, which increases vision care inclusion and access for athletes with intellectual disabilities.
","('Employee_Engagement_Inclusion_And_Diversity', 0.6473484039306641)","('Employee_Health_And_Safety', 0.08274824172258377)","('Access_And_Affordability', 0.07252322882413864)","(['Human Capital Development'], 0.6473484039306641)","('NON-ESG', 0.08274824172258377)","('NON-ESG', 0.07252322882413864)"
Line 9,"Read more on page 22.
","('Management_Of_Legal_And_Regulatory_Framework', 0.10825002938508987)","('Customer_Privacy', 0.09401167929172516)","('Data_Security', 0.08727885782718658)","('NON-ESG', 0.10825002938508987)","('NON-ESG', 0.09401167929172516)","('NON-ESG', 0.08727885782718658)"
Line 10,"Going into 2021, CooperSurgical already offered  a broad array of medical devices and services that support healthy women, babies, and families, including contraception, surgical instruments, IVF supplies, and genomic testing.
","('Access_And_Affordability', 0.30802270770072937)","('Employee_Health_And_Safety', 0.28179052472114563)","('Employee_Engagement_Inclusion_And_Diversity', 0.08449582755565643)","('NON-ESG', 0.30802270770072937)","('NON-ESG', 0.28179052472114563)","('NON-ESG', 0.08449582755565643)"
