,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"DEXCOM, INC.
","('Business_Ethics', 0.13046778738498688)","('Competitive_Behavior', 0.10461360961198807)","('Product_Design_And_Lifecycle_Management', 0.10042450577020645)","('NON-ESG', 0.13046778738498688)","('NON-ESG', 0.10461360961198807)","('NON-ESG', 0.10042450577020645)"
Line 2,"SUSTAINABILITY REPORT March 2020Whether it is charitable giving, employee wellbeing, waste reduction or ethical conduct, we  firmly believe that Dexcom’s corporate citizenship investments are both the right choice  for our long-term success of the business and the right thing to do.
","('Business_Ethics', 0.4551750719547272)","('Human_Rights_And_Community_Relations', 0.09967673569917679)","('Employee_Health_And_Safety', 0.09563710540533066)","('NON-ESG', 0.4551750719547272)","('NON-ESG', 0.09967673569917679)","('NON-ESG', 0.09563710540533066)"
Line 3,"With this in mind, I am  pleased to share Dexcom’s inaugural sustainability report.
","('Business_Model_Resilience', 0.4006757438182831)","('Supply_Chain_Management', 0.11162514984607697)","('Product_Design_And_Lifecycle_Management', 0.07904623448848724)","('NON-ESG', 0.4006757438182831)","('NON-ESG', 0.11162514984607697)","('NON-ESG', 0.07904623448848724)"
Line 4,"As you will see, together we’re  making a positive impact on the world around us.
","('Human_Rights_And_Community_Relations', 0.6054369211196899)","('Business_Model_Resilience', 0.0827052891254425)","('Access_And_Affordability', 0.040216997265815735)","(['Community Relations'], 0.6054369211196899)","('NON-ESG', 0.0827052891254425)","('NON-ESG', 0.040216997265815735)"
Line 5,"I look forward to keeping you updated on our progress.Since its inception in 1999, Dexcom’s mission has  been to make a positive impact on people’s lives.
","('Human_Rights_And_Community_Relations', 0.5489088892936707)","('Access_And_Affordability', 0.11705774068832397)","('Business_Model_Resilience', 0.045676082372665405)","(['Community Relations'], 0.5489088892936707)","('NON-ESG', 0.11705774068832397)","('NON-ESG', 0.045676082372665405)"
Line 6,"And while this impact starts with our industry-leading  Continuous Glucose Monitoring (CGM) technology,   it does not end there.
","('Energy_Management', 0.19821259379386902)","('Systemic_Risk_Management', 0.10087008774280548)","('Supply_Chain_Management', 0.0843568816781044)","('NON-ESG', 0.19821259379386902)","('NON-ESG', 0.10087008774280548)","('NON-ESG', 0.0843568816781044)"
Line 7,"We advance the interests of all our stakeholders –  including patients, caregivers, employees, investors,  and our communities – by operating in an ethical and  sustainable way.
","('Human_Rights_And_Community_Relations', 0.8252975940704346)","('Access_And_Affordability', 0.05251559242606163)","('Employee_Health_And_Safety', 0.01926707848906517)","(['Community Relations'], 0.8252975940704346)","('NON-ESG', 0.05251559242606163)","('NON-ESG', 0.01926707848906517)"
Line 8,"We do this by holding true to our  core values: Listen, Think Big, Be Dependable, and  Serve with Integrity.
","('Business_Ethics', 0.5987093448638916)","('Human_Rights_And_Community_Relations', 0.050137706100940704)","('Employee_Engagement_Inclusion_And_Diversity', 0.04972798749804497)","(['Business Ethics'], 0.5987093448638916)","('NON-ESG', 0.050137706100940704)","('NON-ESG', 0.04972798749804497)"
Line 9,"These values are at the heart of  Dexcom’s Sustainability activities that span the globe.A LETTER FROM OUR CEO Kevin Sayer Chairman, President & CEO TABLE OF CONTENTS We use our Sustainability Report to share how we are managing our sustainability goals,  as well as to respond to a broad set of stakeholder expectations and inquiries we receive  throughout the year.
","('Business_Model_Resilience', 0.7166405320167542)","('Supply_Chain_Management', 0.04057849943637848)","('Product_Design_And_Lifecycle_Management', 0.031278591603040695)","(['Codes of Business Conduct'], 0.7166405320167542)","('NON-ESG', 0.04057849943637848)","('NON-ESG', 0.031278591603040695)"
Line 10,"This report covers fiscal year results for the period ended December 31, 2019, unless  otherwise noted.
","('Management_Of_Legal_And_Regulatory_Framework', 0.32808589935302734)","('Business_Model_Resilience', 0.111313097178936)","('Physical_Impacts_Of_Climate_Change', 0.09298861026763916)","('NON-ESG', 0.32808589935302734)","('NON-ESG', 0.111313097178936)","('NON-ESG', 0.09298861026763916)"
