,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"Serve with integrityDexcom, Inc.
","('Business_Ethics', 0.9298180937767029)","('Competitive_Behavior', 0.009946854785084724)","('Systemic_Risk_Management', 0.007136188913136721)","(['Business Ethics'], 0.9298180937767029)","('NON-ESG', 0.009946854785084724)","('NON-ESG', 0.007136188913136721)"
Line 2,"Sustainability Report March Listen  Think big  Be dependable DexCom, Inc.
","('Product_Design_And_Lifecycle_Management', 0.30391550064086914)","('Business_Model_Resilience', 0.2999349534511566)","('Supply_Chain_Management', 0.09573434293270111)","('NON-ESG', 0.30391550064086914)","('NON-ESG', 0.2999349534511566)","('NON-ESG', 0.09573434293270111)"
Line 3,"Sustainability Report March 2022A letter from our CEO To Our Stakeholders, Dexcom’s commitment to our mission—empowering people to take  control of diabetes—remains unwavering.
","('Employee_Engagement_Inclusion_And_Diversity', 0.21622321009635925)","('Business_Model_Resilience', 0.15872326493263245)","('Human_Rights_And_Community_Relations', 0.1563843935728073)","('NON-ESG', 0.21622321009635925)","('NON-ESG', 0.15872326493263245)","('NON-ESG', 0.1563843935728073)"
Line 4,"And with the International  Diabetes Federation now estimating global diabetes prevalence of more  than 537 million people, our mission has never been more important.
","('Employee_Health_And_Safety', 0.4285884201526642)","('Access_And_Affordability', 0.10486950725317001)","('Product_Quality_And_Safety', 0.08195901662111282)","('NON-ESG', 0.4285884201526642)","('NON-ESG', 0.10486950725317001)","('NON-ESG', 0.08195901662111282)"
Line 5,"Year after year, our customers report that real-time continuous glucose  monitoring (CGM) technology eases the physical and emotional burden  of diabetes – both for people with diabetes and for their loved ones.
","('Access_And_Affordability', 0.2960561215877533)","('Employee_Health_And_Safety', 0.24455729126930237)","('Product_Quality_And_Safety', 0.07867977768182755)","('NON-ESG', 0.2960561215877533)","('NON-ESG', 0.24455729126930237)","('NON-ESG', 0.07867977768182755)"
Line 6,"Our mission is underpinned by four values that drive our day-to-day  operations: Listen, Think Big, Be Dependable, and Serve with Integrity.
","('Business_Ethics', 0.26165610551834106)","('Business_Model_Resilience', 0.12212590873241425)","('Human_Rights_And_Community_Relations', 0.1220104843378067)","('NON-ESG', 0.26165610551834106)","('NON-ESG', 0.12212590873241425)","('NON-ESG', 0.1220104843378067)"
Line 7,"These values are embedded in our DNA and continue to guide and shape  not just our business decisions, but also our sustainability story.
","('Business_Model_Resilience', 0.4300360679626465)","('Human_Rights_And_Community_Relations', 0.09785127639770508)","('Director_Removal', 0.09248046576976776)","('NON-ESG', 0.4300360679626465)","('NON-ESG', 0.09785127639770508)","('NON-ESG', 0.09248046576976776)"
Line 8,"I’m proud to report that in 2021, the Wall Street Journal recognized  Dexcom for the greatest gain in the Management Top 250 ranking for  social responsibility.
","('Human_Rights_And_Community_Relations', 0.9220746159553528)","('Business_Model_Resilience', 0.00733500812202692)","('Access_And_Affordability', 0.007146118208765984)","(['Community Relations'], 0.9220746159553528)","('NON-ESG', 0.00733500812202692)","('NON-ESG', 0.007146118208765984)"
Line 9,"We are building on this momentum by cultivating  an environment that encourages discussion, education, and creative  thinking about how we can maximize our impact.
","('Access_And_Affordability', 0.44649234414100647)","('Employee_Engagement_Inclusion_And_Diversity', 0.14323733747005463)","('Human_Rights_And_Community_Relations', 0.04383018612861633)","('NON-ESG', 0.44649234414100647)","('NON-ESG', 0.14323733747005463)","('NON-ESG', 0.04383018612861633)"
Line 10,"I’m also proud of the progress we’ve made in our sustainability reporting.
","('Business_Model_Resilience', 0.41669750213623047)","('Management_Of_Legal_And_Regulatory_Framework', 0.06206562742590904)","('Product_Design_And_Lifecycle_Management', 0.05610636621713638)","('NON-ESG', 0.41669750213623047)","('NON-ESG', 0.06206562742590904)","('NON-ESG', 0.05610636621713638)"
Line 11,"This year, our environmental, social, and governance (ESG) disclosure  includes our first Sustainability Accounting Standards Board (SASB)  index.
","('Business_Model_Resilience', 0.2896241545677185)","('Management_Of_Legal_And_Regulatory_Framework', 0.20436343550682068)","('Human_Rights_And_Community_Relations', 0.11237453669309616)","('NON-ESG', 0.2896241545677185)","('NON-ESG', 0.20436343550682068)","('NON-ESG', 0.11237453669309616)"
Line 12,"In the coming years, we look forward to advancing both our  sustainability story and how we share it with stakeholders.
","('Business_Model_Resilience', 0.6156556606292725)","('Product_Design_And_Lifecycle_Management', 0.06888742744922638)","('Supply_Chain_Management', 0.06229205057024956)","(['Codes of Business Conduct'], 0.6156556606292725)","('NON-ESG', 0.06888742744922638)","('NON-ESG', 0.06229205057024956)"
Line 13,"In the meantime, please enjoy Dexcom’s Annual Sustainability Report,  which encapsulates our commitment to making a positive, lasting impact  on the world we share.
","('Business_Model_Resilience', 0.5379553437232971)","('Product_Design_And_Lifecycle_Management', 0.0639175996184349)","('Human_Rights_And_Community_Relations', 0.06088752672076225)","(['Codes of Business Conduct'], 0.5379553437232971)","('NON-ESG', 0.0639175996184349)","('NON-ESG', 0.06088752672076225)"
Line 14,"Kevin Sayer Chairman, President & CEO 4Table of   ContentsWe use our Sustainability Report to share how we are managing our  sustainability goals, as well as to respond to a broad set of stakeholder  expectations and inquiries we receive throughout the year.
","('Business_Model_Resilience', 0.7185676097869873)","('Product_Design_And_Lifecycle_Management', 0.0371597521007061)","('Director_Removal', 0.03055112063884735)","(['Codes of Business Conduct'], 0.7185676097869873)","('NON-ESG', 0.0371597521007061)","('NON-ESG', 0.03055112063884735)"
Line 15,"This report covers fiscal year results for the period ended December 31, 2021, unless  otherwise noted.
","('Management_Of_Legal_And_Regulatory_Framework', 0.42647475004196167)","('Physical_Impacts_Of_Climate_Change', 0.07595396786928177)","('Business_Model_Resilience', 0.07320518791675568)","('NON-ESG', 0.42647475004196167)","('NON-ESG', 0.07595396786928177)","('NON-ESG', 0.07320518791675568)"
Line 16,"Data includes our operations around the world, unless otherwise stated.
","('Business_Model_Resilience', 0.33278319239616394)","('Customer_Privacy', 0.23533394932746887)","('Data_Security', 0.058830153197050095)","('NON-ESG', 0.33278319239616394)","('NON-ESG', 0.23533394932746887)","('NON-ESG', 0.058830153197050095)"
Line 17,"Some data has been rounded.
","('Customer_Privacy', 0.16764061152935028)","('Data_Security', 0.14383350312709808)","('Management_Of_Legal_And_Regulatory_Framework', 0.10255070775747299)","('NON-ESG', 0.16764061152935028)","('NON-ESG', 0.14383350312709808)","('NON-ESG', 0.10255070775747299)"
Line 18,"Monetary figures are in U.S. dollars unless otherwise noted.
","('Management_Of_Legal_And_Regulatory_Framework', 0.7128146290779114)","('Systemic_Risk_Management', 0.07524693757295609)","('Business_Ethics', 0.022671198472380638)","(['Corporate Governance'], 0.7128146290779114)","('NON-ESG', 0.07524693757295609)","('NON-ESG', 0.022671198472380638)"
Line 19,"Dexcom undertakes no responsibility to update this information after the date of this report.Listen Dexcom Warriors Active participation within the diabetes community Offering patient choice Data-driven personalized communications Listening to our employees Investing in our talent Intentionally evolving the employee experience Supporting our employees and their families Our commitment to diversity, equity, and inclusionThink big Access to healthcare Commitment to a sustainable future Environmental strategies, policies, and practices Climate change Protecting water resources Energy efficiency Product stewardship Waste reduction initiatives Community engagement Health and safety COVID-19 responseBe dependable Education and awareness Quality Management Systems (QMS) Continuous improvementServe with integrity Board of directors Dexcom compliance program Data privacy Appendix Sustainability Accounting Standards Board (SASB) IndexServe with integrityDexcom, Inc.
","('Employee_Engagement_Inclusion_And_Diversity', 0.9742060899734497)","('Employee_Health_And_Safety', 0.002310856943950057)","('Human_Rights_And_Community_Relations', 0.0018385205185040832)","(['Human Capital Development'], 0.9742060899734497)","('NON-ESG', 0.002310856943950057)","('NON-ESG', 0.0018385205185040832)"
Line 20,"Dexcom undertakes no responsibility to update this information after the date of this report.Listen Dexcom Warriors Active participation within the diabetes community Offering patient choice Data-driven personalized communications Listening to our employees Investing in our talent Intentionally evolving the employee experience Supporting our employees and their families Our commitment to diversity, equity, and inclusionThink big Access to healthcare Commitment to a sustainable future Environmental strategies, policies, and practices Climate change Protecting water resources Energy efficiency Product stewardship Waste reduction initiatives Community engagement Health and safety COVID-19 responseBe dependable Education and awareness Quality Management Systems (QMS) Continuous improvementServe with integrity Board of directors Dexcom compliance program Data privacy Appendix Sustainability Accounting Standards Board (SASB) IndexServe with integrityDexcom, Inc.
","('Physical_Impacts_Of_Climate_Change', 0.8225683569908142)","('Business_Model_Resilience', 0.03858831524848938)","('GHG_Emissions', 0.014506805688142776)","(['Climate Change'], 0.8225683569908142)","('NON-ESG', 0.03858831524848938)","('NON-ESG', 0.014506805688142776)"
Line 21,"Sustainability Report March Listen  Think big  Be dependable Listen The pursuit of continuous improvement and  impact drives our global efforts at Dexcom.
","('Business_Model_Resilience', 0.43092837929725647)","('Product_Design_And_Lifecycle_Management', 0.15258513391017914)","('Supply_Chain_Management', 0.07961831986904144)","('NON-ESG', 0.43092837929725647)","('NON-ESG', 0.15258513391017914)","('NON-ESG', 0.07961831986904144)"
Line 22,"We pay attention to the evolving needs of our customers, healthcare providers,  employees, researchers, payers, and broader set of stakeholders to exemplify  “Listen,” the first of our four core values.
","('Access_And_Affordability', 0.1743660718202591)","('Human_Rights_And_Community_Relations', 0.12350071221590042)","('Employee_Engagement_Inclusion_And_Diversity', 0.10833462327718735)","('NON-ESG', 0.1743660718202591)","('NON-ESG', 0.12350071221590042)","('NON-ESG', 0.10833462327718735)"
Line 23,"2The following initiatives represent how we actively participate in the diabetes  community and enable Dexcom employees to flourish.
","('Human_Rights_And_Community_Relations', 0.2598356008529663)","('Management_Of_Legal_And_Regulatory_Framework', 0.11237078160047531)","('Employee_Engagement_Inclusion_And_Diversity', 0.10950975865125656)","('NON-ESG', 0.2598356008529663)","('NON-ESG', 0.11237078160047531)","('NON-ESG', 0.10950975865125656)"
Line 24,"These include some of the  strategic initiatives and product developments that we have pursued in response to  stakeholder feedback.
","('Product_Design_And_Lifecycle_Management', 0.9127048254013062)","('Business_Model_Resilience', 0.018056439235806465)","('Supply_Chain_Management', 0.008699663914740086)","(['Product Stewardship'], 0.9127048254013062)","('NON-ESG', 0.018056439235806465)","('NON-ESG', 0.008699663914740086)"
Line 25,"Dexcom Warriors Active participation within the diabetes community Offering patient choice Data-driven, personalized communications Listening to our employeesInvesting in our talent Intentionally evolving the employee experience Supporting our employees and their families Our commitment to diversity, equity, and inclusion Listening to our customers While Dexcom has built its reputation  by designing, manufacturing, and selling  continuous glucose monitoring (CGM)  technology that surpasses and redefines  industry standards, we also understand  that the customer experience involves  more than providing data and insights.
","('Employee_Engagement_Inclusion_And_Diversity', 0.9747093319892883)","('Employee_Health_And_Safety', 0.0021339438389986753)","('Business_Model_Resilience', 0.001805979642085731)","(['Human Capital Development'], 0.9747093319892883)","('NON-ESG', 0.0021339438389986753)","('NON-ESG', 0.001805979642085731)"
Line 26,"Dexcom Warriors Active participation within the diabetes community Offering patient choice Data-driven, personalized communications Listening to our employeesInvesting in our talent Intentionally evolving the employee experience Supporting our employees and their families Our commitment to diversity, equity, and inclusion Listening to our customers While Dexcom has built its reputation  by designing, manufacturing, and selling  continuous glucose monitoring (CGM)  technology that surpasses and redefines  industry standards, we also understand  that the customer experience involves  more than providing data and insights.
","('Business_Ethics', 0.15039470791816711)","('Customer_Privacy', 0.14579573273658752)","('Competitive_Behavior', 0.1306363195180893)","('NON-ESG', 0.15039470791816711)","('NON-ESG', 0.14579573273658752)","('NON-ESG', 0.1306363195180893)"
Line 27,"Beyond tangible products, the customer experience   also encompasses a greater understanding of, and  an active response to, our stakeholders’ underlying  motivations.
","('Product_Design_And_Lifecycle_Management', 0.9271280169487)","('Customer_Welfare', 0.008139417506754398)","('Customer_Privacy', 0.008109320886433125)","(['Product Stewardship'], 0.9271280169487)","('NON-ESG', 0.008139417506754398)","('NON-ESG', 0.008109320886433125)"
Line 28,"With this in mind, we have structured our  business to listen to our customers and address their  needs and interests.
","('Business_Model_Resilience', 0.4823358654975891)","('Human_Rights_And_Community_Relations', 0.09912411868572235)","('Competitive_Behavior', 0.08301296085119247)","('NON-ESG', 0.4823358654975891)","('NON-ESG', 0.09912411868572235)","('NON-ESG', 0.08301296085119247)"
Line 29,"01 Serve with integrityDexcom, Inc.
","('Business_Ethics', 0.7240968346595764)","('Director_Removal', 0.035061899572610855)","('Systemic_Risk_Management', 0.031495701521635056)","(['Business Ethics'], 0.7240968346595764)","('NON-ESG', 0.035061899572610855)","('NON-ESG', 0.031495701521635056)"
Line 30,"Sustainability Report March Listen  Think big  Be dependable Zac Harmon is a travelling blues musician and artist, who also happens  to have type 2 diabetes.
","('Access_And_Affordability', 0.2345779538154602)","('Employee_Health_And_Safety', 0.21097543835639954)","('Employee_Engagement_Inclusion_And_Diversity', 0.15777042508125305)","('NON-ESG', 0.2345779538154602)","('NON-ESG', 0.21097543835639954)","('NON-ESG', 0.15777042508125305)"
Line 31,"Before Dexcom, it was hard for him to stay in  range during his performances.
","('Competitive_Behavior', 0.11578211933374405)","('Employee_Engagement_Inclusion_And_Diversity', 0.10398291796445847)","('Business_Model_Resilience', 0.07040746510028839)","('NON-ESG', 0.11578211933374405)","('NON-ESG', 0.10398291796445847)","('NON-ESG', 0.07040746510028839)"
Line 32,"He credits Dexcom for allowing him  the peace of mind he needs to put on a world-class show every  time he’s on stage.
","('Employee_Engagement_Inclusion_And_Diversity', 0.17493580281734467)","('Business_Model_Resilience', 0.11323880404233932)","('Product_Design_And_Lifecycle_Management', 0.09845433384180069)","('NON-ESG', 0.17493580281734467)","('NON-ESG', 0.11323880404233932)","('NON-ESG', 0.09845433384180069)"
Line 33,"Zac is passionate about sharing his experience managing his  diabetes.
","('Employee_Health_And_Safety', 0.29004672169685364)","('Access_And_Affordability', 0.17316892743110657)","('Employee_Engagement_Inclusion_And_Diversity', 0.08817503601312637)","('NON-ESG', 0.29004672169685364)","('NON-ESG', 0.17316892743110657)","('NON-ESG', 0.08817503601312637)"
