,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"Edwards Lifesciences     2021 Sustainability Report2EDWARDS LIFESCIENCES    2021 SUSTAINABILITY REPORTEdwards Lifesciences is the   global leader  of patient-focused   medical innovations for structural heart   disease and critical care monitoring.
","('Product_Design_And_Lifecycle_Management', 0.3549148440361023)","('Customer_Welfare', 0.10579954087734222)","('Access_And_Affordability', 0.07724731415510178)","('NON-ESG', 0.3549148440361023)","('NON-ESG', 0.10579954087734222)","('NON-ESG', 0.07724731415510178)"
Line 2,"Driven by a passion for patients,   the company is dedicated to improving   and enhancing lives through partnerships   with clinicians and stakeholders across   the global healthcare landscape.Contents   A Message from our Chairman and CEO Our Approach Sustainability Targets Organizational Profile Governance Map Materiality & Stakeholder Engagement 13  Governance Ethics & Compliance 14  Corporate Governance Patients Access to Healthcare 23  Patient Experience & Voice Products Product Safety & Quality 32  Supply Chain Management 37  Product Design & Innovation Workforce Human Capital Management 47  Diversity, Inclusion & Belonging 55  Volunteerism & Giving Environment Metrics-at-a-Glance  Content Index  Report Downloads  EDWARDS LIFESCIENCES    2021 SUSTAINABILITY REPORT OverviewEdwards Life - sciences  As the world has faced extraordinary challenges over the last several years – whether   referring to the pandemic, country conflicts, natural disasters or resource challenges   and shortages – it has created moments, big and small, for Edwards Lifesciences to   lead in ensuring healthy and sustainable relationships with all of our stakeholders as   we focus on and serve patients.
","('Product_Quality_And_Safety', 0.8386816382408142)","('Product_Design_And_Lifecycle_Management', 0.034516558051109314)","('Selling_Practices_And_Product_Labeling', 0.03330003842711449)","(['Product Quality & Recall Management'], 0.8386816382408142)","('NON-ESG', 0.034516558051109314)","('NON-ESG', 0.03330003842711449)"
Line 3,"Driven by a passion for patients,   the company is dedicated to improving   and enhancing lives through partnerships   with clinicians and stakeholders across   the global healthcare landscape.Contents   A Message from our Chairman and CEO Our Approach Sustainability Targets Organizational Profile Governance Map Materiality & Stakeholder Engagement 13  Governance Ethics & Compliance 14  Corporate Governance Patients Access to Healthcare 23  Patient Experience & Voice Products Product Safety & Quality 32  Supply Chain Management 37  Product Design & Innovation Workforce Human Capital Management 47  Diversity, Inclusion & Belonging 55  Volunteerism & Giving Environment Metrics-at-a-Glance  Content Index  Report Downloads  EDWARDS LIFESCIENCES    2021 SUSTAINABILITY REPORT OverviewEdwards Life - sciences  As the world has faced extraordinary challenges over the last several years – whether   referring to the pandemic, country conflicts, natural disasters or resource challenges   and shortages – it has created moments, big and small, for Edwards Lifesciences to   lead in ensuring healthy and sustainable relationships with all of our stakeholders as   we focus on and serve patients.
","('Employee_Engagement_Inclusion_And_Diversity', 0.9573523998260498)","('Employee_Health_And_Safety', 0.004358165431767702)","('Business_Model_Resilience', 0.0031161021906882524)","(['Human Capital Development'], 0.9573523998260498)","('NON-ESG', 0.004358165431767702)","('NON-ESG', 0.0031161021906882524)"
Line 4,"Driven by a passion for patients,   the company is dedicated to improving   and enhancing lives through partnerships   with clinicians and stakeholders across   the global healthcare landscape.Contents   A Message from our Chairman and CEO Our Approach Sustainability Targets Organizational Profile Governance Map Materiality & Stakeholder Engagement 13  Governance Ethics & Compliance 14  Corporate Governance Patients Access to Healthcare 23  Patient Experience & Voice Products Product Safety & Quality 32  Supply Chain Management 37  Product Design & Innovation Workforce Human Capital Management 47  Diversity, Inclusion & Belonging 55  Volunteerism & Giving Environment Metrics-at-a-Glance  Content Index  Report Downloads  EDWARDS LIFESCIENCES    2021 SUSTAINABILITY REPORT OverviewEdwards Life - sciences  As the world has faced extraordinary challenges over the last several years – whether   referring to the pandemic, country conflicts, natural disasters or resource challenges   and shortages – it has created moments, big and small, for Edwards Lifesciences to   lead in ensuring healthy and sustainable relationships with all of our stakeholders as   we focus on and serve patients.
","('Access_And_Affordability', 0.7153768539428711)","('Human_Rights_And_Community_Relations', 0.05437978357076645)","('Employee_Engagement_Inclusion_And_Diversity', 0.02830677106976509)","(['Health Outcome Contribution'], 0.7153768539428711)","('NON-ESG', 0.05437978357076645)","('NON-ESG', 0.02830677106976509)"
Line 5,"When Edwards was established in 2000, we formed the company around a Credo and   Aspirations to define our culture and guide our actions.
","('Human_Rights_And_Community_Relations', 0.5654893517494202)","('Employee_Engagement_Inclusion_And_Diversity', 0.10636775195598602)","('Business_Model_Resilience', 0.037801891565322876)","(['Community Relations'], 0.5654893517494202)","('NON-ESG', 0.10636775195598602)","('NON-ESG', 0.037801891565322876)"
Line 6,"We defined who we are, what we   do and how we serve others: patients, employees, customers, suppliers, communities   and shareholders.
","('Supply_Chain_Management', 0.18176278471946716)","('Human_Rights_And_Community_Relations', 0.17373637855052948)","('Product_Design_And_Lifecycle_Management', 0.1472180038690567)","('NON-ESG', 0.18176278471946716)","('NON-ESG', 0.17373637855052948)","('NON-ESG', 0.1472180038690567)"
Line 7,"We have always operated in a multi-stakeholder model because it is fundamental to our  ability to grow the value of Edwards over the long term.
","('Business_Model_Resilience', 0.42940813302993774)","('Competitive_Behavior', 0.16895067691802979)","('Systemic_Risk_Management', 0.06321602314710617)","('NON-ESG', 0.42940813302993774)","('NON-ESG', 0.16895067691802979)","('NON-ESG', 0.06321602314710617)"
Line 8,"Sustaining the long-term growth  and value creation of our company requires us to integrate sustainability practices into  every corner of Edwards.
","('Business_Model_Resilience', 0.7362088561058044)","('Product_Design_And_Lifecycle_Management', 0.07727909833192825)","('Supply_Chain_Management', 0.03020334057509899)","(['Codes of Business Conduct'], 0.7362088561058044)","('NON-ESG', 0.07727909833192825)","('NON-ESG', 0.03020334057509899)"
Line 9,"We are not singular in emphasis, for example, solely thinking  about the environment, particular social issues or governance; rather, we align our global  company with our strategy and processes to pursue this vision.
","('Human_Rights_And_Community_Relations', 0.8544573187828064)","('Management_Of_Legal_And_Regulatory_Framework', 0.02652939222753048)","('Business_Model_Resilience', 0.0158188808709383)","(['Community Relations'], 0.8544573187828064)","('NON-ESG', 0.02652939222753048)","('NON-ESG', 0.0158188808709383)"
Line 10,"I am pleased to welcome you to Edwards Lifesciences’ 2021 Sustainability Report, which  details the continued progress and commitment of Edwards to address the needs of our  stakeholders globally and to create shared value in the communities in which we operate,  now and for future generations.
","('Human_Rights_And_Community_Relations', 0.83301842212677)","('Business_Model_Resilience', 0.027626875787973404)","('Access_And_Affordability', 0.016322452574968338)","(['Community Relations'], 0.83301842212677)","('NON-ESG', 0.027626875787973404)","('NON-ESG', 0.016322452574968338)"
Line 11,"Throughout 2021, our nearly 16,000 employees worldwide continued to focus on patients  and overcame the challenges of our dynamic environments to ensure our life-saving and  life-enhancing therapies were delivered to patients in need.
","('Access_And_Affordability', 0.6752215623855591)","('Employee_Health_And_Safety', 0.08737753331661224)","('Product_Design_And_Lifecycle_Management', 0.02973841316998005)","(['Health Outcome Contribution'], 0.6752215623855591)","('NON-ESG', 0.08737753331661224)","('NON-ESG', 0.02973841316998005)"
Line 12,"At the same time, our teams achieved key milestones, such as research and development, clinical trials and   evidence generation to support our future therapies, in support of our long-term   innovation strategy.
","('Customer_Welfare', 0.1808992177248001)","('Access_And_Affordability', 0.11648472398519516)","('Business_Model_Resilience', 0.10599986463785172)","('NON-ESG', 0.1808992177248001)","('NON-ESG', 0.11648472398519516)","('NON-ESG', 0.10599986463785172)"
Line 13,"Our Credo and Aspirations help us define our company’s strategic priorities and   objectives.
","('Business_Model_Resilience', 0.5723956823348999)","('Human_Rights_And_Community_Relations', 0.08581553399562836)","('Product_Design_And_Lifecycle_Management', 0.0475623644888401)","(['Codes of Business Conduct'], 0.5723956823348999)","('NON-ESG', 0.08581553399562836)","('NON-ESG', 0.0475623644888401)"
Line 14,"As detailed in this report, our sustainability strategy, including our measurable   sustainability targets, is also fully aligned with our values and business strategy.
","('Business_Model_Resilience', 0.7849782705307007)","('Product_Design_And_Lifecycle_Management', 0.024452850222587585)","('Physical_Impacts_Of_Climate_Change', 0.02374431863427162)","(['Codes of Business Conduct'], 0.7849782705307007)","('NON-ESG', 0.024452850222587585)","('NON-ESG', 0.02374431863427162)"
Line 15,"Following the United Nations Sustainable Development Goals (UN SDG), we focus our   efforts on those goals where we believe we can have the greatest impact – UN SDG 3:  Good Health and Well-Being; UN SDG 8: Decent Work and Economic Growth; and   UN SDG 12: Responsible Consumption and Production.
","('Human_Rights_And_Community_Relations', 0.6175478100776672)","('Access_And_Affordability', 0.12758153676986694)","('Ecological_Impacts', 0.03998834267258644)","(['Community Relations'], 0.6175478100776672)","('NON-ESG', 0.12758153676986694)","('NON-ESG', 0.03998834267258644)"
Line 16,"We made marked progress over the last year in the growth of our global teams while   also continuing a focus on diversity, inclusion and belonging, as well as community   engagement, at our global facilities.
","('Employee_Engagement_Inclusion_And_Diversity', 0.9708979725837708)","('Human_Rights_And_Community_Relations', 0.0037001515738666058)","('Employee_Health_And_Safety', 0.0020886417478322983)","(['Human Capital Development'], 0.9708979725837708)","('NON-ESG', 0.0037001515738666058)","('NON-ESG', 0.0020886417478322983)"
Line 17,"Notably in this year’s report, we are establishing   a target to achieve carbon neutrality by 2030 and 1.5° C science-based targets.
","('GHG_Emissions', 0.7285287380218506)","('Management_Of_Legal_And_Regulatory_Framework', 0.059705644845962524)","('Ecological_Impacts', 0.0471457876265049)","(['Climate Change'], 0.7285287380218506)","('NON-ESG', 0.059705644845962524)","('NON-ESG', 0.0471457876265049)"
