,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"Making a Unique Difference  in the World Hologic 2019 Sustainability Report2019 Hologic Sustainability Report  1 Introduction A Message from Our Chairman and CEO Hologic’s Life-Saving Impact Research and Development Our History of Innovation Company Profile, Key Financial Highlights ESG: Materiality Overview The Globe Environmental Health and Safety Quality Management System Environmental Packaging Initiatives Green Energy Site Initiatives Culture & Society Engagement Diversity Talent Commitment to Pay Equity Better Access, Better Rewards Access to Healthcare Philanthropy Governance Governance and Shareholder Engagement,   Board Transformation and Structure Roles of the Board Compensation Philosophy and Structure Policies and Procedures Cover image: Manchester, UK employees celebrating International Women’s Day, 2019.A Message from Our Chairman and CEO Dear Hologic Stakeholders: Thank you for reading our first sustainability report.
","('Product_Design_And_Lifecycle_Management', 0.6670762300491333)","('Business_Model_Resilience', 0.08513567596673965)","('Product_Quality_And_Safety', 0.055794376879930496)","(['Product Stewardship'], 0.6670762300491333)","('NON-ESG', 0.08513567596673965)","('NON-ESG', 0.055794376879930496)"
Line 2,"Making a Unique Difference  in the World Hologic 2019 Sustainability Report2019 Hologic Sustainability Report  1 Introduction A Message from Our Chairman and CEO Hologic’s Life-Saving Impact Research and Development Our History of Innovation Company Profile, Key Financial Highlights ESG: Materiality Overview The Globe Environmental Health and Safety Quality Management System Environmental Packaging Initiatives Green Energy Site Initiatives Culture & Society Engagement Diversity Talent Commitment to Pay Equity Better Access, Better Rewards Access to Healthcare Philanthropy Governance Governance and Shareholder Engagement,   Board Transformation and Structure Roles of the Board Compensation Philosophy and Structure Policies and Procedures Cover image: Manchester, UK employees celebrating International Women’s Day, 2019.A Message from Our Chairman and CEO Dear Hologic Stakeholders: Thank you for reading our first sustainability report.
","('Director_Removal', 0.45628419518470764)","('Management_Of_Legal_And_Regulatory_Framework', 0.120897576212883)","('Business_Ethics', 0.08226842433214188)","('NON-ESG', 0.45628419518470764)","('NON-ESG', 0.120897576212883)","('NON-ESG', 0.08226842433214188)"
Line 3,"We hope it  helps you understand how Hologic makes a unique difference in  the world.
","('Business_Model_Resilience', 0.2947191894054413)","('Product_Design_And_Lifecycle_Management', 0.19991430640220642)","('Employee_Engagement_Inclusion_And_Diversity', 0.06086641177535057)","('NON-ESG', 0.2947191894054413)","('NON-ESG', 0.19991430640220642)","('NON-ESG', 0.06086641177535057)"
Line 4,"We believe we have a lot to be proud of, but at the same time, a lot  that we can do better.
","('Employee_Engagement_Inclusion_And_Diversity', 0.14801989495754242)","('Business_Model_Resilience', 0.13601572811603546)","('Human_Rights_And_Community_Relations', 0.09850199520587921)","('NON-ESG', 0.14801989495754242)","('NON-ESG', 0.13601572811603546)","('NON-ESG', 0.09850199520587921)"
Line 5,"In this letter I’d like to cover three main topics.
","('Management_Of_Legal_And_Regulatory_Framework', 0.2758273780345917)","('Business_Model_Resilience', 0.1097072884440422)","('Access_And_Affordability', 0.07214192301034927)","('NON-ESG', 0.2758273780345917)","('NON-ESG', 0.1097072884440422)","('NON-ESG', 0.07214192301034927)"
Line 6,"First, how we got  here—the journey we’ve been on to identify and center around our  Purpose, Passion and Promise.
","('Human_Rights_And_Community_Relations', 0.3669588267803192)","('Business_Model_Resilience', 0.1487913727760315)","('Employee_Engagement_Inclusion_And_Diversity', 0.09941082447767258)","('NON-ESG', 0.3669588267803192)","('NON-ESG', 0.1487913727760315)","('NON-ESG', 0.09941082447767258)"
Line 7,"Second, why we integrate sustain - ability issues into our day-to-day business strategy and operations,  rather than viewing them as separate priorities.
","('Business_Model_Resilience', 0.7184360027313232)","('Supply_Chain_Management', 0.048645444214344025)","('Product_Design_And_Lifecycle_Management', 0.036818068474531174)","(['Codes of Business Conduct'], 0.7184360027313232)","('NON-ESG', 0.048645444214344025)","('NON-ESG', 0.036818068474531174)"
Line 8,"And third, how our  approach to sustainability is coming to life.
","('Product_Design_And_Lifecycle_Management', 0.5172426104545593)","('Business_Model_Resilience', 0.18489353358745575)","('Supply_Chain_Management', 0.0500790998339653)","(['Product Stewardship'], 0.5172426104545593)","('NON-ESG', 0.18489353358745575)","('NON-ESG', 0.0500790998339653)"
Line 9,"Sustainability Through Our Purpose,   Passion and Promise First, a little history.
","('Business_Model_Resilience', 0.4088045358657837)","('Human_Rights_And_Community_Relations', 0.12219976633787155)","('Product_Design_And_Lifecycle_Management', 0.07555942237377167)","('NON-ESG', 0.4088045358657837)","('NON-ESG', 0.12219976633787155)","('NON-ESG', 0.07555942237377167)"
Line 10,"This report is an important milestone—but in  no way the end—of a process that began at Hologic a few years  ago.
","('Business_Model_Resilience', 0.3170222342014313)","('Management_Of_Legal_And_Regulatory_Framework', 0.13531716167926788)","('Ecological_Impacts', 0.07194074243307114)","('NON-ESG', 0.3170222342014313)","('NON-ESG', 0.13531716167926788)","('NON-ESG', 0.07194074243307114)"
Line 11,"As we were evolving through organic growth, international  expansion, and acquisitions and divestitures, our leadership team  set out to clearly define our role in society.
","('Business_Model_Resilience', 0.7076836228370667)","('Systemic_Risk_Management', 0.06388095766305923)","('Director_Removal', 0.030126644298434258)","(['Codes of Business Conduct'], 0.7076836228370667)","('NON-ESG', 0.06388095766305923)","('NON-ESG', 0.030126644298434258)"
Line 12,"Around the same time, some of our large institutional investors  were increasingly analyzing environmental, social and governance  factors—sometimes known as ESG—as part of their investment  processes.
","('Business_Model_Resilience', 0.39501357078552246)","('Human_Rights_And_Community_Relations', 0.16941438615322113)","('Physical_Impacts_Of_Climate_Change', 0.0707927718758583)","('NON-ESG', 0.39501357078552246)","('NON-ESG', 0.16941438615322113)","('NON-ESG', 0.0707927718758583)"
Line 13,"For example, the CEO of BlackRock, the world’s largest  investment management company, wrote in early 2018 that:  Society is demanding that companies, both public and private,  serve a social purpose.
","('Human_Rights_And_Community_Relations', 0.8206026554107666)","('Management_Of_Legal_And_Regulatory_Framework', 0.019943805411458015)","('Ecological_Impacts', 0.01709499955177307)","(['Community Relations'], 0.8206026554107666)","('NON-ESG', 0.019943805411458015)","('NON-ESG', 0.01709499955177307)"
Line 14,"To prosper over time, every company  must not only deliver financial performance, but also show  how it makes a positive contribution to society … Without a  sense of purpose, no company, either public or private, can  achieve its full potential.
","('Business_Model_Resilience', 0.333913654088974)","('Human_Rights_And_Community_Relations', 0.19359302520751953)","('Management_Of_Legal_And_Regulatory_Framework', 0.06630980223417282)","('NON-ESG', 0.333913654088974)","('NON-ESG', 0.19359302520751953)","('NON-ESG', 0.06630980223417282)"
Line 15,"In response, and after a lot of internal discussion with our Board and  employees at all levels, I wrote to stockholders in our 2019 proxy  letter that: We have a fundamental obligation to create value for  shareholders through profitable, long-term growth.
","('Business_Model_Resilience', 0.5689858198165894)","('Competitive_Behavior', 0.06589677184820175)","('Systemic_Risk_Management', 0.056190285831689835)","(['Codes of Business Conduct'], 0.5689858198165894)","('NON-ESG', 0.06589677184820175)","('NON-ESG', 0.056190285831689835)"
Line 16,"But  this cannot be the whole story.
","('Systemic_Risk_Management', 0.13603821396827698)","('Business_Ethics', 0.11799993366003036)","('Access_And_Affordability', 0.06335951387882233)","('NON-ESG', 0.13603821396827698)","('NON-ESG', 0.11799993366003036)","('NON-ESG', 0.06335951387882233)"
Line 17,"To focus solely on financial  outcomes would be to ignore the multifaceted, instrumental  role that corporations play in our world.
","('Competitive_Behavior', 0.6808161735534668)","('Systemic_Risk_Management', 0.11868688464164734)","('Management_Of_Legal_And_Regulatory_Framework', 0.037883155047893524)","(['Business Ethics'], 0.6808161735534668)","('NON-ESG', 0.11868688464164734)","('NON-ESG', 0.037883155047893524)"
Line 18,"Indeed, most of our  employees are motivated by a sense of higher purpose.In that same letter, I quoted Russell Pearlman of the Korn Ferry  Institute, who said that “purpose and profit not only peacefully co- exist, but purpose can drive profit.” This describes our approach at  Hologic well, since the very work we do—fighting disease through  early detection—contributes to a healthier, more sustainable world.
","('Access_And_Affordability', 0.2130132019519806)","('Human_Rights_And_Community_Relations', 0.12198687344789505)","('Employee_Health_And_Safety', 0.09771742671728134)","('NON-ESG', 0.2130132019519806)","('NON-ESG', 0.12198687344789505)","('NON-ESG', 0.09771742671728134)"
Line 19,"While companies in most industries provide important benefits to  society, we believe ours is a higher calling.
","('Access_And_Affordability', 0.29586556553840637)","('Human_Rights_And_Community_Relations', 0.21394385397434235)","('Management_Of_Legal_And_Regulatory_Framework', 0.08352885395288467)","('NON-ESG', 0.29586556553840637)","('NON-ESG', 0.21394385397434235)","('NON-ESG', 0.08352885395288467)"
Line 20,"Thus, at Hologic we’ve defined our Purpose as enabling healthier  lives, everywhere, every day .
","('Employee_Health_And_Safety', 0.7284128069877625)","('Product_Design_And_Lifecycle_Management', 0.05104702711105347)","('Access_And_Affordability', 0.046202391386032104)","(['Operational Eco-Efficiency'], 0.7284128069877625)","('NON-ESG', 0.05104702711105347)","('NON-ESG', 0.046202391386032104)"
Line 21,"We know that the more lives we  touch, the more our profits will grow over the long term.
","('Competitive_Behavior', 0.378365159034729)","('Business_Model_Resilience', 0.1783761829137802)","('Systemic_Risk_Management', 0.050485361367464066)","('NON-ESG', 0.378365159034729)","('NON-ESG', 0.1783761829137802)","('NON-ESG', 0.050485361367464066)"
Line 22,"In the   last year, for example, we estimate that our products touched  more than 234 million people around the world, and we know  that today’s profits will fuel even greater investments in human  health in the future.
","('Employee_Health_And_Safety', 0.7194910049438477)","('Product_Design_And_Lifecycle_Management', 0.04488617926836014)","('Product_Quality_And_Safety', 0.03801586851477623)","(['Operational Eco-Efficiency'], 0.7194910049438477)","('NON-ESG', 0.04488617926836014)","('NON-ESG', 0.03801586851477623)"
