,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"A Global  Force  for Good 2021 Sustainability Report CEO Letter  Purpose-Driven Company   A Champion for Women   Unique Culture   Global Citizenship   Strong Governance 1  CEO   Letter A Message from Our Chairman, President and CEO Purpose-Driven Company  Financial Highlights Research and Development History of Innovation   Materiality and Stakeholders U.N. Sustainable Development Goals A Champion for Women Hologic Global Women’s Health Index  Project Health Equality Unique Culture World-Class Engagement  Hologic Costa Rica: Putting Employees First Spotlight on Leadership and Information Security  Global Citizenship  Making an Impact  Global Access Initiative Philanthropy Product Donations Minority-Owned Banking The Environment Strong Governance Governance and Shareholder Engagement 46  Board Transformation and Structure Compensation Philosophy and Structure Governance Policies and Procedures Information Security Governance 54  Clinical Trials 56  Quality Management System Content Workplace Health and Safety Supply Chain Management Employee Workforce Composition SASB Table 663   CEO Letter  Purpose-Driven Company   A Champion for Women   Unique Culture   Global Citizenship   Strong Governance Dear Hologic Stakeholders: Thank you for reading our third sustainability report.
","('Employee_Engagement_Inclusion_And_Diversity', 0.6670026183128357)","('Human_Rights_And_Community_Relations', 0.09768801927566528)","('Employee_Health_And_Safety', 0.050934743136167526)","(['Human Capital Development'], 0.6670026183128357)","('NON-ESG', 0.09768801927566528)","('NON-ESG', 0.050934743136167526)"
Line 2,"A Global  Force  for Good 2021 Sustainability Report CEO Letter  Purpose-Driven Company   A Champion for Women   Unique Culture   Global Citizenship   Strong Governance 1  CEO   Letter A Message from Our Chairman, President and CEO Purpose-Driven Company  Financial Highlights Research and Development History of Innovation   Materiality and Stakeholders U.N. Sustainable Development Goals A Champion for Women Hologic Global Women’s Health Index  Project Health Equality Unique Culture World-Class Engagement  Hologic Costa Rica: Putting Employees First Spotlight on Leadership and Information Security  Global Citizenship  Making an Impact  Global Access Initiative Philanthropy Product Donations Minority-Owned Banking The Environment Strong Governance Governance and Shareholder Engagement 46  Board Transformation and Structure Compensation Philosophy and Structure Governance Policies and Procedures Information Security Governance 54  Clinical Trials 56  Quality Management System Content Workplace Health and Safety Supply Chain Management Employee Workforce Composition SASB Table 663   CEO Letter  Purpose-Driven Company   A Champion for Women   Unique Culture   Global Citizenship   Strong Governance Dear Hologic Stakeholders: Thank you for reading our third sustainability report.
","('Business_Ethics', 0.4053420424461365)","('Management_Of_Legal_And_Regulatory_Framework', 0.29949837923049927)","('Director_Removal', 0.0629519447684288)","('NON-ESG', 0.4053420424461365)","('NON-ESG', 0.29949837923049927)","('NON-ESG', 0.0629519447684288)"
Line 3,"A Global  Force  for Good 2021 Sustainability Report CEO Letter  Purpose-Driven Company   A Champion for Women   Unique Culture   Global Citizenship   Strong Governance 1  CEO   Letter A Message from Our Chairman, President and CEO Purpose-Driven Company  Financial Highlights Research and Development History of Innovation   Materiality and Stakeholders U.N. Sustainable Development Goals A Champion for Women Hologic Global Women’s Health Index  Project Health Equality Unique Culture World-Class Engagement  Hologic Costa Rica: Putting Employees First Spotlight on Leadership and Information Security  Global Citizenship  Making an Impact  Global Access Initiative Philanthropy Product Donations Minority-Owned Banking The Environment Strong Governance Governance and Shareholder Engagement 46  Board Transformation and Structure Compensation Philosophy and Structure Governance Policies and Procedures Information Security Governance 54  Clinical Trials 56  Quality Management System Content Workplace Health and Safety Supply Chain Management Employee Workforce Composition SASB Table 663   CEO Letter  Purpose-Driven Company   A Champion for Women   Unique Culture   Global Citizenship   Strong Governance Dear Hologic Stakeholders: Thank you for reading our third sustainability report.
","('Supply_Chain_Management', 0.5047036409378052)","('Employee_Engagement_Inclusion_And_Diversity', 0.20955835282802582)","('Business_Model_Resilience', 0.0377378985285759)","(['Supply Chain Management'], 0.5047036409378052)","('NON-ESG', 0.20955835282802582)","('NON-ESG', 0.0377378985285759)"
Line 4,"We are proud of the progress we have made on ESG priorities  over the last several years, excited about the many opportunities  still ahead, and eager to tell you more in this report.
","('Business_Model_Resilience', 0.5605239272117615)","('Systemic_Risk_Management', 0.08733995258808136)","('Human_Rights_And_Community_Relations', 0.06247582286596298)","(['Codes of Business Conduct'], 0.5605239272117615)","('NON-ESG', 0.08733995258808136)","('NON-ESG', 0.06247582286596298)"
Line 5,"We believe we  have a unique and compelling story to share.
","('Business_Model_Resilience', 0.22817526757717133)","('Employee_Engagement_Inclusion_And_Diversity', 0.11146678775548935)","('Customer_Privacy', 0.08300945162773132)","('NON-ESG', 0.22817526757717133)","('NON-ESG', 0.11146678775548935)","('NON-ESG', 0.08300945162773132)"
Line 6,"But before we get into that, I wanted to discuss one of my pet  peeves — false choices, also sometimes called false dilemmas or  false dichotomies.
","('Business_Ethics', 0.3333989977836609)","('Competitive_Behavior', 0.305627703666687)","('Systemic_Risk_Management', 0.09436113387346268)","('NON-ESG', 0.3333989977836609)","('NON-ESG', 0.305627703666687)","('NON-ESG', 0.09436113387346268)"
Line 7,"You know what I’m talking about.
","('Competitive_Behavior', 0.1607435792684555)","('Business_Ethics', 0.09905560314655304)","('Employee_Engagement_Inclusion_And_Diversity', 0.06879211962223053)","('NON-ESG', 0.1607435792684555)","('NON-ESG', 0.09905560314655304)","('NON-ESG', 0.06879211962223053)"
Line 8,"Someone presents only two  choices, and claims that one must be true, and the other false.
","('Business_Ethics', 0.5868347883224487)","('Competitive_Behavior', 0.17694084346294403)","('Management_Of_Legal_And_Regulatory_Framework', 0.025806808844208717)","(['Business Ethics'], 0.5868347883224487)","('NON-ESG', 0.17694084346294403)","('NON-ESG', 0.025806808844208717)"
Line 9,"These logical fallacies — you’re either for us, or you’re against us —  are problematic because they oversimplify choices by excluding  many viable options.
","('Competitive_Behavior', 0.8530780076980591)","('Business_Ethics', 0.042046017944812775)","('Systemic_Risk_Management', 0.013557384721934795)","(['Business Ethics'], 0.8530780076980591)","('NON-ESG', 0.042046017944812775)","('NON-ESG', 0.013557384721934795)"
Line 10,"These statements have become altogether too common in today’s  polarized political environment, especially when they’re amplified  by those who are unconcerned with civil debate: if you like  candidate ______, you must be a ______.
","('Competitive_Behavior', 0.8096868991851807)","('Management_Of_Legal_And_Regulatory_Framework', 0.0227908194065094)","('Systemic_Risk_Management', 0.021569643169641495)","(['Business Ethics'], 0.8096868991851807)","('NON-ESG', 0.0227908194065094)","('NON-ESG', 0.021569643169641495)"
