,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"Corporate Responsibility Report 8,000 people one global purpose2Corporate Responsibility Report3To be a great company  that creates exceptional long-term value   for our customers, employees, and shareholders  by enhancing the health and well-being   of pets, people, and livestock.Our PurposeWelcome to our Corporate Responsibility (CR)   report.
","('Human_Rights_And_Community_Relations', 0.3994005024433136)","('Employee_Health_And_Safety', 0.27102598547935486)","('Employee_Engagement_Inclusion_And_Diversity', 0.04228672385215759)","('NON-ESG', 0.3994005024433136)","('NON-ESG', 0.27102598547935486)","('NON-ESG', 0.04228672385215759)"
Line 2,"In this report, you will see how we are   strong believers in how our business advances   the human condition, while also advancing how   we are doing business in a way that is socially   and environmentally responsible.
","('Human_Rights_And_Community_Relations', 0.5984864830970764)","('Business_Model_Resilience', 0.09432099759578705)","('Ecological_Impacts', 0.05373638495802879)","(['Community Relations'], 0.5984864830970764)","('NON-ESG', 0.09432099759578705)","('NON-ESG', 0.05373638495802879)"
Line 3,"The work we do makes a positive impact in the   world in part by supporting the human-animal   bond through advances in pet health care.
","('Employee_Health_And_Safety', 0.2500733733177185)","('Access_And_Affordability', 0.20080646872520447)","('Customer_Welfare', 0.07980694621801376)","('NON-ESG', 0.2500733733177185)","('NON-ESG', 0.20080646872520447)","('NON-ESG', 0.07980694621801376)"
Line 4,"Pets can’t tell you how they feel, so bloodwork   results help give pets a voice in their healthcare.
","('Employee_Health_And_Safety', 0.18265219032764435)","('Product_Design_And_Lifecycle_Management', 0.09978611022233963)","('Customer_Privacy', 0.09290992468595505)","('NON-ESG', 0.18265219032764435)","('NON-ESG', 0.09978611022233963)","('NON-ESG', 0.09290992468595505)"
Line 5,"Our innovations in pet care diagnostics expand   their vocabulary.
","('Product_Design_And_Lifecycle_Management', 0.42363566160202026)","('Customer_Welfare', 0.17987459897994995)","('Business_Model_Resilience', 0.06621813774108887)","('NON-ESG', 0.42363566160202026)","('NON-ESG', 0.17987459897994995)","('NON-ESG', 0.06621813774108887)"
Line 6,"Corporate responsibility is embedded into our Purpose and our Guiding  Principles, which we refined in the year 2010 as a result of a deep company  introspection of what makes IDEXX who we are and aspire to be.
","('Human_Rights_And_Community_Relations', 0.39127328991889954)","('Business_Model_Resilience', 0.1578090488910675)","('Director_Removal', 0.081668421626091)","('NON-ESG', 0.39127328991889954)","('NON-ESG', 0.1578090488910675)","('NON-ESG', 0.081668421626091)"
Line 7,"They have  stood the test of time, and I am deeply proud of them.
","('Business_Model_Resilience', 0.12200193107128143)","('Human_Rights_And_Community_Relations', 0.1139109656214714)","('Employee_Engagement_Inclusion_And_Diversity', 0.09475736320018768)","('NON-ESG', 0.12200193107128143)","('NON-ESG', 0.1139109656214714)","('NON-ESG', 0.09475736320018768)"
Line 8,"I am so pleased to share in this report an update on the work our employees  are doing to help our communities, protect the environment, nurture our  people, and grow our business.
","('Human_Rights_And_Community_Relations', 0.9279809594154358)","('Ecological_Impacts', 0.016412101686000824)","('Access_And_Affordability', 0.006410387810319662)","(['Community Relations'], 0.9279809594154358)","('NON-ESG', 0.016412101686000824)","('NON-ESG', 0.006410387810319662)"
Line 9,"Sharing provides visibility into that work,  motivating IDEXX employees across the globe to continue in this good work.In addition, because people want to work for a responsible  company that they can be proud of, we believe it’s important  to show what IDEXX is all about, from our innovative culture,  to the way we support the health and well-being of our  employees and their families, to community volunteering,  and to how we design our products and even our buildings.
","('Product_Design_And_Lifecycle_Management', 0.616081714630127)","('Employee_Health_And_Safety', 0.0699731707572937)","('Product_Quality_And_Safety', 0.04773624241352081)","(['Product Stewardship'], 0.616081714630127)","('NON-ESG', 0.0699731707572937)","('NON-ESG', 0.04773624241352081)"
Line 10,"These topics are a big part of our report.
","('Management_Of_Legal_And_Regulatory_Framework', 0.24612288177013397)","('Systemic_Risk_Management', 0.1857924610376358)","('Business_Model_Resilience', 0.12951552867889404)","('NON-ESG', 0.24612288177013397)","('NON-ESG', 0.1857924610376358)","('NON-ESG', 0.12951552867889404)"
Line 11,"I’d like to thank our employees, customers, vendors and  other partners for contributing to the good we’ve done to  date.
","('Product_Design_And_Lifecycle_Management', 0.18485771119594574)","('Employee_Health_And_Safety', 0.11060693114995956)","('Human_Rights_And_Community_Relations', 0.10917000472545624)","('NON-ESG', 0.18485771119594574)","('NON-ESG', 0.11060693114995956)","('NON-ESG', 0.10917000472545624)"
Line 12,"I look forward to IDEXX finding ways on how we can  advance our ideals in corporate responsibility, consistent  with our Purpose.
","('Human_Rights_And_Community_Relations', 0.4126640260219574)","('Business_Model_Resilience', 0.18123888969421387)","('Director_Removal', 0.057132571935653687)","('NON-ESG', 0.4126640260219574)","('NON-ESG', 0.18123888969421387)","('NON-ESG', 0.057132571935653687)"
Line 13,"We invite you to follow us on our journey.
","('Employee_Engagement_Inclusion_And_Diversity', 0.17890581488609314)","('Business_Model_Resilience', 0.14680151641368866)","('Human_Rights_And_Community_Relations', 0.13342419266700745)","('NON-ESG', 0.17890581488609314)","('NON-ESG', 0.14680151641368866)","('NON-ESG', 0.13342419266700745)"
Line 14,"Jonathan W.
","('Business_Ethics', 0.10576611012220383)","('Competitive_Behavior', 0.09047725796699524)","('Management_Of_Legal_And_Regulatory_Framework', 0.08820391446352005)","('NON-ESG', 0.10576611012220383)","('NON-ESG', 0.09047725796699524)","('NON-ESG', 0.08820391446352005)"
Line 15,"Ayers Chairman, President and Chief Executive OfficerA Message from Jon Ayers, IDEXX CEO IDEXX seeks to be a good citizen of the communities in which   we do business by contributing to their health and quality of life, by conducting ourselves with the highest ethical standards and  by being environmentally responsible.
","('Human_Rights_And_Community_Relations', 0.43545305728912354)","('Employee_Health_And_Safety', 0.2871505320072174)","('Access_And_Affordability', 0.026905490085482597)","('NON-ESG', 0.43545305728912354)","('NON-ESG', 0.2871505320072174)","('NON-ESG', 0.026905490085482597)"
Line 16,"4Our Six  Guiding Principles: •  Achieve and sustain market leadership •  Exceed the expectations of our customers •  Empower and reward our employees •  Innovate with intelligence •  Cultivate entrepreneurial spirit •  Contribute to our communitiesWorld Headquarters Westbrook, Maine 1/3 of total employees North America 5,Europe 1,Latin America Asia Pacific Africa Middle East 56• ••• •••• • ••• •• •••• • •••• ••••••••••••••••••••• •• ••• 5IDEXX Laboratories, Inc.
","('Employee_Engagement_Inclusion_And_Diversity', 0.3350297808647156)","('Business_Model_Resilience', 0.21166053414344788)","('Product_Design_And_Lifecycle_Management', 0.06797900050878525)","('NON-ESG', 0.3350297808647156)","('NON-ESG', 0.21166053414344788)","('NON-ESG', 0.06797900050878525)"
Line 17,"is a member of the S&P 500® Index and is a  leader in pet healthcare innovation, serving veterinarians around the  world with a broad range of diagnostic and information technology-  based products and services.
","('Product_Design_And_Lifecycle_Management', 0.7649497389793396)","('Customer_Welfare', 0.07209056615829468)","('Product_Quality_And_Safety', 0.023698315024375916)","(['Product Stewardship'], 0.7649497389793396)","('NON-ESG', 0.07209056615829468)","('NON-ESG', 0.023698315024375916)"
Line 18,"Our common stock is quoted on the  NASDAQ Global Select Market under the symbol IDXX.
","('Competitive_Behavior', 0.2359779328107834)","('Business_Model_Resilience', 0.23403052985668182)","('Systemic_Risk_Management', 0.20574726164340973)","('NON-ESG', 0.2359779328107834)","('NON-ESG', 0.23403052985668182)","('NON-ESG', 0.20574726164340973)"
Line 19,"IDEXX is also a worldwide leader in providing diagnostic tests and  information for livestock and poultry, and testing for the quality and  safety of water and milk.
","('Product_Quality_And_Safety', 0.5981137156486511)","('Selling_Practices_And_Product_Labeling', 0.10621484369039536)","('Customer_Welfare', 0.08061516284942627)","(['Product Quality & Recall Management'], 0.5981137156486511)","('NON-ESG', 0.10621484369039536)","('NON-ESG', 0.08061516284942627)"
Line 20,"Headquartered in Maine, USA, IDEXX employs  8,170 people and offers products to customers in over 175 countries.
","('Product_Design_And_Lifecycle_Management', 0.9240083694458008)","('Customer_Welfare', 0.013420415110886097)","('Product_Quality_And_Safety', 0.009521637111902237)","(['Product Stewardship'], 0.9240083694458008)","('NON-ESG', 0.013420415110886097)","('NON-ESG', 0.009521637111902237)"
Line 21,"For the last eight years, through the end of 2018, we will have about  doubled the company’s revenues and grown our number of employees  by 3,350.
","('Director_Removal', 0.22666142880916595)","('Employee_Engagement_Inclusion_And_Diversity', 0.17814236879348755)","('Labor_Practices', 0.14981530606746674)","('NON-ESG', 0.22666142880916595)","('NON-ESG', 0.17814236879348755)","('NON-ESG', 0.14981530606746674)"
Line 22,"We are proud of our business performance and the impact we  have made through our customers, while increasing the number of jobs  and career growth opportunities for our employees.
","('Employee_Engagement_Inclusion_And_Diversity', 0.9143757224082947)","('Employee_Health_And_Safety', 0.010630862787365913)","('Business_Model_Resilience', 0.007941619493067265)","(['Human Capital Development'], 0.9143757224082947)","('NON-ESG', 0.010630862787365913)","('NON-ESG', 0.007941619493067265)"
Line 23,"This performance  fuels our continued investment in the long-term health of the company  while serving the communities where we operate.
","('Human_Rights_And_Community_Relations', 0.8469427227973938)","('Access_And_Affordability', 0.05263606086373329)","('Employee_Health_And_Safety', 0.014837057329714298)","(['Community Relations'], 0.8469427227973938)","('NON-ESG', 0.05263606086373329)","('NON-ESG', 0.014837057329714298)"
Line 24,"To learn more about IDEXX business and financial performance,   see www.idexx.com/en/about-idexx/ .About IDEXXIDEXX has 8,170 employees worldwide committed to our purpose.
","('Business_Model_Resilience', 0.4200718104839325)","('Employee_Engagement_Inclusion_And_Diversity', 0.13723662495613098)","('Director_Removal', 0.07229539752006531)","('NON-ESG', 0.4200718104839325)","('NON-ESG', 0.13723662495613098)","('NON-ESG', 0.07229539752006531)"
Line 25,"As of September 2018This strong human-animal bond not only fuels our purpose at IDEXX, its  importance to the human condition is supported by extensive research.
","('Employee_Health_And_Safety', 0.1709870994091034)","('Access_And_Affordability', 0.16366589069366455)","('Ecological_Impacts', 0.11927834153175354)","('NON-ESG', 0.1709870994091034)","('NON-ESG', 0.16366589069366455)","('NON-ESG', 0.11927834153175354)"
Line 26,"Below  are just a few examples.
","('Competitive_Behavior', 0.270871102809906)","('Systemic_Risk_Management', 0.15903137624263763)","('Management_Of_Legal_And_Regulatory_Framework', 0.06742613017559052)","('NON-ESG', 0.270871102809906)","('NON-ESG', 0.15903137624263763)","('NON-ESG', 0.06742613017559052)"
Line 27,"Mental Health:  74% of pet owners reported mental health improvements   from having a pet.
","('Employee_Health_And_Safety', 0.9243361949920654)","('Employee_Engagement_Inclusion_And_Diversity', 0.008359948173165321)","('Product_Quality_And_Safety', 0.007435637526214123)","(['Operational Eco-Efficiency'], 0.9243361949920654)","('NON-ESG', 0.008359948173165321)","('NON-ESG', 0.007435637526214123)"
Line 28,"Cardiovascular Health:  Having a cat improves the relative likelihood of  recovery and survival after a heart attack by 37%.
","('Employee_Health_And_Safety', 0.6632744073867798)","('Critical_Incident_Risk_Management', 0.058728594332933426)","('Access_And_Affordability', 0.03675847128033638)","(['Operational Eco-Efficiency'], 0.6632744073867798)","('NON-ESG', 0.058728594332933426)","('NON-ESG', 0.03675847128033638)"
Line 29,"Dogs decrease blood  pressure and lower cholesterol.
","('Customer_Welfare', 0.4511485695838928)","('Selling_Practices_And_Product_Labeling', 0.09270956367254257)","('GHG_Emissions', 0.06431899964809418)","('NON-ESG', 0.4511485695838928)","('NON-ESG', 0.09270956367254257)","('NON-ESG', 0.06431899964809418)"
Line 30,"Longevity: There is a clear correlation between dog ownership and longer life.
","('Employee_Health_And_Safety', 0.3807007670402527)","('Employee_Engagement_Inclusion_And_Diversity', 0.10142205655574799)","('Ecological_Impacts', 0.10101431608200073)","('NON-ESG', 0.3807007670402527)","('NON-ESG', 0.10142205655574799)","('NON-ESG', 0.10101431608200073)"
Line 31,"Healthy Aging: In a trial of nursing home residents in Australia, individuals  who spent time with a dog reported less fatigue, tension, confusion and  depression.
","('Employee_Health_And_Safety', 0.8153877258300781)","('Employee_Engagement_Inclusion_And_Diversity', 0.026966262608766556)","('Systemic_Risk_Management', 0.014750280417501926)","(['Operational Eco-Efficiency'], 0.8153877258300781)","('NON-ESG', 0.026966262608766556)","('NON-ESG', 0.014750280417501926)"
Line 32,"Much of the research about the bond between people and pets is done by the  Human Animal Bond Research Institute (HABRI) at www.habri.org.
","('Employee_Health_And_Safety', 0.22280986607074738)","('Ecological_Impacts', 0.156988725066185)","('Customer_Welfare', 0.07767042517662048)","('NON-ESG', 0.22280986607074738)","('NON-ESG', 0.156988725066185)","('NON-ESG', 0.07767042517662048)"
Line 33,"IDEXX is  proud to have sponsored HABRI.
","('Business_Model_Resilience', 0.2123923897743225)","('Customer_Privacy', 0.07438930124044418)","('Competitive_Behavior', 0.07007690519094467)","('NON-ESG', 0.2123923897743225)","('NON-ESG', 0.07438930124044418)","('NON-ESG', 0.07007690519094467)"
Line 34,"People’s love of their pets is an important factor driving our company’s growth.
","('Employee_Health_And_Safety', 0.18547509610652924)","('Employee_Engagement_Inclusion_And_Diversity', 0.160197451710701)","('Ecological_Impacts', 0.1306018829345703)","('NON-ESG', 0.18547509610652924)","('NON-ESG', 0.160197451710701)","('NON-ESG', 0.1306018829345703)"
Line 35,"People around the world want their pets to live longer and healthier lives—and  are turning to veterinarians and diagnostic testing to determine not only what  is causing a pet to be sick, but also how to keep their pets healthy.
","('Employee_Health_And_Safety', 0.8331107497215271)","('Product_Design_And_Lifecycle_Management', 0.017090503126382828)","('Employee_Engagement_Inclusion_And_Diversity', 0.015000834129750729)","(['Operational Eco-Efficiency'], 0.8331107497215271)","('NON-ESG', 0.017090503126382828)","('NON-ESG', 0.015000834129750729)"
