,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"That MattersDoing the WorkCorporate Responsibility at IDEXX A Message from Jay Mazelsky About This Report and  Our Corporate Responsibility Journey About IDEXX What We Do Matters ONE HEALTH, ONE IDEXX / COMPANION ANIMAL GROUP (CAG) /   WATER / LIVESTOCK, POULTRY, AND DAIRY (LPD) / OPTI MEDICAL SYSTEMS (OPTI)  Our People and Workplace DIVERSITY, EQUITY, AND INCLUSION / EMPLOYEE WELLNESS /   HEALTH AND SAFETY / PARTNERSHIPS AND VOLUNTEERING /   OUR BEGINNINGS AND GROWTH IN MAINE / WHAT MATTERS TO US Environmental Sustainability and Innovation FACILITIES MANAGEMENT / SUPPLY CHAIN AND PRODUCT STEWARDSHIP  Corporate Governance, Leadership and Ethics POLICIES, COMMITMENTS, AND DISCLOSURES Metrics Summary Addendums TASK FORCE ON CLIMATE-RELATED FINANCIAL DISCLOSURES  (TCFD) INDEX / SUSTAINABILITY ACCOUNTING STANDARDS BOARD  (SASB) INDEX – MEDICAL EQUIPMENT AND SUPPLIES TABLE OF CONTENTS .
","('Employee_Engagement_Inclusion_And_Diversity', 0.9468429088592529)","('Employee_Health_And_Safety', 0.009088816121220589)","('Human_Rights_And_Community_Relations', 0.006341615691781044)","(['Human Capital Development'], 0.9468429088592529)","('NON-ESG', 0.009088816121220589)","('NON-ESG', 0.006341615691781044)"
Line 2,"That MattersDoing the WorkCorporate Responsibility at IDEXX A Message from Jay Mazelsky About This Report and  Our Corporate Responsibility Journey About IDEXX What We Do Matters ONE HEALTH, ONE IDEXX / COMPANION ANIMAL GROUP (CAG) /   WATER / LIVESTOCK, POULTRY, AND DAIRY (LPD) / OPTI MEDICAL SYSTEMS (OPTI)  Our People and Workplace DIVERSITY, EQUITY, AND INCLUSION / EMPLOYEE WELLNESS /   HEALTH AND SAFETY / PARTNERSHIPS AND VOLUNTEERING /   OUR BEGINNINGS AND GROWTH IN MAINE / WHAT MATTERS TO US Environmental Sustainability and Innovation FACILITIES MANAGEMENT / SUPPLY CHAIN AND PRODUCT STEWARDSHIP  Corporate Governance, Leadership and Ethics POLICIES, COMMITMENTS, AND DISCLOSURES Metrics Summary Addendums TASK FORCE ON CLIMATE-RELATED FINANCIAL DISCLOSURES  (TCFD) INDEX / SUSTAINABILITY ACCOUNTING STANDARDS BOARD  (SASB) INDEX – MEDICAL EQUIPMENT AND SUPPLIES TABLE OF CONTENTS .
","('Supply_Chain_Management', 0.8715841770172119)","('Product_Design_And_Lifecycle_Management', 0.034513119608163834)","('Business_Model_Resilience', 0.019142165780067444)","(['Supply Chain Management'], 0.8715841770172119)","('NON-ESG', 0.034513119608163834)","('NON-ESG', 0.019142165780067444)"
Line 3,"A Message from Jay Mazelsky I am proud to share our 2020 Corporate Responsibility Report, which  demonstrates tangible ways IDEXX has advanced initiatives in support of responsible corporate citizenship since our first report in 2018.
","('Human_Rights_And_Community_Relations', 0.43509602546691895)","('Business_Model_Resilience', 0.16690689325332642)","('Management_Of_Legal_And_Regulatory_Framework', 0.04106060042977333)","('NON-ESG', 0.43509602546691895)","('NON-ESG', 0.16690689325332642)","('NON-ESG', 0.04106060042977333)"
Line 4,"As a purpose-driven organization, our nearly 40-year history has  been dedicated to enhancing the health and well-being of pets, people, and livestock.
","('Employee_Health_And_Safety', 0.8263019919395447)","('Access_And_Affordability', 0.03835982456803322)","('Ecological_Impacts', 0.016758613288402557)","(['Operational Eco-Efficiency'], 0.8263019919395447)","('NON-ESG', 0.03835982456803322)","('NON-ESG', 0.016758613288402557)"
Line 5,"Our Purpose and Guiding Principles inform every decision and action we take, including our firm belief that we are citizens of the communities in which we do business.
","('Human_Rights_And_Community_Relations', 0.9418172240257263)","('Access_And_Affordability', 0.005191748030483723)","('Management_Of_Legal_And_Regulatory_Framework', 0.005179720465093851)","(['Community Relations'], 0.9418172240257263)","('NON-ESG', 0.005191748030483723)","('NON-ESG', 0.005179720465093851)"
Line 6,"2020 is my first full year as President and Chief Executive Officer.
","('Director_Removal', 0.3830549418926239)","('Business_Model_Resilience', 0.2261885106563568)","('Product_Design_And_Lifecycle_Management', 0.039509568363428116)","('NON-ESG', 0.3830549418926239)","('NON-ESG', 0.2261885106563568)","('NON-ESG', 0.039509568363428116)"
Line 7,"I am so  appreciative of how we have come together as a company to address the many challenges associated with the COVID-19 pandemic.
","('Physical_Impacts_Of_Climate_Change', 0.49666309356689453)","('Critical_Incident_Risk_Management', 0.08552978187799454)","('Systemic_Risk_Management', 0.08523967117071152)","('NON-ESG', 0.49666309356689453)","('NON-ESG', 0.08552978187799454)","('NON-ESG', 0.08523967117071152)"
Line 8,"At each turn, our employees have shown an unwavering commitment to supporting each other, our customers, and our communities.
","('Human_Rights_And_Community_Relations', 0.858690083026886)","('Employee_Engagement_Inclusion_And_Diversity', 0.021052539348602295)","('Employee_Health_And_Safety', 0.016392935067415237)","(['Community Relations'], 0.858690083026886)","('NON-ESG', 0.021052539348602295)","('NON-ESG', 0.016392935067415237)"
Line 9,"Highlights from our 2020 report include: •  Establishing the IDEXX Foundation, a donor -advised charitable fund, with  a contribution of $10 million, to support activities aligned with our P urpose.
","('Management_Of_Legal_And_Regulatory_Framework', 0.7704859972000122)","('Director_Removal', 0.031024117022752762)","('Human_Rights_And_Community_Relations', 0.021387161687016487)","(['Corporate Governance'], 0.7704859972000122)","('NON-ESG', 0.031024117022752762)","('NON-ESG', 0.021387161687016487)"
Line 10,"The IDEXX Foundation’s priorities will be on long-term, outcomes-focused  investments in areas such as supporting education in the veterinary and Science, Technology, Engineering, and Math (STEM) fields, including advancing diversity, equity, and inclusion in animal healthcare.
","('Employee_Engagement_Inclusion_And_Diversity', 0.9713293313980103)","('Employee_Health_And_Safety', 0.002192801097407937)","('Business_Model_Resilience', 0.0020428854040801525)","(['Human Capital Development'], 0.9713293313980103)","('NON-ESG', 0.002192801097407937)","('NON-ESG', 0.0020428854040801525)"
