,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"Sustainability   Report PN1066134-US RevA 01/20202 of PN1066134-US RevA 01/2020 Intuitive Sustainability Report 2019Table of contents 04 From the desk of Gary Guthart, CEO  0 4 How we create and assess sustainable value  06 Founding principles 07 History10 Focus on patients  12  Design   12 Human factors and clinical development   12 Engineering  3 Patient and care team safety  13 C ommitment to clinical evidence, risk assessment and mitigation  14 C linical Risk Review Board (CRRB)  5 Commitment to training  16 I ntuitive Technology Training Pathway (TTP)  17 T raining Passport Program  18 V irtual environment skill building  18  Telementoring  9 Supporting our customers  19  Genesis   F ield service and preventive maintenance   T echnical support   I nstruments & Accessories (I&A) support 22 Supply chain sustainability  2 3 Supply chain management  4 S electing and supporting our suppliers   4 Supplier business reviews (SBRs)  4 Supplier handbook and scorecard  4 Supplier symposium   5 Compliance  25 S mall Business Administration  25 Th e Dodd-Frank Act  25 C alifornia Transparency in Supply Chain Act (CALTISCA)  25 U nited Kingdom (U.K.) Modern Slavery Act  25 R estriction of Hazardous Substances (RoHS) 26 Environmental stewardship  2 7 ISO 14001 certified   8 Managing waste  28 R ecertification of components  28 P roprietary recycling  28 E lectronic waste   28 M edical waste3 of PN1066134-US RevA 01/2020 Intuitive Sustainability Report 2019Table of contents  2 9 Sustainable transportation  29 C ompany-provided public transportation  29 E lectric vehicle (EV) charging stations  29 B ike-share program 30 T alent and workplace experience  3 2 Inclusion and Diversity  3 Our culture: we are Intuitive   33 I nvestment in people  34 W orkplace Experience Committee (WEC)    Workplace services  35 G lobal on-site events   35 S ports and fitness  5 Employee health and safety  36 E mployee Resource Groups (ERGs)  36 W omen in Technology (WITy) 37 Creating stronger communities  39 G iving back: The Intuitive Foundation  39 D a Vinci Research Kit (dVRK)  40 S TEM education   40 F IRST Robotics    41 C ommunity activities  41 S unnyvale Community Services  42 S tanford blood drives  42 P addle for Cancer 43 Corporate governance  4 4 Board of Directors  5 Governance and Nominating Committee  5 Sustainability Steering Committee  5 Ethical business conduct  6 Anti-bribery and anti-corruption  6 Tax transparency 47 Conclusion 4 of Intuitive Sustainability Report 2019 PN1066134-US RevA 01/2020At Intuitive, our innovations are grounded in a commitment to understanding human  needs and technology’s potential.
","('Product_Quality_And_Safety', 0.2834952473640442)","('Access_And_Affordability', 0.09043458849191666)","('Business_Model_Resilience', 0.08560372143983841)","('NON-ESG', 0.2834952473640442)","('NON-ESG', 0.09043458849191666)","('NON-ESG', 0.08560372143983841)"
Line 2,"Sustainability   Report PN1066134-US RevA 01/20202 of PN1066134-US RevA 01/2020 Intuitive Sustainability Report 2019Table of contents 04 From the desk of Gary Guthart, CEO  0 4 How we create and assess sustainable value  06 Founding principles 07 History10 Focus on patients  12  Design   12 Human factors and clinical development   12 Engineering  3 Patient and care team safety  13 C ommitment to clinical evidence, risk assessment and mitigation  14 C linical Risk Review Board (CRRB)  5 Commitment to training  16 I ntuitive Technology Training Pathway (TTP)  17 T raining Passport Program  18 V irtual environment skill building  18  Telementoring  9 Supporting our customers  19  Genesis   F ield service and preventive maintenance   T echnical support   I nstruments & Accessories (I&A) support 22 Supply chain sustainability  2 3 Supply chain management  4 S electing and supporting our suppliers   4 Supplier business reviews (SBRs)  4 Supplier handbook and scorecard  4 Supplier symposium   5 Compliance  25 S mall Business Administration  25 Th e Dodd-Frank Act  25 C alifornia Transparency in Supply Chain Act (CALTISCA)  25 U nited Kingdom (U.K.) Modern Slavery Act  25 R estriction of Hazardous Substances (RoHS) 26 Environmental stewardship  2 7 ISO 14001 certified   8 Managing waste  28 R ecertification of components  28 P roprietary recycling  28 E lectronic waste   28 M edical waste3 of PN1066134-US RevA 01/2020 Intuitive Sustainability Report 2019Table of contents  2 9 Sustainable transportation  29 C ompany-provided public transportation  29 E lectric vehicle (EV) charging stations  29 B ike-share program 30 T alent and workplace experience  3 2 Inclusion and Diversity  3 Our culture: we are Intuitive   33 I nvestment in people  34 W orkplace Experience Committee (WEC)    Workplace services  35 G lobal on-site events   35 S ports and fitness  5 Employee health and safety  36 E mployee Resource Groups (ERGs)  36 W omen in Technology (WITy) 37 Creating stronger communities  39 G iving back: The Intuitive Foundation  39 D a Vinci Research Kit (dVRK)  40 S TEM education   40 F IRST Robotics    41 C ommunity activities  41 S unnyvale Community Services  42 S tanford blood drives  42 P addle for Cancer 43 Corporate governance  4 4 Board of Directors  5 Governance and Nominating Committee  5 Sustainability Steering Committee  5 Ethical business conduct  6 Anti-bribery and anti-corruption  6 Tax transparency 47 Conclusion 4 of Intuitive Sustainability Report 2019 PN1066134-US RevA 01/2020At Intuitive, our innovations are grounded in a commitment to understanding human  needs and technology’s potential.
","('Supply_Chain_Management', 0.9441807866096497)","('Labor_Practices', 0.005798122845590115)","('Product_Design_And_Lifecycle_Management', 0.005019426811486483)","(['Supply Chain Management'], 0.9441807866096497)","('NON-ESG', 0.005798122845590115)","('NON-ESG', 0.005019426811486483)"
Line 3,"Sustainability   Report PN1066134-US RevA 01/20202 of PN1066134-US RevA 01/2020 Intuitive Sustainability Report 2019Table of contents 04 From the desk of Gary Guthart, CEO  0 4 How we create and assess sustainable value  06 Founding principles 07 History10 Focus on patients  12  Design   12 Human factors and clinical development   12 Engineering  3 Patient and care team safety  13 C ommitment to clinical evidence, risk assessment and mitigation  14 C linical Risk Review Board (CRRB)  5 Commitment to training  16 I ntuitive Technology Training Pathway (TTP)  17 T raining Passport Program  18 V irtual environment skill building  18  Telementoring  9 Supporting our customers  19  Genesis   F ield service and preventive maintenance   T echnical support   I nstruments & Accessories (I&A) support 22 Supply chain sustainability  2 3 Supply chain management  4 S electing and supporting our suppliers   4 Supplier business reviews (SBRs)  4 Supplier handbook and scorecard  4 Supplier symposium   5 Compliance  25 S mall Business Administration  25 Th e Dodd-Frank Act  25 C alifornia Transparency in Supply Chain Act (CALTISCA)  25 U nited Kingdom (U.K.) Modern Slavery Act  25 R estriction of Hazardous Substances (RoHS) 26 Environmental stewardship  2 7 ISO 14001 certified   8 Managing waste  28 R ecertification of components  28 P roprietary recycling  28 E lectronic waste   28 M edical waste3 of PN1066134-US RevA 01/2020 Intuitive Sustainability Report 2019Table of contents  2 9 Sustainable transportation  29 C ompany-provided public transportation  29 E lectric vehicle (EV) charging stations  29 B ike-share program 30 T alent and workplace experience  3 2 Inclusion and Diversity  3 Our culture: we are Intuitive   33 I nvestment in people  34 W orkplace Experience Committee (WEC)    Workplace services  35 G lobal on-site events   35 S ports and fitness  5 Employee health and safety  36 E mployee Resource Groups (ERGs)  36 W omen in Technology (WITy) 37 Creating stronger communities  39 G iving back: The Intuitive Foundation  39 D a Vinci Research Kit (dVRK)  40 S TEM education   40 F IRST Robotics    41 C ommunity activities  41 S unnyvale Community Services  42 S tanford blood drives  42 P addle for Cancer 43 Corporate governance  4 4 Board of Directors  5 Governance and Nominating Committee  5 Sustainability Steering Committee  5 Ethical business conduct  6 Anti-bribery and anti-corruption  6 Tax transparency 47 Conclusion 4 of Intuitive Sustainability Report 2019 PN1066134-US RevA 01/2020At Intuitive, our innovations are grounded in a commitment to understanding human  needs and technology’s potential.
","('Waste_And_Hazardous_Materials_Management', 0.9841464161872864)","('Water_And_Wastewater_Management', 0.0012301442911848426)","('Employee_Health_And_Safety', 0.0010726919863373041)","(['Operational Eco-Efficiency'], 0.9841464161872864)","('NON-ESG', 0.0012301442911848426)","('NON-ESG', 0.0010726919863373041)"
Line 4,"Sustainability   Report PN1066134-US RevA 01/20202 of PN1066134-US RevA 01/2020 Intuitive Sustainability Report 2019Table of contents 04 From the desk of Gary Guthart, CEO  0 4 How we create and assess sustainable value  06 Founding principles 07 History10 Focus on patients  12  Design   12 Human factors and clinical development   12 Engineering  3 Patient and care team safety  13 C ommitment to clinical evidence, risk assessment and mitigation  14 C linical Risk Review Board (CRRB)  5 Commitment to training  16 I ntuitive Technology Training Pathway (TTP)  17 T raining Passport Program  18 V irtual environment skill building  18  Telementoring  9 Supporting our customers  19  Genesis   F ield service and preventive maintenance   T echnical support   I nstruments & Accessories (I&A) support 22 Supply chain sustainability  2 3 Supply chain management  4 S electing and supporting our suppliers   4 Supplier business reviews (SBRs)  4 Supplier handbook and scorecard  4 Supplier symposium   5 Compliance  25 S mall Business Administration  25 Th e Dodd-Frank Act  25 C alifornia Transparency in Supply Chain Act (CALTISCA)  25 U nited Kingdom (U.K.) Modern Slavery Act  25 R estriction of Hazardous Substances (RoHS) 26 Environmental stewardship  2 7 ISO 14001 certified   8 Managing waste  28 R ecertification of components  28 P roprietary recycling  28 E lectronic waste   28 M edical waste3 of PN1066134-US RevA 01/2020 Intuitive Sustainability Report 2019Table of contents  2 9 Sustainable transportation  29 C ompany-provided public transportation  29 E lectric vehicle (EV) charging stations  29 B ike-share program 30 T alent and workplace experience  3 2 Inclusion and Diversity  3 Our culture: we are Intuitive   33 I nvestment in people  34 W orkplace Experience Committee (WEC)    Workplace services  35 G lobal on-site events   35 S ports and fitness  5 Employee health and safety  36 E mployee Resource Groups (ERGs)  36 W omen in Technology (WITy) 37 Creating stronger communities  39 G iving back: The Intuitive Foundation  39 D a Vinci Research Kit (dVRK)  40 S TEM education   40 F IRST Robotics    41 C ommunity activities  41 S unnyvale Community Services  42 S tanford blood drives  42 P addle for Cancer 43 Corporate governance  4 4 Board of Directors  5 Governance and Nominating Committee  5 Sustainability Steering Committee  5 Ethical business conduct  6 Anti-bribery and anti-corruption  6 Tax transparency 47 Conclusion 4 of Intuitive Sustainability Report 2019 PN1066134-US RevA 01/2020At Intuitive, our innovations are grounded in a commitment to understanding human  needs and technology’s potential.
","('Employee_Engagement_Inclusion_And_Diversity', 0.940230131149292)","('Employee_Health_And_Safety', 0.008766984567046165)","('Human_Rights_And_Community_Relations', 0.008518291637301445)","(['Human Capital Development'], 0.940230131149292)","('NON-ESG', 0.008766984567046165)","('NON-ESG', 0.008518291637301445)"
Line 5,"Sustainability   Report PN1066134-US RevA 01/20202 of PN1066134-US RevA 01/2020 Intuitive Sustainability Report 2019Table of contents 04 From the desk of Gary Guthart, CEO  0 4 How we create and assess sustainable value  06 Founding principles 07 History10 Focus on patients  12  Design   12 Human factors and clinical development   12 Engineering  3 Patient and care team safety  13 C ommitment to clinical evidence, risk assessment and mitigation  14 C linical Risk Review Board (CRRB)  5 Commitment to training  16 I ntuitive Technology Training Pathway (TTP)  17 T raining Passport Program  18 V irtual environment skill building  18  Telementoring  9 Supporting our customers  19  Genesis   F ield service and preventive maintenance   T echnical support   I nstruments & Accessories (I&A) support 22 Supply chain sustainability  2 3 Supply chain management  4 S electing and supporting our suppliers   4 Supplier business reviews (SBRs)  4 Supplier handbook and scorecard  4 Supplier symposium   5 Compliance  25 S mall Business Administration  25 Th e Dodd-Frank Act  25 C alifornia Transparency in Supply Chain Act (CALTISCA)  25 U nited Kingdom (U.K.) Modern Slavery Act  25 R estriction of Hazardous Substances (RoHS) 26 Environmental stewardship  2 7 ISO 14001 certified   8 Managing waste  28 R ecertification of components  28 P roprietary recycling  28 E lectronic waste   28 M edical waste3 of PN1066134-US RevA 01/2020 Intuitive Sustainability Report 2019Table of contents  2 9 Sustainable transportation  29 C ompany-provided public transportation  29 E lectric vehicle (EV) charging stations  29 B ike-share program 30 T alent and workplace experience  3 2 Inclusion and Diversity  3 Our culture: we are Intuitive   33 I nvestment in people  34 W orkplace Experience Committee (WEC)    Workplace services  35 G lobal on-site events   35 S ports and fitness  5 Employee health and safety  36 E mployee Resource Groups (ERGs)  36 W omen in Technology (WITy) 37 Creating stronger communities  39 G iving back: The Intuitive Foundation  39 D a Vinci Research Kit (dVRK)  40 S TEM education   40 F IRST Robotics    41 C ommunity activities  41 S unnyvale Community Services  42 S tanford blood drives  42 P addle for Cancer 43 Corporate governance  4 4 Board of Directors  5 Governance and Nominating Committee  5 Sustainability Steering Committee  5 Ethical business conduct  6 Anti-bribery and anti-corruption  6 Tax transparency 47 Conclusion 4 of Intuitive Sustainability Report 2019 PN1066134-US RevA 01/2020At Intuitive, our innovations are grounded in a commitment to understanding human  needs and technology’s potential.
","('Business_Ethics', 0.975392758846283)","('Management_Of_Legal_And_Regulatory_Framework', 0.0026087842416018248)","('Systemic_Risk_Management', 0.0020412805024534464)","(['Business Ethics'], 0.975392758846283)","('NON-ESG', 0.0026087842416018248)","('NON-ESG', 0.0020412805024534464)"
Line 6,"Sustainability   Report PN1066134-US RevA 01/20202 of PN1066134-US RevA 01/2020 Intuitive Sustainability Report 2019Table of contents 04 From the desk of Gary Guthart, CEO  0 4 How we create and assess sustainable value  06 Founding principles 07 History10 Focus on patients  12  Design   12 Human factors and clinical development   12 Engineering  3 Patient and care team safety  13 C ommitment to clinical evidence, risk assessment and mitigation  14 C linical Risk Review Board (CRRB)  5 Commitment to training  16 I ntuitive Technology Training Pathway (TTP)  17 T raining Passport Program  18 V irtual environment skill building  18  Telementoring  9 Supporting our customers  19  Genesis   F ield service and preventive maintenance   T echnical support   I nstruments & Accessories (I&A) support 22 Supply chain sustainability  2 3 Supply chain management  4 S electing and supporting our suppliers   4 Supplier business reviews (SBRs)  4 Supplier handbook and scorecard  4 Supplier symposium   5 Compliance  25 S mall Business Administration  25 Th e Dodd-Frank Act  25 C alifornia Transparency in Supply Chain Act (CALTISCA)  25 U nited Kingdom (U.K.) Modern Slavery Act  25 R estriction of Hazardous Substances (RoHS) 26 Environmental stewardship  2 7 ISO 14001 certified   8 Managing waste  28 R ecertification of components  28 P roprietary recycling  28 E lectronic waste   28 M edical waste3 of PN1066134-US RevA 01/2020 Intuitive Sustainability Report 2019Table of contents  2 9 Sustainable transportation  29 C ompany-provided public transportation  29 E lectric vehicle (EV) charging stations  29 B ike-share program 30 T alent and workplace experience  3 2 Inclusion and Diversity  3 Our culture: we are Intuitive   33 I nvestment in people  34 W orkplace Experience Committee (WEC)    Workplace services  35 G lobal on-site events   35 S ports and fitness  5 Employee health and safety  36 E mployee Resource Groups (ERGs)  36 W omen in Technology (WITy) 37 Creating stronger communities  39 G iving back: The Intuitive Foundation  39 D a Vinci Research Kit (dVRK)  40 S TEM education   40 F IRST Robotics    41 C ommunity activities  41 S unnyvale Community Services  42 S tanford blood drives  42 P addle for Cancer 43 Corporate governance  4 4 Board of Directors  5 Governance and Nominating Committee  5 Sustainability Steering Committee  5 Ethical business conduct  6 Anti-bribery and anti-corruption  6 Tax transparency 47 Conclusion 4 of Intuitive Sustainability Report 2019 PN1066134-US RevA 01/2020At Intuitive, our innovations are grounded in a commitment to understanding human  needs and technology’s potential.
","('Human_Rights_And_Community_Relations', 0.17745162546634674)","('Business_Model_Resilience', 0.15134406089782715)","('Product_Design_And_Lifecycle_Management', 0.12988631427288055)","('NON-ESG', 0.17745162546634674)","('NON-ESG', 0.15134406089782715)","('NON-ESG', 0.12988631427288055)"
Line 7,"Inquiry and exploration have shaped our team, our approach to serving the needs of healthcare providers, and our commitment to bettering the communities in which we live and work.
","('Access_And_Affordability', 0.41421833634376526)","('Human_Rights_And_Community_Relations', 0.3529868423938751)","('Employee_Engagement_Inclusion_And_Diversity', 0.03690066188573837)","('NON-ESG', 0.41421833634376526)","('NON-ESG', 0.3529868423938751)","('NON-ESG', 0.03690066188573837)"
Line 8,"We believe that minimally invasive care is life-enhancing care.
","('Access_And_Affordability', 0.27221575379371643)","('Employee_Health_And_Safety', 0.1291479766368866)","('Product_Design_And_Lifecycle_Management', 0.11919321864843369)","('NON-ESG', 0.27221575379371643)","('NON-ESG', 0.1291479766368866)","('NON-ESG', 0.11919321864843369)"
Line 9,"Through ingenuity and intelligent technology, we expand the potential of physicians to heal without constraints.
","('Employee_Engagement_Inclusion_And_Diversity', 0.163333922624588)","('Business_Model_Resilience', 0.12021999061107635)","('Access_And_Affordability', 0.11947369575500488)","('NON-ESG', 0.163333922624588)","('NON-ESG', 0.12021999061107635)","('NON-ESG', 0.11947369575500488)"
Line 10,"Both our mission and our approach to corporate sustainability are focused on contributing to a better future for physicians, healthcare teams, and their patients—and for our employees, communities, and the world.
","('Human_Rights_And_Community_Relations', 0.20841501653194427)","('Business_Model_Resilience', 0.1886964589357376)","('Employee_Engagement_Inclusion_And_Diversity', 0.13361935317516327)","('NON-ESG', 0.20841501653194427)","('NON-ESG', 0.1886964589357376)","('NON-ESG', 0.13361935317516327)"
