,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"PN 1074653-US RevA 01/Sustainability   Report 20202 of PN 1074653-US RevA 01/2021 Intuitive Sustainability Report 2020Table of contents 03 F rom the desk of Gary Guthart, CEO  O ur history  F ocus on customers and their patients  0 Customer financial-relief program  1 Procedure-backlog support   2 Extended Use Program  3 Commitment to training  5 Genesis program  6 Cybersecurity  7 Quality management system (QMS) 19 T alent and workplace experience  2 Protecting our employees  4 Inclusion and diversity (I&D)  1 Talent development  3 University Hiring Program (UHP)  C reating stronger communities  5 Giving back: the Intuitive Foundation  9 Expanding access to healthcare  1 STEM education 43 S upply chain sustainability 46 E nvironmental stewardship 50  Governance3 of Intuitive Sustainability Report 2020 PN 1074653-US RevA 01/2021We are pleased to present our actions and results for corporate sustainability  in this year’s report.
","('Employee_Engagement_Inclusion_And_Diversity', 0.969545304775238)","('Employee_Health_And_Safety', 0.003147556446492672)","('Human_Rights_And_Community_Relations', 0.002530770841985941)","(['Human Capital Development'], 0.969545304775238)","('NON-ESG', 0.003147556446492672)","('NON-ESG', 0.002530770841985941)"
Line 2,"PN 1074653-US RevA 01/Sustainability   Report 20202 of PN 1074653-US RevA 01/2021 Intuitive Sustainability Report 2020Table of contents 03 F rom the desk of Gary Guthart, CEO  O ur history  F ocus on customers and their patients  0 Customer financial-relief program  1 Procedure-backlog support   2 Extended Use Program  3 Commitment to training  5 Genesis program  6 Cybersecurity  7 Quality management system (QMS) 19 T alent and workplace experience  2 Protecting our employees  4 Inclusion and diversity (I&D)  1 Talent development  3 University Hiring Program (UHP)  C reating stronger communities  5 Giving back: the Intuitive Foundation  9 Expanding access to healthcare  1 STEM education 43 S upply chain sustainability 46 E nvironmental stewardship 50  Governance3 of Intuitive Sustainability Report 2020 PN 1074653-US RevA 01/2021We are pleased to present our actions and results for corporate sustainability  in this year’s report.
","('Employee_Engagement_Inclusion_And_Diversity', 0.6915048360824585)","('Access_And_Affordability', 0.07154295593500137)","('Business_Model_Resilience', 0.03486449271440506)","(['Human Capital Development'], 0.6915048360824585)","('NON-ESG', 0.07154295593500137)","('NON-ESG', 0.03486449271440506)"
Line 3,"Significant global change in 2020 has stress-tested many organizations, including ours, both on the principles underpinning corporate sustainability and their execution in a time of deep uncertainty.
","('Systemic_Risk_Management', 0.594028651714325)","('Business_Model_Resilience', 0.27025479078292847)","('Physical_Impacts_Of_Climate_Change', 0.035415880382061005)","(['Risk & Crisis Management'], 0.594028651714325)","('NON-ESG', 0.27025479078292847)","('NON-ESG', 0.035415880382061005)"
Line 4,"This year has highlighted reliance on our deeply held corporate values, robust operating  processes, and enduring commitment to customers, employees, and communities.
","('Human_Rights_And_Community_Relations', 0.7090347409248352)","('Business_Model_Resilience', 0.05933160334825516)","('Employee_Engagement_Inclusion_And_Diversity', 0.0290692001581192)","(['Community Relations'], 0.7090347409248352)","('NON-ESG', 0.05933160334825516)","('NON-ESG', 0.0290692001581192)"
Line 5,"We will take you through how we are meeting the challenge in this report.
","('Management_Of_Legal_And_Regulatory_Framework', 0.2787957191467285)","('Business_Model_Resilience', 0.1793796271085739)","('Human_Rights_And_Community_Relations', 0.1136111319065094)","('NON-ESG', 0.2787957191467285)","('NON-ESG', 0.1793796271085739)","('NON-ESG', 0.1136111319065094)"
Line 6,"In our earliest days, we built a framework to articulate the value we bring to the  multiple stakeholders we serve, from customers to employees to suppliers to our communities and our shareholders.
","('Supply_Chain_Management', 0.42780911922454834)","('Product_Design_And_Lifecycle_Management', 0.1394474357366562)","('Human_Rights_And_Community_Relations', 0.08497469127178192)","('NON-ESG', 0.42780911922454834)","('NON-ESG', 0.1394474357366562)","('NON-ESG', 0.08497469127178192)"
Line 7,"This forms the foundation of our culture and informs our decision-making, priorities, and actions.
","('Human_Rights_And_Community_Relations', 0.2871912121772766)","('Management_Of_Legal_And_Regulatory_Framework', 0.1631609946489334)","('Director_Removal', 0.12349574267864227)","('NON-ESG', 0.2871912121772766)","('NON-ESG', 0.1631609946489334)","('NON-ESG', 0.12349574267864227)"
Line 8,"COVID-19 impact and our response For much of 2020, our value framework oriented around COVID-19, our response,  and meeting the needs of our core constituencies.
","('Business_Model_Resilience', 0.8166847229003906)","('Human_Rights_And_Community_Relations', 0.024007339030504227)","('Physical_Impacts_Of_Climate_Change', 0.019310491159558296)","(['Codes of Business Conduct'], 0.8166847229003906)","('NON-ESG', 0.024007339030504227)","('NON-ESG', 0.019310491159558296)"
Line 9,"Customer feedback informed us of the COVID-19 impact relatively early, and we  formed our cross-functional response team in early 2020.
","('Business_Model_Resilience', 0.2900888919830322)","('Supply_Chain_Management', 0.10415548831224442)","('Competitive_Behavior', 0.0712919756770134)","('NON-ESG', 0.2900888919830322)","('NON-ESG', 0.10415548831224442)","('NON-ESG', 0.0712919756770134)"
Line 10,"Our COVID-19 response team included surgeons, professionals from medical education, human resources, operations, and design, as well as commercial and field service leaders.
","('Access_And_Affordability', 0.2429005652666092)","('Employee_Engagement_Inclusion_And_Diversity', 0.18643046915531158)","('Employee_Health_And_Safety', 0.17477524280548096)","('NON-ESG', 0.2429005652666092)","('NON-ESG', 0.18643046915531158)","('NON-ESG', 0.17477524280548096)"
Line 11,"The team increased our knowledge by reaching out to those studying COVID-19, those responding to it in hospitals, and those who had addressed prior infectious  disease outbreaks.
","('Critical_Incident_Risk_Management', 0.44387349486351013)","('Physical_Impacts_Of_Climate_Change', 0.150997132062912)","('Air_Quality', 0.07139800488948822)","('NON-ESG', 0.44387349486351013)","('NON-ESG', 0.150997132062912)","('NON-ESG', 0.07139800488948822)"
Line 12,"The emergence of the pandemic changed the environment for medical device  companies quickly and significantly along three dimensions: · Employee safety and work-from-home arrangements · Hospital management of COVID-19 and surgery · Supporting community needs where we work and live Performing our work at customer sites and in our manufacturing facilities and offices  required adaptation.
","('Employee_Health_And_Safety', 0.9795301556587219)","('Critical_Incident_Risk_Management', 0.0041366019286215305)","('Employee_Engagement_Inclusion_And_Diversity', 0.0014198538847267628)","(['Operational Eco-Efficiency'], 0.9795301556587219)","('NON-ESG', 0.0041366019286215305)","('NON-ESG', 0.0014198538847267628)"
Line 13,"Learning from principles developed in prior infectious disease epidemics and from our associates in Asia, we implemented screening protocols and use of personal protective equipment (PPE).
","('Critical_Incident_Risk_Management', 0.4745689034461975)","('Employee_Health_And_Safety', 0.39799952507019043)","('Air_Quality', 0.01726807840168476)","('NON-ESG', 0.4745689034461975)","('NON-ESG', 0.39799952507019043)","('NON-ESG', 0.01726807840168476)"
Line 14,"We also adjusted facility layouts, redesigned employee work shifts, and established contact-tracing protocols.
","('Labor_Practices', 0.5028826594352722)","('Employee_Health_And_Safety', 0.17888838052749634)","('Customer_Privacy', 0.08551821857690811)","(['Labor Practice Indicators'], 0.5028826594352722)","('NON-ESG', 0.17888838052749634)","('NON-ESG', 0.08551821857690811)"
Line 15,"In the face of shelter-in-place orders that were mandated in our communities, we invested in work-from-home support and engaged with local business roundtables and government health departments to establish and review practices.
","('Access_And_Affordability', 0.5818784236907959)","('Human_Rights_And_Community_Relations', 0.08668691664934158)","('Employee_Health_And_Safety', 0.08079671859741211)","(['Health Outcome Contribution'], 0.5818784236907959)","('NON-ESG', 0.08668691664934158)","('NON-ESG', 0.08079671859741211)"
Line 16,"We updated our leave policies early in the pandemic and adjusted employee financial programs to provide support to employees who needed flexibility.
","('Labor_Practices', 0.6405523419380188)","('Employee_Engagement_Inclusion_And_Diversity', 0.0966339185833931)","('Director_Removal', 0.05498022213578224)","(['Labor Practice Indicators'], 0.6405523419380188)","('NON-ESG', 0.0966339185833931)","('NON-ESG', 0.05498022213578224)"
Line 17,"To date, our factories were closed for fewer than five days due to COVID-19, and our customers have not experienced supply disruption of Intuitive products.From the desk of Gary Guthart, CEO Our Mission:   We believe that minimally  invasive care is life-enhancing care.
","('Product_Design_And_Lifecycle_Management', 0.8268848657608032)","('Supply_Chain_Management', 0.039239879697561264)","('Product_Quality_And_Safety', 0.021887460723519325)","(['Product Stewardship'], 0.8268848657608032)","('NON-ESG', 0.039239879697561264)","('NON-ESG', 0.021887460723519325)"
Line 18,"Through ingenuity and intelligent technology, we expand the potential of physicians to heal without constraints.
","('Employee_Engagement_Inclusion_And_Diversity', 0.163333922624588)","('Business_Model_Resilience', 0.12021999061107635)","('Access_And_Affordability', 0.11947369575500488)","('NON-ESG', 0.163333922624588)","('NON-ESG', 0.12021999061107635)","('NON-ESG', 0.11947369575500488)"
