,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"PUTTING PURPOSE INTO ACTION  INTEGRA TED PERFORMANCE REPORT 2020  MEDTRONIC       INTEGRA TED PERFORMANCE  REPORT 3 42REPORT  CONTENTS ADDING VALUE TO SOCIETY   GLOBAL HEAL THCARE ACCESS    PHILANTHROPY    THE ECONOMIC IMPACT OF OUR BUSINESS  27COMPANY  OVERVIEW    A MESSAGE FROM OUR CEO    THE MEDTRONIC MISSION    OUR BUSINESS    FY2O SNAPSHOT     A MIS SION AS A ROADMAP: OUR RESPONSE   TO COVID-19    SUST AINABILITY STRA TEGY AND REPORTING  SUPPORTING  A GLOBAL  WORKFORCE   INCLUSION, DIVERSITY , AND EQUITY    DEVELOPMENT AND ENGAGEMENT    HEAL TH AND WELL -BEING     COMPENSA TION, BENEFITS, AND RECOGNITION  47WORKINGRESPONSIBL Y   PRODUCT QUALITY    CORPORA TE GOVERNANCE    ETHICAL BUSINESS CONDUCT    ETHICS IN SALES AND MARKETING    DA T A PRIVACY AND SECURITY    SUPPL Y CHAIN RESPONSIBILITY  63PROMOTING ENVIRONMENT AL STEWARDSHIP   CLIMA TE RISK AND RESILIENCE    REDUCING OUR OPERA TIONAL FOOTPRINT    PRODUCT STEWARDSHIP     ABOUT THIS REP ORT  ESG DISCLOSURE INDEX    CONTENTS    GRI    SASB    TCFD    EMPLOYEE DA T A SUMMARY  99MEDTRONIC       INTEGRA TED PERFORMANCE  REPORT It’s never been clearer: our future depends on companies  that not only innovate boldly, but ones that act with integrity.
","('Employee_Engagement_Inclusion_And_Diversity', 0.9727727174758911)","('Employee_Health_And_Safety', 0.002227075630798936)","('Business_Model_Resilience', 0.002183634554967284)","(['Human Capital Development'], 0.9727727174758911)","('NON-ESG', 0.002227075630798936)","('NON-ESG', 0.002183634554967284)"
Line 2,"PUTTING PURPOSE INTO ACTION  INTEGRA TED PERFORMANCE REPORT 2020  MEDTRONIC       INTEGRA TED PERFORMANCE  REPORT 3 42REPORT  CONTENTS ADDING VALUE TO SOCIETY   GLOBAL HEAL THCARE ACCESS    PHILANTHROPY    THE ECONOMIC IMPACT OF OUR BUSINESS  27COMPANY  OVERVIEW    A MESSAGE FROM OUR CEO    THE MEDTRONIC MISSION    OUR BUSINESS    FY2O SNAPSHOT     A MIS SION AS A ROADMAP: OUR RESPONSE   TO COVID-19    SUST AINABILITY STRA TEGY AND REPORTING  SUPPORTING  A GLOBAL  WORKFORCE   INCLUSION, DIVERSITY , AND EQUITY    DEVELOPMENT AND ENGAGEMENT    HEAL TH AND WELL -BEING     COMPENSA TION, BENEFITS, AND RECOGNITION  47WORKINGRESPONSIBL Y   PRODUCT QUALITY    CORPORA TE GOVERNANCE    ETHICAL BUSINESS CONDUCT    ETHICS IN SALES AND MARKETING    DA T A PRIVACY AND SECURITY    SUPPL Y CHAIN RESPONSIBILITY  63PROMOTING ENVIRONMENT AL STEWARDSHIP   CLIMA TE RISK AND RESILIENCE    REDUCING OUR OPERA TIONAL FOOTPRINT    PRODUCT STEWARDSHIP     ABOUT THIS REP ORT  ESG DISCLOSURE INDEX    CONTENTS    GRI    SASB    TCFD    EMPLOYEE DA T A SUMMARY  99MEDTRONIC       INTEGRA TED PERFORMANCE  REPORT It’s never been clearer: our future depends on companies  that not only innovate boldly, but ones that act with integrity.
","('Business_Ethics', 0.3202848732471466)","('Business_Model_Resilience', 0.2691395580768585)","('Systemic_Risk_Management', 0.04105880856513977)","('NON-ESG', 0.3202848732471466)","('NON-ESG', 0.2691395580768585)","('NON-ESG', 0.04105880856513977)"
Line 3,"PUTTING PURPOSE INTO ACTION  INTEGRA TED PERFORMANCE REPORT 2020  MEDTRONIC       INTEGRA TED PERFORMANCE  REPORT 3 42REPORT  CONTENTS ADDING VALUE TO SOCIETY   GLOBAL HEAL THCARE ACCESS    PHILANTHROPY    THE ECONOMIC IMPACT OF OUR BUSINESS  27COMPANY  OVERVIEW    A MESSAGE FROM OUR CEO    THE MEDTRONIC MISSION    OUR BUSINESS    FY2O SNAPSHOT     A MIS SION AS A ROADMAP: OUR RESPONSE   TO COVID-19    SUST AINABILITY STRA TEGY AND REPORTING  SUPPORTING  A GLOBAL  WORKFORCE   INCLUSION, DIVERSITY , AND EQUITY    DEVELOPMENT AND ENGAGEMENT    HEAL TH AND WELL -BEING     COMPENSA TION, BENEFITS, AND RECOGNITION  47WORKINGRESPONSIBL Y   PRODUCT QUALITY    CORPORA TE GOVERNANCE    ETHICAL BUSINESS CONDUCT    ETHICS IN SALES AND MARKETING    DA T A PRIVACY AND SECURITY    SUPPL Y CHAIN RESPONSIBILITY  63PROMOTING ENVIRONMENT AL STEWARDSHIP   CLIMA TE RISK AND RESILIENCE    REDUCING OUR OPERA TIONAL FOOTPRINT    PRODUCT STEWARDSHIP     ABOUT THIS REP ORT  ESG DISCLOSURE INDEX    CONTENTS    GRI    SASB    TCFD    EMPLOYEE DA T A SUMMARY  99MEDTRONIC       INTEGRA TED PERFORMANCE  REPORT It’s never been clearer: our future depends on companies  that not only innovate boldly, but ones that act with integrity.
","('Business_Model_Resilience', 0.802068829536438)","('Systemic_Risk_Management', 0.04601968452334404)","('Competitive_Behavior', 0.022747810930013657)","(['Codes of Business Conduct'], 0.802068829536438)","('NON-ESG', 0.04601968452334404)","('NON-ESG', 0.022747810930013657)"
Line 4,"For much of our fiscal year 2020 (May 2019 – April 2020), Omar Ishrak and I worked hand-in-hand to lay the foundation for my transition to the CEO role at Medtronic.
","('Business_Model_Resilience', 0.5175527334213257)","('Employee_Engagement_Inclusion_And_Diversity', 0.07303816825151443)","('Director_Removal', 0.06606907397508621)","(['Codes of Business Conduct'], 0.5175527334213257)","('NON-ESG', 0.07303816825151443)","('NON-ESG', 0.06606907397508621)"
Line 5,"We discussed the opportunities and challenges ahead, building resilience for the future and protecting our first priority — an unwavering pursuit of our Mission to alleviate pain, restore health, and extend life for patients around the world.
","('Business_Model_Resilience', 0.6888929009437561)","('Human_Rights_And_Community_Relations', 0.035796869546175)","('Physical_Impacts_Of_Climate_Change', 0.032896898686885834)","(['Codes of Business Conduct'], 0.6888929009437561)","('NON-ESG', 0.035796869546175)","('NON-ESG', 0.032896898686885834)"
Line 6,"The path is clear because our purpose is clear .
","('Human_Rights_And_Community_Relations', 0.2597444951534271)","('Business_Model_Resilience', 0.14063403010368347)","('Employee_Engagement_Inclusion_And_Diversity', 0.08092823624610901)","('NON-ESG', 0.2597444951534271)","('NON-ESG', 0.14063403010368347)","('NON-ESG', 0.08092823624610901)"
Line 7,"Our deep commitment to global corporate citizenship  will continue to drive everything we do: adding value to society through the development of innovative, life-saving medical devices and therapies; promoting environmental stewardship; supporting our global workforce; and working responsibly with, and on behalf of, our partners, suppliers, and shareholders.
","('Product_Design_And_Lifecycle_Management', 0.42599377036094666)","('Access_And_Affordability', 0.12851691246032715)","('Product_Quality_And_Safety', 0.09979137033224106)","('NON-ESG', 0.42599377036094666)","('NON-ESG', 0.12851691246032715)","('NON-ESG', 0.09979137033224106)"
Line 8,"Adapting to COVID-19: A roadmap   for change Guided by our Mission, Medtronic mobilized and quickly  mapped out a course of action to help global healthcare professionals and partners continue to treat patients  and also protect themselves in the face of COVID-19.
","('Access_And_Affordability', 0.3821941912174225)","('Critical_Incident_Risk_Management', 0.08710986375808716)","('Systemic_Risk_Management', 0.058843184262514114)","('NON-ESG', 0.3821941912174225)","('NON-ESG', 0.08710986375808716)","('NON-ESG', 0.058843184262514114)"
Line 9,"We rapidly increased our internal ventilator production  five-fold from 200 a week pre-pandemic to over 1,000  a week in June.
","('Critical_Incident_Risk_Management', 0.6227544546127319)","('Air_Quality', 0.07903236895799637)","('Employee_Health_And_Safety', 0.07796931266784668)","(['Risk & Crisis Management'], 0.6227544546127319)","('NON-ESG', 0.07903236895799637)","('NON-ESG', 0.07796931266784668)"
Line 10,"Early on, we realized we couldn’t meet  the global demand alone and took the unprecedented  step in March to make our ventilator designs available  to manufacturers around the world by publishing  open-source design specifications for our portable, compact ventilator .
","('Energy_Management', 0.39483559131622314)","('Product_Design_And_Lifecycle_Management', 0.2965182363986969)","('Critical_Incident_Risk_Management', 0.057974979281425476)","('NON-ESG', 0.39483559131622314)","('NON-ESG', 0.2965182363986969)","('NON-ESG', 0.057974979281425476)"
