,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"Engineering  impact Medtronic 2021 Integrated Performance ReportContents About this report Letters to our stakeholders 5 At a glance: A year of impact 7Our business: Engineering   the extraordinary  Our ongoing C OVID-19   response Advancing social justice   and equity Our impact: Employee stories 16FY21 environmental sustainability  highlights  Clima te risk and resilience Reducing our operational footprint  P roduct stewardship 34Material issues and targets Sustainability governance 21Stakeholder engagement 23 Contribution to the UN  Sustainable Development  Goals 25FY21 governance and accountability highlights Corporate governance 73    Ethical business conduct  76    Ethics in sales and mark eting 79    Our economic impac t 81   FY21 social impact highlights  Global healthcare access 38Philanthropy 45   Inclusion,  diversity, and equity 51  Supporting a global workforce  Patient safety and product   quality 60   Data privacy and security 65 Supply chain responsibility 67Global Reporting Initiative index  84  Sustainability Accounting  Standards Board index Task Force on Climate-Related  Financial Disclosures 108  World Economic Forum 112Employee data summary 116Introduction Environmental sustainability ESG strategy Social impact Governance and accountability ESG Disclosure Index 2   Medtronic 2021 Integrated Performance Report      Introduction We see extraordinary possibilities to increase  our positive impact.
","('Business_Model_Resilience', 0.9012911915779114)","('Supply_Chain_Management', 0.009196584112942219)","('Product_Design_And_Lifecycle_Management', 0.008917274884879589)","(['Codes of Business Conduct'], 0.9012911915779114)","('NON-ESG', 0.009196584112942219)","('NON-ESG', 0.008917274884879589)"
Line 2,"Engineering  impact Medtronic 2021 Integrated Performance ReportContents About this report Letters to our stakeholders 5 At a glance: A year of impact 7Our business: Engineering   the extraordinary  Our ongoing C OVID-19   response Advancing social justice   and equity Our impact: Employee stories 16FY21 environmental sustainability  highlights  Clima te risk and resilience Reducing our operational footprint  P roduct stewardship 34Material issues and targets Sustainability governance 21Stakeholder engagement 23 Contribution to the UN  Sustainable Development  Goals 25FY21 governance and accountability highlights Corporate governance 73    Ethical business conduct  76    Ethics in sales and mark eting 79    Our economic impac t 81   FY21 social impact highlights  Global healthcare access 38Philanthropy 45   Inclusion,  diversity, and equity 51  Supporting a global workforce  Patient safety and product   quality 60   Data privacy and security 65 Supply chain responsibility 67Global Reporting Initiative index  84  Sustainability Accounting  Standards Board index Task Force on Climate-Related  Financial Disclosures 108  World Economic Forum 112Employee data summary 116Introduction Environmental sustainability ESG strategy Social impact Governance and accountability ESG Disclosure Index 2   Medtronic 2021 Integrated Performance Report      Introduction We see extraordinary possibilities to increase  our positive impact.
","('Business_Ethics', 0.8745087385177612)","('Product_Quality_And_Safety', 0.025322768837213516)","('Employee_Engagement_Inclusion_And_Diversity', 0.011099194176495075)","(['Business Ethics'], 0.8745087385177612)","('NON-ESG', 0.025322768837213516)","('NON-ESG', 0.011099194176495075)"
Line 3,"Engineering  impact Medtronic 2021 Integrated Performance ReportContents About this report Letters to our stakeholders 5 At a glance: A year of impact 7Our business: Engineering   the extraordinary  Our ongoing C OVID-19   response Advancing social justice   and equity Our impact: Employee stories 16FY21 environmental sustainability  highlights  Clima te risk and resilience Reducing our operational footprint  P roduct stewardship 34Material issues and targets Sustainability governance 21Stakeholder engagement 23 Contribution to the UN  Sustainable Development  Goals 25FY21 governance and accountability highlights Corporate governance 73    Ethical business conduct  76    Ethics in sales and mark eting 79    Our economic impac t 81   FY21 social impact highlights  Global healthcare access 38Philanthropy 45   Inclusion,  diversity, and equity 51  Supporting a global workforce  Patient safety and product   quality 60   Data privacy and security 65 Supply chain responsibility 67Global Reporting Initiative index  84  Sustainability Accounting  Standards Board index Task Force on Climate-Related  Financial Disclosures 108  World Economic Forum 112Employee data summary 116Introduction Environmental sustainability ESG strategy Social impact Governance and accountability ESG Disclosure Index 2   Medtronic 2021 Integrated Performance Report      Introduction We see extraordinary possibilities to increase  our positive impact.
","('Management_Of_Legal_And_Regulatory_Framework', 0.2437550276517868)","('Business_Model_Resilience', 0.2326989471912384)","('Systemic_Risk_Management', 0.2297814041376114)","('NON-ESG', 0.2437550276517868)","('NON-ESG', 0.2326989471912384)","('NON-ESG', 0.2297814041376114)"
Line 4,"Our environmental,  social, and governance (ESG) efforts,  combined with the passion of our 90,000+ employees, drive better outcomes for  our world through a healthier society  and healthier planet.
","('Human_Rights_And_Community_Relations', 0.8976189494132996)","('Access_And_Affordability', 0.010090877301990986)","('Business_Model_Resilience', 0.009620342403650284)","(['Community Relations'], 0.8976189494132996)","('NON-ESG', 0.010090877301990986)","('NON-ESG', 0.009620342403650284)"
Line 5,"About this report Letters to our stakeholders 5 At a glance: A year of impact 7Our business: Engineering the extraordinary 8Our ongoing COVID-19 response  Advancing social justice and equity  Our impact: Employee stories 3   Medtronic 2021 Integrated Performance Report      About this report This report reflects the Medtronic material ESG  topics in alignment with leading reporting frameworks and standards, including the Global Reporting Initiative; the Sustainability Accounting Standards Board; the Task Force on Climate-Related Financial Disclosures; and the World Economic Forum Stakeholder Capitalism Metrics, which are detailed in our ESG Disclosure Index.
","('Human_Rights_And_Community_Relations', 0.3070271611213684)","('Management_Of_Legal_And_Regulatory_Framework', 0.21252870559692383)","('Systemic_Risk_Management', 0.07717996835708618)","('NON-ESG', 0.3070271611213684)","('NON-ESG', 0.21252870559692383)","('NON-ESG', 0.07717996835708618)"
Line 6,"About this report Letters to our stakeholders 5 At a glance: A year of impact 7Our business: Engineering the extraordinary 8Our ongoing COVID-19 response  Advancing social justice and equity  Our impact: Employee stories 3   Medtronic 2021 Integrated Performance Report      About this report This report reflects the Medtronic material ESG  topics in alignment with leading reporting frameworks and standards, including the Global Reporting Initiative; the Sustainability Accounting Standards Board; the Task Force on Climate-Related Financial Disclosures; and the World Economic Forum Stakeholder Capitalism Metrics, which are detailed in our ESG Disclosure Index.
","('Physical_Impacts_Of_Climate_Change', 0.8714144229888916)","('Business_Model_Resilience', 0.04615604877471924)","('Systemic_Risk_Management', 0.01725977472960949)","(['Climate Change'], 0.8714144229888916)","('NON-ESG', 0.04615604877471924)","('NON-ESG', 0.01725977472960949)"
Line 7,"Unless otherwise stated, all performance reporting  covers our fiscal year 2021 (FY21), from April 25, 2020 through April 30, 2021.
","('Management_Of_Legal_And_Regulatory_Framework', 0.5015909671783447)","('Business_Model_Resilience', 0.08242464065551758)","('Systemic_Risk_Management', 0.06763007491827011)","(['Corporate Governance'], 0.5015909671783447)","('NON-ESG', 0.08242464065551758)","('NON-ESG', 0.06763007491827011)"
Line 8,"This report includes data from Medtronic plc and its  consolidated subsidiaries.
","('Systemic_Risk_Management', 0.2860858738422394)","('Business_Model_Resilience', 0.13792522251605988)","('Customer_Privacy', 0.07699021697044373)","('NON-ESG', 0.2860858738422394)","('NON-ESG', 0.13792522251605988)","('NON-ESG', 0.07699021697044373)"
Line 9,"Environmental, health, and safety data are from our manufacturing and research  and development facilities.
","('Employee_Health_And_Safety', 0.6758308410644531)","('Product_Quality_And_Safety', 0.18561382591724396)","('Product_Design_And_Lifecycle_Management', 0.020146287977695465)","(['Operational Eco-Efficiency'], 0.6758308410644531)","('NON-ESG', 0.18561382591724396)","('NON-ESG', 0.020146287977695465)"
Line 10,"A third party has verified  our FY19, FY20, and FY21 health and safety data,  shared on page 57.
","('Product_Quality_And_Safety', 0.6884378790855408)","('Employee_Health_And_Safety', 0.17388828098773956)","('Product_Design_And_Lifecycle_Management', 0.012990538030862808)","(['Product Quality & Recall Management'], 0.6884378790855408)","('NON-ESG', 0.17388828098773956)","('NON-ESG', 0.012990538030862808)"
