,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"Engineering impact Medtronic 2022 Integrated Performance ReportContents About this report  Letters to our stakeholders  5The year at a glance  7Our business  9Our impact: Employee   stories  13Material issues and targets  16   Sustainability  governance  18  Stakeholder engagement  20   C ontribution to the UN  Sustainable Development   Goals  23 FY22 environmental sustainability highlights  Climate risk and resilience  28Reducing our operational  footprint  Product stewardship  37FY22 social impact highlights  41Global healthcare access  42Philanthropy  51 Inclusion, diversity, and   equity  57 Supporting a global   workforce  64  Patient safety and product  quality  72   Data privacy and security  78 Supply chain responsibility  80FY22 governance and   accountability highlights  Corporate governance  88    Ethical business conduct   91    Ethics in sales and mark eting  Our economic impact  98Global Reporting   Initiative index   Sustainability  Accounting  Standards Board index  Task Force on Climate-Related  Financial Disclosures  World Economic Forum  Stakeholder Capitalism  Metrics  Employee data summary  138Governance and  accountabilityESG disclosure index  Social impact Environmental sustainabilityESG strategy Introduction 2022 Integrated Performance Report 2 ESG strategy Environmental sustainability Social impact Governance and accountability ESG disclosure index  Introduction Introduction In a time of significant global challenge and change, we  remain dedicated to our Mission to alleviate pain, restore health, and extend life — guided by environmental, social, and governance (ESG) priorities that put people first.
","('Business_Model_Resilience', 0.8637229800224304)","('Product_Design_And_Lifecycle_Management', 0.027474919334053993)","('Supply_Chain_Management', 0.016874678432941437)","(['Codes of Business Conduct'], 0.8637229800224304)","('NON-ESG', 0.027474919334053993)","('NON-ESG', 0.016874678432941437)"
Line 2,"Engineering impact Medtronic 2022 Integrated Performance ReportContents About this report  Letters to our stakeholders  5The year at a glance  7Our business  9Our impact: Employee   stories  13Material issues and targets  16   Sustainability  governance  18  Stakeholder engagement  20   C ontribution to the UN  Sustainable Development   Goals  23 FY22 environmental sustainability highlights  Climate risk and resilience  28Reducing our operational  footprint  Product stewardship  37FY22 social impact highlights  41Global healthcare access  42Philanthropy  51 Inclusion, diversity, and   equity  57 Supporting a global   workforce  64  Patient safety and product  quality  72   Data privacy and security  78 Supply chain responsibility  80FY22 governance and   accountability highlights  Corporate governance  88    Ethical business conduct   91    Ethics in sales and mark eting  Our economic impact  98Global Reporting   Initiative index   Sustainability  Accounting  Standards Board index  Task Force on Climate-Related  Financial Disclosures  World Economic Forum  Stakeholder Capitalism  Metrics  Employee data summary  138Governance and  accountabilityESG disclosure index  Social impact Environmental sustainabilityESG strategy Introduction 2022 Integrated Performance Report 2 ESG strategy Environmental sustainability Social impact Governance and accountability ESG disclosure index  Introduction Introduction In a time of significant global challenge and change, we  remain dedicated to our Mission to alleviate pain, restore health, and extend life — guided by environmental, social, and governance (ESG) priorities that put people first.
","('Business_Ethics', 0.8844577670097351)","('Product_Quality_And_Safety', 0.02384074218571186)","('Employee_Engagement_Inclusion_And_Diversity', 0.015169055201113224)","(['Business Ethics'], 0.8844577670097351)","('NON-ESG', 0.02384074218571186)","('NON-ESG', 0.015169055201113224)"
Line 3,"Engineering impact Medtronic 2022 Integrated Performance ReportContents About this report  Letters to our stakeholders  5The year at a glance  7Our business  9Our impact: Employee   stories  13Material issues and targets  16   Sustainability  governance  18  Stakeholder engagement  20   C ontribution to the UN  Sustainable Development   Goals  23 FY22 environmental sustainability highlights  Climate risk and resilience  28Reducing our operational  footprint  Product stewardship  37FY22 social impact highlights  41Global healthcare access  42Philanthropy  51 Inclusion, diversity, and   equity  57 Supporting a global   workforce  64  Patient safety and product  quality  72   Data privacy and security  78 Supply chain responsibility  80FY22 governance and   accountability highlights  Corporate governance  88    Ethical business conduct   91    Ethics in sales and mark eting  Our economic impact  98Global Reporting   Initiative index   Sustainability  Accounting  Standards Board index  Task Force on Climate-Related  Financial Disclosures  World Economic Forum  Stakeholder Capitalism  Metrics  Employee data summary  138Governance and  accountabilityESG disclosure index  Social impact Environmental sustainabilityESG strategy Introduction 2022 Integrated Performance Report 2 ESG strategy Environmental sustainability Social impact Governance and accountability ESG disclosure index  Introduction Introduction In a time of significant global challenge and change, we  remain dedicated to our Mission to alleviate pain, restore health, and extend life — guided by environmental, social, and governance (ESG) priorities that put people first.
","('Management_Of_Legal_And_Regulatory_Framework', 0.37804365158081055)","('Business_Model_Resilience', 0.11873576045036316)","('Human_Rights_And_Community_Relations', 0.0946810245513916)","('NON-ESG', 0.37804365158081055)","('NON-ESG', 0.11873576045036316)","('NON-ESG', 0.0946810245513916)"
Line 4,"Engineering impact Medtronic 2022 Integrated Performance ReportContents About this report  Letters to our stakeholders  5The year at a glance  7Our business  9Our impact: Employee   stories  13Material issues and targets  16   Sustainability  governance  18  Stakeholder engagement  20   C ontribution to the UN  Sustainable Development   Goals  23 FY22 environmental sustainability highlights  Climate risk and resilience  28Reducing our operational  footprint  Product stewardship  37FY22 social impact highlights  41Global healthcare access  42Philanthropy  51 Inclusion, diversity, and   equity  57 Supporting a global   workforce  64  Patient safety and product  quality  72   Data privacy and security  78 Supply chain responsibility  80FY22 governance and   accountability highlights  Corporate governance  88    Ethical business conduct   91    Ethics in sales and mark eting  Our economic impact  98Global Reporting   Initiative index   Sustainability  Accounting  Standards Board index  Task Force on Climate-Related  Financial Disclosures  World Economic Forum  Stakeholder Capitalism  Metrics  Employee data summary  138Governance and  accountabilityESG disclosure index  Social impact Environmental sustainabilityESG strategy Introduction 2022 Integrated Performance Report 2 ESG strategy Environmental sustainability Social impact Governance and accountability ESG disclosure index  Introduction Introduction In a time of significant global challenge and change, we  remain dedicated to our Mission to alleviate pain, restore health, and extend life — guided by environmental, social, and governance (ESG) priorities that put people first.
","('Human_Rights_And_Community_Relations', 0.8593092560768127)","('Management_Of_Legal_And_Regulatory_Framework', 0.016642984002828598)","('Ecological_Impacts', 0.01438187062740326)","(['Community Relations'], 0.8593092560768127)","('NON-ESG', 0.016642984002828598)","('NON-ESG', 0.01438187062740326)"
Line 5,"Our 95,000+ full-time employees share our vision to boldly attack the most challenging health problems facing humanity through innovative technological solutions.
","('Employee_Health_And_Safety', 0.9343355894088745)","('Access_And_Affordability', 0.00817573070526123)","('Critical_Incident_Risk_Management', 0.0070120892487466335)","(['Operational Eco-Efficiency'], 0.9343355894088745)","('NON-ESG', 0.00817573070526123)","('NON-ESG', 0.0070120892487466335)"
Line 6,"Together, we engineer the extraordinary.
","('Product_Design_And_Lifecycle_Management', 0.20227773487567902)","('Employee_Engagement_Inclusion_And_Diversity', 0.12309539318084717)","('Business_Model_Resilience', 0.07624867558479309)","('NON-ESG', 0.20227773487567902)","('NON-ESG', 0.12309539318084717)","('NON-ESG', 0.07624867558479309)"
Line 7,"About this report  Letters to our stakeholders  5The year at a glance  7Our business  9Our impact: Employee stories  2022 Integrated Performance Report 3 ESG strategy Environmental sustainability Social impact Governance and accountability ESG disclosure index  Introduction 2022 Integrated Performance Report 4 ESG strategy Environmental sustainability Social impact Governance and accountability ESG disclosure index  Introduction About this report The Medtronic 2022 Integrated Performance  Report reflects the Medtronic material environmental, social, and governance (ESG) topics in alignment with leading reporting frameworks and standards, including the Global Reporting Initiative; the Sustainability Accounting Standards Board; the Task Force on Climate-Related Financial Disclosures; and the World Economic Forum Stakeholder Capitalism Metrics, which are detailed in our ESG disclosure index.
","('Management_Of_Legal_And_Regulatory_Framework', 0.2249373346567154)","('Business_Model_Resilience', 0.19742941856384277)","('Business_Ethics', 0.11173755675554276)","('NON-ESG', 0.2249373346567154)","('NON-ESG', 0.19742941856384277)","('NON-ESG', 0.11173755675554276)"
Line 8,"About this report  Letters to our stakeholders  5The year at a glance  7Our business  9Our impact: Employee stories  2022 Integrated Performance Report 3 ESG strategy Environmental sustainability Social impact Governance and accountability ESG disclosure index  Introduction 2022 Integrated Performance Report 4 ESG strategy Environmental sustainability Social impact Governance and accountability ESG disclosure index  Introduction About this report The Medtronic 2022 Integrated Performance  Report reflects the Medtronic material environmental, social, and governance (ESG) topics in alignment with leading reporting frameworks and standards, including the Global Reporting Initiative; the Sustainability Accounting Standards Board; the Task Force on Climate-Related Financial Disclosures; and the World Economic Forum Stakeholder Capitalism Metrics, which are detailed in our ESG disclosure index.
","('Business_Model_Resilience', 0.2857050597667694)","('Physical_Impacts_Of_Climate_Change', 0.261819452047348)","('Management_Of_Legal_And_Regulatory_Framework', 0.07983538508415222)","('NON-ESG', 0.2857050597667694)","('NON-ESG', 0.261819452047348)","('NON-ESG', 0.07983538508415222)"
Line 9,"Unless otherwise stated, all performance reporting  covers our fiscal year (FY) 2022 (FY22), which was May 1, 2021 through April 29, 2022.
","('Management_Of_Legal_And_Regulatory_Framework', 0.4302511215209961)","('Business_Model_Resilience', 0.11591235548257828)","('GHG_Emissions', 0.06601870805025101)","('NON-ESG', 0.4302511215209961)","('NON-ESG', 0.11591235548257828)","('NON-ESG', 0.06601870805025101)"
Line 10,"This report includes data from Medtronic plc and its  consolidated subsidiaries.
","('Systemic_Risk_Management', 0.2860858738422394)","('Business_Model_Resilience', 0.13792522251605988)","('Customer_Privacy', 0.07699021697044373)","('NON-ESG', 0.2860858738422394)","('NON-ESG', 0.13792522251605988)","('NON-ESG', 0.07699021697044373)"
