,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"Sustainability  Report 2020Contents Message from the CEO .
","('Business_Model_Resilience', 0.40362876653671265)","('Supply_Chain_Management', 0.09455584734678268)","('Product_Design_And_Lifecycle_Management', 0.08721602708101273)","('NON-ESG', 0.40362876653671265)","('NON-ESG', 0.09455584734678268)","('NON-ESG', 0.08721602708101273)"
Line 2,"Message from the CSO .
","('Human_Rights_And_Community_Relations', 0.18926532566547394)","('Management_Of_Legal_And_Regulatory_Framework', 0.16028860211372375)","('Business_Ethics', 0.11268804222345352)","('NON-ESG', 0.18926532566547394)","('NON-ESG', 0.16028860211372375)","('NON-ESG', 0.11268804222345352)"
Line 3,"About Insulet .
","('Data_Security', 0.14600084722042084)","('Customer_Privacy', 0.1405259370803833)","('Business_Ethics', 0.1328548640012741)","('NON-ESG', 0.14600084722042084)","('NON-ESG', 0.1405259370803833)","('NON-ESG', 0.1328548640012741)"
Line 4,"Responding to COVID-19 .
","('Critical_Incident_Risk_Management', 0.24313876032829285)","('GHG_Emissions', 0.10964932292699814)","('Access_And_Affordability', 0.089790940284729)","('NON-ESG', 0.24313876032829285)","('NON-ESG', 0.10964932292699814)","('NON-ESG', 0.089790940284729)"
Line 5,"2020 Performance .
","('Business_Model_Resilience', 0.4162047803401947)","('Human_Rights_And_Community_Relations', 0.07951606065034866)","('Systemic_Risk_Management', 0.06717509031295776)","('NON-ESG', 0.4162047803401947)","('NON-ESG', 0.07951606065034866)","('NON-ESG', 0.06717509031295776)"
Line 6,"Appendix .
","('Management_Of_Legal_And_Regulatory_Framework', 0.12555940449237823)","('Director_Removal', 0.09595111012458801)","('Product_Design_And_Lifecycle_Management', 0.09176458418369293)","('NON-ESG', 0.12555940449237823)","('NON-ESG', 0.09595111012458801)","('NON-ESG', 0.09176458418369293)"
Line 7,"About This Report .
","('Management_Of_Legal_And_Regulatory_Framework', 0.36528050899505615)","('Access_And_Affordability', 0.12782996892929077)","('GHG_Emissions', 0.06670435518026352)","('NON-ESG', 0.36528050899505615)","('NON-ESG', 0.12782996892929077)","('NON-ESG', 0.06670435518026352)"
Line 8,"SASB and GRI Content Index .
","('Management_Of_Legal_And_Regulatory_Framework', 0.3485349118709564)","('Data_Security', 0.13635045289993286)","('Systemic_Risk_Management', 0.05561124533414841)","('NON-ESG', 0.3485349118709564)","('NON-ESG', 0.13635045289993286)","('NON-ESG', 0.05561124533414841)"
Line 9,"60Our Approach to Sustainability .
","('Product_Design_And_Lifecycle_Management', 0.46781104803085327)","('Business_Model_Resilience', 0.20267927646636963)","('Supply_Chain_Management', 0.0912700667977333)","('NON-ESG', 0.46781104803085327)","('NON-ESG', 0.20267927646636963)","('NON-ESG', 0.0912700667977333)"
Line 10,"Materiality and Stakeholder Engagement .
","('Human_Rights_And_Community_Relations', 0.5396212935447693)","('Business_Model_Resilience', 0.1280030906200409)","('Competitive_Behavior', 0.059289999306201935)","(['Community Relations'], 0.5396212935447693)","('NON-ESG', 0.1280030906200409)","('NON-ESG', 0.059289999306201935)"
Line 11,"Sustainability Strategy .
","('Business_Model_Resilience', 0.40454259514808655)","('Product_Design_And_Lifecycle_Management', 0.14822682738304138)","('Supply_Chain_Management', 0.07849758118391037)","('NON-ESG', 0.40454259514808655)","('NON-ESG', 0.14822682738304138)","('NON-ESG', 0.07849758118391037)"
Line 12,"Governance and Ethics .
","('Business_Ethics', 0.8814493417739868)","('Management_Of_Legal_And_Regulatory_Framework', 0.027147771790623665)","('Competitive_Behavior', 0.024750107899308205)","(['Business Ethics'], 0.8814493417739868)","('NON-ESG', 0.027147771790623665)","('NON-ESG', 0.024750107899308205)"
Line 13,"Resilient Operations .
","('Business_Model_Resilience', 0.8563464283943176)","('Physical_Impacts_Of_Climate_Change', 0.0176693145185709)","('Product_Design_And_Lifecycle_Management', 0.01675301417708397)","(['Codes of Business Conduct'], 0.8563464283943176)","('NON-ESG', 0.0176693145185709)","('NON-ESG', 0.01675301417708397)"
Line 14,"Sustainable Operations .
","('Product_Design_And_Lifecycle_Management', 0.341174453496933)","('Ecological_Impacts', 0.24733847379684448)","('Supply_Chain_Management', 0.0885017067193985)","('NON-ESG', 0.341174453496933)","('NON-ESG', 0.24733847379684448)","('NON-ESG', 0.0885017067193985)"
Line 15,"Supplier Responsibility .
","('Supply_Chain_Management', 0.8820760846138)","('Product_Design_And_Lifecycle_Management', 0.011863723397254944)","('Human_Rights_And_Community_Relations', 0.0105449128895998)","(['Supply Chain Management'], 0.8820760846138)","('NON-ESG', 0.011863723397254944)","('NON-ESG', 0.0105449128895998)"
Line 16,"Sustainable Product Innovation .
","('Product_Design_And_Lifecycle_Management', 0.9547157287597656)","('Product_Quality_And_Safety', 0.0040554930455982685)","('Customer_Welfare', 0.0038254072424024343)","(['Product Stewardship'], 0.9547157287597656)","('NON-ESG', 0.0040554930455982685)","('NON-ESG', 0.0038254072424024343)"
