,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"ResMed 2016/17  Report on ESG  issues  Page  1 of 42              Report on Environment,   Social and Governance Issues   December 2017     ResMed 2016/17  Report on ESG  issues  Page  2 of 42       Report scope and references   This Environment Social and Governance report encompasses the global operations, impact and compliance of  ResMed Inc., including its international subsidiaries.
","('Human_Rights_And_Community_Relations', 0.33463290333747864)","('Management_Of_Legal_And_Regulatory_Framework', 0.31458455324172974)","('Business_Model_Resilience', 0.06561747938394547)","('NON-ESG', 0.33463290333747864)","('NON-ESG', 0.31458455324172974)","('NON-ESG', 0.06561747938394547)"
Line 2,"Any gaps in the data are indicated in the relevant section.
","('Management_Of_Legal_And_Regulatory_Framework', 0.22926564514636993)","('Systemic_Risk_Management', 0.1701952964067459)","('Data_Security', 0.06238141283392906)","('NON-ESG', 0.22926564514636993)","('NON-ESG', 0.1701952964067459)","('NON-ESG', 0.06238141283392906)"
Line 3,"The report focuses on the three fi nancial years ended 30 June 2015 –2017.
","('Management_Of_Legal_And_Regulatory_Framework', 0.6592486500740051)","('Systemic_Risk_Management', 0.05414105951786041)","('GHG_Emissions', 0.030629808083176613)","(['Corporate Governance'], 0.6592486500740051)","('NON-ESG', 0.05414105951786041)","('NON-ESG', 0.030629808083176613)"
Line 4,"This report also provides background  to issues relevant to that period.
","('Management_Of_Legal_And_Regulatory_Framework', 0.804905354976654)","('Physical_Impacts_Of_Climate_Change', 0.02688627876341343)","('Human_Rights_And_Community_Relations', 0.0220289658755064)","(['Corporate Governance'], 0.804905354976654)","('NON-ESG', 0.02688627876341343)","('NON-ESG', 0.0220289658755064)"
Line 5,"This report should be read with documents filed with the US Securities Exchange Commission, in particular our  2017 Form 10 -K annual report  and our 2017 Form DEF  14A proxy statement  for shareholders.
","('Management_Of_Legal_And_Regulatory_Framework', 0.9328562617301941)","('Director_Removal', 0.011807036586105824)","('Business_Ethics', 0.00822310522198677)","(['Corporate Governance'], 0.9328562617301941)","('NON-ESG', 0.011807036586105824)","('NON-ESG', 0.00822310522198677)"
Line 6,"These filed  documents take precedence over this ESG report in the event of any unintended inconsistency.
","('Systemic_Risk_Management', 0.4359079897403717)","('Business_Ethics', 0.21585936844348907)","('Competitive_Behavior', 0.13836336135864258)","('NON-ESG', 0.4359079897403717)","('NON-ESG', 0.21585936844348907)","('NON-ESG', 0.13836336135864258)"
Line 7,"All references to years are to fiscal years ended 30 June, unless otherwise noted.
","('Management_Of_Legal_And_Regulatory_Framework', 0.22111967206001282)","('Director_Removal', 0.09347734600305557)","('Physical_Impacts_Of_Climate_Change', 0.09335602074861526)","('NON-ESG', 0.22111967206001282)","('NON-ESG', 0.09347734600305557)","('NON-ESG', 0.09335602074861526)"
Line 8,"All references to dollars ar e US dollars, unless otherwise noted.
","('Management_Of_Legal_And_Regulatory_Framework', 0.5028724074363708)","('Systemic_Risk_Management', 0.13453097641468048)","('Competitive_Behavior', 0.044643551111221313)","(['Corporate Governance'], 0.5028724074363708)","('NON-ESG', 0.13453097641468048)","('NON-ESG', 0.044643551111221313)"
Line 9,"References in this font  are hyperlinked to their source or page reference.
","('Data_Security', 0.17381218075752258)","('Customer_Privacy', 0.15984754264354706)","('Management_Of_Legal_And_Regulatory_Framework', 0.08456546068191528)","('NON-ESG', 0.17381218075752258)","('NON-ESG', 0.15984754264354706)","('NON-ESG', 0.08456546068191528)"
Line 10,"The preparation of the report has been informed by the reporting guidelines of the Global Reporting Initiative (GRI)  Reporting Framework.
","('Management_Of_Legal_And_Regulatory_Framework', 0.7882522344589233)","('Access_And_Affordability', 0.04245728999376297)","('GHG_Emissions', 0.025029009208083153)","(['Corporate Governance'], 0.7882522344589233)","('NON-ESG', 0.04245728999376297)","('NON-ESG', 0.025029009208083153)"
Line 11,"APPE NDIX  1 at the end of the documents  matches the information in the report with the  relevant GRI indicators.
","('Management_Of_Legal_And_Regulatory_Framework', 0.73000168800354)","('Human_Rights_And_Community_Relations', 0.0561852902173996)","('Access_And_Affordability', 0.033223625272512436)","(['Corporate Governance'], 0.73000168800354)","('NON-ESG', 0.0561852902173996)","('NON-ESG', 0.033223625272512436)"
Line 12,"While this report has been prepared with due care it has not been externally assured.
","('Management_Of_Legal_And_Regulatory_Framework', 0.8851884007453918)","('Access_And_Affordability', 0.018797840923070908)","('Business_Ethics', 0.011359335854649544)","(['Corporate Governance'], 0.8851884007453918)","('NON-ESG', 0.018797840923070908)","('NON-ESG', 0.011359335854649544)"
Line 13,"Further information can be obtained by contacting Justin Italiano at ResMed Inc., Sydney, at +61 2 8884 1000 or  by visiting the Company’s multilingual website at  www.resmed.com .
","('Selling_Practices_And_Product_Labeling', 0.15900088846683502)","('Management_Of_Legal_And_Regulatory_Framework', 0.1272110790014267)","('Customer_Welfare', 0.11707232147455215)","('NON-ESG', 0.15900088846683502)","('NON-ESG', 0.1272110790014267)","('NON-ESG', 0.11707232147455215)"
Line 14,"ResMed Inc   9001 Spectrum Center Blvd   San Diego, CA 92123   United States of America       ResMed 2016/17  Report on ESG  issues  Page  3 of 42    Table of Contents   OUR APPROACH TO ESG  .
","('Business_Model_Resilience', 0.5192095637321472)","('Systemic_Risk_Management', 0.1788925677537918)","('Physical_Impacts_Of_Climate_Change', 0.03845227509737015)","(['Codes of Business Conduct'], 0.5192095637321472)","('NON-ESG', 0.1788925677537918)","('NON-ESG', 0.03845227509737015)"
Line 15,"5  Key ESG indicators   RESMED IN BRIEF   .
","('Business_Model_Resilience', 0.49682241678237915)","('Systemic_Risk_Management', 0.2883118689060211)","('Physical_Impacts_Of_Climate_Change', 0.03277827426791191)","('NON-ESG', 0.49682241678237915)","('NON-ESG', 0.2883118689060211)","('NON-ESG', 0.03277827426791191)"
Line 16,"8  Locations and businesses  .
","('Business_Model_Resilience', 0.25649821758270264)","('Supply_Chain_Management', 0.11103280633687973)","('Employee_Engagement_Inclusion_And_Diversity', 0.07818881422281265)","('NON-ESG', 0.25649821758270264)","('NON-ESG', 0.11103280633687973)","('NON-ESG', 0.07818881422281265)"
Line 17,"9  Administration, product development  and distribution   Manufacturing operations  .
","('Product_Design_And_Lifecycle_Management', 0.946622908115387)","('Customer_Welfare', 0.007509618531912565)","('Product_Quality_And_Safety', 0.006463976111263037)","(['Product Stewardship'], 0.946622908115387)","('NON-ESG', 0.007509618531912565)","('NON-ESG', 0.006463976111263037)"
