,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"“ We pioneer innovative solutions that treat and keep people out of the hospital,  e mpowering them to live healthier, higher-quality lives.
","('Employee_Health_And_Safety', 0.5598593950271606)","('Access_And_Affordability', 0.14547127485275269)","('Critical_Incident_Risk_Management', 0.06710519641637802)","(['Operational Eco-Efficiency'], 0.5598593950271606)","('NON-ESG', 0.14547127485275269)","('NON-ESG', 0.06710519641637802)"
Line 2,"By enabling better care,  we improve quality of life, reduce the impact of chronic disease, and lower costs for consumers and healthcare systems in more than 140 countries.”December ECONOMIC, E NVIRONMENTAL , AND SOCIAL GOVERNANCE REPORTRepo rt scope and re feren ce This Sustainability Report focuses on Economic, Environmental, and Social Governance (ESG) issues  that encompass our global operations, including those of our international subsidiaries.
","('Human_Rights_And_Community_Relations', 0.3877972662448883)","('Access_And_Affordability', 0.2445133924484253)","('Business_Model_Resilience', 0.04634947329759598)","('NON-ESG', 0.3877972662448883)","('NON-ESG', 0.2445133924484253)","('NON-ESG', 0.04634947329759598)"
Line 3,"Our approach  is to include standards where applicable to the Global Reporting Initiative (GRI) Sustainability Reporting  Guidelines.
","('Management_Of_Legal_And_Regulatory_Framework', 0.7409232258796692)","('Product_Quality_And_Safety', 0.04101506248116493)","('Systemic_Risk_Management', 0.02336174063384533)","(['Corporate Governance'], 0.7409232258796692)","('NON-ESG', 0.04101506248116493)","('NON-ESG', 0.02336174063384533)"
Line 4,"Any gaps in the data are noted in the relevant section.
","('Management_Of_Legal_And_Regulatory_Framework', 0.22265507280826569)","('Systemic_Risk_Management', 0.148692786693573)","('Data_Security', 0.0909760594367981)","('NON-ESG', 0.22265507280826569)","('NON-ESG', 0.148692786693573)","('NON-ESG', 0.0909760594367981)"
Line 5,"The report focuses on the last financial year ended 30 June 2019–2020.
","('Systemic_Risk_Management', 0.32572808861732483)","('Business_Model_Resilience', 0.20726871490478516)","('Physical_Impacts_Of_Climate_Change', 0.1365099549293518)","('NON-ESG', 0.32572808861732483)","('NON-ESG', 0.20726871490478516)","('NON-ESG', 0.1365099549293518)"
Line 6,"This report also provides  background to issues relevant to these periods.
","('Management_Of_Legal_And_Regulatory_Framework', 0.8587223887443542)","('Human_Rights_And_Community_Relations', 0.016301115974783897)","('Systemic_Risk_Management', 0.015481800772249699)","(['Corporate Governance'], 0.8587223887443542)","('NON-ESG', 0.016301115974783897)","('NON-ESG', 0.015481800772249699)"
Line 7,"This report should be read with documents filed with the US Securities Exchange Commission,  in particular our 2020 Form 10-K annual report and our 2020 Form DEF 14A proxy statement for  shareholders.
","('Management_Of_Legal_And_Regulatory_Framework', 0.937041699886322)","('Director_Removal', 0.010688979178667068)","('Business_Ethics', 0.007513517048209906)","(['Corporate Governance'], 0.937041699886322)","('NON-ESG', 0.010688979178667068)","('NON-ESG', 0.007513517048209906)"
Line 8,"These filed documents take precedence over this ESG report in the event of any  unintended inconsistency.
","('Systemic_Risk_Management', 0.4359079897403717)","('Business_Ethics', 0.21585936844348907)","('Competitive_Behavior', 0.13836336135864258)","('NON-ESG', 0.4359079897403717)","('NON-ESG', 0.21585936844348907)","('NON-ESG', 0.13836336135864258)"
Line 9,"All references to dollars are US dollars unless otherwise noted.
","('Management_Of_Legal_And_Regulatory_Framework', 0.46158602833747864)","('Systemic_Risk_Management', 0.12966974079608917)","('Competitive_Behavior', 0.07420596480369568)","('NON-ESG', 0.46158602833747864)","('NON-ESG', 0.12966974079608917)","('NON-ESG', 0.07420596480369568)"
Line 10,"References in this font are hyperlinked  to their source or page reference.
","('Data_Security', 0.17381218075752258)","('Customer_Privacy', 0.15984754264354706)","('Management_Of_Legal_And_Regulatory_Framework', 0.08456546068191528)","('NON-ESG', 0.17381218075752258)","('NON-ESG', 0.15984754264354706)","('NON-ESG', 0.08456546068191528)"
Line 11,"The preparation of the report has been informed by the reporting guidelines of the GRI Reporting  Framew ork.
","('Management_Of_Legal_And_Regulatory_Framework', 0.8416740894317627)","('Human_Rights_And_Community_Relations', 0.023170188069343567)","('Access_And_Affordability', 0.022189829498529434)","(['Corporate Governance'], 0.8416740894317627)","('NON-ESG', 0.023170188069343567)","('NON-ESG', 0.022189829498529434)"
Line 12,"APPENDIX 1 at the end of the documents matches the information in the report with the  relevant GRI indicators.
","('Management_Of_Legal_And_Regulatory_Framework', 0.6843363046646118)","('Human_Rights_And_Community_Relations', 0.07834344357252121)","('Access_And_Affordability', 0.041836488991975784)","(['Corporate Governance'], 0.6843363046646118)","('NON-ESG', 0.07834344357252121)","('NON-ESG', 0.041836488991975784)"
Line 13,"While this report has been prepared with due care, it has not been externally assured.
","('Management_Of_Legal_And_Regulatory_Framework', 0.8755151033401489)","('Access_And_Affordability', 0.021575916558504105)","('Business_Ethics', 0.012490440160036087)","(['Corporate Governance'], 0.8755151033401489)","('NON-ESG', 0.021575916558504105)","('NON-ESG', 0.012490440160036087)"
