,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"Table of contents 2021 in review Game-changing innovations  .
","('Competitive_Behavior', 0.21702013909816742)","('Systemic_Risk_Management', 0.15077193081378937)","('Business_Model_Resilience', 0.13205787539482117)","('NON-ESG', 0.21702013909816742)","('NON-ESG', 0.15077193081378937)","('NON-ESG', 0.13205787539482117)"
Line 2,"Our company  .
","('Customer_Privacy', 0.25979629158973694)","('Data_Security', 0.12081070244312286)","('Business_Model_Resilience', 0.10650919377803802)","('NON-ESG', 0.25979629158973694)","('NON-ESG', 0.12081070244312286)","('NON-ESG', 0.10650919377803802)"
Line 3,"A message from Stryker Chair and CEO  .
","('Director_Removal', 0.2618429660797119)","('Business_Model_Resilience', 0.11997535079717636)","('Customer_Privacy', 0.11804680526256561)","('NON-ESG', 0.2618429660797119)","('NON-ESG', 0.11997535079717636)","('NON-ESG', 0.11804680526256561)"
Line 4,"Innovating for growth  .
","('Business_Model_Resilience', 0.39438438415527344)","('Product_Design_And_Lifecycle_Management', 0.18528904020786285)","('Employee_Engagement_Inclusion_And_Diversity', 0.06239599362015724)","('NON-ESG', 0.39438438415527344)","('NON-ESG', 0.18528904020786285)","('NON-ESG', 0.06239599362015724)"
Line 5,"Financial highlights  .
","('Business_Model_Resilience', 0.29995429515838623)","('Systemic_Risk_Management', 0.28388962149620056)","('Physical_Impacts_Of_Climate_Change', 0.1748524010181427)","('NON-ESG', 0.29995429515838623)","('NON-ESG', 0.28388962149620056)","('NON-ESG', 0.1748524010181427)"
Line 6,"Our corporate responsibility journey  .
","('Human_Rights_And_Community_Relations', 0.39256465435028076)","('Business_Model_Resilience', 0.17857015132904053)","('Director_Removal', 0.04251175373792648)","('NON-ESG', 0.39256465435028076)","('NON-ESG', 0.17857015132904053)","('NON-ESG', 0.04251175373792648)"
Line 7,"Stronger peopleHealthcare providers and patients  .
","('Access_And_Affordability', 0.8071245551109314)","('Employee_Health_And_Safety', 0.03694866970181465)","('Human_Rights_And_Community_Relations', 0.017451414838433266)","(['Health Outcome Contribution'], 0.8071245551109314)","('NON-ESG', 0.03694866970181465)","('NON-ESG', 0.017451414838433266)"
Line 8,"Employees  .
","('Labor_Practices', 0.45289573073387146)","('Employee_Engagement_Inclusion_And_Diversity', 0.12355049699544907)","('Employee_Health_And_Safety', 0.08290554583072662)","('NON-ESG', 0.45289573073387146)","('NON-ESG', 0.12355049699544907)","('NON-ESG', 0.08290554583072662)"
Line 9,"Communities  .
","('Human_Rights_And_Community_Relations', 0.8686797022819519)","('Employee_Engagement_Inclusion_And_Diversity', 0.014944265596568584)","('Access_And_Affordability', 0.012519740499556065)","(['Community Relations'], 0.8686797022819519)","('NON-ESG', 0.014944265596568584)","('NON-ESG', 0.012519740499556065)"
Line 10,"Good businessGovernance  .
","('Management_Of_Legal_And_Regulatory_Framework', 0.7152028679847717)","('Business_Ethics', 0.06290541589260101)","('Systemic_Risk_Management', 0.028693675994873047)","(['Corporate Governance'], 0.7152028679847717)","('NON-ESG', 0.06290541589260101)","('NON-ESG', 0.028693675994873047)"
Line 11,"Information security and privacy  .
","('Data_Security', 0.9368681907653809)","('Customer_Privacy', 0.01626751571893692)","('Director_Removal', 0.004063490778207779)","(['Information Security/Cybersecurity & System Availability'], 0.9368681907653809)","('NON-ESG', 0.01626751571893692)","('NON-ESG', 0.004063490778207779)"
Line 12,"47Business ethics and ethical marketing  .
","('Business_Ethics', 0.934644341468811)","('Competitive_Behavior', 0.015297737903892994)","('Product_Quality_And_Safety', 0.005553786642849445)","(['Business Ethics'], 0.934644341468811)","('NON-ESG', 0.015297737903892994)","('NON-ESG', 0.005553786642849445)"
