,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"2020 GLOBAL IMPACT REPORT 2020 Global Impact Report2020 GLOBAL IMPACT REPORT • History •  Living our V alues •  How we ar e Organized •  Financial Highlights •  Our Pr oducts •  Str ategic M&A •  New Pr oduct  Development •  Our Supply Chain•  Our Appr oach to CSR •  Stakeholder  Engagement •  About this Report •  Information Concerning F orward-Looking  Statements   •  Non-GAAP Financial Measur es•  Corpor ate Governance •  Driving a Cultur e of  Compliance: Integrity  in All We Do   •  Annual T eleflex  Enterprise Risk Assessment •  Sales & Marketing Pr actices •  IT Security & Privacy•  Envir onmental Health  & Safety (EHS):  Our Zero Harm Vision for the Environment •  Pr oduct Stewardship  from Concept to Commercialization•   Supporting our P eople  through COVID-•  T alent Management &  Development •  Benefits •  F amily Support •  T uition Assistance •  Diversity , Equity &  Inclusion •  Employee Recognition •  EHS: Our Zer o Harm  Vision for our People •  Continued Pursuit of Excellence in our Global F acilities •  T eleflex Products:  Innovation, Safety & Quality from Concept to Commercialization•   T eleflex Product  Training and Education: Engage, Educate, Align •  Medical Education Gr ants •  Clinical Resear ch  Grants •  Clinical Resear ch •  Philanthr opy at Teleflex •  Community Engagement •  Labour & Supplier Standar ds05 03 14 18 31 45 26Table of Contents Click number to visit relevant section CEO   MessageCompanyOverviewCorporate Social Responsibility at TeleflexPillar I: Principles of Ethics &  GovernancePillar II: Planet  & EnvironmentPillar III: People & Human RightsPillar IV: Prosperity & Sustainable  Procurement2020 GLOBAL IMPACT REPORT Liam Kelly Chairman, President, and CEOTeleflex is a company that thrives on  shared values with people at the center of everything we do.
","('Supply_Chain_Management', 0.5909779667854309)","('Systemic_Risk_Management', 0.06988132745027542)","('Business_Ethics', 0.042988430708646774)","(['Supply Chain Management'], 0.5909779667854309)","('NON-ESG', 0.06988132745027542)","('NON-ESG', 0.042988430708646774)"
Line 2,"2020 GLOBAL IMPACT REPORT 2020 Global Impact Report2020 GLOBAL IMPACT REPORT • History •  Living our V alues •  How we ar e Organized •  Financial Highlights •  Our Pr oducts •  Str ategic M&A •  New Pr oduct  Development •  Our Supply Chain•  Our Appr oach to CSR •  Stakeholder  Engagement •  About this Report •  Information Concerning F orward-Looking  Statements   •  Non-GAAP Financial Measur es•  Corpor ate Governance •  Driving a Cultur e of  Compliance: Integrity  in All We Do   •  Annual T eleflex  Enterprise Risk Assessment •  Sales & Marketing Pr actices •  IT Security & Privacy•  Envir onmental Health  & Safety (EHS):  Our Zero Harm Vision for the Environment •  Pr oduct Stewardship  from Concept to Commercialization•   Supporting our P eople  through COVID-•  T alent Management &  Development •  Benefits •  F amily Support •  T uition Assistance •  Diversity , Equity &  Inclusion •  Employee Recognition •  EHS: Our Zer o Harm  Vision for our People •  Continued Pursuit of Excellence in our Global F acilities •  T eleflex Products:  Innovation, Safety & Quality from Concept to Commercialization•   T eleflex Product  Training and Education: Engage, Educate, Align •  Medical Education Gr ants •  Clinical Resear ch  Grants •  Clinical Resear ch •  Philanthr opy at Teleflex •  Community Engagement •  Labour & Supplier Standar ds05 03 14 18 31 45 26Table of Contents Click number to visit relevant section CEO   MessageCompanyOverviewCorporate Social Responsibility at TeleflexPillar I: Principles of Ethics &  GovernancePillar II: Planet  & EnvironmentPillar III: People & Human RightsPillar IV: Prosperity & Sustainable  Procurement2020 GLOBAL IMPACT REPORT Liam Kelly Chairman, President, and CEOTeleflex is a company that thrives on  shared values with people at the center of everything we do.
","('Employee_Engagement_Inclusion_And_Diversity', 0.9530887603759766)","('Employee_Health_And_Safety', 0.008008898235857487)","('Access_And_Affordability', 0.003853647969663143)","(['Human Capital Development'], 0.9530887603759766)","('NON-ESG', 0.008008898235857487)","('NON-ESG', 0.003853647969663143)"
Line 3,"2020 GLOBAL IMPACT REPORT 2020 Global Impact Report2020 GLOBAL IMPACT REPORT • History •  Living our V alues •  How we ar e Organized •  Financial Highlights •  Our Pr oducts •  Str ategic M&A •  New Pr oduct  Development •  Our Supply Chain•  Our Appr oach to CSR •  Stakeholder  Engagement •  About this Report •  Information Concerning F orward-Looking  Statements   •  Non-GAAP Financial Measur es•  Corpor ate Governance •  Driving a Cultur e of  Compliance: Integrity  in All We Do   •  Annual T eleflex  Enterprise Risk Assessment •  Sales & Marketing Pr actices •  IT Security & Privacy•  Envir onmental Health  & Safety (EHS):  Our Zero Harm Vision for the Environment •  Pr oduct Stewardship  from Concept to Commercialization•   Supporting our P eople  through COVID-•  T alent Management &  Development •  Benefits •  F amily Support •  T uition Assistance •  Diversity , Equity &  Inclusion •  Employee Recognition •  EHS: Our Zer o Harm  Vision for our People •  Continued Pursuit of Excellence in our Global F acilities •  T eleflex Products:  Innovation, Safety & Quality from Concept to Commercialization•   T eleflex Product  Training and Education: Engage, Educate, Align •  Medical Education Gr ants •  Clinical Resear ch  Grants •  Clinical Resear ch •  Philanthr opy at Teleflex •  Community Engagement •  Labour & Supplier Standar ds05 03 14 18 31 45 26Table of Contents Click number to visit relevant section CEO   MessageCompanyOverviewCorporate Social Responsibility at TeleflexPillar I: Principles of Ethics &  GovernancePillar II: Planet  & EnvironmentPillar III: People & Human RightsPillar IV: Prosperity & Sustainable  Procurement2020 GLOBAL IMPACT REPORT Liam Kelly Chairman, President, and CEOTeleflex is a company that thrives on  shared values with people at the center of everything we do.
","('Product_Quality_And_Safety', 0.6511918306350708)","('Product_Design_And_Lifecycle_Management', 0.07035742700099945)","('Selling_Practices_And_Product_Labeling', 0.03599688410758972)","(['Product Quality & Recall Management'], 0.6511918306350708)","('NON-ESG', 0.07035742700099945)","('NON-ESG', 0.03599688410758972)"
Line 4,"2020 GLOBAL IMPACT REPORT 2020 Global Impact Report2020 GLOBAL IMPACT REPORT • History •  Living our V alues •  How we ar e Organized •  Financial Highlights •  Our Pr oducts •  Str ategic M&A •  New Pr oduct  Development •  Our Supply Chain•  Our Appr oach to CSR •  Stakeholder  Engagement •  About this Report •  Information Concerning F orward-Looking  Statements   •  Non-GAAP Financial Measur es•  Corpor ate Governance •  Driving a Cultur e of  Compliance: Integrity  in All We Do   •  Annual T eleflex  Enterprise Risk Assessment •  Sales & Marketing Pr actices •  IT Security & Privacy•  Envir onmental Health  & Safety (EHS):  Our Zero Harm Vision for the Environment •  Pr oduct Stewardship  from Concept to Commercialization•   Supporting our P eople  through COVID-•  T alent Management &  Development •  Benefits •  F amily Support •  T uition Assistance •  Diversity , Equity &  Inclusion •  Employee Recognition •  EHS: Our Zer o Harm  Vision for our People •  Continued Pursuit of Excellence in our Global F acilities •  T eleflex Products:  Innovation, Safety & Quality from Concept to Commercialization•   T eleflex Product  Training and Education: Engage, Educate, Align •  Medical Education Gr ants •  Clinical Resear ch  Grants •  Clinical Resear ch •  Philanthr opy at Teleflex •  Community Engagement •  Labour & Supplier Standar ds05 03 14 18 31 45 26Table of Contents Click number to visit relevant section CEO   MessageCompanyOverviewCorporate Social Responsibility at TeleflexPillar I: Principles of Ethics &  GovernancePillar II: Planet  & EnvironmentPillar III: People & Human RightsPillar IV: Prosperity & Sustainable  Procurement2020 GLOBAL IMPACT REPORT Liam Kelly Chairman, President, and CEOTeleflex is a company that thrives on  shared values with people at the center of everything we do.
","('Human_Rights_And_Community_Relations', 0.9510575532913208)","('Access_And_Affordability', 0.004680690821260214)","('Ecological_Impacts', 0.0033637541346251965)","(['Community Relations'], 0.9510575532913208)","('NON-ESG', 0.004680690821260214)","('NON-ESG', 0.0033637541346251965)"
Line 5,"We live each day by our Core Values and our purpose “to improve the health and quality of people’s lives.” Our more than 14,000 employees are united in the understanding that what we do every day makes a difference.
","('Employee_Health_And_Safety', 0.6030336618423462)","('Human_Rights_And_Community_Relations', 0.13849444687366486)","('Employee_Engagement_Inclusion_And_Diversity', 0.0667366236448288)","(['Operational Eco-Efficiency'], 0.6030336618423462)","('NON-ESG', 0.13849444687366486)","('NON-ESG', 0.0667366236448288)"
Line 6,"Our focus on people and commitment  to Corporate Social Responsibility (CSR) has never been more critical than during the COVID-19 pandemic.
","('Human_Rights_And_Community_Relations', 0.9253928065299988)","('Business_Model_Resilience', 0.008890516124665737)","('Access_And_Affordability', 0.006297755055129528)","(['Community Relations'], 0.9253928065299988)","('NON-ESG', 0.008890516124665737)","('NON-ESG', 0.006297755055129528)"
Line 7,"We quickly mobilized our Global and Local Crisis Management Teams to ensure employee health and safety.
","('Employee_Health_And_Safety', 0.6419071555137634)","('Critical_Incident_Risk_Management', 0.3057653307914734)","('Access_And_Affordability', 0.004404672887176275)","(['Operational Eco-Efficiency'], 0.6419071555137634)","('NON-ESG', 0.3057653307914734)","('NON-ESG', 0.004404672887176275)"
Line 8,"As featured in our Frontline Stories  series, some members of our clinical and sales teams returned to the front lines of clinical practice during the pandemic.
","('Systemic_Risk_Management', 0.20811285078525543)","('Business_Model_Resilience', 0.12836121022701263)","('Critical_Incident_Risk_Management', 0.11727962642908096)","('NON-ESG', 0.20811285078525543)","('NON-ESG', 0.12836121022701263)","('NON-ESG', 0.11727962642908096)"
Line 9,"We also leveraged our Humanitarian Product Donation Program to provide support to front line workers and continued to serve as an Americares Emergency Response Partner to aid their global crisis response efforts.In 2020, Teleflex’s CSR Steering Committee established a comprehensive strategic approach  to CSR at Teleflex bringing together the work that has been ongoing throughout our organization for many years.
","('Critical_Incident_Risk_Management', 0.9739279747009277)","('Employee_Health_And_Safety', 0.002894995966926217)","('Access_And_Affordability', 0.002550400560721755)","(['Risk & Crisis Management'], 0.9739279747009277)","('NON-ESG', 0.002894995966926217)","('NON-ESG', 0.002550400560721755)"
Line 10,"We plan to expand Teleflex’s CSR Program through the development of a 5-year Road Map, setting meaningful and measurable goals to advance the progress, transparency, and disclosure of the program.
","('Business_Ethics', 0.9537885785102844)","('Management_Of_Legal_And_Regulatory_Framework', 0.00709991529583931)","('Data_Security', 0.0053963083773851395)","(['Business Ethics'], 0.9537885785102844)","('NON-ESG', 0.00709991529583931)","('NON-ESG', 0.0053963083773851395)"
