,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"1 Teleflex 2021 Global Impact Report Advancing sustainable healthcare   by focusing on our products, patients,  people and the environment2021 Global Impact Report2 TELEFLEX 2021 GLOBAL IMPACT REPORTContents  About this Report Information Concerning Forward-Looking Statements CEO Message Corporate Social Responsibility Chair Message Teleflex at a Glance Our Products Our Impact Portfolio Optimization  Product Development  Our Supply Chain - Global Procurement - Manufacturing  - Distribution and Logistics - Commercial Organization and Customers  Corporate Social Responsibility Stakeholder Engagement  Continued Support for Employees through the COVID-19 Pandemic Principles of Ethics & Governance Corporate Governance  - Board of Directors - Executive Compensation  Participating in Public Policy Industry Groups and Trade Associations Driving a Culture of Compliance: Integrity in All We Do - The Teleflex Promise: Our Global Code of Ethics - Policies and Procedures: Providing a Framework for Success - Training and Communication: Supporting and Reinforcing our Message  30- Auditing and Monitoring:   Understanding how our Policies and Training are Working in Practice - Reporting and Investigations: Encouraging a Speak-Up Culture  Annual Teleflex Enterprise Risk Assessment Sales and Marketing Practices IT Security and Privacy Planet & Environment  Product Stewardship and Circularity Responsible Consumption and Production  - Water  - Safe Materials and Chemicals  - Logistics and Distribution Emissions and Climate Change - Emissions and Energy Targets  - Energy  Waste  People  Talent Management and Development  Tuition Assistance Benefits  Family Support  Diversity, Equity, and Inclusion - DEI Leadership - Inclusive Leadership Training  - DEI in Recruitment - DEI in Retention - Pay Equity Analysis 2021 - Employee Resource Groups  50Employee Recognition  Employee Health and Safety: Our Zero Harm Vision for our People - Occupational Health and Safety Management  - Identifying and Managing Hazards - Employee Consultation  - Health and Safety Training - Employee Health and Safety Tracking Prosperity & Sustainable Healthcare Product Training and Education: Engage, Educate, Align Medical Education Grants Clinical Research Clinical Research Grants Healthcare Access and Equity Innovation, Safety and Quality from Concept to Commercialization - Research, Development and Innovation  - Product Quality and Safety - Labor and Supplier Standards  Philanthropy  - Teleflex Foundation  - Ukraine Support  - Humanitarian Donations  Community Engagement  Global Reporting Initiative (GRI) Index Sustainability Accounting Standards Board (SASB) Index  United Nations Sustainable Development Goals (UN SDGs) 80CEO Message Corporate Social   Responsibility   Chair MessageTeleflex at a Glance Corporate Social  ResponsibilityContinued Support for   Employees through the   COVID-19 PandemicPrinciples of Ethics  & GovernancePlanet & Environment People Prosperity &   Sustainable   HealthcareGlobal Reporting   InitiativeSustainability  Accounting  Standards Board  (SASB) IndexUnited Nations   Sustainable  Development Goals  (UN SDGs)3 TELEFLEX 2021 GLOBAL IMPACT REPORTAbout this Report  Teleflex Incorporated’s second annual Global Impact Report details our  Corporate Social Responsibility (CSR) program and encompasses our  current progress and future aspirations as a company.
","('Product_Design_And_Lifecycle_Management', 0.9633183479309082)","('Product_Quality_And_Safety', 0.004823723807930946)","('Supply_Chain_Management', 0.0038697856944054365)","(['Product Stewardship'], 0.9633183479309082)","('NON-ESG', 0.004823723807930946)","('NON-ESG', 0.0038697856944054365)"
Line 2,"1 Teleflex 2021 Global Impact Report Advancing sustainable healthcare   by focusing on our products, patients,  people and the environment2021 Global Impact Report2 TELEFLEX 2021 GLOBAL IMPACT REPORTContents  About this Report Information Concerning Forward-Looking Statements CEO Message Corporate Social Responsibility Chair Message Teleflex at a Glance Our Products Our Impact Portfolio Optimization  Product Development  Our Supply Chain - Global Procurement - Manufacturing  - Distribution and Logistics - Commercial Organization and Customers  Corporate Social Responsibility Stakeholder Engagement  Continued Support for Employees through the COVID-19 Pandemic Principles of Ethics & Governance Corporate Governance  - Board of Directors - Executive Compensation  Participating in Public Policy Industry Groups and Trade Associations Driving a Culture of Compliance: Integrity in All We Do - The Teleflex Promise: Our Global Code of Ethics - Policies and Procedures: Providing a Framework for Success - Training and Communication: Supporting and Reinforcing our Message  30- Auditing and Monitoring:   Understanding how our Policies and Training are Working in Practice - Reporting and Investigations: Encouraging a Speak-Up Culture  Annual Teleflex Enterprise Risk Assessment Sales and Marketing Practices IT Security and Privacy Planet & Environment  Product Stewardship and Circularity Responsible Consumption and Production  - Water  - Safe Materials and Chemicals  - Logistics and Distribution Emissions and Climate Change - Emissions and Energy Targets  - Energy  Waste  People  Talent Management and Development  Tuition Assistance Benefits  Family Support  Diversity, Equity, and Inclusion - DEI Leadership - Inclusive Leadership Training  - DEI in Recruitment - DEI in Retention - Pay Equity Analysis 2021 - Employee Resource Groups  50Employee Recognition  Employee Health and Safety: Our Zero Harm Vision for our People - Occupational Health and Safety Management  - Identifying and Managing Hazards - Employee Consultation  - Health and Safety Training - Employee Health and Safety Tracking Prosperity & Sustainable Healthcare Product Training and Education: Engage, Educate, Align Medical Education Grants Clinical Research Clinical Research Grants Healthcare Access and Equity Innovation, Safety and Quality from Concept to Commercialization - Research, Development and Innovation  - Product Quality and Safety - Labor and Supplier Standards  Philanthropy  - Teleflex Foundation  - Ukraine Support  - Humanitarian Donations  Community Engagement  Global Reporting Initiative (GRI) Index Sustainability Accounting Standards Board (SASB) Index  United Nations Sustainable Development Goals (UN SDGs) 80CEO Message Corporate Social   Responsibility   Chair MessageTeleflex at a Glance Corporate Social  ResponsibilityContinued Support for   Employees through the   COVID-19 PandemicPrinciples of Ethics  & GovernancePlanet & Environment People Prosperity &   Sustainable   HealthcareGlobal Reporting   InitiativeSustainability  Accounting  Standards Board  (SASB) IndexUnited Nations   Sustainable  Development Goals  (UN SDGs)3 TELEFLEX 2021 GLOBAL IMPACT REPORTAbout this Report  Teleflex Incorporated’s second annual Global Impact Report details our  Corporate Social Responsibility (CSR) program and encompasses our  current progress and future aspirations as a company.
","('Business_Ethics', 0.9745785593986511)","('Management_Of_Legal_And_Regulatory_Framework', 0.0023190018255263567)","('Competitive_Behavior', 0.0019356085686013103)","(['Business Ethics'], 0.9745785593986511)","('NON-ESG', 0.0023190018255263567)","('NON-ESG', 0.0019356085686013103)"
Line 3,"1 Teleflex 2021 Global Impact Report Advancing sustainable healthcare   by focusing on our products, patients,  people and the environment2021 Global Impact Report2 TELEFLEX 2021 GLOBAL IMPACT REPORTContents  About this Report Information Concerning Forward-Looking Statements CEO Message Corporate Social Responsibility Chair Message Teleflex at a Glance Our Products Our Impact Portfolio Optimization  Product Development  Our Supply Chain - Global Procurement - Manufacturing  - Distribution and Logistics - Commercial Organization and Customers  Corporate Social Responsibility Stakeholder Engagement  Continued Support for Employees through the COVID-19 Pandemic Principles of Ethics & Governance Corporate Governance  - Board of Directors - Executive Compensation  Participating in Public Policy Industry Groups and Trade Associations Driving a Culture of Compliance: Integrity in All We Do - The Teleflex Promise: Our Global Code of Ethics - Policies and Procedures: Providing a Framework for Success - Training and Communication: Supporting and Reinforcing our Message  30- Auditing and Monitoring:   Understanding how our Policies and Training are Working in Practice - Reporting and Investigations: Encouraging a Speak-Up Culture  Annual Teleflex Enterprise Risk Assessment Sales and Marketing Practices IT Security and Privacy Planet & Environment  Product Stewardship and Circularity Responsible Consumption and Production  - Water  - Safe Materials and Chemicals  - Logistics and Distribution Emissions and Climate Change - Emissions and Energy Targets  - Energy  Waste  People  Talent Management and Development  Tuition Assistance Benefits  Family Support  Diversity, Equity, and Inclusion - DEI Leadership - Inclusive Leadership Training  - DEI in Recruitment - DEI in Retention - Pay Equity Analysis 2021 - Employee Resource Groups  50Employee Recognition  Employee Health and Safety: Our Zero Harm Vision for our People - Occupational Health and Safety Management  - Identifying and Managing Hazards - Employee Consultation  - Health and Safety Training - Employee Health and Safety Tracking Prosperity & Sustainable Healthcare Product Training and Education: Engage, Educate, Align Medical Education Grants Clinical Research Clinical Research Grants Healthcare Access and Equity Innovation, Safety and Quality from Concept to Commercialization - Research, Development and Innovation  - Product Quality and Safety - Labor and Supplier Standards  Philanthropy  - Teleflex Foundation  - Ukraine Support  - Humanitarian Donations  Community Engagement  Global Reporting Initiative (GRI) Index Sustainability Accounting Standards Board (SASB) Index  United Nations Sustainable Development Goals (UN SDGs) 80CEO Message Corporate Social   Responsibility   Chair MessageTeleflex at a Glance Corporate Social  ResponsibilityContinued Support for   Employees through the   COVID-19 PandemicPrinciples of Ethics  & GovernancePlanet & Environment People Prosperity &   Sustainable   HealthcareGlobal Reporting   InitiativeSustainability  Accounting  Standards Board  (SASB) IndexUnited Nations   Sustainable  Development Goals  (UN SDGs)3 TELEFLEX 2021 GLOBAL IMPACT REPORTAbout this Report  Teleflex Incorporated’s second annual Global Impact Report details our  Corporate Social Responsibility (CSR) program and encompasses our  current progress and future aspirations as a company.
","('Product_Design_And_Lifecycle_Management', 0.2609238028526306)","('Physical_Impacts_Of_Climate_Change', 0.17264337837696075)","('Business_Model_Resilience', 0.10272496193647385)","('NON-ESG', 0.2609238028526306)","('NON-ESG', 0.17264337837696075)","('NON-ESG', 0.10272496193647385)"
Line 4,"1 Teleflex 2021 Global Impact Report Advancing sustainable healthcare   by focusing on our products, patients,  people and the environment2021 Global Impact Report2 TELEFLEX 2021 GLOBAL IMPACT REPORTContents  About this Report Information Concerning Forward-Looking Statements CEO Message Corporate Social Responsibility Chair Message Teleflex at a Glance Our Products Our Impact Portfolio Optimization  Product Development  Our Supply Chain - Global Procurement - Manufacturing  - Distribution and Logistics - Commercial Organization and Customers  Corporate Social Responsibility Stakeholder Engagement  Continued Support for Employees through the COVID-19 Pandemic Principles of Ethics & Governance Corporate Governance  - Board of Directors - Executive Compensation  Participating in Public Policy Industry Groups and Trade Associations Driving a Culture of Compliance: Integrity in All We Do - The Teleflex Promise: Our Global Code of Ethics - Policies and Procedures: Providing a Framework for Success - Training and Communication: Supporting and Reinforcing our Message  30- Auditing and Monitoring:   Understanding how our Policies and Training are Working in Practice - Reporting and Investigations: Encouraging a Speak-Up Culture  Annual Teleflex Enterprise Risk Assessment Sales and Marketing Practices IT Security and Privacy Planet & Environment  Product Stewardship and Circularity Responsible Consumption and Production  - Water  - Safe Materials and Chemicals  - Logistics and Distribution Emissions and Climate Change - Emissions and Energy Targets  - Energy  Waste  People  Talent Management and Development  Tuition Assistance Benefits  Family Support  Diversity, Equity, and Inclusion - DEI Leadership - Inclusive Leadership Training  - DEI in Recruitment - DEI in Retention - Pay Equity Analysis 2021 - Employee Resource Groups  50Employee Recognition  Employee Health and Safety: Our Zero Harm Vision for our People - Occupational Health and Safety Management  - Identifying and Managing Hazards - Employee Consultation  - Health and Safety Training - Employee Health and Safety Tracking Prosperity & Sustainable Healthcare Product Training and Education: Engage, Educate, Align Medical Education Grants Clinical Research Clinical Research Grants Healthcare Access and Equity Innovation, Safety and Quality from Concept to Commercialization - Research, Development and Innovation  - Product Quality and Safety - Labor and Supplier Standards  Philanthropy  - Teleflex Foundation  - Ukraine Support  - Humanitarian Donations  Community Engagement  Global Reporting Initiative (GRI) Index Sustainability Accounting Standards Board (SASB) Index  United Nations Sustainable Development Goals (UN SDGs) 80CEO Message Corporate Social   Responsibility   Chair MessageTeleflex at a Glance Corporate Social  ResponsibilityContinued Support for   Employees through the   COVID-19 PandemicPrinciples of Ethics  & GovernancePlanet & Environment People Prosperity &   Sustainable   HealthcareGlobal Reporting   InitiativeSustainability  Accounting  Standards Board  (SASB) IndexUnited Nations   Sustainable  Development Goals  (UN SDGs)3 TELEFLEX 2021 GLOBAL IMPACT REPORTAbout this Report  Teleflex Incorporated’s second annual Global Impact Report details our  Corporate Social Responsibility (CSR) program and encompasses our  current progress and future aspirations as a company.
","('Employee_Health_And_Safety', 0.9720364212989807)","('Employee_Engagement_Inclusion_And_Diversity', 0.008500549010932446)","('Product_Design_And_Lifecycle_Management', 0.0014770196285098791)","(['Operational Eco-Efficiency'], 0.9720364212989807)","('NON-ESG', 0.008500549010932446)","('NON-ESG', 0.0014770196285098791)"
Line 5,"1 Teleflex 2021 Global Impact Report Advancing sustainable healthcare   by focusing on our products, patients,  people and the environment2021 Global Impact Report2 TELEFLEX 2021 GLOBAL IMPACT REPORTContents  About this Report Information Concerning Forward-Looking Statements CEO Message Corporate Social Responsibility Chair Message Teleflex at a Glance Our Products Our Impact Portfolio Optimization  Product Development  Our Supply Chain - Global Procurement - Manufacturing  - Distribution and Logistics - Commercial Organization and Customers  Corporate Social Responsibility Stakeholder Engagement  Continued Support for Employees through the COVID-19 Pandemic Principles of Ethics & Governance Corporate Governance  - Board of Directors - Executive Compensation  Participating in Public Policy Industry Groups and Trade Associations Driving a Culture of Compliance: Integrity in All We Do - The Teleflex Promise: Our Global Code of Ethics - Policies and Procedures: Providing a Framework for Success - Training and Communication: Supporting and Reinforcing our Message  30- Auditing and Monitoring:   Understanding how our Policies and Training are Working in Practice - Reporting and Investigations: Encouraging a Speak-Up Culture  Annual Teleflex Enterprise Risk Assessment Sales and Marketing Practices IT Security and Privacy Planet & Environment  Product Stewardship and Circularity Responsible Consumption and Production  - Water  - Safe Materials and Chemicals  - Logistics and Distribution Emissions and Climate Change - Emissions and Energy Targets  - Energy  Waste  People  Talent Management and Development  Tuition Assistance Benefits  Family Support  Diversity, Equity, and Inclusion - DEI Leadership - Inclusive Leadership Training  - DEI in Recruitment - DEI in Retention - Pay Equity Analysis 2021 - Employee Resource Groups  50Employee Recognition  Employee Health and Safety: Our Zero Harm Vision for our People - Occupational Health and Safety Management  - Identifying and Managing Hazards - Employee Consultation  - Health and Safety Training - Employee Health and Safety Tracking Prosperity & Sustainable Healthcare Product Training and Education: Engage, Educate, Align Medical Education Grants Clinical Research Clinical Research Grants Healthcare Access and Equity Innovation, Safety and Quality from Concept to Commercialization - Research, Development and Innovation  - Product Quality and Safety - Labor and Supplier Standards  Philanthropy  - Teleflex Foundation  - Ukraine Support  - Humanitarian Donations  Community Engagement  Global Reporting Initiative (GRI) Index Sustainability Accounting Standards Board (SASB) Index  United Nations Sustainable Development Goals (UN SDGs) 80CEO Message Corporate Social   Responsibility   Chair MessageTeleflex at a Glance Corporate Social  ResponsibilityContinued Support for   Employees through the   COVID-19 PandemicPrinciples of Ethics  & GovernancePlanet & Environment People Prosperity &   Sustainable   HealthcareGlobal Reporting   InitiativeSustainability  Accounting  Standards Board  (SASB) IndexUnited Nations   Sustainable  Development Goals  (UN SDGs)3 TELEFLEX 2021 GLOBAL IMPACT REPORTAbout this Report  Teleflex Incorporated’s second annual Global Impact Report details our  Corporate Social Responsibility (CSR) program and encompasses our  current progress and future aspirations as a company.
","('Product_Quality_And_Safety', 0.8655136823654175)","('Employee_Health_And_Safety', 0.03893522173166275)","('Product_Design_And_Lifecycle_Management', 0.019495993852615356)","(['Product Quality & Recall Management'], 0.8655136823654175)","('NON-ESG', 0.03893522173166275)","('NON-ESG', 0.019495993852615356)"
Line 6,"1 Teleflex 2021 Global Impact Report Advancing sustainable healthcare   by focusing on our products, patients,  people and the environment2021 Global Impact Report2 TELEFLEX 2021 GLOBAL IMPACT REPORTContents  About this Report Information Concerning Forward-Looking Statements CEO Message Corporate Social Responsibility Chair Message Teleflex at a Glance Our Products Our Impact Portfolio Optimization  Product Development  Our Supply Chain - Global Procurement - Manufacturing  - Distribution and Logistics - Commercial Organization and Customers  Corporate Social Responsibility Stakeholder Engagement  Continued Support for Employees through the COVID-19 Pandemic Principles of Ethics & Governance Corporate Governance  - Board of Directors - Executive Compensation  Participating in Public Policy Industry Groups and Trade Associations Driving a Culture of Compliance: Integrity in All We Do - The Teleflex Promise: Our Global Code of Ethics - Policies and Procedures: Providing a Framework for Success - Training and Communication: Supporting and Reinforcing our Message  30- Auditing and Monitoring:   Understanding how our Policies and Training are Working in Practice - Reporting and Investigations: Encouraging a Speak-Up Culture  Annual Teleflex Enterprise Risk Assessment Sales and Marketing Practices IT Security and Privacy Planet & Environment  Product Stewardship and Circularity Responsible Consumption and Production  - Water  - Safe Materials and Chemicals  - Logistics and Distribution Emissions and Climate Change - Emissions and Energy Targets  - Energy  Waste  People  Talent Management and Development  Tuition Assistance Benefits  Family Support  Diversity, Equity, and Inclusion - DEI Leadership - Inclusive Leadership Training  - DEI in Recruitment - DEI in Retention - Pay Equity Analysis 2021 - Employee Resource Groups  50Employee Recognition  Employee Health and Safety: Our Zero Harm Vision for our People - Occupational Health and Safety Management  - Identifying and Managing Hazards - Employee Consultation  - Health and Safety Training - Employee Health and Safety Tracking Prosperity & Sustainable Healthcare Product Training and Education: Engage, Educate, Align Medical Education Grants Clinical Research Clinical Research Grants Healthcare Access and Equity Innovation, Safety and Quality from Concept to Commercialization - Research, Development and Innovation  - Product Quality and Safety - Labor and Supplier Standards  Philanthropy  - Teleflex Foundation  - Ukraine Support  - Humanitarian Donations  Community Engagement  Global Reporting Initiative (GRI) Index Sustainability Accounting Standards Board (SASB) Index  United Nations Sustainable Development Goals (UN SDGs) 80CEO Message Corporate Social   Responsibility   Chair MessageTeleflex at a Glance Corporate Social  ResponsibilityContinued Support for   Employees through the   COVID-19 PandemicPrinciples of Ethics  & GovernancePlanet & Environment People Prosperity &   Sustainable   HealthcareGlobal Reporting   InitiativeSustainability  Accounting  Standards Board  (SASB) IndexUnited Nations   Sustainable  Development Goals  (UN SDGs)3 TELEFLEX 2021 GLOBAL IMPACT REPORTAbout this Report  Teleflex Incorporated’s second annual Global Impact Report details our  Corporate Social Responsibility (CSR) program and encompasses our  current progress and future aspirations as a company.
","('Business_Ethics', 0.3523111939430237)","('Human_Rights_And_Community_Relations', 0.2886806130409241)","('Management_Of_Legal_And_Regulatory_Framework', 0.07686890661716461)","('NON-ESG', 0.3523111939430237)","('NON-ESG', 0.2886806130409241)","('NON-ESG', 0.07686890661716461)"
Line 7,"1 Teleflex 2021 Global Impact Report Advancing sustainable healthcare   by focusing on our products, patients,  people and the environment2021 Global Impact Report2 TELEFLEX 2021 GLOBAL IMPACT REPORTContents  About this Report Information Concerning Forward-Looking Statements CEO Message Corporate Social Responsibility Chair Message Teleflex at a Glance Our Products Our Impact Portfolio Optimization  Product Development  Our Supply Chain - Global Procurement - Manufacturing  - Distribution and Logistics - Commercial Organization and Customers  Corporate Social Responsibility Stakeholder Engagement  Continued Support for Employees through the COVID-19 Pandemic Principles of Ethics & Governance Corporate Governance  - Board of Directors - Executive Compensation  Participating in Public Policy Industry Groups and Trade Associations Driving a Culture of Compliance: Integrity in All We Do - The Teleflex Promise: Our Global Code of Ethics - Policies and Procedures: Providing a Framework for Success - Training and Communication: Supporting and Reinforcing our Message  30- Auditing and Monitoring:   Understanding how our Policies and Training are Working in Practice - Reporting and Investigations: Encouraging a Speak-Up Culture  Annual Teleflex Enterprise Risk Assessment Sales and Marketing Practices IT Security and Privacy Planet & Environment  Product Stewardship and Circularity Responsible Consumption and Production  - Water  - Safe Materials and Chemicals  - Logistics and Distribution Emissions and Climate Change - Emissions and Energy Targets  - Energy  Waste  People  Talent Management and Development  Tuition Assistance Benefits  Family Support  Diversity, Equity, and Inclusion - DEI Leadership - Inclusive Leadership Training  - DEI in Recruitment - DEI in Retention - Pay Equity Analysis 2021 - Employee Resource Groups  50Employee Recognition  Employee Health and Safety: Our Zero Harm Vision for our People - Occupational Health and Safety Management  - Identifying and Managing Hazards - Employee Consultation  - Health and Safety Training - Employee Health and Safety Tracking Prosperity & Sustainable Healthcare Product Training and Education: Engage, Educate, Align Medical Education Grants Clinical Research Clinical Research Grants Healthcare Access and Equity Innovation, Safety and Quality from Concept to Commercialization - Research, Development and Innovation  - Product Quality and Safety - Labor and Supplier Standards  Philanthropy  - Teleflex Foundation  - Ukraine Support  - Humanitarian Donations  Community Engagement  Global Reporting Initiative (GRI) Index Sustainability Accounting Standards Board (SASB) Index  United Nations Sustainable Development Goals (UN SDGs) 80CEO Message Corporate Social   Responsibility   Chair MessageTeleflex at a Glance Corporate Social  ResponsibilityContinued Support for   Employees through the   COVID-19 PandemicPrinciples of Ethics  & GovernancePlanet & Environment People Prosperity &   Sustainable   HealthcareGlobal Reporting   InitiativeSustainability  Accounting  Standards Board  (SASB) IndexUnited Nations   Sustainable  Development Goals  (UN SDGs)3 TELEFLEX 2021 GLOBAL IMPACT REPORTAbout this Report  Teleflex Incorporated’s second annual Global Impact Report details our  Corporate Social Responsibility (CSR) program and encompasses our  current progress and future aspirations as a company.
","('Human_Rights_And_Community_Relations', 0.7743193507194519)","('Business_Model_Resilience', 0.05022593215107918)","('Ecological_Impacts', 0.01729930005967617)","(['Community Relations'], 0.7743193507194519)","('NON-ESG', 0.05022593215107918)","('NON-ESG', 0.01729930005967617)"
Line 8,"This report also  showcases practical ways in which we seek to address evolving  Environmental, Social and Governance (ESG) standards to identify and  quantify the measures of our sustainability and societal impact.
","('Human_Rights_And_Community_Relations', 0.3724324405193329)","('Management_Of_Legal_And_Regulatory_Framework', 0.1678791344165802)","('Business_Model_Resilience', 0.1381859928369522)","('NON-ESG', 0.3724324405193329)","('NON-ESG', 0.1678791344165802)","('NON-ESG', 0.1381859928369522)"
Line 9,"This report has been prepared in accordance with the Global Reporting  Initiative (GRI) 2021 Standards and in line with the Sustainability  Accounting Standards Board’s (SASB) industry-specific standards for  medical equipment.
","('Management_Of_Legal_And_Regulatory_Framework', 0.3164338767528534)","('Product_Quality_And_Safety', 0.2301209270954132)","('Systemic_Risk_Management', 0.05873719975352287)","('NON-ESG', 0.3164338767528534)","('NON-ESG', 0.2301209270954132)","('NON-ESG', 0.05873719975352287)"
Line 10,"Tables providing relevant information and mapping of  applicable reporting standards to relevant information included elsewhere  in this report are included at the end of this report.
","('Management_Of_Legal_And_Regulatory_Framework', 0.8441192507743835)","('Product_Quality_And_Safety', 0.03831605240702629)","('Access_And_Affordability', 0.014728482812643051)","(['Corporate Governance'], 0.8441192507743835)","('NON-ESG', 0.03831605240702629)","('NON-ESG', 0.014728482812643051)"
