,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"dentsplysirona.com REPORT Corporate Social Responsibility Report Message from the CEOӏContents 03ӏDentsply Sirona at a Glance 05ӏCorporate Social Responsibility Platform 07ӏImproving Oral Health 17ӏGovernance 21ӏWorkplace 27ӏSupporting Local Communities 31ӏMarketplace 33ӏEnvironment, Health & Safety 37ӏPolitical Spending 38ӏConclusionDear Reader, As a true global player and the  largest manufacturer of professional  dental products and technologies,  we take Corporate Social Responsi - bility (CSR) seriously.
","('Human_Rights_And_Community_Relations', 0.8667385578155518)","('Access_And_Affordability', 0.016972092911601067)","('Business_Model_Resilience', 0.011674430221319199)","(['Community Relations'], 0.8667385578155518)","('NON-ESG', 0.016972092911601067)","('NON-ESG', 0.011674430221319199)"
Line 2,"dentsplysirona.com REPORT Corporate Social Responsibility Report Message from the CEOӏContents 03ӏDentsply Sirona at a Glance 05ӏCorporate Social Responsibility Platform 07ӏImproving Oral Health 17ӏGovernance 21ӏWorkplace 27ӏSupporting Local Communities 31ӏMarketplace 33ӏEnvironment, Health & Safety 37ӏPolitical Spending 38ӏConclusionDear Reader, As a true global player and the  largest manufacturer of professional  dental products and technologies,  we take Corporate Social Responsi - bility (CSR) seriously.
","('Management_Of_Legal_And_Regulatory_Framework', 0.09504751861095428)","('Waste_And_Hazardous_Materials_Management', 0.08534819632768631)","('Ecological_Impacts', 0.06305251270532608)","('NON-ESG', 0.09504751861095428)","('NON-ESG', 0.08534819632768631)","('NON-ESG', 0.06305251270532608)"
Line 3,"Everyone at   Dentsply Sirona shares a common  Vision: to improve oral healthcare  around the world.
","('Access_And_Affordability', 0.3509175479412079)","('Customer_Welfare', 0.13207347691059113)","('Employee_Health_And_Safety', 0.08263414353132248)","('NON-ESG', 0.3509175479412079)","('NON-ESG', 0.13207347691059113)","('NON-ESG', 0.08263414353132248)"
Line 4,"Our CSR platform   therefore includes a core focus  through corporate philanthropy on  initiatives that aim to improve oral  healthcare.
","('Management_Of_Legal_And_Regulatory_Framework', 0.4692438840866089)","('Access_And_Affordability', 0.21457669138908386)","('Human_Rights_And_Community_Relations', 0.07221571356058121)","('NON-ESG', 0.4692438840866089)","('NON-ESG', 0.21457669138908386)","('NON-ESG', 0.07221571356058121)"
Line 5,"We measure our success not only by  how much value we can create for  our shareholders and customers   but also by the positive impact we   make on local and global commu-   nities.
","('Business_Model_Resilience', 0.743147075176239)","('Human_Rights_And_Community_Relations', 0.032976336777210236)","('Systemic_Risk_Management', 0.026250304654240608)","(['Codes of Business Conduct'], 0.743147075176239)","('NON-ESG', 0.032976336777210236)","('NON-ESG', 0.026250304654240608)"
Line 6,"Growth and success come  with additional responsibility.
","('Human_Rights_And_Community_Relations', 0.21085131168365479)","('Business_Model_Resilience', 0.1958862841129303)","('Employee_Engagement_Inclusion_And_Diversity', 0.18460313975811005)","('NON-ESG', 0.21085131168365479)","('NON-ESG', 0.1958862841129303)","('NON-ESG', 0.18460313975811005)"
Line 7,"That’s  why, as we have grown significantly  in the rapidly developing regions of  Asia, Latin America and the Middle  East, we are taking steps to reduce  our environmental footprint by  increasing efficiency and further  improving our processes.
","('Business_Model_Resilience', 0.4516727328300476)","('Systemic_Risk_Management', 0.06648270040750504)","('Product_Design_And_Lifecycle_Management', 0.06023299694061279)","('NON-ESG', 0.4516727328300476)","('NON-ESG', 0.06648270040750504)","('NON-ESG', 0.06023299694061279)"
Line 8,"Every day, we empower dental profes-   sionals all over the world to provide mil - lions of patients with better dental care  and make people smile.
","('Access_And_Affordability', 0.6591227054595947)","('Employee_Health_And_Safety', 0.07156459242105484)","('Product_Quality_And_Safety', 0.045332472771406174)","(['Health Outcome Contribution'], 0.6591227054595947)","('NON-ESG', 0.07156459242105484)","('NON-ESG', 0.045332472771406174)"
Line 9,"At the heart of our   business are innovative products and   integrated solutions for dental profes-   sionals that make a difference in the lives  of their patients.
","('Product_Design_And_Lifecycle_Management', 0.9586367011070251)","('Product_Quality_And_Safety', 0.004588981159031391)","('Energy_Management', 0.004248139448463917)","(['Product Stewardship'], 0.9586367011070251)","('NON-ESG', 0.004588981159031391)","('NON-ESG', 0.004248139448463917)"
Line 10,"As a global leader in the  dental industry, we constantly strive to   exceed expectations – of our customers,  our employees, our shareholders and the  communities in which we live and work.
","('Human_Rights_And_Community_Relations', 0.15156976878643036)","('Employee_Engagement_Inclusion_And_Diversity', 0.1483822911977768)","('Product_Design_And_Lifecycle_Management', 0.14604906737804413)","('NON-ESG', 0.15156976878643036)","('NON-ESG', 0.1483822911977768)","('NON-ESG', 0.14604906737804413)"
