,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"TAKING  ACTION FOR A BRIGHTER WORLD SUSTAI NABILITY REPORT | CONTENTOUR BUSINESS HEALTHY PLANET HEALTHY SMILES HEALTHY BUSINESS APPENDIX 77OUR APPROACH TO SUSTAINABILITY 7Our Business  Ӏ Our approach to sustainability Ӏ Healthy  Planet  Ӏ Healthy  Smiles  Ӏ Healthy  BusinessOur Business  Ӏ Our approach to sustainability Ӏ Healthy  Planet  Ӏ Healthy  Smiles  Ӏ Healthy  Business BEYOND | 3LETTER FROM THE CEOI am delighted to have been appointed CEO of Dentsply Sirona in  September 2022, taking over from interim CEO John Groetelaars who continues to serve on the Board.
","('Business_Model_Resilience', 0.21344952285289764)","('Product_Design_And_Lifecycle_Management', 0.13852155208587646)","('Customer_Welfare', 0.10437749326229095)","('NON-ESG', 0.21344952285289764)","('NON-ESG', 0.13852155208587646)","('NON-ESG', 0.10437749326229095)"
Line 2,"TAKING  ACTION FOR A BRIGHTER WORLD SUSTAI NABILITY REPORT | CONTENTOUR BUSINESS HEALTHY PLANET HEALTHY SMILES HEALTHY BUSINESS APPENDIX 77OUR APPROACH TO SUSTAINABILITY 7Our Business  Ӏ Our approach to sustainability Ӏ Healthy  Planet  Ӏ Healthy  Smiles  Ӏ Healthy  BusinessOur Business  Ӏ Our approach to sustainability Ӏ Healthy  Planet  Ӏ Healthy  Smiles  Ӏ Healthy  Business BEYOND | 3LETTER FROM THE CEOI am delighted to have been appointed CEO of Dentsply Sirona in  September 2022, taking over from interim CEO John Groetelaars who continues to serve on the Board.
","('Director_Removal', 0.4733572006225586)","('Business_Model_Resilience', 0.1376522034406662)","('Data_Security', 0.03933855891227722)","('NON-ESG', 0.4733572006225586)","('NON-ESG', 0.1376522034406662)","('NON-ESG', 0.03933855891227722)"
Line 3,"I have joined a committed team that works passionately every day to empower dental professionals around the world to provide best-in-class oral health care and create healthy smiles for their patients.
","('Access_And_Affordability', 0.45587843656539917)","('Customer_Welfare', 0.09739468991756439)","('Employee_Health_And_Safety', 0.09624971449375153)","('NON-ESG', 0.45587843656539917)","('NON-ESG', 0.09739468991756439)","('NON-ESG', 0.09624971449375153)"
Line 4,"More than 100 years of experience in innovation and creativity fuel the Company’s capability to deliver safe and efficient products and solutions for dental professionals and patients.
","('Product_Design_And_Lifecycle_Management', 0.9359277486801147)","('Product_Quality_And_Safety', 0.01406912598758936)","('Customer_Welfare', 0.005810418166220188)","(['Product Stewardship'], 0.9359277486801147)","('NON-ESG', 0.01406912598758936)","('NON-ESG', 0.005810418166220188)"
Line 5,"Dentsply Sirona’s heritage also supports our strong commitment towards operational excellence and our desire to create a sustainable future for the dental industry, alongside improving oral health globally for future generations.
","('Employee_Health_And_Safety', 0.28570830821990967)","('Access_And_Affordability', 0.15603603422641754)","('Product_Quality_And_Safety', 0.15101470053195953)","('NON-ESG', 0.28570830821990967)","('NON-ESG', 0.15603603422641754)","('NON-ESG', 0.15101470053195953)"
Line 6,"Earlier this year, the team conducted a global study which found  that 70% of dentists believe the industry is lagging when it comes to sustainability performance, and only half of those surveyed feel comfortable talking about sustainability to either their patients or suppliers.
","('Supply_Chain_Management', 0.8565442562103271)","('Product_Design_And_Lifecycle_Management', 0.03590002283453941)","('Business_Model_Resilience', 0.014977052807807922)","(['Supply Chain Management'], 0.8565442562103271)","('NON-ESG', 0.03590002283453941)","('NON-ESG', 0.014977052807807922)"
Line 7,"The sustainability actions we take at Dentsply Sirona start internally but extend beyond our own operations.
","('Business_Model_Resilience', 0.530748188495636)","('Director_Removal', 0.06678083539009094)","('Supply_Chain_Management', 0.058009907603263855)","(['Codes of Business Conduct'], 0.530748188495636)","('NON-ESG', 0.06678083539009094)","('NON-ESG', 0.058009907603263855)"
Line 8,"I am encouraged by the strong strategic partnerships that Dentsply Sirona has established to accelerate industry change, and we are taking concrete actions to promote more sustainable dental and oral health practices, such as providing sustainability-related educational and practical tools to dental professionals.
","('Employee_Health_And_Safety', 0.295581191778183)","('Product_Quality_And_Safety', 0.14079664647579193)","('Customer_Welfare', 0.12028589844703674)","('NON-ESG', 0.295581191778183)","('NON-ESG', 0.14079664647579193)","('NON-ESG', 0.12028589844703674)"
Line 9,"OUR PEOPLE   COME FIRST  The health, safety, and wellbeing of all those with whom we work  is always of the upmost importance to us.
","('Employee_Health_And_Safety', 0.9106593728065491)","('Access_And_Affordability', 0.012602629140019417)","('Human_Rights_And_Community_Relations', 0.012598838657140732)","(['Operational Eco-Efficiency'], 0.9106593728065491)","('NON-ESG', 0.012602629140019417)","('NON-ESG', 0.012598838657140732)"
Line 10,"For Dentsply Sirona,  this means our employees, customers, partners, suppliers, and communities in which we operate, as well as the end patients that benefit from our products.
","('Product_Design_And_Lifecycle_Management', 0.9296294450759888)","('Customer_Welfare', 0.01174861378967762)","('Selling_Practices_And_Product_Labeling', 0.011490211822092533)","(['Product Stewardship'], 0.9296294450759888)","('NON-ESG', 0.01174861378967762)","('NON-ESG', 0.011490211822092533)"
