,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"Sustainability  Report ENVIRONMENTAL    SOCIAL     GOVERNANCECOMPANY PROFILE  Corporate overview  .
","('Business_Model_Resilience', 0.3737197518348694)","('Management_Of_Legal_And_Regulatory_Framework', 0.1137821227312088)","('Human_Rights_And_Community_Relations', 0.09160492569208145)","('NON-ESG', 0.3737197518348694)","('NON-ESG', 0.1137821227312088)","('NON-ESG', 0.09160492569208145)"
Line 2,"1   Mission and guiding principles.
","('Human_Rights_And_Community_Relations', 0.6571494936943054)","('Employee_Engagement_Inclusion_And_Diversity', 0.042916882783174515)","('Director_Removal', 0.036970775574445724)","(['Community Relations'], 0.6571494936943054)","('NON-ESG', 0.042916882783174515)","('NON-ESG', 0.036970775574445724)"
Line 3,"2   Our sustainability commitment  .
","('Business_Model_Resilience', 0.38320523500442505)","('Product_Design_And_Lifecycle_Management', 0.1395885944366455)","('Supply_Chain_Management', 0.13314925134181976)","('NON-ESG', 0.38320523500442505)","('NON-ESG', 0.1395885944366455)","('NON-ESG', 0.13314925134181976)"
Line 4,"ENVIRONMENTAL  Environmental Health and Safety (EHS) program .
","('Employee_Health_And_Safety', 0.774507999420166)","('Critical_Incident_Risk_Management', 0.08404406905174255)","('Product_Quality_And_Safety', 0.027429992333054543)","(['Operational Eco-Efficiency'], 0.774507999420166)","('NON-ESG', 0.08404406905174255)","('NON-ESG', 0.027429992333054543)"
Line 5,"Goals and accomplishments  .
","('Human_Rights_And_Community_Relations', 0.3396835923194885)","('Employee_Engagement_Inclusion_And_Diversity', 0.12618388235569)","('Employee_Health_And_Safety', 0.06297358870506287)","('NON-ESG', 0.3396835923194885)","('NON-ESG', 0.12618388235569)","('NON-ESG', 0.06297358870506287)"
Line 6,"4   External reporting standards  .
","('Management_Of_Legal_And_Regulatory_Framework', 0.35254967212677)","('Product_Quality_And_Safety', 0.1310890018939972)","('Data_Security', 0.05727367103099823)","('NON-ESG', 0.35254967212677)","('NON-ESG', 0.1310890018939972)","('NON-ESG', 0.05727367103099823)"
Line 7,"5   Health and safety performance .
","('Employee_Health_And_Safety', 0.6328130960464478)","('Product_Quality_And_Safety', 0.22632047533988953)","('Product_Design_And_Lifecycle_Management', 0.025686198845505714)","(['Operational Eco-Efficiency'], 0.6328130960464478)","('NON-ESG', 0.22632047533988953)","('NON-ESG', 0.025686198845505714)"
Line 8,"5   Environmental performance  .
","('Business_Model_Resilience', 0.1498125195503235)","('Product_Design_And_Lifecycle_Management', 0.13679958879947662)","('Ecological_Impacts', 0.11972113698720932)","('NON-ESG', 0.1498125195503235)","('NON-ESG', 0.13679958879947662)","('NON-ESG', 0.11972113698720932)"
Line 9,"Supplier management  .
","('Supply_Chain_Management', 0.9019162654876709)","('Product_Design_And_Lifecycle_Management', 0.009909551590681076)","('Human_Rights_And_Community_Relations', 0.007459815125912428)","(['Supply Chain Management'], 0.9019162654876709)","('NON-ESG', 0.009909551590681076)","('NON-ESG', 0.007459815125912428)"
Line 10,"6   Manufacturing  .
","('Product_Design_And_Lifecycle_Management', 0.404568076133728)","('Supply_Chain_Management', 0.22926758229732513)","('Waste_And_Hazardous_Materials_Management', 0.043994318693876266)","('NON-ESG', 0.404568076133728)","('NON-ESG', 0.22926758229732513)","('NON-ESG', 0.043994318693876266)"
Line 11,"Quality and product safety  .
","('Product_Quality_And_Safety', 0.8718764781951904)","('Product_Design_And_Lifecycle_Management', 0.028330625966191292)","('Employee_Health_And_Safety', 0.011627080850303173)","(['Product Quality & Recall Management'], 0.8718764781951904)","('NON-ESG', 0.028330625966191292)","('NON-ESG', 0.011627080850303173)"
Line 12,"SOCIAL  Talent management  .
","('Employee_Engagement_Inclusion_And_Diversity', 0.8685013651847839)","('Human_Rights_And_Community_Relations', 0.024880273267626762)","('Employee_Health_And_Safety', 0.013339848257601261)","(['Human Capital Development'], 0.8685013651847839)","('NON-ESG', 0.024880273267626762)","('NON-ESG', 0.013339848257601261)"
Line 13,"7-8   Recent awards and recognition .
","('Management_Of_Legal_And_Regulatory_Framework', 0.38856300711631775)","('Business_Ethics', 0.08958426862955093)","('Ecological_Impacts', 0.08593582361936569)","('NON-ESG', 0.38856300711631775)","('NON-ESG', 0.08958426862955093)","('NON-ESG', 0.08593582361936569)"
Line 14,"Volunteer activities  .
","('Human_Rights_And_Community_Relations', 0.25914132595062256)","('Employee_Engagement_Inclusion_And_Diversity', 0.18977531790733337)","('Employee_Health_And_Safety', 0.13276831805706024)","('NON-ESG', 0.25914132595062256)","('NON-ESG', 0.18977531790733337)","('NON-ESG', 0.13276831805706024)"
Line 15,"8   Work/life balance and wellness  .
","('Employee_Health_And_Safety', 0.3885907530784607)","('Employee_Engagement_Inclusion_And_Diversity', 0.3198193907737732)","('Access_And_Affordability', 0.04128023609519005)","('NON-ESG', 0.3885907530784607)","('NON-ESG', 0.3198193907737732)","('NON-ESG', 0.04128023609519005)"
Line 16,"8   Diversity and inclusion  .
","('Employee_Engagement_Inclusion_And_Diversity', 0.9691828489303589)","('Human_Rights_And_Community_Relations', 0.0023052578326314688)","('Employee_Health_And_Safety', 0.002152377041056752)","(['Human Capital Development'], 0.9691828489303589)","('NON-ESG', 0.0023052578326314688)","('NON-ESG', 0.002152377041056752)"
Line 17,"9   Supplier diversity .
","('Employee_Engagement_Inclusion_And_Diversity', 0.6879987716674805)","('Supply_Chain_Management', 0.08781282603740692)","('Business_Model_Resilience', 0.029747165739536285)","(['Human Capital Development'], 0.6879987716674805)","('NON-ESG', 0.08781282603740692)","('NON-ESG', 0.029747165739536285)"
Line 18,"9   Grants, donations and funding  .
","('Management_Of_Legal_And_Regulatory_Framework', 0.8736395239830017)","('GHG_Emissions', 0.01636427454650402)","('Access_And_Affordability', 0.014083094894886017)","(['Corporate Governance'], 0.8736395239830017)","('NON-ESG', 0.01636427454650402)","('NON-ESG', 0.014083094894886017)"
Line 19,"10 -  GOVERNANCE  Corporate governance  .
","('Competitive_Behavior', 0.24974298477172852)","('Systemic_Risk_Management', 0.22583435475826263)","('Management_Of_Legal_And_Regulatory_Framework', 0.11957930028438568)","('NON-ESG', 0.24974298477172852)","('NON-ESG', 0.22583435475826263)","('NON-ESG', 0.11957930028438568)"
