,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"12020    SUSTAINABILITY   REPORT ENVIRONMENTAL SOCIAL GOVERNANCECOMPANY PROFILE Corporate Overview  .
","('Business_Model_Resilience', 0.3537760078907013)","('Human_Rights_And_Community_Relations', 0.15570253133773804)","('Management_Of_Legal_And_Regulatory_Framework', 0.10340037941932678)","('NON-ESG', 0.3537760078907013)","('NON-ESG', 0.15570253133773804)","('NON-ESG', 0.10340037941932678)"
Line 2,"Mission and Guiding Principles.
","('Human_Rights_And_Community_Relations', 0.48951178789138794)","('Director_Removal', 0.06701233237981796)","('Employee_Engagement_Inclusion_And_Diversity', 0.057919107377529144)","('NON-ESG', 0.48951178789138794)","('NON-ESG', 0.06701233237981796)","('NON-ESG', 0.057919107377529144)"
Line 3,"Our Sustainability Commitment  .
","('Business_Model_Resilience', 0.4109761416912079)","('Product_Design_And_Lifecycle_Management', 0.1241399496793747)","('Supply_Chain_Management', 0.09202111512422562)","('NON-ESG', 0.4109761416912079)","('NON-ESG', 0.1241399496793747)","('NON-ESG', 0.09202111512422562)"
Line 4,"COVID -19  .
","('Competitive_Behavior', 0.21452823281288147)","('GHG_Emissions', 0.17528600990772247)","('Management_Of_Legal_And_Regulatory_Framework', 0.13778139650821686)","('NON-ESG', 0.21452823281288147)","('NON-ESG', 0.17528600990772247)","('NON-ESG', 0.13778139650821686)"
Line 5,"ENVIRONMENTAL Environmental Risk Management Policy  .
","('Physical_Impacts_Of_Climate_Change', 0.344616562128067)","('Business_Model_Resilience', 0.14965203404426575)","('Ecological_Impacts', 0.10354471951723099)","('NON-ESG', 0.344616562128067)","('NON-ESG', 0.14965203404426575)","('NON-ESG', 0.10354471951723099)"
Line 6,"Compliance  .
","('Management_Of_Legal_And_Regulatory_Framework', 0.33099278807640076)","('Business_Ethics', 0.3158797323703766)","('Product_Quality_And_Safety', 0.03956470638513565)","('NON-ESG', 0.33099278807640076)","('NON-ESG', 0.3158797323703766)","('NON-ESG', 0.03956470638513565)"
Line 7,"Continuous Improvement  .
","('Access_And_Affordability', 0.5638823509216309)","('Product_Quality_And_Safety', 0.049652084708213806)","('Critical_Incident_Risk_Management', 0.036384642124176025)","(['Health Outcome Contribution'], 0.5638823509216309)","('NON-ESG', 0.049652084708213806)","('NON-ESG', 0.036384642124176025)"
Line 8,"4  Business Integration  .
","('Business_Model_Resilience', 0.4399975538253784)","('Supply_Chain_Management', 0.09949313849210739)","('Systemic_Risk_Management', 0.0876220166683197)","('NON-ESG', 0.4399975538253784)","('NON-ESG', 0.09949313849210739)","('NON-ESG', 0.0876220166683197)"
Line 9,"Environment & Climate Change  .
","('Physical_Impacts_Of_Climate_Change', 0.8866551518440247)","('GHG_Emissions', 0.031187424436211586)","('Business_Model_Resilience', 0.01379129197448492)","(['Climate Change'], 0.8866551518440247)","('NON-ESG', 0.031187424436211586)","('NON-ESG', 0.01379129197448492)"
Line 10,"Health & Safety .
","('Employee_Health_And_Safety', 0.9481860995292664)","('Critical_Incident_Risk_Management', 0.010584035888314247)","('Product_Quality_And_Safety', 0.008064085617661476)","(['Operational Eco-Efficiency'], 0.9481860995292664)","('NON-ESG', 0.010584035888314247)","('NON-ESG', 0.008064085617661476)"
Line 11,"Communication & Education  .
","('Access_And_Affordability', 0.3808101713657379)","('Employee_Engagement_Inclusion_And_Diversity', 0.15011413395404816)","('Human_Rights_And_Community_Relations', 0.14196304976940155)","('NON-ESG', 0.3808101713657379)","('NON-ESG', 0.15011413395404816)","('NON-ESG', 0.14196304976940155)"
Line 12,"Environmental Targets  .
","('Management_Of_Legal_And_Regulatory_Framework', 0.19171738624572754)","('Human_Rights_And_Community_Relations', 0.16429349780082703)","('Energy_Management', 0.11676210165023804)","('NON-ESG', 0.19171738624572754)","('NON-ESG', 0.16429349780082703)","('NON-ESG', 0.11676210165023804)"
Line 13,"SOCIAL Talent Management  .
","('Employee_Engagement_Inclusion_And_Diversity', 0.8685013651847839)","('Human_Rights_And_Community_Relations', 0.024880273267626762)","('Employee_Health_And_Safety', 0.013339848257601261)","(['Human Capital Development'], 0.8685013651847839)","('NON-ESG', 0.024880273267626762)","('NON-ESG', 0.013339848257601261)"
Line 14,"Performance Management  .
","('Employee_Engagement_Inclusion_And_Diversity', 0.23038016259670258)","('Business_Model_Resilience', 0.1343463808298111)","('Human_Rights_And_Community_Relations', 0.09833971410989761)","('NON-ESG', 0.23038016259670258)","('NON-ESG', 0.1343463808298111)","('NON-ESG', 0.09833971410989761)"
Line 15,"Culture Promises and Habits  .
","('Employee_Engagement_Inclusion_And_Diversity', 0.4839593172073364)","('Human_Rights_And_Community_Relations', 0.24293890595436096)","('Business_Model_Resilience', 0.029863562434911728)","('NON-ESG', 0.4839593172073364)","('NON-ESG', 0.24293890595436096)","('NON-ESG', 0.029863562434911728)"
Line 16,"Performance Coaching  .
","('Employee_Engagement_Inclusion_And_Diversity', 0.4454512596130371)","('Access_And_Affordability', 0.12361409515142441)","('Employee_Health_And_Safety', 0.05890355259180069)","('NON-ESG', 0.4454512596130371)","('NON-ESG', 0.12361409515142441)","('NON-ESG', 0.05890355259180069)"
Line 17,"Leadership Development  .
","('Employee_Engagement_Inclusion_And_Diversity', 0.7331907749176025)","('Human_Rights_And_Community_Relations', 0.04021519422531128)","('Business_Model_Resilience', 0.029435928910970688)","(['Human Capital Development'], 0.7331907749176025)","('NON-ESG', 0.04021519422531128)","('NON-ESG', 0.029435928910970688)"
