,China Containerized Freight Index,China Shanghai Containerized Freight Index
2002-01-11,921.3500,
2002-01-18,901.6500,
2002-01-25,925.8800,
2002-02-01,927.5400,
2002-02-08,930.6300,
2002-02-15,927.5750,
2002-02-22,924.5200,
2002-03-01,935.3800,
2002-03-08,934.6200,
2002-03-15,934.5500,
2002-03-22,933.9200,
2002-03-29,921.3900,
2002-04-05,923.5400,
2002-04-12,934.6700,
2002-04-19,935.4200,
2002-04-26,929.3100,
2002-05-03,933.5467,
2002-05-10,937.7833,
2002-05-17,942.0200,
2002-05-24,936.2500,
2002-05-31,938.9600,
2002-06-07,944.6900,
2002-06-14,936.1400,
2002-06-21,935.6700,
2002-06-28,933.1900,
2002-07-05,934.2700,
2002-07-12,942.3700,
2002-07-19,953.6800,
2002-07-26,955.1600,
2002-08-02,953.2900,
2002-08-09,967.9200,
2002-08-16,962.9400,
2002-08-23,961.2600,
2002-08-30,960.4400,
2002-09-06,965.0400,
2002-09-13,978.4500,
2002-09-20,962.6800,
2002-09-27,961.0200,
2002-10-04,961.0800,
2002-10-11,961.1400,
2002-10-18,958.9400,
2002-10-25,958.2500,
2002-11-01,974.1100,
2002-11-08,987.3400,
2002-11-15,990.5400,
2002-11-22,1006.5800,
2002-11-29,999.8200,
2002-12-06,981.4600,
2002-12-13,974.6900,
2002-12-20,989.8300,
2002-12-27,988.2800,
2003-01-03,1001.1200,
2003-01-10,1014.4400,
2003-01-17,999.6400,
2003-01-24,1036.9100,
2003-01-31,1024.5900,
2003-02-07,1012.2700,
2003-02-14,999.9500,
2003-02-21,998.0400,
2003-02-28,989.5600,
2003-03-07,968.9900,
2003-03-14,987.2200,
2003-03-21,982.5200,
2003-03-28,984.1400,
2003-04-04,995.1700,
2003-04-11,985.2800,
2003-04-18,1009.0000,
2003-04-25,998.6800,
2003-05-02,998.3200,
2003-05-09,985.7200,
2003-05-16,973.1200,
2003-05-23,1023.3200,
2003-05-30,1041.9700,
2003-06-06,1037.9000,
2003-06-13,1030.7800,
2003-06-20,1043.6100,
2003-06-27,1046.6900,
2003-07-04,1047.3100,
2003-07-11,1055.4200,
2003-07-18,1065.8700,
2003-07-25,1066.4900,
2003-08-01,1078.5900,
2003-08-08,1075.6500,
2003-08-15,1074.4600,
2003-08-22,1077.2100,
2003-08-29,1082.1900,
2003-09-05,1082.5100,
2003-09-12,1118.3600,
2003-09-19,1117.5200,
2003-09-26,1120.1300,
2003-10-03,1117.2500,
2003-10-10,1117.2500,
2003-10-17,1097.8900,
2003-10-24,1079.4600,
2003-10-31,1097.1400,
2003-11-07,1086.5100,
2003-11-14,1085.3000,
2003-11-21,1084.0900,
2003-11-28,1083.6500,
2003-12-05,1095.6000,
2003-12-12,1087.8200,
2003-12-19,1078.8100,
2003-12-26,1086.2853,
2004-01-02,1093.7606,
2004-01-09,1107.0200,
2004-01-16,1087.6193,
2004-01-23,1089.4400,
2004-01-30,1097.6200,
2004-02-06,1069.5096,
2004-02-13,1064.4800,
2004-02-20,1066.7892,
2004-02-27,1035.8231,
2004-03-05,1069.8298,
2004-03-12,1046.8019,
2004-03-19,1039.7613,
2004-03-26,1063.6492,
2004-04-02,1059.4725,
2004-04-09,1078.0041,
2004-04-16,1062.8693,
2004-04-23,1089.1282,
2004-04-30,1090.3988,
2004-05-07,1097.8800,
2004-05-14,1103.3457,
2004-05-21,1090.5617,
2004-05-28,1103.4453,
2004-06-04,1110.0200,
2004-06-11,1133.8692,
2004-06-18,1120.8230,
2004-06-25,1127.2596,
2004-07-02,1147.4900,
2004-07-09,1134.2549,
2004-07-16,1145.4114,
2004-07-23,1130.0468,
2004-07-30,1123.8636,
2004-08-06,1130.2000,
2004-08-13,1140.2393,
2004-08-20,1137.3803,
2004-08-27,1133.3638,
2004-09-03,1149.4741,
2004-09-10,1152.5913,
2004-09-17,1168.2366,
2004-09-24,1200.9300,
2004-10-01,1255.2713,
2004-10-08,1203.4700,
2004-10-15,1178.3500,
2004-10-22,1153.3900,
2004-10-29,1184.1611,
2004-11-05,1174.2229,
2004-11-12,1183.6000,
2004-11-19,1195.2500,
2004-11-26,1188.4800,
2004-12-03,1175.5700,
2004-12-10,1184.0600,
2004-12-17,1177.3800,
2004-12-24,1180.5200,
2004-12-31,1174.2300,
2005-01-14,1149.3500,
2005-01-21,1149.3500,
2005-01-28,1132.4500,
2005-02-04,1173.2300,
2005-02-11,1136.9200,
2005-02-18,1155.9500,
2005-02-25,1122.0800,
2005-03-04,1109.6600,
2005-03-11,1122.8600,
2005-03-18,1120.6700,
2005-03-25,1083.3700,
2005-04-01,1147.9500,
2005-04-08,1128.9700,
2005-04-15,1156.2800,
2005-04-22,1149.3600,
2005-04-29,1178.5100,
2005-05-06,1158.8400,
2005-05-13,1150.9500,
2005-05-20,1153.6000,
2005-05-27,1165.4300,
2005-06-03,1178.8800,
2005-06-10,1188.6200,
2005-06-17,1165.0800,
2005-06-24,1164.5000,
2005-07-01,1158.2200,
2005-07-08,1134.2800,
2005-07-15,1159.8100,
2005-07-22,1147.0800,
2005-07-29,1146.1000,
2005-08-05,1141.1200,
2005-08-12,1136.8107,
2005-08-19,1127.8500,
2005-08-26,1152.5100,
2005-09-02,1129.2747,
2005-09-09,1144.2700,
2005-09-16,1143.3500,
2005-09-23,1161.6900,
2005-09-30,1167.4571,
2005-10-07,1172.4609,
2005-10-14,1160.2700,
2005-10-21,1141.3600,
2005-10-28,1152.9800,
2005-11-04,1134.4793,
2005-11-11,1131.7000,
2005-11-18,1124.9500,
2005-11-25,1116.1200,
2005-12-02,1101.3500,
2005-12-09,1105.9200,
2005-12-16,1093.3500,
2005-12-23,1084.3300,
2005-12-30,1072.4200,
2006-01-06,1078.7600,
2006-01-13,1055.5300,
2006-01-20,1043.7300,
2006-01-27,1050.7500,
2006-02-03,1057.0400,
2006-02-10,1048.0300,
2006-02-17,1035.0600,
2006-02-24,1013.6000,
2006-03-03,1022.8600,
2006-03-10,1001.5400,
2006-03-17,988.7900,
2006-03-24,986.0000,
2006-03-31,992.0000,
2006-04-07,999.0000,
2006-04-14,993.7100,
2006-04-21,984.4800,
2006-04-28,1007.0000,
2006-05-05,1013.0000,
2006-05-12,992.8100,
2006-05-19,1006.7000,
2006-05-26,998.3700,
2006-06-02,993.3700,
2006-06-09,995.8000,
2006-06-16,1001.9100,
2006-06-23,993.3900,
2006-06-30,996.6000,
2006-07-07,987.0200,
2006-07-14,991.5000,
2006-07-21,1000.3900,
2006-07-28,1001.9300,
2006-08-04,998.0000,
2006-08-11,1007.8200,
2006-08-18,1003.4400,
2006-08-25,1020.8000,
2006-09-01,1009.6400,
2006-09-08,1027.4900,
2006-09-15,1028.8400,
2006-09-22,1025.8100,
2006-09-29,1030.7300,
2006-10-06,1037.7300,
2006-10-13,1060.0300,
2006-10-20,1066.0500,
2006-10-27,1055.8900,
2006-11-03,1077.2300,
2006-11-10,1079.5000,
2006-11-17,1069.9500,
2006-11-24,1080.4500,
2006-12-01,1038.6900,
2006-12-08,1032.9700,
2006-12-15,1030.9200,
2006-12-22,1028.3000,
2006-12-29,1034.2400,
2007-01-05,1017.9200,
2007-01-12,1040.1700,
2007-01-19,1033.6500,
2007-01-26,1039.6300,
2007-02-02,1024.1500,
2007-02-09,1023.8800,
2007-02-16,1034.1500,
2007-02-23,1044.1300,
2007-03-02,1012.9300,
2007-03-09,1014.8500,
2007-03-16,1026.0700,
2007-03-23,1004.9800,
2007-03-30,993.7000,
2007-04-06,998.2400,
2007-04-13,1004.9000,
2007-04-20,1005.5700,
2007-04-27,1013.3800,
2007-05-04,1017.3300,
2007-05-11,1026.0600,
2007-05-18,1021.7500,
2007-05-25,1011.8900,
2007-06-01,1030.6200,
2007-06-08,1030.7200,
2007-06-15,1034.9400,
2007-06-22,1029.5300,
2007-06-29,1041.1700,
2007-07-06,1061.8800,
2007-07-13,1053.4700,
