Date,Vessel Arrivals (Number),Vessel Arrivals - Shipping Tonnage (Thousand Gross Tonnes),Total Cargo (Thousand Tonnes),Total Container Throughput (Thousand Twenty-Foot Equivalent Units),Bunker Sales (Thousand Tonnes),Singapore Registry Of Ships (End Of Period) - Number (Number),Singapore Registry Of Ships (End Of Period) - '000 GT (Thousand Gross Tonnes)
01/01/23,10035,257448,47622.6,2989.5,4376.9,4028,95976
12/01/22,10081,245198,49029.5,3252.9,4214.9,4023,95472
11/01/22,9442,248478,46726.8,2955.5,4372.7,4038,95062
10/01/22,9451,251201,47054.7,3061.8,4251,4029,94286
09/01/22,8976,231414,46599.2,3063.8,3958.6,4041,94022
08/01/22,9129,244950,49200.5,3262.3,4116.3,4049,93469
07/01/22,9044,246795,50927.3,3286.3,4117.6,4046,93132
06/01/22,8301,230600,48278.7,3166.2,3753.8,4070,93149
05/01/22,7815,239398,47283.1,3122,4043.2,4084,93131
04/01/22,7608,225609,47132.1,3042,3749.5,4091,92908
03/01/22,7307,223085,48660.1,3089.5,3769.7,4082,92615
02/01/22,6440,207372,45205,2843.5,3504,4083,92135
01/01/22,7213,234263,52096,3143.7,4029,4079,91946
12/01/21,7286,229815,48682.5,3292.2,4177.8,4090,92336
11/01/21,7130,230995,52126.3,3150,4221.6,4120,93298
10/01/21,7098,230042,48764.4,2974.9,4254.7,4125,93754
09/01/21,6918,221138,48263.5,3117.4,3935.3,4123,93493
08/01/21,7178,226135,49773.4,3182.3,4071.9,4132,93870
07/01/21,7246,229192,50446.9,3123.6,4063.8,4137,93593
06/01/21,7247,231444,48768.8,3114.5,4113,4148,93701
05/01/21,7211,238117,51385.1,3216.9,4071.8,4157,93693
04/01/21,7500,239955,50261.3,3091.3,4256.5,4184,93592
03/01/21,7788,245082,52683.4,3270.6,4199.3,4207,94171
02/01/21,6990,236521,47445.2,2881.6,4120.1,4229,93806
01/01/21,7641,255333,51042,3156,4503,4247,94287
12/01/20,7479,245140,49976.5,3333.3,4289.6,4275,94998
11/01/20,7347,246268,49760.1,3134.6,4262.5,4315,96165
10/01/20,7502,243803,50058.5,3238.7,4152.4,4325,96394
09/01/20,7255,240460,49197.3,3207.7,4217.6,4332,96164
08/01/20,6958,244007,50448.1,3174.7,4168.9,4352,96196
07/01/20,7178,252005,48752.1,3016.3,4157.7,4354,96395
06/01/20,6701,227328,48163.7,2907.7,3829,4371,96444
05/01/20,6582,223323,44620.5,2806.7,3925,4377,96747
04/01/20,7015,230354,47611.1,2843.5,4113.7,4388,96838
03/01/20,9827,251388,53344.5,3197.9,4322.3,4409,97333
02/01/20,10879,234656,47761.1,2898.7,3879.7,4414,97442
01/01/20,12134,263883,51044.7,3182.6,4514.7,4418,97375
12/01/19,12148,258664,53177.9,3260.5,4465.7,4437,97320
11/01/19,11743,244544,52378.8,3267.7,4075.6,4457,97780
10/01/19,12026,250282,52557.7,3234.4,3767.7,4463,97736
09/01/19,11547,244462,49785.2,3093.9,3898.4,4446,96885
08/01/19,11739,236774,51066.4,3133.7,3668.9,4447,96116
07/01/19,11554,238851,52124.6,3235.4,3878.2,4461,96234
06/01/19,11138,227457,53341,2997,3919.9,4460,95808
05/01/19,11697,235454,55848.5,3137.8,4006.5,4465,95411
04/01/19,11243,226032,54329.1,2992.1,3712.1,4471,93926
03/01/19,11509,229405,52019.7,3163.9,4090.8,4472,93075
02/01/19,10275,214560,47962.1,2740.5,3780.4,4469,92486
01/01/19,11678,248250,51930,2999.1,4199.4,4468,92133
12/01/18,11723,235007,54278.8,3131.3,4307.8,4456,90944
11/01/18,11187,228495,51785.3,3014.7,3906.1,4472,91387
10/01/18,11629,233085,53547,3153.1,4125.2,4482,91435
09/01/18,11367,230533,50349.8,2988.9,4112.1,4501,91380
08/01/18,11389,222035,54838.2,3156.3,3962.9,4517,90993
07/01/18,11605,226025,52268.8,3133.5,4035.8,4525,90793
06/01/18,11192,226588,51768.1,3058.7,3922.3,4533,90707
05/01/18,12225,236607,53372.1,3182.8,4283.5,4558,91600
04/01/18,12133,241009,51969.9,2915.3,4233.3,4572,91628
03/01/18,12546,238689,53776.6,3048.8,4168.3,4581,91153
02/01/18,11130,224248,48984.1,2822.9,4135.9,4578,90585
01/01/18,12642,249644,53186.5,2992.9,4605.6,4583,89993
12/01/17,12806,244686,54458.9,2958.1,4296.6,4578,88808
11/01/17,12347,236194,53120.2,2977.1,4315.6,4590,89609
10/01/17,12549,234494,53877.1,2957.1,4005.3,4600,89873
09/01/17,11619,231419,52833.2,2800,4341,4618,89988
08/01/17,11916,234390,52963.5,2947.4,4363.6,4621,89636
07/01/17,11811,232045,50115.5,2877,4393.7,4624,89660
06/01/17,12275,235488,50979.4,2822.4,3836.3,4640,89248
05/01/17,12655,243798,53920.1,2990.9,4180.6,4662,88908
04/01/17,12260,229465,52937,2724.4,4253.3,4683,88828
03/01/17,12318,234467,53068.3,2691.6,4341.9,4686,88475
02/01/17,10666,207820,48370.1,2297.2,3846.4,4713,88749
01/01/17,11925,235319,51044.8,2623.3,4462.2,4721,88448
12/01/16,12131,219799,52635.6,2765.5,3904.9,4717,88023
11/01/16,11713,221312,50101.4,2573.1,4142.2,4730,87771
10/01/16,11928,220083,49769.2,2533.1,4008.8,4728,87656
09/01/16,11437,212087,47875.8,2597,3831,4728,87251
08/01/16,11708,227741,49625.1,2682.3,4228,4737,86490
07/01/16,11322,222867,48110.3,2571.3,4115,4760,87379
06/01/16,11454,222676,49019.3,2597.7,4086.9,4759,87225
05/01/16,11708,230316,52727.6,2665.4,4363.7,4770,87228
04/01/16,11530,225145,51300.9,2528.1,4109.7,4775,87145
03/01/16,11789,227513,49494.7,2518,4149.8,4781,87099
02/01/16,10621,204271,46718.7,2383.8,3510,4790,87058
01/01/16,11657,228885,45918,2488.4,4164.5,4767,86851
12/01/15,11428,223666,46276.5,2515.2,4051.2,4739,86300
11/01/15,11046,209419,45171.3,2404.4,3984,4743,86631
10/01/15,11144,210770,47232.6,2497,3637,4746,86571
09/01/15,11045,208558,46474.3,2427.7,3847.6,4730,86341
08/01/15,11536,225302,49042.9,2525.9,4287.8,4722,86151
07/01/15,11295,210949,49972.5,2554.5,3785.3,4702,85496
06/01/15,10960,202295,48248.3,2616.8,3536,4691,84586
05/01/15,11021,208615,48533.8,2622.9,3707.2,4682,84105
04/01/15,10762,205747,49117.9,2633.1,3665.9,4669,83789
03/01/15,11126,200481,49873.4,2735.9,3577.5,4647,83473
02/01/15,10240,189636,46021.4,2607.5,3396,4633,83111
01/01/15,11319,208716,49881.1,2781.5,3680.1,4617,83089
12/01/14,11188,192789,50477.6,2909.1,3577.5,4595,82249
11/01/14,10766,202041,45674,2858.4,3548.4,4561,81521
10/01/14,11281,195484,48892.9,2971.4,3593.6,4554,80965
09/01/14,10818,196684,49281.1,2809.9,3521.5,4527,80497
08/01/14,11091,199676,49716.2,2869.3,3668.8,4527,80065
07/01/14,11172,201325,47329,2945.2,3662.6,4503,79535
06/01/14,11227,189039,48149.3,2837.5,3373.8,4474,79144
05/01/14,11589,202037,50534.3,2942.7,3637.6,4454,79030
04/01/14,11432,193720,49432.7,2791.4,3812.9,4430,77503
03/01/14,11886,203364,51450.4,2835.3,3184.9,4412,76350
02/01/14,10679,180201,42919.1,2413.2,3277.4,4402,75377
01/01/14,11754,214748,47411.4,2685.9,3557.8,4400,74875
