JPM_2019.pdf,JPM_2018.pdf,JPM_2020.pdf,JPM_2021.pdf,JPM_2022.pdf
"Environmental Social &Governance Report 2019Message from Our Chairman & CEO As the world contends with the human and economic impacts of the COVID-19 pandemic, JPMorgan Chase is bringing the full force of our firm to lift up those we serve around the world.",,,,
"No matter the challenge, we manage our company consistently with principles that have stood the test of time.",,,,
"These include maintaining robust risk, financial and operating controls; having an unwavering devotion to our customers and communities; investing in and supporting our employees; creating a culture that reinforces integrity, fairness and responsibility; and advancing sustainability in our business and operations.",,,,
The current crisis underscores why these principles are so critical.,,,,
"Our ongoing focus on environmental, social and governance matters has made our firm stronger and more resilient, which allows us to do even more to take care of our clients, customers, employees and communities during this difficult time.",,,,
The impact of COVID-19 will no doubt provide lessons about what everyone could have done better to prepare to face an emergency of this scale.,,,,
"At the same time, I am hopeful it will demonstrate what can be achieved when business, government and civil society mobilize to tackle pressing global challenges.",,,,
Climate change is one such issue that has the potential to have profound consequences for people and our economy.,,,,
"That is why our firm is growing our capabilities to finance sustainable development and climate action, as well as calling for coordinated policy solutions that can help all of us effectively confront this threat.",,,,
"Diversity and inclusion is another priority for our firm, and we are taking steps to strengthen our culture and ensure these issues are top-of-mind when we develop products and services, serve customers, help employees and support communities.",,,,
Our firm has long recognized that a diverse and inclusive company is a stronger and more successful company.,,,,
We are committed to doing the ongoing work required to create and maintain the culture to which we aspire.,,,,
"In the face of today’s unprecedented challenges, JPMorgan Chase is doing what we always have, even in the most difficult of times: We put our business to work for the good of all our stakeholders.",,,,
"In this report, I invite you to learn more about how we do that.",,,,
"Jamie Dimon Chairman & CEO, JPMorgan Chase & Co.Table of Contents 2 Message from Our Chairman & CEO 3 Introduction 8 Promoting Sound Governance 13 Serving Our Customers 18 Investing in Our Employees 24 Supporting Our Communities 28 Advancing Sustainability JPMORGAN CHASE & CO. Environmental Social & Governance Report 2 Introduction Environmental, social and governance (ESG) considerations are integrated into the policies and principles that govern our business.",,,,
"This includes having robust governance systems, risk management and controls; striving to serve our customers exceptionally and transparently; investing in our employees and cultivating a diverse and inclusive work environment; working to strengthen the communities in which we live and work; and advancing sustainable solutions for our clients and within our operations.",,,,
"JPMorgan Chase’s long-standing emphasis on running our business in this manner has made our firm strong, resilient and well positioned to support our clients, customers, employees and communities across the globe, even in times of crisis such as the current COVID-19 pandemic.",,,,
About This Report JPMorgan Chase & Co. (JPMorgan Chase) is committed to communicating regularly and transparently about how we manage and conduct our business.,,,,
"We share information about our ESG performance through a number of channels—including various reports and presentations, regulatory filings, press releases and conversations with stakeholders.",,,,
We maintain a dedicated ESG page on our website to facilitate access to the wide range of information and resources that we publish on ESG topics.,,,,
"This annual ESG Report is designed to summarize our work on key topics that we and our stakeholders view as important to our business, and to guide readers to where they can access more detailed information about specific topics of interest.",,,,
"All data in this report are as of December 31, 2019, unless otherwise noted.",,,,
This ESG Report is intended to be a companion to our 2019 Annual Report and 2020 Proxy Statement.,,,,
"It also includes updates to our 2019 climate report, “Understanding Our Climate-Related Risks and Opportunities,” which was informed by the recommendations of the Task Force on Climate-Related Financial Disclosures (TCFD).",,,,
The TCFD is an industry-led effort to establish a voluntary and consistent approach to disclosing climate-related financial risks.,,,,
"This ESG Report has also been informed by other reporting standards and guidance, including the Global Reporting Initiative (GRI) and the Sustainability Accounting Standards Board (SASB).",,,,
"Two separate indices, available on our website , map our firm’s disclosures related to these frameworks’ indicators and recommendations.",,,,
"INVESTING IN OUR EMPLOYEES INTRODUCTIONPROMOTING SOUND GOVERNANCEAD VANCING SUSTAINABILITYS ERVING OUR CUSTOMERSSUPPORTING OUR COMMUNITIES JPMORGAN CHASE & CO. Environmental Social & Governance Report 3Company at a Glance JPMorgan Chase is a leading global financial services company with assets of $2.7 trillion as of December 31, 2019.",,,,
"The firm is a leader in investment banking, financial services for consumers and small businesses, commercial banking, financial transaction processing and asset management.",,,,
"A component of the Dow Jones Industrial Average, JPMorgan Chase serves millions of consumers in the U.S. as well as many of the world’s most prominent corporate, institutional and government clients, under its J.P. Morgan and Chase brands.",,,,
"JPMorgan Chase’s activities are organized, for management reporting purposes, into four major reportable business segments, as well as a Corporate segment.",,,,
The business segments are referred to as lines of business.,,,,
"For further information on our business segments, refer to Business Segment Results on pages 60-78 of our Annual Report on Form 10-K for the year ended December 31, 2019.",,,,
"Consumer & Community Banking (CCB) Consumer & Community Banking serves consumers and businesses through bank branches, ATMs and digital (including mobile and online) and telephone banking.",,,,
"Consumer & Community Banking offers home and auto loans, deposit and investment products, cash management and payment solutions, and issues credit cards to consumers and small businesses.",,,,
"Corporate & Investment Bank (CIB) The CIB offers a broad suite of investment banking, market-making, prime brokerage, treasury and securities products and services to a global client base of corporations, investors, financial institutions and government and municipal entities.Commercial Banking (CB) Commercial Banking provides comprehensive financial solutions including lending, wholesale payments, investment banking and asset management products across three primary client segments: Middle Market Banking, Corporate Client Banking and Commercial Real Estate Banking.",,,,
"Asset & Wealth Management (AWM) Asset & Wealth Management serves institutions and individuals, including pension and sovereign wealth funds, central banks, retail investors and many of the world’s wealthiest individuals and families.",,,,
