,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"Apples 2022 ESG ReportEnvironmental Social Governance ReportIntroduction 3 Letter from Tim Cook 4 Report highlights 6 Our approach 8 Our commitment to transparency 9 Advocating for change 10 Our commitment to human rights Environment 13 Our approach 13 Climate change 18 Resources 20 Smarter chemistryOur People 23 Our approach 23 Inclusion and diversity 26 Growth and development 27 Benefits 28 Compensation 29 Engagement 30 Workplace practices and policies 33 Health and safety at Apple Suppliers 37 Our approach 40 Labor and human rights in the supply chain 43 Health, safety, and wellness 44 Responsible materials sourcing 45 Education and professional development 46 EnvironmentCustomers 48 Our approach 48 Privacy 50 Accessibility 52 Inclusive design 53 Education 54 Health 55 Caring for customers Communities 59 Our approach 60 Racial Equity and Justice Initiative 62 Education 64 Affordable housing initiative 65 Corporate donations 67 Employee giving 68 Job creationGovernance 70 Corporate governance 71 Ethics and compliance 72 Tax paymentsAppendix 74 Awards and recognition 75 United Nations Sustainable Development Goals 77 Stakeholder engagement 78 ESG data summary 84 About the report 85 Endnotes ESG Index This report contains forward-looking statements and actual results may differ.","('Employee_Engagement_Inclusion_And_Diversity', 0.8622750043869019)","('Human_Rights_And_Community_Relations', 0.04276227578520775)","('Employee_Health_And_Safety', 0.012887472286820412)","([], 0.8622750043869019)","('NON-ESG', 0.04276227578520775)","('NON-ESG', 0.012887472286820412)"
Line 2,"Apples 2022 ESG ReportEnvironmental Social Governance ReportIntroduction 3 Letter from Tim Cook 4 Report highlights 6 Our approach 8 Our commitment to transparency 9 Advocating for change 10 Our commitment to human rights Environment 13 Our approach 13 Climate change 18 Resources 20 Smarter chemistryOur People 23 Our approach 23 Inclusion and diversity 26 Growth and development 27 Benefits 28 Compensation 29 Engagement 30 Workplace practices and policies 33 Health and safety at Apple Suppliers 37 Our approach 40 Labor and human rights in the supply chain 43 Health, safety, and wellness 44 Responsible materials sourcing 45 Education and professional development 46 EnvironmentCustomers 48 Our approach 48 Privacy 50 Accessibility 52 Inclusive design 53 Education 54 Health 55 Caring for customers Communities 59 Our approach 60 Racial Equity and Justice Initiative 62 Education 64 Affordable housing initiative 65 Corporate donations 67 Employee giving 68 Job creationGovernance 70 Corporate governance 71 Ethics and compliance 72 Tax paymentsAppendix 74 Awards and recognition 75 United Nations Sustainable Development Goals 77 Stakeholder engagement 78 ESG data summary 84 About the report 85 Endnotes ESG Index This report contains forward-looking statements and actual results may differ.","('Human_Rights_And_Community_Relations', 0.562854528427124)","('Labor_Practices', 0.11484292894601822)","('Employee_Engagement_Inclusion_And_Diversity', 0.059670183807611465)","(['Human Rights'], 0.562854528427124)","('NON-ESG', 0.11484292894601822)","('NON-ESG', 0.059670183807611465)"
Line 3,"Apples 2022 ESG ReportEnvironmental Social Governance ReportIntroduction 3 Letter from Tim Cook 4 Report highlights 6 Our approach 8 Our commitment to transparency 9 Advocating for change 10 Our commitment to human rights Environment 13 Our approach 13 Climate change 18 Resources 20 Smarter chemistryOur People 23 Our approach 23 Inclusion and diversity 26 Growth and development 27 Benefits 28 Compensation 29 Engagement 30 Workplace practices and policies 33 Health and safety at Apple Suppliers 37 Our approach 40 Labor and human rights in the supply chain 43 Health, safety, and wellness 44 Responsible materials sourcing 45 Education and professional development 46 EnvironmentCustomers 48 Our approach 48 Privacy 50 Accessibility 52 Inclusive design 53 Education 54 Health 55 Caring for customers Communities 59 Our approach 60 Racial Equity and Justice Initiative 62 Education 64 Affordable housing initiative 65 Corporate donations 67 Employee giving 68 Job creationGovernance 70 Corporate governance 71 Ethics and compliance 72 Tax paymentsAppendix 74 Awards and recognition 75 United Nations Sustainable Development Goals 77 Stakeholder engagement 78 ESG data summary 84 About the report 85 Endnotes ESG Index This report contains forward-looking statements and actual results may differ.","('Management_Of_Legal_And_Regulatory_Framework', 0.8992740511894226)","('Human_Rights_And_Community_Relations', 0.01192495971918106)","('Business_Ethics', 0.010208303108811378)","([], 0.8992740511894226)","('NON-ESG', 0.01192495971918106)","('NON-ESG', 0.010208303108811378)"
Line 4,Numbers and percentages in this report include estimates or approximations andmay be based on assumptions.,"('Customer_Privacy', 0.1519385725259781)","('Management_Of_Legal_And_Regulatory_Framework', 0.10689134150743484)","('Employee_Engagement_Inclusion_And_Diversity', 0.10238881409168243)","('NON-ESG', 0.1519385725259781)","('NON-ESG', 0.10689134150743484)","('NON-ESG', 0.10238881409168243)"
Line 5,"For more information, see About the report.","('Management_Of_Legal_And_Regulatory_Framework', 0.6042875051498413)","('Access_And_Affordability', 0.05508594959974289)","('GHG_Emissions', 0.03611502796411514)","([], 0.6042875051498413)","('NON-ESG', 0.05508594959974289)","('NON-ESG', 0.03611502796411514)"
Line 6,"Contents Environmental Social Governance Apples 2022 ESG Report 2 Appendix Governance Communities Suppliers Customers Our People Environment Introduction Today, our teams around the world infuse Apples deeply held values into everything we make.","('Human_Rights_And_Community_Relations', 0.9103584289550781)","('Business_Model_Resilience', 0.0094266626983881)","('Ecological_Impacts', 0.00911607313901186)","(['Human Rights'], 0.9103584289550781)","('NON-ESG', 0.0094266626983881)","('NON-ESG', 0.00911607313901186)"
Line 7,That work can take many forms.,"('Employee_Health_And_Safety', 0.1141829788684845)","('Product_Design_And_Lifecycle_Management', 0.09528195112943649)","('Labor_Practices', 0.0735534057021141)","('NON-ESG', 0.1141829788684845)","('NON-ESG', 0.09528195112943649)","('NON-ESG', 0.0735534057021141)"
Line 8,"But whether were protecting the right to privacy, designing technology that is accessible to all, or using more recycled material in our products than ever, we are always working to make a difference for the people we serve and the planet we inhabit.","('Product_Design_And_Lifecycle_Management', 0.9323906898498535)","('Selling_Practices_And_Product_Labeling', 0.008443659171462059)","('Product_Quality_And_Safety', 0.008329878561198711)","(['Product Stewardship'], 0.9323906898498535)","('NON-ESG', 0.008443659171462059)","('NON-ESG', 0.008329878561198711)"
Line 9,"As a company, we know that our impact on peoples lives reaches beyond the technology we create.","('Human_Rights_And_Community_Relations', 0.3633890151977539)","('Business_Model_Resilience', 0.119393490254879)","('Product_Design_And_Lifecycle_Management', 0.09052914381027222)","('NON-ESG', 0.3633890151977539)","('NON-ESG', 0.119393490254879)","('NON-ESG', 0.09052914381027222)"
Line 10,And we apply the same ethos of constant innovation and improvement to every aspect of our work from building an inclusive company culture where everyone feels welcome to becoming carbon neutral across our global supply chain and the lifetime of our products by 2030.,"('Product_Design_And_Lifecycle_Management', 0.7999327778816223)","('Supply_Chain_Management', 0.10138246417045593)","('Business_Model_Resilience', 0.010172797366976738)","(['Product Stewardship'], 0.7999327778816223)","('NON-ESG', 0.10138246417045593)","('NON-ESG', 0.010172797366976738)"
