,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,2021 ESG Action Report People.,"('Business_Model_Resilience', 0.48298048973083496)","('Systemic_Risk_Management', 0.07725781947374344)","('Human_Rights_And_Community_Relations', 0.061602652072906494)","('NON-ESG', 0.48298048973083496)","('NON-ESG', 0.07725781947374344)","('NON-ESG', 0.061602652072906494)"
Line 2,Passion.,"('Director_Removal', 0.06350527703762054)","('Supply_Chain_Management', 0.06275934725999832)","('Water_And_Wastewater_Management', 0.061495836824178696)","('NON-ESG', 0.06350527703762054)","('NON-ESG', 0.06275934725999832)","('NON-ESG', 0.061495836824178696)"
Line 3,Possibilities.,"('Ecological_Impacts', 0.1122550517320633)","('Competitive_Behavior', 0.08426161855459213)","('Business_Model_Resilience', 0.06524256616830826)","('NON-ESG', 0.1122550517320633)","('NON-ESG', 0.08426161855459213)","('NON-ESG', 0.06524256616830826)"
Line 4,"2021 ESG Action Report 3 A Message from Our Chairman and CEO I am tremendously proud to introduce our 2021 Environment, Social & Governance (ESG) Action Report.","('Human_Rights_And_Community_Relations', 0.43127208948135376)","('Management_Of_Legal_And_Regulatory_Framework', 0.1737564206123352)","('Business_Model_Resilience', 0.07927412539720535)","('NON-ESG', 0.43127208948135376)","('NON-ESG', 0.1737564206123352)","('NON-ESG', 0.07927412539720535)"
Line 5,This report reflects how we work with integrity and intention to advance patient health and a sustainable business that will deliver for our stakeholders for years to come.,"('Access_And_Affordability', 0.6593821048736572)","('Employee_Health_And_Safety', 0.06815531104803085)","('Human_Rights_And_Community_Relations', 0.03326861932873726)","(['Access to Healthcare'], 0.6593821048736572)","('NON-ESG', 0.06815531104803085)","('NON-ESG', 0.03326861932873726)"
Line 6,"Powered by 50,000 employees around the globe, it is the responsibility and the privilege of everyone at AbbVie to support our communities, better our society and help the patients of today and tomorrow.","('Human_Rights_And_Community_Relations', 0.5392780303955078)","('Access_And_Affordability', 0.14256899058818817)","('Employee_Engagement_Inclusion_And_Diversity', 0.08101483434438705)","([], 0.5392780303955078)","('NON-ESG', 0.14256899058818817)","('NON-ESG', 0.08101483434438705)"
Line 7,"Since AbbVie was founded in 2013, we have worked to help patients suffering from a wide range of diseases and conditions.","('Access_And_Affordability', 0.5856298804283142)","('Employee_Health_And_Safety', 0.15971297025680542)","('Critical_Incident_Risk_Management', 0.03447667881846428)","(['Access to Healthcare'], 0.5856298804283142)","('NON-ESG', 0.15971297025680542)","('NON-ESG', 0.03447667881846428)"
Line 8,"In 2020, our mission grew in scope and ability with the acquisition of Allergan and this past year was our first full year operating as a new combined company.","('Business_Model_Resilience', 0.5652129650115967)","('Systemic_Risk_Management', 0.07653737813234329)","('Product_Design_And_Lifecycle_Management', 0.05703572556376457)","(['Human Capital Development', 'Innovation Management'], 0.5652129650115967)","('NON-ESG', 0.07653737813234329)","('NON-ESG', 0.05703572556376457)"
Line 9,"Today, we are better positioned for continued growth with leadership positions across the key therapeutic areas of immunology, oncology, neuroscience and eye care, and aesthetics.","('Employee_Engagement_Inclusion_And_Diversity', 0.1852295845746994)","('Access_And_Affordability', 0.16987253725528717)","('Business_Model_Resilience', 0.09868963807821274)","('NON-ESG', 0.1852295845746994)","('NON-ESG', 0.16987253725528717)","('NON-ESG', 0.09868963807821274)"
Line 10,We have a proven track record of developing new innovative medicines that have made a remarkable impact for patients and will continue to change lives for years to come.,"('Customer_Welfare', 0.2303210347890854)","('Selling_Practices_And_Product_Labeling', 0.15563556551933289)","('Access_And_Affordability', 0.12412051856517792)","('NON-ESG', 0.2303210347890854)","('NON-ESG', 0.15563556551933289)","('NON-ESG', 0.12412051856517792)"
Line 11,"Since our inception, we have achieved more than 21 major product or indication approvals.","('Product_Quality_And_Safety', 0.3236936330795288)","('Competitive_Behavior', 0.1509159952402115)","('Selling_Practices_And_Product_Labeling', 0.11942608654499054)","('NON-ESG', 0.3236936330795288)","('NON-ESG', 0.1509159952402115)","('NON-ESG', 0.11942608654499054)"
Line 12,"Through our pipeline of promising therapies, we anticipate the potential approval of more than a dozen new products or major indications over the next two years.","('Customer_Welfare', 0.39511170983314514)","('Selling_Practices_And_Product_Labeling', 0.18205399811267853)","('Product_Design_And_Lifecycle_Management', 0.13596230745315552)","('NON-ESG', 0.39511170983314514)","('NON-ESG', 0.18205399811267853)","('NON-ESG', 0.13596230745315552)"
