,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"GLOBAL SUSTAINABILITY REPORT 2021For Abbott, sustainability is about operating responsibly to deliver long- term impact for people shaping the future of healthcare to help more people live better, healthier lives.","('Access_And_Affordability', 0.4931390583515167)","('Employee_Health_And_Safety', 0.10273980349302292)","('Human_Rights_And_Community_Relations', 0.07449149340391159)","('NON-ESG', 0.4931390583515167)","('NON-ESG', 0.10273980349302292)","('NON-ESG', 0.07449149340391159)"
Line 2,"In this report, we detail our progress against the goals of our 2030 Sustainability Plan.","('Business_Model_Resilience', 0.41427215933799744)","('Physical_Impacts_Of_Climate_Change', 0.07623419165611267)","('Ecological_Impacts', 0.07013463973999023)","('NON-ESG', 0.41427215933799744)","('NON-ESG', 0.07623419165611267)","('NON-ESG', 0.07013463973999023)"
Line 3,The data presented reflect 2021 performance unless otherwise stated.,"('Systemic_Risk_Management', 0.4874137043952942)","('Business_Model_Resilience', 0.19010791182518005)","('Supply_Chain_Management', 0.03975473344326019)","('NON-ESG', 0.4874137043952942)","('NON-ESG', 0.19010791182518005)","('NON-ESG', 0.03975473344326019)"
Line 4,"We have aligned our reporting with the requirements of leading environmental, social and governance (ESG) ratings and sustainability indices, seeking stakeholder feedback to drive continuous improvement.","('Business_Model_Resilience', 0.2436429113149643)","('Human_Rights_And_Community_Relations', 0.2384367138147354)","('Management_Of_Legal_And_Regulatory_Framework', 0.16800418496131897)","('NON-ESG', 0.2436429113149643)","('NON-ESG', 0.2384367138147354)","('NON-ESG', 0.16800418496131897)"
Line 5,"WelcomeTABLE OF CONTENTS Welcome A Message From Our Chairman and CEO 3 Our Purpose in Action 4 About Abbott 7 Advancing Our Vision 8 Our 2030 Sustainability Plan 9 Sustainability in Everything We Do 14 Innovate for Access and Affordability Our Approach to Access and Affordability 16 Innovating for Impact 18 Innovating to Improve Health Outcomes 19 Pricing Discipline to Improve Access 20 Infrastructure and Transforming Standards of Care 21 Abbotts Community Impact 23 Responsibly Connect Data, Technology and Care Our Approach to Responsible Data 25 Data Privacy and Security, Governance and Management 26 Cybersecurity Management 27Build the Diverse, Innovative Workforce of Tomorrow Our Approach to Building 30 Tomorrows Workforce Talent Management 31 Diversity and Inclusion 32 Protecting Human Rights 34 Employee Community Engagement 35 Compensation and Benefits 36 Employee Well-Being 37 Employee Health and Safety 38 Protect a Healthy Environment Our Approach to Environmental Protection 41 Environmental Governance 42 Energy and Emissions 43 Protecting Water Resources 46 Waste Management 49 Packaging 52 Responsible Sourcing and Product Stewardship 54 Environmental Investment and Compliance 55 Quality Management Product Quality 57 Create a Resilient, Diverse and Responsible Supply Chain Our Approach to Supply Chain Management 63 Supply Chain Governance 64 Supplier Risk Assessment and Engagement 67 Strategic Supply Chain Initiatives 70 Governance and Sustainability Foundations Corporate Governance and Board Oversight 75 Ethics and Integrity 78 Compliance 79 Corruption and Anti-Bribery 81 Protecting Our People, Products and Brands 83 Public Policy Engagement 85 ESG Appendix Appendix 87 Materiality 88 Stakeholder Engagement 89 Performance Tables 90 GRI Index 115 SASB Index 124 TCFD Response 130 SDG Index 132ON THE COVER (L to R) Meghan Thompson, Senior Scientist, Biowearables; Erika Vargas Monestel, Diabetes Care Professional Development Program, and Former College Intern; and Junli Ou, Senior Manager of Clinical Research, Biowearables are just three of the hundreds of women in STEM helping Abbott create the future of healthcare.","('Access_And_Affordability', 0.8644139170646667)","('Product_Quality_And_Safety', 0.016888907179236412)","('Employee_Engagement_Inclusion_And_Diversity', 0.014241455122828484)","([], 0.8644139170646667)","('NON-ESG', 0.016888907179236412)","('NON-ESG', 0.014241455122828484)"
Line 6,"WelcomeTABLE OF CONTENTS Welcome A Message From Our Chairman and CEO 3 Our Purpose in Action 4 About Abbott 7 Advancing Our Vision 8 Our 2030 Sustainability Plan 9 Sustainability in Everything We Do 14 Innovate for Access and Affordability Our Approach to Access and Affordability 16 Innovating for Impact 18 Innovating to Improve Health Outcomes 19 Pricing Discipline to Improve Access 20 Infrastructure and Transforming Standards of Care 21 Abbotts Community Impact 23 Responsibly Connect Data, Technology and Care Our Approach to Responsible Data 25 Data Privacy and Security, Governance and Management 26 Cybersecurity Management 27Build the Diverse, Innovative Workforce of Tomorrow Our Approach to Building 30 Tomorrows Workforce Talent Management 31 Diversity and Inclusion 32 Protecting Human Rights 34 Employee Community Engagement 35 Compensation and Benefits 36 Employee Well-Being 37 Employee Health and Safety 38 Protect a Healthy Environment Our Approach to Environmental Protection 41 Environmental Governance 42 Energy and Emissions 43 Protecting Water Resources 46 Waste Management 49 Packaging 52 Responsible Sourcing and Product Stewardship 54 Environmental Investment and Compliance 55 Quality Management Product Quality 57 Create a Resilient, Diverse and Responsible Supply Chain Our Approach to Supply Chain Management 63 Supply Chain Governance 64 Supplier Risk Assessment and Engagement 67 Strategic Supply Chain Initiatives 70 Governance and Sustainability Foundations Corporate Governance and Board Oversight 75 Ethics and Integrity 78 Compliance 79 Corruption and Anti-Bribery 81 Protecting Our People, Products and Brands 83 Public Policy Engagement 85 ESG Appendix Appendix 87 Materiality 88 Stakeholder Engagement 89 Performance Tables 90 GRI Index 115 SASB Index 124 TCFD Response 130 SDG Index 132ON THE COVER (L to R) Meghan Thompson, Senior Scientist, Biowearables; Erika Vargas Monestel, Diabetes Care Professional Development Program, and Former College Intern; and Junli Ou, Senior Manager of Clinical Research, Biowearables are just three of the hundreds of women in STEM helping Abbott create the future of healthcare.","('Employee_Engagement_Inclusion_And_Diversity', 0.952183723449707)","('Human_Rights_And_Community_Relations', 0.009727701544761658)","('Employee_Health_And_Safety', 0.005444310139864683)","(['Talent Attraction & Retention'], 0.952183723449707)","('NON-ESG', 0.009727701544761658)","('NON-ESG', 0.005444310139864683)"
Line 7,"WelcomeTABLE OF CONTENTS Welcome A Message From Our Chairman and CEO 3 Our Purpose in Action 4 About Abbott 7 Advancing Our Vision 8 Our 2030 Sustainability Plan 9 Sustainability in Everything We Do 14 Innovate for Access and Affordability Our Approach to Access and Affordability 16 Innovating for Impact 18 Innovating to Improve Health Outcomes 19 Pricing Discipline to Improve Access 20 Infrastructure and Transforming Standards of Care 21 Abbotts Community Impact 23 Responsibly Connect Data, Technology and Care Our Approach to Responsible Data 25 Data Privacy and Security, Governance and Management 26 Cybersecurity Management 27Build the Diverse, Innovative Workforce of Tomorrow Our Approach to Building 30 Tomorrows Workforce Talent Management 31 Diversity and Inclusion 32 Protecting Human Rights 34 Employee Community Engagement 35 Compensation and Benefits 36 Employee Well-Being 37 Employee Health and Safety 38 Protect a Healthy Environment Our Approach to Environmental Protection 41 Environmental Governance 42 Energy and Emissions 43 Protecting Water Resources 46 Waste Management 49 Packaging 52 Responsible Sourcing and Product Stewardship 54 Environmental Investment and Compliance 55 Quality Management Product Quality 57 Create a Resilient, Diverse and Responsible Supply Chain Our Approach to Supply Chain Management 63 Supply Chain Governance 64 Supplier Risk Assessment and Engagement 67 Strategic Supply Chain Initiatives 70 Governance and Sustainability Foundations Corporate Governance and Board Oversight 75 Ethics and Integrity 78 Compliance 79 Corruption and Anti-Bribery 81 Protecting Our People, Products and Brands 83 Public Policy Engagement 85 ESG Appendix Appendix 87 Materiality 88 Stakeholder Engagement 89 Performance Tables 90 GRI Index 115 SASB Index 124 TCFD Response 130 SDG Index 132ON THE COVER (L to R) Meghan Thompson, Senior Scientist, Biowearables; Erika Vargas Monestel, Diabetes Care Professional Development Program, and Former College Intern; and Junli Ou, Senior Manager of Clinical Research, Biowearables are just three of the hundreds of women in STEM helping Abbott create the future of healthcare.","('Supply_Chain_Management', 0.9281972050666809)","('Product_Design_And_Lifecycle_Management', 0.018138209357857704)","('Business_Model_Resilience', 0.006451419088989496)","(['Supply Chain Management'], 0.9281972050666809)","('NON-ESG', 0.018138209357857704)","('NON-ESG', 0.006451419088989496)"
Line 8,"WelcomeTABLE OF CONTENTS Welcome A Message From Our Chairman and CEO 3 Our Purpose in Action 4 About Abbott 7 Advancing Our Vision 8 Our 2030 Sustainability Plan 9 Sustainability in Everything We Do 14 Innovate for Access and Affordability Our Approach to Access and Affordability 16 Innovating for Impact 18 Innovating to Improve Health Outcomes 19 Pricing Discipline to Improve Access 20 Infrastructure and Transforming Standards of Care 21 Abbotts Community Impact 23 Responsibly Connect Data, Technology and Care Our Approach to Responsible Data 25 Data Privacy and Security, Governance and Management 26 Cybersecurity Management 27Build the Diverse, Innovative Workforce of Tomorrow Our Approach to Building 30 Tomorrows Workforce Talent Management 31 Diversity and Inclusion 32 Protecting Human Rights 34 Employee Community Engagement 35 Compensation and Benefits 36 Employee Well-Being 37 Employee Health and Safety 38 Protect a Healthy Environment Our Approach to Environmental Protection 41 Environmental Governance 42 Energy and Emissions 43 Protecting Water Resources 46 Waste Management 49 Packaging 52 Responsible Sourcing and Product Stewardship 54 Environmental Investment and Compliance 55 Quality Management Product Quality 57 Create a Resilient, Diverse and Responsible Supply Chain Our Approach to Supply Chain Management 63 Supply Chain Governance 64 Supplier Risk Assessment and Engagement 67 Strategic Supply Chain Initiatives 70 Governance and Sustainability Foundations Corporate Governance and Board Oversight 75 Ethics and Integrity 78 Compliance 79 Corruption and Anti-Bribery 81 Protecting Our People, Products and Brands 83 Public Policy Engagement 85 ESG Appendix Appendix 87 Materiality 88 Stakeholder Engagement 89 Performance Tables 90 GRI Index 115 SASB Index 124 TCFD Response 130 SDG Index 132ON THE COVER (L to R) Meghan Thompson, Senior Scientist, Biowearables; Erika Vargas Monestel, Diabetes Care Professional Development Program, and Former College Intern; and Junli Ou, Senior Manager of Clinical Research, Biowearables are just three of the hundreds of women in STEM helping Abbott create the future of healthcare.","('Business_Ethics', 0.9740352630615234)","('Management_Of_Legal_And_Regulatory_Framework', 0.0019252966158092022)","('Competitive_Behavior', 0.0019152207532897592)","(['Business Ethics'], 0.9740352630615234)","('NON-ESG', 0.0019252966158092022)","('NON-ESG', 0.0019152207532897592)"
Line 9,"WelcomeTABLE OF CONTENTS Welcome A Message From Our Chairman and CEO 3 Our Purpose in Action 4 About Abbott 7 Advancing Our Vision 8 Our 2030 Sustainability Plan 9 Sustainability in Everything We Do 14 Innovate for Access and Affordability Our Approach to Access and Affordability 16 Innovating for Impact 18 Innovating to Improve Health Outcomes 19 Pricing Discipline to Improve Access 20 Infrastructure and Transforming Standards of Care 21 Abbotts Community Impact 23 Responsibly Connect Data, Technology and Care Our Approach to Responsible Data 25 Data Privacy and Security, Governance and Management 26 Cybersecurity Management 27Build the Diverse, Innovative Workforce of Tomorrow Our Approach to Building 30 Tomorrows Workforce Talent Management 31 Diversity and Inclusion 32 Protecting Human Rights 34 Employee Community Engagement 35 Compensation and Benefits 36 Employee Well-Being 37 Employee Health and Safety 38 Protect a Healthy Environment Our Approach to Environmental Protection 41 Environmental Governance 42 Energy and Emissions 43 Protecting Water Resources 46 Waste Management 49 Packaging 52 Responsible Sourcing and Product Stewardship 54 Environmental Investment and Compliance 55 Quality Management Product Quality 57 Create a Resilient, Diverse and Responsible Supply Chain Our Approach to Supply Chain Management 63 Supply Chain Governance 64 Supplier Risk Assessment and Engagement 67 Strategic Supply Chain Initiatives 70 Governance and Sustainability Foundations Corporate Governance and Board Oversight 75 Ethics and Integrity 78 Compliance 79 Corruption and Anti-Bribery 81 Protecting Our People, Products and Brands 83 Public Policy Engagement 85 ESG Appendix Appendix 87 Materiality 88 Stakeholder Engagement 89 Performance Tables 90 GRI Index 115 SASB Index 124 TCFD Response 130 SDG Index 132ON THE COVER (L to R) Meghan Thompson, Senior Scientist, Biowearables; Erika Vargas Monestel, Diabetes Care Professional Development Program, and Former College Intern; and Junli Ou, Senior Manager of Clinical Research, Biowearables are just three of the hundreds of women in STEM helping Abbott create the future of healthcare.","('Product_Design_And_Lifecycle_Management', 0.832567572593689)","('Customer_Welfare', 0.01969706453382969)","('Supply_Chain_Management', 0.0181077029556036)","([], 0.832567572593689)","('NON-ESG', 0.01969706453382969)","('NON-ESG', 0.0181077029556036)"
Line 10,"DATA WORKFORCE ENVIRONMENT SUPPLY CHAIN GOVERNANCE QUALITY AND SAFETY ESG APPENDIX 2021 GLOBAL SUSTAINABILITY REPORT ACCESS AND AFFORDABILITY 2 ABOUT A Message From Our Chairman and CEO Dear Abbott Stakeholder, As we approach our 135th year in business, its clear that Abbott is a company that endures.","('Supply_Chain_Management', 0.9376157522201538)","('Product_Design_And_Lifecycle_Management', 0.010144667699933052)","('Business_Model_Resilience', 0.005371483042836189)","(['Supply Chain Management'], 0.9376157522201538)","('NON-ESG', 0.010144667699933052)","('NON-ESG', 0.005371483042836189)"
