,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"360 Value Report 2022 Measuring value in all directionsA letter to our stakeholders Reporting approach Our goals & progressSustainability Environment Ethics & governance Human rights Supply chain Sustainability Services and partnerships Community impactTalent Investing in our people Caring for our people Collaborating to create innovative career pathwaysInclusion & Diversity Embedding I&D in everything we do Gender equality Race and ethnicity Disability inclusion LGBTIQ+ inclusion Cross-cultural diversity Supplier inclusion & diversityExperience People Clients PartnersClient Creating value together Purpose, strategy and brand Five key forces of changeFinancial FY2022 performanceFrameworks ESG priority issues and SDGs Awards & recognition Performance data tableDimensions Reporting & Data Overview Contents 360 Value Report 2022 2360 Value Report 2022 3 Overview Sustainability Talent Inclusion & Diversity Client Experience Financial Reporting & DataOn behalf of the 738,000 people of Accenture, I welcome you to our 360 Value Report for fiscal 2022.","('Employee_Engagement_Inclusion_And_Diversity', 0.9738076329231262)","('Employee_Health_And_Safety', 0.0021630520932376385)","('Human_Rights_And_Community_Relations', 0.0020572622306644917)","(['Talent Attraction & Retention'], 0.9738076329231262)","('NON-ESG', 0.0021630520932376385)","('NON-ESG', 0.0020572622306644917)"
Line 2,"360 Value Report 2022 Measuring value in all directionsA letter to our stakeholders Reporting approach Our goals & progressSustainability Environment Ethics & governance Human rights Supply chain Sustainability Services and partnerships Community impactTalent Investing in our people Caring for our people Collaborating to create innovative career pathwaysInclusion & Diversity Embedding I&D in everything we do Gender equality Race and ethnicity Disability inclusion LGBTIQ+ inclusion Cross-cultural diversity Supplier inclusion & diversityExperience People Clients PartnersClient Creating value together Purpose, strategy and brand Five key forces of changeFinancial FY2022 performanceFrameworks ESG priority issues and SDGs Awards & recognition Performance data tableDimensions Reporting & Data Overview Contents 360 Value Report 2022 2360 Value Report 2022 3 Overview Sustainability Talent Inclusion & Diversity Client Experience Financial Reporting & DataOn behalf of the 738,000 people of Accenture, I welcome you to our 360 Value Report for fiscal 2022.","('Employee_Engagement_Inclusion_And_Diversity', 0.9713382124900818)","('Human_Rights_And_Community_Relations', 0.0024815627839416265)","('Employee_Health_And_Safety', 0.0024766712449491024)","(['Talent Attraction & Retention'], 0.9713382124900818)","('NON-ESG', 0.0024815627839416265)","('NON-ESG', 0.0024766712449491024)"
Line 3,"360 Value Report 2022 Measuring value in all directionsA letter to our stakeholders Reporting approach Our goals & progressSustainability Environment Ethics & governance Human rights Supply chain Sustainability Services and partnerships Community impactTalent Investing in our people Caring for our people Collaborating to create innovative career pathwaysInclusion & Diversity Embedding I&D in everything we do Gender equality Race and ethnicity Disability inclusion LGBTIQ+ inclusion Cross-cultural diversity Supplier inclusion & diversityExperience People Clients PartnersClient Creating value together Purpose, strategy and brand Five key forces of changeFinancial FY2022 performanceFrameworks ESG priority issues and SDGs Awards & recognition Performance data tableDimensions Reporting & Data Overview Contents 360 Value Report 2022 2360 Value Report 2022 3 Overview Sustainability Talent Inclusion & Diversity Client Experience Financial Reporting & DataOn behalf of the 738,000 people of Accenture, I welcome you to our 360 Value Report for fiscal 2022.","('Management_Of_Legal_And_Regulatory_Framework', 0.45923668146133423)","('Business_Model_Resilience', 0.11149914562702179)","('Systemic_Risk_Management', 0.07252930104732513)","('NON-ESG', 0.45923668146133423)","('NON-ESG', 0.11149914562702179)","('NON-ESG', 0.07252930104732513)"
Line 4,"Together with our online 360 Value Reporting Experience , this report brings to life how Accenture delivers 360 value to our clients, people, shareholders, partners and communities.","('Business_Model_Resilience', 0.7383460402488708)","('Product_Design_And_Lifecycle_Management', 0.03149314969778061)","('Systemic_Risk_Management', 0.029527142643928528)","(['Human Capital Development', 'Innovation Management'], 0.7383460402488708)","('NON-ESG', 0.03149314969778061)","('NON-ESG', 0.029527142643928528)"
Line 5,"As its name implies, 360 value encompasses the full value an organization can delivernot only its financial metrics, but also its progress toward its sustainability, talent, and inclusion and diversity goals; and its ability to create meaningful experiences for its customers, employees and communities.","('Employee_Engagement_Inclusion_And_Diversity', 0.9741976261138916)","('Human_Rights_And_Community_Relations', 0.0022938698530197144)","('Employee_Health_And_Safety', 0.002034282311797142)","(['Talent Attraction & Retention'], 0.9741976261138916)","('NON-ESG', 0.0022938698530197144)","('NON-ESG', 0.002034282311797142)"
Line 6,"We create 360 value by helping the worlds leading businesses, governments and other organizations harness what we believe are the five key forces of change for the next decade: total enterprise reinvention; talent; sustainability; the metaverse continuum; and the ongoing technology revolution.","('Business_Model_Resilience', 0.7366902828216553)","('Systemic_Risk_Management', 0.07655781507492065)","('Supply_Chain_Management', 0.02556484192609787)","(['Human Capital Development', 'Innovation Management'], 0.7366902828216553)","('NON-ESG', 0.07655781507492065)","('NON-ESG', 0.02556484192609787)"
Line 7,"A letter to our stakeholdersJulie Sweet Chair and Chief Executive OfficerOverview Sustainability Talent Inclusion & Diversity Client Experience Financial Reporting & Data 360 Value Report 2022 4 We measure our success by how well we are realizing this strategy, which reflects our growth drivers, our purpose, our core values and our culture of shared success.","('Employee_Engagement_Inclusion_And_Diversity', 0.9717569351196289)","('Employee_Health_And_Safety', 0.002255585277453065)","('Human_Rights_And_Community_Relations', 0.002224124502390623)","(['Talent Attraction & Retention'], 0.9717569351196289)","('NON-ESG', 0.002255585277453065)","('NON-ESG', 0.002224124502390623)"
Line 8,"As we pursue our companys purposeto deliver on the promise of technology and human ingenuitywe work to continue our progress toward several ambitious goals, including reaching net-zero emissions by the end of 2025; moving to zero waste; achieving gender parity by 2025; increasing our race and ethnicity representation and, always, contributing to our communities.","('Employee_Engagement_Inclusion_And_Diversity', 0.9618299007415771)","('Human_Rights_And_Community_Relations', 0.006885247770696878)","('Customer_Privacy', 0.0024737948551774025)","(['Talent Attraction & Retention'], 0.9618299007415771)","('NON-ESG', 0.006885247770696878)","('NON-ESG', 0.0024737948551774025)"
Line 9,"Our human-centric approach to 360 value is reflected in the dedication, commitment and boundless creativity and innovation of the incredible people of Accenture around the world.","('Business_Model_Resilience', 0.2830701470375061)","('Product_Design_And_Lifecycle_Management', 0.15218427777290344)","('Employee_Engagement_Inclusion_And_Diversity', 0.10003621876239777)","('NON-ESG', 0.2830701470375061)","('NON-ESG', 0.15218427777290344)","('NON-ESG', 0.10003621876239777)"
Line 10,"With their smarts and hearts, they are truly redefining value with our clients and all our stakeholders, and we are grateful for all that they do.","('Business_Model_Resilience', 0.3304722011089325)","('Employee_Engagement_Inclusion_And_Diversity', 0.08417461067438126)","('Business_Ethics', 0.07410197705030441)","('NON-ESG', 0.3304722011089325)","('NON-ESG', 0.08417461067438126)","('NON-ESG', 0.07410197705030441)"
