,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1," 2 2021 Adobe Corporate Social Responsibility Report A message from our CEO As Adobe approaches its 40th anniversary, we have the opportunity to reflect on our impact and our purpose.","('Human_Rights_And_Community_Relations', 0.8697837591171265)","('Business_Model_Resilience', 0.019585229456424713)","('Access_And_Affordability', 0.01033801306039095)","(['Environmental Policy & Management Systems'], 0.8697837591171265)","('NON-ESG', 0.019585229456424713)","('NON-ESG', 0.01033801306039095)"
Line 2,"Ov er the past four decades, our innovations have touched bi llions of lives across the globe.","('Product_Design_And_Lifecycle_Management', 0.7171900272369385)","('Business_Model_Resilience', 0.054042525589466095)","('Supply_Chain_Management', 0.03213731199502945)","([], 0.7171900272369385)","('NON-ESG', 0.054042525589466095)","('NON-ESG', 0.03213731199502945)"
Line 3,"Im incredibly proud of the im pact our technologies have had on every aspect of so ciety: from desktop publishing and imaging to electronic documents, video and gaming to digital marketing and commerce.","('Data_Security', 0.22814272344112396)","('Product_Design_And_Lifecycle_Management', 0.21421563625335693)","('Competitive_Behavior', 0.08727777004241943)","('NON-ESG', 0.22814272344112396)","('NON-ESG', 0.21421563625335693)","('NON-ESG', 0.08727777004241943)"
Line 4,It is humbling to think that the digital world runs on Adobes tools and platforms.,"('Data_Security', 0.22772088646888733)","('Product_Design_And_Lifecycle_Management', 0.12773993611335754)","('Business_Model_Resilience', 0.12244708091020584)","('NON-ESG', 0.22772088646888733)","('NON-ESG', 0.12773993611335754)","('NON-ESG', 0.12244708091020584)"
Line 5,Ad obes missionto Change the Wo rld Through Digital Experiences is more relevant than ever as we look ahead to the next decade.,"('Business_Model_Resilience', 0.5967302918434143)","('Product_Design_And_Lifecycle_Management', 0.0705661028623581)","('Employee_Engagement_Inclusion_And_Diversity', 0.05024881660938263)","(['Human Capital Development', 'Innovation Management'], 0.5967302918434143)","('NON-ESG', 0.0705661028623581)","('NON-ESG', 0.05024881660938263)"
Line 6,"At A dobe, we believe that it is not just what y ou do, bu t how you do i t that matters.","('Management_Of_Legal_And_Regulatory_Framework', 0.37113744020462036)","('Competitive_Behavior', 0.14033836126327515)","('Business_Ethics', 0.10267949849367142)","('NON-ESG', 0.37113744020462036)","('NON-ESG', 0.14033836126327515)","('NON-ESG', 0.10267949849367142)"
Line 7,"We have always been committed to building a company that does the right thing by focusing on pe ople, purpose and community.","('Human_Rights_And_Community_Relations', 0.8606288433074951)","('Ecological_Impacts', 0.01691410131752491)","('Access_And_Affordability', 0.011923467740416527)","(['Environmental Policy & Management Systems'], 0.8606288433074951)","('NON-ESG', 0.01691410131752491)","('NON-ESG', 0.011923467740416527)"
Line 8,"This core set of values has gu ided our evolution and growth over the past four decades and inspires our over 25,000 emp loyees around the world to f ocus on having more impact and inventing the future.","('Business_Model_Resilience', 0.46379345655441284)","('Human_Rights_And_Community_Relations', 0.07892820984125137)","('Employee_Engagement_Inclusion_And_Diversity', 0.07402873039245605)","('NON-ESG', 0.46379345655441284)","('NON-ESG', 0.07892820984125137)","('NON-ESG', 0.07402873039245605)"
Line 9,Cor e to our purpose are three areas where we are uniquely po sitioned and motivated to make a difference: Adobe for All; Cr eativity for All; and Technology to Transform.,"('Business_Model_Resilience', 0.38159140944480896)","('Product_Design_And_Lifecycle_Management', 0.12608680129051208)","('Employee_Engagement_Inclusion_And_Diversity', 0.12240251898765564)","('NON-ESG', 0.38159140944480896)","('NON-ESG', 0.12608680129051208)","('NON-ESG', 0.12240251898765564)"
Line 10,"Adobe for All: We believe that everyone deserves equal treatment and opportunity and that the best way to drive change is to start within Adobe, by building a diverse and inclusive culture that represents and celebrates different perspectives.","('Employee_Engagement_Inclusion_And_Diversity', 0.9514259099960327)","('Human_Rights_And_Community_Relations', 0.009849117137491703)","('Employee_Health_And_Safety', 0.003601734759286046)","(['Talent Attraction & Retention'], 0.9514259099960327)","('NON-ESG', 0.009849117137491703)","('NON-ESG', 0.003601734759286046)"
Line 11,"Greater representation leads to a virtuous cycle of more role models, advancement, growth and meaningful innovations for our customers and communities.","('Employee_Engagement_Inclusion_And_Diversity', 0.3022083640098572)","('Competitive_Behavior', 0.25465697050094604)","('Human_Rights_And_Community_Relations', 0.15154589712619781)","('NON-ESG', 0.3022083640098572)","('NON-ESG', 0.25465697050094604)","('NON-ESG', 0.15154589712619781)"
Line 12,"We continue to be a leader in pay parity, and we are committed to growing our talent pipeline and increasing global diversity across the company and in leadership positions.","('Employee_Engagement_Inclusion_And_Diversity', 0.9739103317260742)","('Employee_Health_And_Safety', 0.0022137733176350594)","('Human_Rights_And_Community_Relations', 0.0015754499472677708)","(['Talent Attraction & Retention'], 0.9739103317260742)","('NON-ESG', 0.0022137733176350594)","('NON-ESG', 0.0015754499472677708)"
Line 13,"As part of our ongoing efforts to prepare students from diverse backgrounds with strong technology and creativity skills, Adobe established partnerships with Historically Black Colleges and Universities (HBCUs) and Hispanic-serving Institutions (HSIs).","('Employee_Engagement_Inclusion_And_Diversity', 0.9652407169342041)","('Access_And_Affordability', 0.0030620701145380735)","('Human_Rights_And_Community_Relations', 0.0027911404613405466)","(['Talent Attraction & Retention'], 0.9652407169342041)","('NON-ESG', 0.0030620701145380735)","('NON-ESG', 0.0027911404613405466)"
Line 14,Each university received a US$1 million donation from Adobe as part of our newly launched Anchor School Program to prepare students for jobs in the technology and creative industries.,"('Employee_Engagement_Inclusion_And_Diversity', 0.46626022458076477)","('Product_Design_And_Lifecycle_Management', 0.08631615340709686)","('Access_And_Affordability', 0.06600457429885864)","('NON-ESG', 0.46626022458076477)","('NON-ESG', 0.08631615340709686)","('NON-ESG', 0.06600457429885864)"
Line 15,In the last year we have focused on supporting the protection and advancement of equal access to opportunities for marginalized and underrepresented groups.,"('Employee_Engagement_Inclusion_And_Diversity', 0.40948545932769775)","('Human_Rights_And_Community_Relations', 0.19536925852298737)","('Labor_Practices', 0.11274008452892303)","('NON-ESG', 0.40948545932769775)","('NON-ESG', 0.19536925852298737)","('NON-ESG', 0.11274008452892303)"
Line 16,"As a first step in this effort, Adobe, with financial support from the Adobe Foundation, launched a 3-year Equity and Advancement Initiative with 11 leading global Non-Governmental Organizations (NGOs), including OutRightAction International, Human Rights Watch and Equal Justice Initiative, that will seek to address systemic barriers to opportunity and advance social equity.","('Human_Rights_And_Community_Relations', 0.7785088419914246)","('Access_And_Affordability', 0.03976300358772278)","('Employee_Engagement_Inclusion_And_Diversity', 0.033126357942819595)","(['Environmental Policy & Management Systems'], 0.7785088419914246)","('NON-ESG', 0.03976300358772278)","('NON-ESG', 0.033126357942819595)"
Line 17,"Through this model, the Adobe Foundation and the company are making long-term, strategic commitments and investing a minimum of US$20M over three years to provide meaningful partnership opportunities, learning experiences for employees and new ways of leveraging Adobes unique strengths in support of issues key to Adobe and our communities.3 2021 Adobe Corporate Social Responsibility ReportA message from our CEO Creativity for All: We believe everyone is creative and has the right to share their story, which will create a richer world for all of us.","('Human_Rights_And_Community_Relations', 0.9093449711799622)","('Access_And_Affordability', 0.01584589295089245)","('Employee_Engagement_Inclusion_And_Diversity', 0.008245378732681274)","(['Environmental Policy & Management Systems'], 0.9093449711799622)","('NON-ESG', 0.01584589295089245)","('NON-ESG', 0.008245378732681274)"
Line 18,"Through this model, the Adobe Foundation and the company are making long-term, strategic commitments and investing a minimum of US$20M over three years to provide meaningful partnership opportunities, learning experiences for employees and new ways of leveraging Adobes unique strengths in support of issues key to Adobe and our communities.3 2021 Adobe Corporate Social Responsibility ReportA message from our CEO Creativity for All: We believe everyone is creative and has the right to share their story, which will create a richer world for all of us.","('Employee_Engagement_Inclusion_And_Diversity', 0.19477729499340057)","('Business_Model_Resilience', 0.15421783924102783)","('Product_Design_And_Lifecycle_Management', 0.11949917674064636)","('NON-ESG', 0.19477729499340057)","('NON-ESG', 0.15421783924102783)","('NON-ESG', 0.11949917674064636)"
Line 19,"We are committed to leading the way in empowering creators of all ages and backgrounds to access the tools, skills and platforms they need to express themselves, reach their full potential and share their unique and diverse perspectives with the world.","('Employee_Engagement_Inclusion_And_Diversity', 0.9340929985046387)","('Human_Rights_And_Community_Relations', 0.008013463579118252)","('Access_And_Affordability', 0.00633410457521677)","(['Talent Attraction & Retention'], 0.9340929985046387)","('NON-ESG', 0.008013463579118252)","('NON-ESG', 0.00633410457521677)"
Line 20,"As part of our longstanding commitment to creating greater opportunities for all, we have much to be proud of over the last year: our work with Sundance Ignite empowering talented young filmmakers from around the world with mentorship and support to pursue the next step in their careers; our Diverse Voices platform showcasing stories of diverse creators from a spectrum of disciplines; our Khan Academy partnership providing millions of students throughout the world with high-quality educational resources and fluency in creative skills; our Creative Residency program that has supported hundreds of creators from 45 countries through resources, mentorship and grants to bring their creative projects to life; and the many schools and organizations globally that we enable with our products.","('Employee_Engagement_Inclusion_And_Diversity', 0.8838531970977783)","('Access_And_Affordability', 0.025467608124017715)","('Human_Rights_And_Community_Relations', 0.008569012396037579)","(['Talent Attraction & Retention'], 0.8838531970977783)","('NON-ESG', 0.025467608124017715)","('NON-ESG', 0.008569012396037579)"
Line 21,"As part of our longstanding commitment to creating greater opportunities for all, we have much to be proud of over the last year: our work with Sundance Ignite empowering talented young filmmakers from around the world with mentorship and support to pursue the next step in their careers; our Diverse Voices platform showcasing stories of diverse creators from a spectrum of disciplines; our Khan Academy partnership providing millions of students throughout the world with high-quality educational resources and fluency in creative skills; our Creative Residency program that has supported hundreds of creators from 45 countries through resources, mentorship and grants to bring their creative projects to life; and the many schools and organizations globally that we enable with our products.","('Product_Design_And_Lifecycle_Management', 0.673482358455658)","('Customer_Welfare', 0.04037053510546684)","('Access_And_Affordability', 0.03811225667595863)","([], 0.673482358455658)","('NON-ESG', 0.04037053510546684)","('NON-ESG', 0.03811225667595863)"
Line 22,We are using our platform to give everyone the opportunity to tell their stories.,"('Employee_Engagement_Inclusion_And_Diversity', 0.25082069635391235)","('Human_Rights_And_Community_Relations', 0.18402589857578278)","('Customer_Privacy', 0.11906787008047104)","('NON-ESG', 0.25082069635391235)","('NON-ESG', 0.18402589857578278)","('NON-ESG', 0.11906787008047104)"
