,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"1 [Public] 2 [Public] Advanced Micro Devices (AMD) Corporate Responsibility Website Download ( https://www.amd.com/en/corporate -responsibility ) Updated as of August 18, 2022 Table of Contents Message from our Chair and CEO .  3 AMD Corporate Responsibility in Action .  4 Who We Are .  5 Our CR Strategy .  6 Our Goals and Progress .  7 External Recognition . ","('Business_Model_Resilience', 0.34067052602767944)","('Human_Rights_And_Community_Relations', 0.22589436173439026)","('Director_Removal', 0.05913743004202843)","('NON-ESG', 0.34067052602767944)","('NON-ESG', 0.22589436173439026)","('NON-ESG', 0.05913743004202843)"
Line 2,"10 CR Management and Governance .  11 Risk Management .  12 Ethics and C ompliance .  12 Anti-corruption .  13 Cybersecurity .  14 Public Policy Engagement and Political Activities .  15 Stakeholder Engagement .  16 Our Value Chain .  19 Our Material ESG Issues .  21 Digital Impact .  24 Environmental Sustainability .  33 Supply Chain Responsibility .  48 Responsible Minerals Sourcing .  55 AMD Supplier Code of Conduct .  58 Supplier Audit Summary Results .  59 Diversity, Belonging and Inclusion .  64 Community Involvement .  75 Environmental, Social and Governance Data Tables .  82 AMD GRI Content Index .  93 Advancing the United Nations Sustainable Development .  101 Sustainability Accounting Standards Board (SASB) Disclosures .  103 Task Force on Climate -related Financia l Disclosures .  104 3 [Public] Overview At AMD, we develop semiconductor technology that helps to enable the future.","('Supply_Chain_Management', 0.8767300844192505)","('Labor_Practices', 0.011362307704985142)","('Business_Model_Resilience', 0.010855563916265965)","(['Supply Chain Management'], 0.8767300844192505)","('NON-ESG', 0.011362307704985142)","('NON-ESG', 0.010855563916265965)"
Line 3,"10 CR Management and Governance .  11 Risk Management .  12 Ethics and C ompliance .  12 Anti-corruption .  13 Cybersecurity .  14 Public Policy Engagement and Political Activities .  15 Stakeholder Engagement .  16 Our Value Chain .  19 Our Material ESG Issues .  21 Digital Impact .  24 Environmental Sustainability .  33 Supply Chain Responsibility .  48 Responsible Minerals Sourcing .  55 AMD Supplier Code of Conduct .  58 Supplier Audit Summary Results .  59 Diversity, Belonging and Inclusion .  64 Community Involvement .  75 Environmental, Social and Governance Data Tables .  82 AMD GRI Content Index .  93 Advancing the United Nations Sustainable Development .  101 Sustainability Accounting Standards Board (SASB) Disclosures .  103 Task Force on Climate -related Financia l Disclosures .  104 3 [Public] Overview At AMD, we develop semiconductor technology that helps to enable the future.","('Physical_Impacts_Of_Climate_Change', 0.46140870451927185)","('Business_Model_Resilience', 0.23294296860694885)","('Management_Of_Legal_And_Regulatory_Framework', 0.04266081750392914)","('NON-ESG', 0.46140870451927185)","('NON-ESG', 0.23294296860694885)","('NON-ESG', 0.04266081750392914)"
Line 4,"Our high -performance processors power the servers for modern data centers, personal computers, game consoles, industrial devices and more.","('Data_Security', 0.40481361746788025)","('Energy_Management', 0.14612950384616852)","('Supply_Chain_Management', 0.05585509166121483)","('NON-ESG', 0.40481361746788025)","('NON-ESG', 0.14612950384616852)","('NON-ESG', 0.05585509166121483)"
Line 5,"Through the use of our technologies, we help open possibilities for creators, researchers, inventors and explorers to tackle some of the world s toughest challenges.","('Product_Design_And_Lifecycle_Management', 0.2414490133523941)","('Energy_Management', 0.1364406943321228)","('Supply_Chain_Management', 0.10026604682207108)","('NON-ESG', 0.2414490133523941)","('NON-ESG', 0.1364406943321228)","('NON-ESG', 0.10026604682207108)"
Line 6,That is why we are focused on creating the next generation of products to positively benefit society and the planet.,"('Product_Design_And_Lifecycle_Management', 0.9638984799385071)","('Product_Quality_And_Safety', 0.0035725703928619623)","('Energy_Management', 0.0028347426559776068)","(['Product Stewardship'], 0.9638984799385071)","('NON-ESG', 0.0035725703928619623)","('NON-ESG', 0.0028347426559776068)"
Line 7,"We aspire to embed environmental sustainability across our business, ensure safe and responsible workplaces in our global supply chain and promote stronger communities where we live and work.","('Supply_Chain_Management', 0.8978593945503235)","('Product_Design_And_Lifecycle_Management', 0.016020359471440315)","('Employee_Health_And_Safety', 0.012626978568732738)","(['Supply Chain Management'], 0.8978593945503235)","('NON-ESG', 0.016020359471440315)","('NON-ESG', 0.012626978568732738)"
Line 8,Responsibly developing and delivering cutting -edge technologies that enable a better world is deeply rooted in our culture.,"('Product_Design_And_Lifecycle_Management', 0.28464362025260925)","('Business_Model_Resilience', 0.17404977977275848)","('Human_Rights_And_Community_Relations', 0.0925060585141182)","('NON-ESG', 0.28464362025260925)","('NON-ESG', 0.17404977977275848)","('NON-ESG', 0.0925060585141182)"
Line 9,"Corporate responsibility (CR) is an integral aspect of our business, which aims to generate shared value with our employees, customers, suppliers, investors and communities.","('Human_Rights_And_Community_Relations', 0.5563932657241821)","('Supply_Chain_Management', 0.12417633086442947)","('Business_Model_Resilience', 0.04833760857582092)","(['Environmental Policy & Management Systems'], 0.5563932657241821)","('NON-ESG', 0.12417633086442947)","('NON-ESG', 0.04833760857582092)"
Line 10,Message from our Chair and CEO The important role that computing plays in our everyday lives has never been more apparent.,"('Human_Rights_And_Community_Relations', 0.21497389674186707)","('Business_Model_Resilience', 0.11669269949197769)","('Employee_Health_And_Safety', 0.08940526843070984)","('NON-ESG', 0.21497389674186707)","('NON-ESG', 0.11669269949197769)","('NON-ESG', 0.08940526843070984)"
