,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"2021 ENVIRONMENTAL, SOCIAL & GOVERNANCE REPORTIntroduction COVID-19 Response 2 | ENVIRONMENTAL, SOCIAL & GOVERNANCE REPORT 2021 Healthy People Healthy Society Healthy Planet A Healthy Amgen Appendix Corporate Governance .","('Human_Rights_And_Community_Relations', 0.38421908020973206)","('Business_Model_Resilience', 0.14939868450164795)","('Management_Of_Legal_And_Regulatory_Framework', 0.08481030911207199)","('NON-ESG', 0.38421908020973206)","('NON-ESG', 0.14939868450164795)","('NON-ESG', 0.08481030911207199)"
Line 2,55 Business Ethics .,"('Business_Ethics', 0.9620211720466614)","('Competitive_Behavior', 0.0049340976402163506)","('Product_Quality_And_Safety', 0.003093132982030511)","(['Business Ethics'], 0.9620211720466614)","('NON-ESG', 0.0049340976402163506)","('NON-ESG', 0.003093132982030511)"
Line 3,56 Ethical Research .,"('Business_Ethics', 0.731757402420044)","('Competitive_Behavior', 0.11200570315122604)","('Human_Rights_And_Community_Relations', 0.013170741498470306)","(['Business Ethics'], 0.731757402420044)","('NON-ESG', 0.11200570315122604)","('NON-ESG', 0.013170741498470306)"
Line 4,58 Patient Safety and Product Quality .,"('Product_Quality_And_Safety', 0.787952184677124)","('Product_Design_And_Lifecycle_Management', 0.0894043892621994)","('Selling_Practices_And_Product_Labeling', 0.01737910322844982)","(['Product Quality & Recall Management'], 0.787952184677124)","('NON-ESG', 0.0894043892621994)","('NON-ESG', 0.01737910322844982)"
Line 5,60 Cybersecurity and Data Privacy .,"('Data_Security', 0.958641529083252)","('Customer_Privacy', 0.00473141809925437)","('Systemic_Risk_Management', 0.0032366709783673286)","([], 0.958641529083252)","('NON-ESG', 0.00473141809925437)","('NON-ESG', 0.0032366709783673286)"
Line 6,63 Government Affairs and Public Policy .,"('Management_Of_Legal_And_Regulatory_Framework', 0.8252856731414795)","('Human_Rights_And_Community_Relations', 0.02404298633337021)","('Physical_Impacts_Of_Climate_Change', 0.01634337566792965)","([], 0.8252856731414795)","('NON-ESG', 0.02404298633337021)","('NON-ESG', 0.01634337566792965)"
Line 7,65 We value and welcome feedback from all stakeholders .,"('Human_Rights_And_Community_Relations', 0.2132856696844101)","('Business_Model_Resilience', 0.13091664016246796)","('Director_Removal', 0.12329157441854477)","('NON-ESG', 0.2132856696844101)","('NON-ESG', 0.13091664016246796)","('NON-ESG', 0.12329157441854477)"
Line 8,Please send comments or questions about this report to ESG@AMGEN .,"('Management_Of_Legal_And_Regulatory_Framework', 0.6909346580505371)","('Director_Removal', 0.03002968057990074)","('Business_Model_Resilience', 0.02857663668692112)","([], 0.6909346580505371)","('NON-ESG', 0.03002968057990074)","('NON-ESG', 0.02857663668692112)"
Line 9,"COMABOUT THIS REPORT This report describes our progress from January 1, 2021 to December 31, 2021 .","('Management_Of_Legal_And_Regulatory_Framework', 0.5338892936706543)","('Director_Removal', 0.08505465090274811)","('Business_Model_Resilience', 0.05951760709285736)","([], 0.5338892936706543)","('NON-ESG', 0.08505465090274811)","('NON-ESG', 0.05951760709285736)"
Line 10,"The content is informed by our ongoing monitoring of internal and external stakeholder perspectives, direct interactions with stakeholders, a review of relevant reporting standards and frameworks, and internal analyses of the alignment of environmental, social and governance (ESG) topics with our strategy, mission and values .","('Human_Rights_And_Community_Relations', 0.4554101824760437)","('Management_Of_Legal_And_Regulatory_Framework', 0.2982557713985443)","('Business_Model_Resilience', 0.03626449033617973)","('NON-ESG', 0.4554101824760437)","('NON-ESG', 0.2982557713985443)","('NON-ESG', 0.03626449033617973)"
