,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"Prime Air Delivering Progress Every Day Amazons 2021 Sustainability ReportPrime Air About This Report At Amazon, we are committed to and invested in sustainability because its a win all aroundits good for the planet, for business, for our customers, and for our communities.","('Business_Model_Resilience', 0.31727924942970276)","('Product_Design_And_Lifecycle_Management', 0.1968725025653839)","('Supply_Chain_Management', 0.07235263288021088)","('NON-ESG', 0.31727924942970276)","('NON-ESG', 0.1968725025653839)","('NON-ESG', 0.07235263288021088)"
Line 2,Our 2021 Sustainability Report builds on our sustainability progress over the last decadeparticularly since we co- founded The Climate Pledge in 2019 and announced our commitment to achieve net-zero carbon emissions across our business by 2040.,"('GHG_Emissions', 0.4175041615962982)","('Physical_Impacts_Of_Climate_Change', 0.28528475761413574)","('Business_Model_Resilience', 0.06734444200992584)","('NON-ESG', 0.4175041615962982)","('NON-ESG', 0.28528475761413574)","('NON-ESG', 0.06734444200992584)"
Line 3,"This report also includes our work on a wide range of Amazon commitments and initiatives to support our employees, our supply chain partners, and the communities where we operate around the world.","('Supply_Chain_Management', 0.9363195896148682)","('Product_Design_And_Lifecycle_Management', 0.00571890315040946)","('Labor_Practices', 0.005502876825630665)","(['Supply Chain Management'], 0.9363195896148682)","('NON-ESG', 0.00571890315040946)","('NON-ESG', 0.005502876825630665)"
Line 4,All financial figures are reported in U.,"('Systemic_Risk_Management', 0.7335321307182312)","('Management_Of_Legal_And_Regulatory_Framework', 0.05859992280602455)","('Business_Model_Resilience', 0.031118733808398247)","(['Risk & Crisis Management'], 0.7335321307182312)","('NON-ESG', 0.05859992280602455)","('NON-ESG', 0.031118733808398247)"
Line 5,"S. dollars ($), unless otherwise stated.","('Management_Of_Legal_And_Regulatory_Framework', 0.5156506299972534)","('Systemic_Risk_Management', 0.08531181514263153)","('GHG_Emissions', 0.058787837624549866)","([], 0.5156506299972534)","('NON-ESG', 0.08531181514263153)","('NON-ESG', 0.058787837624549866)"
Line 6,"Please note that data within this report primarily reflects progress as of 2021, and all data that is timebound since a certain date is updated as of June 2022, unless otherwise indicated.","('Management_Of_Legal_And_Regulatory_Framework', 0.35098615288734436)","('Business_Model_Resilience', 0.1485680192708969)","('Physical_Impacts_Of_Climate_Change', 0.048530563712120056)","('NON-ESG', 0.35098615288734436)","('NON-ESG', 0.1485680192708969)","('NON-ESG', 0.048530563712120056)"
Line 7,"This report includes appendices that are informed by the following frameworks: the Sustainability Accounting Standards Board (SASB), the Task Force on Climate-related Financial Disclosures (TCFD), and the United Nations Guiding Principles (UNGP) Reporting Framework.","('Physical_Impacts_Of_Climate_Change', 0.6197150945663452)","('Business_Model_Resilience', 0.13230396807193756)","('Systemic_Risk_Management', 0.04165671765804291)","(['Climate Strategy'], 0.6197150945663452)","('NON-ESG', 0.13230396807193756)","('NON-ESG', 0.04165671765804291)"
Line 8,"About Amazon Amazon is guided by four principles: customer obsession rather than competitor focus, passion for invention, commitment to operational excellence, and long-term thinking.","('Business_Model_Resilience', 0.7658863663673401)","('Product_Design_And_Lifecycle_Management', 0.044091179966926575)","('Systemic_Risk_Management', 0.020355110988020897)","([], 0.7658863663673401)","('NON-ESG', 0.044091179966926575)","('NON-ESG', 0.020355110988020897)"
Line 9,"We strive to be Earths most customer-centric company, Earths best employer, and Earths safest place to work.","('Product_Design_And_Lifecycle_Management', 0.24971933662891388)","('Employee_Health_And_Safety', 0.18405796587467194)","('Business_Model_Resilience', 0.06443354487419128)","('NON-ESG', 0.24971933662891388)","('NON-ESG', 0.18405796587467194)","('NON-ESG', 0.06443354487419128)"
Line 10,"Customer reviews, 1-Click shopping, personalized recommendations, Prime, Fulfillment by Amazon, Amazon Web Services (AWS), Kindle Direct Publishing, Kindle, Career Choice, Fire tablets, Fire TV, Amazon Echo, Alexa, Just Walk Out technology, Amazon Studios, and The Climate Pledge are some of the things pioneered by Amazon.","('Customer_Privacy', 0.3949451446533203)","('Competitive_Behavior', 0.09511086344718933)","('Customer_Welfare', 0.08571366220712662)","('NON-ESG', 0.3949451446533203)","('NON-ESG', 0.09511086344718933)","('NON-ESG', 0.08571366220712662)"
Line 11,"We have more than 1.6 million employees worldwide, with operations in Africa, Asia-Pacific, Europe, India, Latin America, the Middle East, and North America.","('Employee_Engagement_Inclusion_And_Diversity', 0.5069061517715454)","('Business_Model_Resilience', 0.12919844686985016)","('Product_Design_And_Lifecycle_Management', 0.042753975838422775)","([], 0.5069061517715454)","('NON-ESG', 0.12919844686985016)","('NON-ESG', 0.042753975838422775)"
