,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"2022 Environmental, Social & Governance Report BROADCOM 2022 ESG Report2 About This Report This Environmental, Social & Governance Report was published in February 2023.","('Management_Of_Legal_And_Regulatory_Framework', 0.3018723726272583)","('Human_Rights_And_Community_Relations', 0.2788873314857483)","('Business_Model_Resilience', 0.07699761539697647)","('NON-ESG', 0.3018723726272583)","('NON-ESG', 0.2788873314857483)","('NON-ESG', 0.07699761539697647)"
Line 2,"Unless otherwise noted, this report covers Broadcoms fiscal year 2022 ended October 30, 2022 (referred to herein as 2022).","('Management_Of_Legal_And_Regulatory_Framework', 0.4439348876476288)","('Business_Model_Resilience', 0.11212436109781265)","('Physical_Impacts_Of_Climate_Change', 0.08038220554590225)","('NON-ESG', 0.4439348876476288)","('NON-ESG', 0.11212436109781265)","('NON-ESG', 0.08038220554590225)"
Line 3,"We intend to continue to report on our environmental, social and governance (ESG) programs and initiatives annually.","('Human_Rights_And_Community_Relations', 0.7207144498825073)","('Management_Of_Legal_And_Regulatory_Framework', 0.07197105884552002)","('Ecological_Impacts', 0.035360127687454224)","(['Environmental Policy & Management Systems'], 0.7207144498825073)","('NON-ESG', 0.07197105884552002)","('NON-ESG', 0.035360127687454224)"
Line 4,"For additional information, visit Broadcoms Corporate Citizenship page.","('Employee_Engagement_Inclusion_And_Diversity', 0.4747527837753296)","('Business_Model_Resilience', 0.12936808168888092)","('Human_Rights_And_Community_Relations', 0.069056935608387)","('NON-ESG', 0.4747527837753296)","('NON-ESG', 0.12936808168888092)","('NON-ESG', 0.069056935608387)"
Line 5,"To provide feedback or obtain additional information about this report and Broadcoms corporate social responsibility program, please contact esg@broadcom.com .","('Human_Rights_And_Community_Relations', 0.7217868566513062)","('Business_Model_Resilience', 0.04930991306900978)","('Access_And_Affordability', 0.03089379332959652)","(['Environmental Policy & Management Systems'], 0.7217868566513062)","('NON-ESG', 0.04930991306900978)","('NON-ESG', 0.03089379332959652)"
Line 6,"Reporting Guidelines and Content We prepared this report leveraging the Global Reporting Initiative (GRI) Sustainability Reporting Standards (core option), the Sustainability Accounting Standards Board (SASB) Semiconductors and Software & IT Services Industry Standards and the framework developed by the Task Force on Climate-Related Financial Disclosures (TCFD).","('Physical_Impacts_Of_Climate_Change', 0.4500788748264313)","('Business_Model_Resilience', 0.11996809393167496)","('Management_Of_Legal_And_Regulatory_Framework', 0.11200863122940063)","('NON-ESG', 0.4500788748264313)","('NON-ESG', 0.11996809393167496)","('NON-ESG', 0.11200863122940063)"
Line 7,"Interpretation When we use the terms Broadcom, we, us, our and the company, we mean Broadcom Inc., a Delaware corporation, and its consolidated subsidiaries, taken as a whole, unless the context otherwise indicates.","('Director_Removal', 0.22076967358589172)","('Business_Model_Resilience', 0.15328705310821533)","('Systemic_Risk_Management', 0.09977615624666214)","('NON-ESG', 0.22076967358589172)","('NON-ESG', 0.15328705310821533)","('NON-ESG', 0.09977615624666214)"
Line 8,The terms material and materiality as used in this report and in the ESG priorities assessment are different from those terms as used in the context of filings with the U.,"('Management_Of_Legal_And_Regulatory_Framework', 0.3433266878128052)","('Systemic_Risk_Management', 0.10283414274454117)","('Business_Model_Resilience', 0.10036610066890717)","('NON-ESG', 0.3433266878128052)","('NON-ESG', 0.10283414274454117)","('NON-ESG', 0.10036610066890717)"
Line 9,S. Securities and Exchange Commission (SEC).,"('Management_Of_Legal_And_Regulatory_Framework', 0.8550572991371155)","('Business_Ethics', 0.029709137976169586)","('Competitive_Behavior', 0.023363841697573662)","([], 0.8550572991371155)","('NON-ESG', 0.029709137976169586)","('NON-ESG', 0.023363841697573662)"
Line 10,Issues deemed material for the purposes of this report or the ESG priorities assessment may not be deemed material for SEC reporting purposes.,"('Management_Of_Legal_And_Regulatory_Framework', 0.8108441233634949)","('Ecological_Impacts', 0.02173796109855175)","('Systemic_Risk_Management', 0.018175357952713966)","([], 0.8108441233634949)","('NON-ESG', 0.02173796109855175)","('NON-ESG', 0.018175357952713966)"
