,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"2021 Environmental, Social and Governance Report Progress against 16+ indicators in accordance with the BioPharma Alliance, SASB and GRITable of Contents 3 About Bristol Myers Squibb 9 Ethics, Integrity, Quality and Governance 19 Innovation, Equity and Access to Healthcare 27 Our People 38 Environmental Responsibility 50 AppendixAbout This Report This report is written in accordance with the Biopharma Investor ESG Communications Guidance 2.0, which was developed by the Biopharma Investor ESG Communications Initiative, part of the Biopharma Sustainability Roundtable (BSRT).","('Business_Ethics', 0.8922206163406372)","('Management_Of_Legal_And_Regulatory_Framework', 0.0256842952221632)","('Human_Rights_And_Community_Relations', 0.014649632386863232)","(['Business Ethics'], 0.8922206163406372)","('NON-ESG', 0.0256842952221632)","('NON-ESG', 0.014649632386863232)"
Line 2,"2021 Environmental, Social and Governance Report Progress against 16+ indicators in accordance with the BioPharma Alliance, SASB and GRITable of Contents 3 About Bristol Myers Squibb 9 Ethics, Integrity, Quality and Governance 19 Innovation, Equity and Access to Healthcare 27 Our People 38 Environmental Responsibility 50 AppendixAbout This Report This report is written in accordance with the Biopharma Investor ESG Communications Guidance 2.0, which was developed by the Biopharma Investor ESG Communications Initiative, part of the Biopharma Sustainability Roundtable (BSRT).","('Business_Model_Resilience', 0.33641424775123596)","('Supply_Chain_Management', 0.17274585366249084)","('Product_Design_And_Lifecycle_Management', 0.0713873878121376)","('NON-ESG', 0.33641424775123596)","('NON-ESG', 0.17274585366249084)","('NON-ESG', 0.0713873878121376)"
Line 3,It was prepared with reference to the Global Reporting Initiative (GRI) standards and the Sustainability Accounting Standards Board (SASB) standards for the biopharmaceutical sector.,"('Management_Of_Legal_And_Regulatory_Framework', 0.34821614623069763)","('Systemic_Risk_Management', 0.11607182025909424)","('Product_Quality_And_Safety', 0.10569489747285843)","('NON-ESG', 0.34821614623069763)","('NON-ESG', 0.11607182025909424)","('NON-ESG', 0.10569489747285843)"
Line 4,"This report also includes our Anti-Corruption report using the Norges Bank Investment Management (NBIM) guidance, providing additional transparency to our progress in this critical area.","('Business_Ethics', 0.9733656048774719)","('Management_Of_Legal_And_Regulatory_Framework', 0.003366334130987525)","('Data_Security', 0.0022233128547668457)","(['Business Ethics'], 0.9733656048774719)","('NON-ESG', 0.003366334130987525)","('NON-ESG', 0.0022233128547668457)"
Line 5,"Unless otherwise stated, this report details our performance on ESG topics and contains nonfinancial disclosures covering the period from January 1, 2021, through December 31, 2021.","('Business_Model_Resilience', 0.5264720320701599)","('Systemic_Risk_Management', 0.1814279556274414)","('Management_Of_Legal_And_Regulatory_Framework', 0.04183906689286232)","(['Human Capital Development', 'Innovation Management'], 0.5264720320701599)","('NON-ESG', 0.1814279556274414)","('NON-ESG', 0.04183906689286232)"
Line 6,"2021 ESG REPORT | 2About Bristol Myers Squibb Transforming patients lives through scienceTM We are a global biopharmaceutical company whose mission is to discover, develop and deliver innovative medicines that help patients prevail over serious diseases.","('Customer_Welfare', 0.2620183229446411)","('Access_And_Affordability', 0.15335039794445038)","('Selling_Practices_And_Product_Labeling', 0.08208104223012924)","('NON-ESG', 0.2620183229446411)","('NON-ESG', 0.15335039794445038)","('NON-ESG', 0.08208104223012924)"
Line 7,"At Bristol Myers Squibb (BMS), we are in the business of medical breakthroughsthe kinds that transform and save patients lives.","('Employee_Health_And_Safety', 0.4439254105091095)","('Critical_Incident_Risk_Management', 0.19129326939582825)","('Access_And_Affordability', 0.11281950026750565)","('NON-ESG', 0.4439254105091095)","('NON-ESG', 0.19129326939582825)","('NON-ESG', 0.11281950026750565)"
Line 8,Our business combines the agility of biotech with the reach and resources of an established pharmaceutical company to create a leading global biopharma company.,"('Business_Model_Resilience', 0.24578210711479187)","('Competitive_Behavior', 0.19193768501281738)","('Customer_Welfare', 0.12254969030618668)","('NON-ESG', 0.24578210711479187)","('NON-ESG', 0.19193768501281738)","('NON-ESG', 0.12254969030618668)"
Line 9,We bring a human touch to every treatment we pioneer.,"('Access_And_Affordability', 0.45494189858436584)","('Employee_Health_And_Safety', 0.09976992011070251)","('Human_Rights_And_Community_Relations', 0.08342533558607101)","('NON-ESG', 0.45494189858436584)","('NON-ESG', 0.09976992011070251)","('NON-ESG', 0.08342533558607101)"
Line 10,"With a diverse and promising R&D pipeline, we focus on innovations that drive meaningful change.","('Business_Model_Resilience', 0.44376835227012634)","('Product_Design_And_Lifecycle_Management', 0.14323794841766357)","('Employee_Engagement_Inclusion_And_Diversity', 0.06460456550121307)","('NON-ESG', 0.44376835227012634)","('NON-ESG', 0.14323794841766357)","('NON-ESG', 0.06460456550121307)"
