,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"0 20 1 0 3 0 9 18 22 2 3 2 8 38 4 3 46 5 1 5 2 5 754 58 6 1T able o f Con t en t sPr oje c t UP Conne c tivit y: Exp anding Digit al A ccess Skills and Cr e ativit y: Cr e ating Car e er P ath ways and Amplif ying New V oices En tr epr eneurialism: Driving E conomic Gr ow th Div er sit y , E quit y & Inclusion Dev eloping Div er se T alen t Cultiv ating a Cult ur e o f Inclusion L e v er aging Our Pr o gr amming, Plat f orms, and Pr o duc t s Driving Inclusiv e Gr ow th 2 0 21 Div er sit y Dat a En vir onmen t The P ath t o Carb on Neutr al Harnessing R enewable Ener gy t o Driv e Down Emissions Bo osting Net work Efficienc y , R esilience, and R eliabilit y Inno v ating S ust ainably , fr om Pr o duc t t o P ack aging S upp or ting S ust ainabilit y thr ough S t or y t elling and Pr o duc tion A Message fr om Our L e ader s This Imp ac t R ep or t includes estimat es, pr oje c tions and st at emen t s r e gar ding en vir onmen t al, so cial and go v ernance-r elat e d plans, obje c tiv es and go als that ar e f or war d-lo oking st at emen t s within the me aning o f the Priv at e Se curities Litigation R ef orm A c t o f 199 5 , Se c tion 2 7A o f the Se curities A c t o f 19 3 3 , and Se c tion 21E o f the Se curities Ex change A c t o f 19 34 (the Ex change A c t ).","('Employee_Engagement_Inclusion_And_Diversity', 0.3214071989059448)","('Competitive_Behavior', 0.19840621948242188)","('Business_Ethics', 0.10567500442266464)","('NON-ESG', 0.3214071989059448)","('NON-ESG', 0.19840621948242188)","('NON-ESG', 0.10567500442266464)"
Line 2,"0 20 1 0 3 0 9 18 22 2 3 2 8 38 4 3 46 5 1 5 2 5 754 58 6 1T able o f Con t en t sPr oje c t UP Conne c tivit y: Exp anding Digit al A ccess Skills and Cr e ativit y: Cr e ating Car e er P ath ways and Amplif ying New V oices En tr epr eneurialism: Driving E conomic Gr ow th Div er sit y , E quit y & Inclusion Dev eloping Div er se T alen t Cultiv ating a Cult ur e o f Inclusion L e v er aging Our Pr o gr amming, Plat f orms, and Pr o duc t s Driving Inclusiv e Gr ow th 2 0 21 Div er sit y Dat a En vir onmen t The P ath t o Carb on Neutr al Harnessing R enewable Ener gy t o Driv e Down Emissions Bo osting Net work Efficienc y , R esilience, and R eliabilit y Inno v ating S ust ainably , fr om Pr o duc t t o P ack aging S upp or ting S ust ainabilit y thr ough S t or y t elling and Pr o duc tion A Message fr om Our L e ader s This Imp ac t R ep or t includes estimat es, pr oje c tions and st at emen t s r e gar ding en vir onmen t al, so cial and go v ernance-r elat e d plans, obje c tiv es and go als that ar e f or war d-lo oking st at emen t s within the me aning o f the Priv at e Se curities Litigation R ef orm A c t o f 199 5 , Se c tion 2 7A o f the Se curities A c t o f 19 3 3 , and Se c tion 21E o f the Se curities Ex change A c t o f 19 34 (the Ex change A c t ).","('Competitive_Behavior', 0.3712294399738312)","('Business_Model_Resilience', 0.09714827686548233)","('Management_Of_Legal_And_Regulatory_Framework', 0.0819820910692215)","('NON-ESG', 0.3712294399738312)","('NON-ESG', 0.09714827686548233)","('NON-ESG', 0.0819820910692215)"
Line 3,"0 20 1 0 3 0 9 18 22 2 3 2 8 38 4 3 46 5 1 5 2 5 754 58 6 1T able o f Con t en t sPr oje c t UP Conne c tivit y: Exp anding Digit al A ccess Skills and Cr e ativit y: Cr e ating Car e er P ath ways and Amplif ying New V oices En tr epr eneurialism: Driving E conomic Gr ow th Div er sit y , E quit y & Inclusion Dev eloping Div er se T alen t Cultiv ating a Cult ur e o f Inclusion L e v er aging Our Pr o gr amming, Plat f orms, and Pr o duc t s Driving Inclusiv e Gr ow th 2 0 21 Div er sit y Dat a En vir onmen t The P ath t o Carb on Neutr al Harnessing R enewable Ener gy t o Driv e Down Emissions Bo osting Net work Efficienc y , R esilience, and R eliabilit y Inno v ating S ust ainably , fr om Pr o duc t t o P ack aging S upp or ting S ust ainabilit y thr ough S t or y t elling and Pr o duc tion A Message fr om Our L e ader s This Imp ac t R ep or t includes estimat es, pr oje c tions and st at emen t s r e gar ding en vir onmen t al, so cial and go v ernance-r elat e d plans, obje c tiv es and go als that ar e f or war d-lo oking st at emen t s within the me aning o f the Priv at e Se curities Litigation R ef orm A c t o f 199 5 , Se c tion 2 7A o f the Se curities A c t o f 19 3 3 , and Se c tion 21E o f the Se curities Ex change A c t o f 19 34 (the Ex change A c t ).","('Management_Of_Legal_And_Regulatory_Framework', 0.37859201431274414)","('Business_Ethics', 0.10798388719558716)","('Director_Removal', 0.0993635281920433)","('NON-ESG', 0.37859201431274414)","('NON-ESG', 0.10798388719558716)","('NON-ESG', 0.0993635281920433)"
Line 4,F or war d-lo oking st at emen t s may app e ar thr oughout this r ep or t.,"('Management_Of_Legal_And_Regulatory_Framework', 0.8033022284507751)","('Business_Ethics', 0.038234204053878784)","('Competitive_Behavior', 0.029265858232975006)","(['Responsibility of Content'], 0.8033022284507751)","('NON-ESG', 0.038234204053878784)","('NON-ESG', 0.029265858232975006)"
Line 5,"These f or war d-lo oking st at emen t s gener ally ar e iden tifie d b y the wor ds b elie v e, pr oje c t, e xp e c t, an ticip at e, estimat e, in t end, p o t en tial, str at e gy , fut ur e, opp or t unit y , commit, plan, go al, may , should, could, would, will, con tinue, will lik ely r esult and similar e xpr essions.","('Competitive_Behavior', 0.3750157952308655)","('Business_Ethics', 0.1576239913702011)","('Management_Of_Legal_And_Regulatory_Framework', 0.1566009670495987)","('NON-ESG', 0.3750157952308655)","('NON-ESG', 0.1576239913702011)","('NON-ESG', 0.1566009670495987)"
Line 6,F or war d-lo oking st at emen t s ar e b ase d on curr en t e xp e c t ations and assump tions that ar e subje c t t o risk s and uncer t ain ties that may cause ac t ual r esult s t o diff er mat erially .,"('Competitive_Behavior', 0.29567959904670715)","('Business_Ethics', 0.27228283882141113)","('Systemic_Risk_Management', 0.1363159865140915)","('NON-ESG', 0.29567959904670715)","('NON-ESG', 0.27228283882141113)","('NON-ESG', 0.1363159865140915)"
Line 7,"In e v aluating these st at emen t s, y ou should consider v arious f ac t or s, including the risk s and uncer t ain ties we describ e in the Risk F ac t or s se c tions o f our F orms 10-K and 10-Q and o ther r ep or t s we file with the Se curities and Ex change Commission (S E C ).","('Systemic_Risk_Management', 0.6748576760292053)","('Business_Ethics', 0.08887803554534912)","('Competitive_Behavior', 0.05880237743258476)","([], 0.6748576760292053)","('NON-ESG', 0.08887803554534912)","('NON-ESG', 0.05880237743258476)"
Line 8,The inclusion o f f or war d-lo oking and o ther st at emen t s in this Imp ac t R ep or t is no t an indication that the y ar e ne cessarily mat erial t o in v est or s or r equir e d t o b e disclose d in our filings with the S E C .,"('Management_Of_Legal_And_Regulatory_Framework', 0.6252498030662537)","('Business_Ethics', 0.07862277328968048)","('Competitive_Behavior', 0.07295609265565872)","(['Responsibility of Content'], 0.6252498030662537)","('NON-ESG', 0.07862277328968048)","('NON-ESG', 0.07295609265565872)"
Line 9,"S uch st at emen t s may con t ain estimat es, mak e assump tions b ase d on de v eloping st andar ds that may change and pr o vide aspir ations and commitmen t s that ar e no t in t ende d t o b e pr omises or guar an t e es.","('Competitive_Behavior', 0.31433433294296265)","('Management_Of_Legal_And_Regulatory_Framework', 0.22408828139305115)","('Business_Ethics', 0.14032748341560364)","('NON-ESG', 0.31433433294296265)","('NON-ESG', 0.22408828139305115)","('NON-ESG', 0.14032748341560364)"
Line 10,"R e ader s ar e cautione d no t t o place undue r eliance on f or war d-lo oking st at emen t s and such o ther st at emen t s, which sp e ak only as o f the dat e the y ar e made.","('Management_Of_Legal_And_Regulatory_Framework', 0.5665956735610962)","('Competitive_Behavior', 0.1446865200996399)","('Business_Ethics', 0.061770860105752945)","(['Responsibility of Content'], 0.5665956735610962)","('NON-ESG', 0.1446865200996399)","('NON-ESG', 0.061770860105752945)"
