,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"Sustainability Commitment People & Communities Managing Water Inclusion Our Water management Systems Our STAR ProgramOur Goals New Approaches in LandscapingDiversity at Costco Employee DevelopmentWastewater & stormwater Plans Water Savings in Our Chicken PlantEmployee Development GoalsCar WashesPay & BenetsMinimizing WasteWorkforce Tenure & Development Diverting Waste from LandllCulture, Ethics & Open Door CommunitiesReducing Food Waste Reducing Hazardous WasteCharitable ContributionsEnvironmental ComplianceCommunity Investment The Role of ComplianceFood & Non-Food Donations STAR in the WarehouseEmployee Volunteering Health Care in the Community Supplier Diversity Merchandising: Our Principles Supplier Diversity Goals & Products Diversity in Costcos Product LineAnimal WelfareSuccess StoriesOur Mission StatementHuman RightsCollaboration with Experts & Suppliers Our EmployeesAntibiotics Our Supply ChainAnimal Welfare Audits RemediationCage-Free Eggs Modern SlaveryOur Vertically Integrated Poultry Facility Conict MineralsDown & Feathers Priority Industries for Strategic Pork CollaborationEnvironmental Impacts & Land StewardshipOperationsLand Stewardship Goals Construction, Landscaping & Forest Conservation Commitment Preservation Pollinator Health Sustainable Principles & Design Supporting Regenerative Agriculture Adaptive Reuse & Historic Preservation Chemical Management Recycled Materials The Costco Smart Screening Program Creative Landscaping Steps Measuring Chemicals in Products Natural Preservation & Packaging Transportation & Logistics Costco Restricted Substances Depot Distribution Centers Lists (RSLs) Reverse Logistics Chemicals Used in Agriculture Suppliers Playing a Role & Horticulture Employee Transportation Strategy, Training & Education Energy & Refrigeration Managing Energy Energy-Saving Progress Clean Energy Managing RefrigerantsTable of Contents Packaging Governance & Reporting Our Packaging GoalsGovernance & EducationSix Rights of Packaging Sustainability Sustainability Accounting Recycled Content Success Stories Packaging FAQs Standards Board (SASB) Kirkland Signature Task Force on Climate-Related The Kirkland Signature Concept Financial Disclosures (TCFD) Innovation & Kirkland SignatureData Security Reducing Food WasteData Security Defense in Depth Strategy Commodities & More: United Nations Sustainability Cocoa & Coee Development Goals (SDG) Eggs, Dairy & Plant-based Beverage AlternativesCostco Connection Sustainability Gas & Automotive Stories Grains & Nuts Oils, Honey & Spices Organics, Greenhouse Grown & Horticulture Protein & Plant-based Alternatives Seafood & Aquaculture Textiles & Cotton Wood, Pulp & Paper Climate Action Plan Climate Action Plan Our Holistic Approach Belief in a Just TransitionTable of Contents Inclusion Our Code of Ethics makes clear our commitment to take care of our employees.","('Waste_And_Hazardous_Materials_Management', 0.981590986251831)","('Water_And_Wastewater_Management', 0.0025595976039767265)","('Employee_Health_And_Safety', 0.0012468096101656556)","([], 0.981590986251831)","('NON-ESG', 0.0025595976039767265)","('NON-ESG', 0.0012468096101656556)"
Line 2,"Sustainability Commitment People & Communities Managing Water Inclusion Our Water management Systems Our STAR ProgramOur Goals New Approaches in LandscapingDiversity at Costco Employee DevelopmentWastewater & stormwater Plans Water Savings in Our Chicken PlantEmployee Development GoalsCar WashesPay & BenetsMinimizing WasteWorkforce Tenure & Development Diverting Waste from LandllCulture, Ethics & Open Door CommunitiesReducing Food Waste Reducing Hazardous WasteCharitable ContributionsEnvironmental ComplianceCommunity Investment The Role of ComplianceFood & Non-Food Donations STAR in the WarehouseEmployee Volunteering Health Care in the Community Supplier Diversity Merchandising: Our Principles Supplier Diversity Goals & Products Diversity in Costcos Product LineAnimal WelfareSuccess StoriesOur Mission StatementHuman RightsCollaboration with Experts & Suppliers Our EmployeesAntibiotics Our Supply ChainAnimal Welfare Audits RemediationCage-Free Eggs Modern SlaveryOur Vertically Integrated Poultry Facility Conict MineralsDown & Feathers Priority Industries for Strategic Pork CollaborationEnvironmental Impacts & Land StewardshipOperationsLand Stewardship Goals Construction, Landscaping & Forest Conservation Commitment Preservation Pollinator Health Sustainable Principles & Design Supporting Regenerative Agriculture Adaptive Reuse & Historic Preservation Chemical Management Recycled Materials The Costco Smart Screening Program Creative Landscaping Steps Measuring Chemicals in Products Natural Preservation & Packaging Transportation & Logistics Costco Restricted Substances Depot Distribution Centers Lists (RSLs) Reverse Logistics Chemicals Used in Agriculture Suppliers Playing a Role & Horticulture Employee Transportation Strategy, Training & Education Energy & Refrigeration Managing Energy Energy-Saving Progress Clean Energy Managing RefrigerantsTable of Contents Packaging Governance & Reporting Our Packaging GoalsGovernance & EducationSix Rights of Packaging Sustainability Sustainability Accounting Recycled Content Success Stories Packaging FAQs Standards Board (SASB) Kirkland Signature Task Force on Climate-Related The Kirkland Signature Concept Financial Disclosures (TCFD) Innovation & Kirkland SignatureData Security Reducing Food WasteData Security Defense in Depth Strategy Commodities & More: United Nations Sustainability Cocoa & Coee Development Goals (SDG) Eggs, Dairy & Plant-based Beverage AlternativesCostco Connection Sustainability Gas & Automotive Stories Grains & Nuts Oils, Honey & Spices Organics, Greenhouse Grown & Horticulture Protein & Plant-based Alternatives Seafood & Aquaculture Textiles & Cotton Wood, Pulp & Paper Climate Action Plan Climate Action Plan Our Holistic Approach Belief in a Just TransitionTable of Contents Inclusion Our Code of Ethics makes clear our commitment to take care of our employees.","('Supply_Chain_Management', 0.7041091322898865)","('Product_Design_And_Lifecycle_Management', 0.1277872771024704)","('Customer_Welfare', 0.023499833419919014)","(['Supply Chain Management'], 0.7041091322898865)","('NON-ESG', 0.1277872771024704)","('NON-ESG', 0.023499833419919014)"
Line 3,"Sustainability Commitment People & Communities Managing Water Inclusion Our Water management Systems Our STAR ProgramOur Goals New Approaches in LandscapingDiversity at Costco Employee DevelopmentWastewater & stormwater Plans Water Savings in Our Chicken PlantEmployee Development GoalsCar WashesPay & BenetsMinimizing WasteWorkforce Tenure & Development Diverting Waste from LandllCulture, Ethics & Open Door CommunitiesReducing Food Waste Reducing Hazardous WasteCharitable ContributionsEnvironmental ComplianceCommunity Investment The Role of ComplianceFood & Non-Food Donations STAR in the WarehouseEmployee Volunteering Health Care in the Community Supplier Diversity Merchandising: Our Principles Supplier Diversity Goals & Products Diversity in Costcos Product LineAnimal WelfareSuccess StoriesOur Mission StatementHuman RightsCollaboration with Experts & Suppliers Our EmployeesAntibiotics Our Supply ChainAnimal Welfare Audits RemediationCage-Free Eggs Modern SlaveryOur Vertically Integrated Poultry Facility Conict MineralsDown & Feathers Priority Industries for Strategic Pork CollaborationEnvironmental Impacts & Land StewardshipOperationsLand Stewardship Goals Construction, Landscaping & Forest Conservation Commitment Preservation Pollinator Health Sustainable Principles & Design Supporting Regenerative Agriculture Adaptive Reuse & Historic Preservation Chemical Management Recycled Materials The Costco Smart Screening Program Creative Landscaping Steps Measuring Chemicals in Products Natural Preservation & Packaging Transportation & Logistics Costco Restricted Substances Depot Distribution Centers Lists (RSLs) Reverse Logistics Chemicals Used in Agriculture Suppliers Playing a Role & Horticulture Employee Transportation Strategy, Training & Education Energy & Refrigeration Managing Energy Energy-Saving Progress Clean Energy Managing RefrigerantsTable of Contents Packaging Governance & Reporting Our Packaging GoalsGovernance & EducationSix Rights of Packaging Sustainability Sustainability Accounting Recycled Content Success Stories Packaging FAQs Standards Board (SASB) Kirkland Signature Task Force on Climate-Related The Kirkland Signature Concept Financial Disclosures (TCFD) Innovation & Kirkland SignatureData Security Reducing Food WasteData Security Defense in Depth Strategy Commodities & More: United Nations Sustainability Cocoa & Coee Development Goals (SDG) Eggs, Dairy & Plant-based Beverage AlternativesCostco Connection Sustainability Gas & Automotive Stories Grains & Nuts Oils, Honey & Spices Organics, Greenhouse Grown & Horticulture Protein & Plant-based Alternatives Seafood & Aquaculture Textiles & Cotton Wood, Pulp & Paper Climate Action Plan Climate Action Plan Our Holistic Approach Belief in a Just TransitionTable of Contents Inclusion Our Code of Ethics makes clear our commitment to take care of our employees.","('Ecological_Impacts', 0.937843918800354)","('Product_Design_And_Lifecycle_Management', 0.008923406712710857)","('Business_Model_Resilience', 0.0058649214915931225)","(['Sustainable Agricultural Practices'], 0.937843918800354)","('NON-ESG', 0.008923406712710857)","('NON-ESG', 0.0058649214915931225)"
Line 4,"Sustainability Commitment People & Communities Managing Water Inclusion Our Water management Systems Our STAR ProgramOur Goals New Approaches in LandscapingDiversity at Costco Employee DevelopmentWastewater & stormwater Plans Water Savings in Our Chicken PlantEmployee Development GoalsCar WashesPay & BenetsMinimizing WasteWorkforce Tenure & Development Diverting Waste from LandllCulture, Ethics & Open Door CommunitiesReducing Food Waste Reducing Hazardous WasteCharitable ContributionsEnvironmental ComplianceCommunity Investment The Role of ComplianceFood & Non-Food Donations STAR in the WarehouseEmployee Volunteering Health Care in the Community Supplier Diversity Merchandising: Our Principles Supplier Diversity Goals & Products Diversity in Costcos Product LineAnimal WelfareSuccess StoriesOur Mission StatementHuman RightsCollaboration with Experts & Suppliers Our EmployeesAntibiotics Our Supply ChainAnimal Welfare Audits RemediationCage-Free Eggs Modern SlaveryOur Vertically Integrated Poultry Facility Conict MineralsDown & Feathers Priority Industries for Strategic Pork CollaborationEnvironmental Impacts & Land StewardshipOperationsLand Stewardship Goals Construction, Landscaping & Forest Conservation Commitment Preservation Pollinator Health Sustainable Principles & Design Supporting Regenerative Agriculture Adaptive Reuse & Historic Preservation Chemical Management Recycled Materials The Costco Smart Screening Program Creative Landscaping Steps Measuring Chemicals in Products Natural Preservation & Packaging Transportation & Logistics Costco Restricted Substances Depot Distribution Centers Lists (RSLs) Reverse Logistics Chemicals Used in Agriculture Suppliers Playing a Role & Horticulture Employee Transportation Strategy, Training & Education Energy & Refrigeration Managing Energy Energy-Saving Progress Clean Energy Managing RefrigerantsTable of Contents Packaging Governance & Reporting Our Packaging GoalsGovernance & EducationSix Rights of Packaging Sustainability Sustainability Accounting Recycled Content Success Stories Packaging FAQs Standards Board (SASB) Kirkland Signature Task Force on Climate-Related The Kirkland Signature Concept Financial Disclosures (TCFD) Innovation & Kirkland SignatureData Security Reducing Food WasteData Security Defense in Depth Strategy Commodities & More: United Nations Sustainability Cocoa & Coee Development Goals (SDG) Eggs, Dairy & Plant-based Beverage AlternativesCostco Connection Sustainability Gas & Automotive Stories Grains & Nuts Oils, Honey & Spices Organics, Greenhouse Grown & Horticulture Protein & Plant-based Alternatives Seafood & Aquaculture Textiles & Cotton Wood, Pulp & Paper Climate Action Plan Climate Action Plan Our Holistic Approach Belief in a Just TransitionTable of Contents Inclusion Our Code of Ethics makes clear our commitment to take care of our employees.","('Product_Design_And_Lifecycle_Management', 0.8357356786727905)","('Energy_Management', 0.05632244050502777)","('Customer_Welfare', 0.01630309596657753)","(['Packaging'], 0.8357356786727905)","('NON-ESG', 0.05632244050502777)","('NON-ESG', 0.01630309596657753)"
Line 5,"Sustainability Commitment People & Communities Managing Water Inclusion Our Water management Systems Our STAR ProgramOur Goals New Approaches in LandscapingDiversity at Costco Employee DevelopmentWastewater & stormwater Plans Water Savings in Our Chicken PlantEmployee Development GoalsCar WashesPay & BenetsMinimizing WasteWorkforce Tenure & Development Diverting Waste from LandllCulture, Ethics & Open Door CommunitiesReducing Food Waste Reducing Hazardous WasteCharitable ContributionsEnvironmental ComplianceCommunity Investment The Role of ComplianceFood & Non-Food Donations STAR in the WarehouseEmployee Volunteering Health Care in the Community Supplier Diversity Merchandising: Our Principles Supplier Diversity Goals & Products Diversity in Costcos Product LineAnimal WelfareSuccess StoriesOur Mission StatementHuman RightsCollaboration with Experts & Suppliers Our EmployeesAntibiotics Our Supply ChainAnimal Welfare Audits RemediationCage-Free Eggs Modern SlaveryOur Vertically Integrated Poultry Facility Conict MineralsDown & Feathers Priority Industries for Strategic Pork CollaborationEnvironmental Impacts & Land StewardshipOperationsLand Stewardship Goals Construction, Landscaping & Forest Conservation Commitment Preservation Pollinator Health Sustainable Principles & Design Supporting Regenerative Agriculture Adaptive Reuse & Historic Preservation Chemical Management Recycled Materials The Costco Smart Screening Program Creative Landscaping Steps Measuring Chemicals in Products Natural Preservation & Packaging Transportation & Logistics Costco Restricted Substances Depot Distribution Centers Lists (RSLs) Reverse Logistics Chemicals Used in Agriculture Suppliers Playing a Role & Horticulture Employee Transportation Strategy, Training & Education Energy & Refrigeration Managing Energy Energy-Saving Progress Clean Energy Managing RefrigerantsTable of Contents Packaging Governance & Reporting Our Packaging GoalsGovernance & EducationSix Rights of Packaging Sustainability Sustainability Accounting Recycled Content Success Stories Packaging FAQs Standards Board (SASB) Kirkland Signature Task Force on Climate-Related The Kirkland Signature Concept Financial Disclosures (TCFD) Innovation & Kirkland SignatureData Security Reducing Food WasteData Security Defense in Depth Strategy Commodities & More: United Nations Sustainability Cocoa & Coee Development Goals (SDG) Eggs, Dairy & Plant-based Beverage AlternativesCostco Connection Sustainability Gas & Automotive Stories Grains & Nuts Oils, Honey & Spices Organics, Greenhouse Grown & Horticulture Protein & Plant-based Alternatives Seafood & Aquaculture Textiles & Cotton Wood, Pulp & Paper Climate Action Plan Climate Action Plan Our Holistic Approach Belief in a Just TransitionTable of Contents Inclusion Our Code of Ethics makes clear our commitment to take care of our employees.","('Physical_Impacts_Of_Climate_Change', 0.20570707321166992)","('Business_Model_Resilience', 0.17457646131515503)","('GHG_Emissions', 0.11110009253025055)","('NON-ESG', 0.20570707321166992)","('NON-ESG', 0.17457646131515503)","('NON-ESG', 0.11110009253025055)"
Line 6,"Sustainability Commitment People & Communities Managing Water Inclusion Our Water management Systems Our STAR ProgramOur Goals New Approaches in LandscapingDiversity at Costco Employee DevelopmentWastewater & stormwater Plans Water Savings in Our Chicken PlantEmployee Development GoalsCar WashesPay & BenetsMinimizing WasteWorkforce Tenure & Development Diverting Waste from LandllCulture, Ethics & Open Door CommunitiesReducing Food Waste Reducing Hazardous WasteCharitable ContributionsEnvironmental ComplianceCommunity Investment The Role of ComplianceFood & Non-Food Donations STAR in the WarehouseEmployee Volunteering Health Care in the Community Supplier Diversity Merchandising: Our Principles Supplier Diversity Goals & Products Diversity in Costcos Product LineAnimal WelfareSuccess StoriesOur Mission StatementHuman RightsCollaboration with Experts & Suppliers Our EmployeesAntibiotics Our Supply ChainAnimal Welfare Audits RemediationCage-Free Eggs Modern SlaveryOur Vertically Integrated Poultry Facility Conict MineralsDown & Feathers Priority Industries for Strategic Pork CollaborationEnvironmental Impacts & Land StewardshipOperationsLand Stewardship Goals Construction, Landscaping & Forest Conservation Commitment Preservation Pollinator Health Sustainable Principles & Design Supporting Regenerative Agriculture Adaptive Reuse & Historic Preservation Chemical Management Recycled Materials The Costco Smart Screening Program Creative Landscaping Steps Measuring Chemicals in Products Natural Preservation & Packaging Transportation & Logistics Costco Restricted Substances Depot Distribution Centers Lists (RSLs) Reverse Logistics Chemicals Used in Agriculture Suppliers Playing a Role & Horticulture Employee Transportation Strategy, Training & Education Energy & Refrigeration Managing Energy Energy-Saving Progress Clean Energy Managing RefrigerantsTable of Contents Packaging Governance & Reporting Our Packaging GoalsGovernance & EducationSix Rights of Packaging Sustainability Sustainability Accounting Recycled Content Success Stories Packaging FAQs Standards Board (SASB) Kirkland Signature Task Force on Climate-Related The Kirkland Signature Concept Financial Disclosures (TCFD) Innovation & Kirkland SignatureData Security Reducing Food WasteData Security Defense in Depth Strategy Commodities & More: United Nations Sustainability Cocoa & Coee Development Goals (SDG) Eggs, Dairy & Plant-based Beverage AlternativesCostco Connection Sustainability Gas & Automotive Stories Grains & Nuts Oils, Honey & Spices Organics, Greenhouse Grown & Horticulture Protein & Plant-based Alternatives Seafood & Aquaculture Textiles & Cotton Wood, Pulp & Paper Climate Action Plan Climate Action Plan Our Holistic Approach Belief in a Just TransitionTable of Contents Inclusion Our Code of Ethics makes clear our commitment to take care of our employees.","('Physical_Impacts_Of_Climate_Change', 0.731225311756134)","('Human_Rights_And_Community_Relations', 0.06613079458475113)","('Business_Model_Resilience', 0.03303370997309685)","(['Climate Strategy'], 0.731225311756134)","('NON-ESG', 0.06613079458475113)","('NON-ESG', 0.03303370997309685)"
Line 7,This section describes the st eps we take to promote an inclusive workplace in all areas of our business.,"('Employee_Engagement_Inclusion_And_Diversity', 0.8663104772567749)","('Human_Rights_And_Community_Relations', 0.028087865561246872)","('Employee_Health_And_Safety', 0.01896953210234642)","([], 0.8663104772567749)","('NON-ESG', 0.028087865561246872)","('NON-ESG', 0.01896953210234642)"
Line 8,"Our Goals for an Inclusive WorkplaceWe strive to: Empower our workforce and strengthen our culture by creating an environment where all employees feel a sense of belonging that they are accepted, included, respected and supported because of who they are.","('Employee_Engagement_Inclusion_And_Diversity', 0.9359676241874695)","('Human_Rights_And_Community_Relations', 0.010665847919881344)","('Employee_Health_And_Safety', 0.007522988133132458)","([], 0.9359676241874695)","('NON-ESG', 0.010665847919881344)","('NON-ESG', 0.007522988133132458)"
Line 9,"Demonstrate leadership commitment to equity through consistent communication, education and support of diversity and inclusion initiatives within the organization.","('Employee_Engagement_Inclusion_And_Diversity', 0.9751097559928894)","('Human_Rights_And_Community_Relations', 0.002001660643145442)","('Employee_Health_And_Safety', 0.0018269189167767763)","([], 0.9751097559928894)","('NON-ESG', 0.002001660643145442)","('NON-ESG', 0.0018269189167767763)"
Line 10,It has always been Costco policy that employees deserve an envir onment free from all forms of unlawful employment discrimination.,"('Employee_Engagement_Inclusion_And_Diversity', 0.8130707740783691)","('Labor_Practices', 0.08427680283784866)","('Business_Ethics', 0.015395557507872581)","([], 0.8130707740783691)","('NON-ESG', 0.08427680283784866)","('NON-ESG', 0.015395557507872581)"
