,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,Purpose Personified 2022 Cisco Purpose ReportPhoto Credit: Solar SisterAbout our purpose2 15 25 44Ciscos purpose is to Power an Inclusive Future for All.,"('Employee_Engagement_Inclusion_And_Diversity', 0.3387545645236969)","('Human_Rights_And_Community_Relations', 0.3141600787639618)","('Access_And_Affordability', 0.05165691301226616)","('NON-ESG', 0.3387545645236969)","('NON-ESG', 0.3141600787639618)","('NON-ESG', 0.05165691301226616)"
Line 2,"Our Purpose Report and environmental, social, and governance (ESG) focus areas are organized according to the three key pillars of our purpose: Power, Inclusive, and Future.","('Human_Rights_And_Community_Relations', 0.6663574576377869)","('Business_Model_Resilience', 0.05326912924647331)","('Ecological_Impacts', 0.043313197791576385)","(['Environmental Policy & Management Systems'], 0.6663574576377869)","('NON-ESG', 0.05326912924647331)","('NON-ESG', 0.043313197791576385)"
Line 3,But perhaps the most important words of Ciscos purpose statement are the final two: for All.,"('Business_Model_Resilience', 0.16108065843582153)","('Human_Rights_And_Community_Relations', 0.1378510594367981)","('Director_Removal', 0.10945644229650497)","('NON-ESG', 0.16108065843582153)","('NON-ESG', 0.1378510594367981)","('NON-ESG', 0.10945644229650497)"
Line 4,"Partnership and collaboration with our customers and stakeholders, throughout our value chain, and across the industry, allow us to multiply our efforts and scale our impact.","('Business_Model_Resilience', 0.39360398054122925)","('Supply_Chain_Management', 0.2519145905971527)","('Product_Design_And_Lifecycle_Management', 0.1355658322572708)","('NON-ESG', 0.39360398054122925)","('NON-ESG', 0.2519145905971527)","('NON-ESG', 0.1355658322572708)"
Line 5,This report contains forward-looking statements regarding future events.,"('Business_Model_Resilience', 0.4460057318210602)","('Physical_Impacts_Of_Climate_Change', 0.20475982129573822)","('Management_Of_Legal_And_Regulatory_Framework', 0.057792581617832184)","('NON-ESG', 0.4460057318210602)","('NON-ESG', 0.20475982129573822)","('NON-ESG', 0.057792581617832184)"
Line 6,All statements other than statements of historical facts are statements that could be deemed forward-looking statements.,"('Business_Ethics', 0.3055134117603302)","('Management_Of_Legal_And_Regulatory_Framework', 0.24093061685562134)","('Customer_Privacy', 0.05852643772959709)","('NON-ESG', 0.3055134117603302)","('NON-ESG', 0.24093061685562134)","('NON-ESG', 0.05852643772959709)"
Line 7,"These statements are based on current expectations, estimates, forecasts, and projections about the industries in which we operate and the beliefs and assumptions of our management.","('Business_Model_Resilience', 0.6196141839027405)","('Systemic_Risk_Management', 0.11364956945180893)","('Competitive_Behavior', 0.03235115110874176)","(['Human Capital Development', 'Innovation Management'], 0.6196141839027405)","('NON-ESG', 0.11364956945180893)","('NON-ESG', 0.03235115110874176)"
Line 8,"Readers are cautioned that these forward-looking statements are only predictions and are subject to risks, uncertainties, and assumptions that are difficult to predict, including those identified in our most recent filings with the Securities and Exchange Commission on Form 10-K and Form 10-Q.","('Systemic_Risk_Management', 0.9299387335777283)","('Business_Model_Resilience', 0.00907408818602562)","('Competitive_Behavior', 0.008784378878772259)","([], 0.9299387335777283)","('NON-ESG', 0.00907408818602562)","('NON-ESG', 0.008784378878772259)"
Line 9,"Forward-looking statements speak only as of the date they are made, and we do not undertake any obligation to update any forward-looking statement.","('Management_Of_Legal_And_Regulatory_Framework', 0.40794169902801514)","('Business_Model_Resilience', 0.08542263507843018)","('Director_Removal', 0.07601164281368256)","('NON-ESG', 0.40794169902801514)","('NON-ESG', 0.08542263507843018)","('NON-ESG', 0.07601164281368256)"
Line 10,"Introduction Who we are, our purpose, and our progress in fiscal 2022.","('Human_Rights_And_Community_Relations', 0.21985112130641937)","('Business_Model_Resilience', 0.16329723596572876)","('Management_Of_Legal_And_Regulatory_Framework', 0.09751631319522858)","('NON-ESG', 0.21985112130641937)","('NON-ESG', 0.16329723596572876)","('NON-ESG', 0.09751631319522858)"
Line 11,Power Ethically build and deliver technology that securely powers the worlds connectivity.,"('Business_Ethics', 0.6363726258277893)","('Data_Security', 0.116610087454319)","('Competitive_Behavior', 0.05010121688246727)","([], 0.6363726258277893)","('NON-ESG', 0.116610087454319)","('NON-ESG', 0.05010121688246727)"
Line 12,"Inclusive Act boldly and deliberately to accelerate fairness, inclusion, and equitable access to opportunity.","('Employee_Engagement_Inclusion_And_Diversity', 0.9316619634628296)","('Human_Rights_And_Community_Relations', 0.0115947425365448)","('Access_And_Affordability', 0.010018672794103622)","(['Talent Attraction & Retention'], 0.9316619634628296)","('NON-ESG', 0.0115947425365448)","('NON-ESG', 0.010018672794103622)"
Line 13,Future Help ensure a sustainable and regenerative future for our planet.,"('Ecological_Impacts', 0.5837939977645874)","('Business_Model_Resilience', 0.10265800356864929)","('Product_Design_And_Lifecycle_Management', 0.04856014996767044)","([], 0.5837939977645874)","('NON-ESG', 0.10265800356864929)","('NON-ESG', 0.04856014996767044)"
Line 14,"Every day, our people bring our purpose to life around the world through the impact of their commitment to Power an Inclusive Future for All.","('Human_Rights_And_Community_Relations', 0.44517555832862854)","('Employee_Engagement_Inclusion_And_Diversity', 0.334081768989563)","('Access_And_Affordability', 0.03425035625696182)","('NON-ESG', 0.44517555832862854)","('NON-ESG', 0.334081768989563)","('NON-ESG', 0.03425035625696182)"
Line 15,"Founded 1984 83,300 employees 95 countriesUS$51.6 billion fiscal 2022 revenueCisco is the worldwide leader in technology that powers the Internet.","('Data_Security', 0.5644896626472473)","('Energy_Management', 0.07774688303470612)","('Product_Design_And_Lifecycle_Management', 0.037458520382642746)","(['Information Security Cybersecurity & System Availability'], 0.5644896626472473)","('NON-ESG', 0.07774688303470612)","('NON-ESG', 0.037458520382642746)"
Line 16,"Our products and services include networking, collaboration solutions, security solutions, wireless and mobility, data center, IoT, video, analytics, and software solutions.","('Data_Security', 0.9196800589561462)","('Systemic_Risk_Management', 0.006577833089977503)","('Customer_Privacy', 0.006545071955770254)","(['Information Security Cybersecurity & System Availability'], 0.9196800589561462)","('NON-ESG', 0.006577833089977503)","('NON-ESG', 0.006545071955770254)"
Line 17,About this report This Purpose Report shares Ciscos progress in its fiscal year 2022 toward its purpose of Powering an Inclusive Future for All.,"('Human_Rights_And_Community_Relations', 0.40815845131874084)","('Employee_Engagement_Inclusion_And_Diversity', 0.17112471163272858)","('Access_And_Affordability', 0.10253237932920456)","('NON-ESG', 0.40815845131874084)","('NON-ESG', 0.17112471163272858)","('NON-ESG', 0.10253237932920456)"
