,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,2021 corporate sustainability reportgetting results the right way permian basin of wa9 ter use9% d in 2021 was from brackish or recycled sources2 ne.,"('Water_And_Wastewater_Management', 0.4631170630455017)","('Ecological_Impacts', 0.4111632704734802)","('GHG_Emissions', 0.029990822076797485)","('NON-ESG', 0.4631170630455017)","('NON-ESG', 0.4111632704734802)","('NON-ESG', 0.029990822076797485)"
Line 2,"t a2M cres one of the largest net acreage positions in the Permian Basin, which is located in West Texas and southeast New Mexico of the M1 C0 BU drill r0% ig fleet is equipped as of 2021 to utilize natural gas or the grid for primary power, which is expected to reduce emissions intensity and well costs Photo: The companys most significant holdings in the Mid-Continent business unit (MCBU) are in the Permian Basin, where Chevron has been active since 1920.","('GHG_Emissions', 0.9168552756309509)","('Ecological_Impacts', 0.017641348764300346)","('Water_And_Wastewater_Management', 0.0112449387088418)","(['Operational Eco-Efficiency'], 0.9168552756309509)","('NON-ESG', 0.017641348764300346)","('NON-ESG', 0.0112449387088418)"
Line 3,We understand the importance of protecting the regions resources both the environment and the community.,"('Ecological_Impacts', 0.9222642779350281)","('Human_Rights_And_Community_Relations', 0.019592689350247383)","('GHG_Emissions', 0.010307850316166878)","(['Biodiversity'], 0.9222642779350281)","('NON-ESG', 0.019592689350247383)","('NON-ESG', 0.010307850316166878)"
Line 4,"Weve made notable progress in water use, flaring minimization, renewable energy and community involvement.","('Water_And_Wastewater_Management', 0.9274303913116455)","('Ecological_Impacts', 0.016677087172865868)","('GHG_Emissions', 0.010038102976977825)","([], 0.9274303913116455)","('NON-ESG', 0.016677087172865868)","('NON-ESG', 0.010038102976977825)"
Line 5,"Original release May 2022; update June 2022, page 45 (revised first bullet list in Highlights from 2021 column).a force for shared progress Our success is driven by our people and their commitment to deliver affordable, reliable and ever-cleaner energy.","('Energy_Management', 0.9589564800262451)","('Product_Design_And_Lifecycle_Management', 0.0075257690623402596)","('Access_And_Affordability', 0.0034904361236840487)","(['Operational Eco-Efficiency', 'Energy Mix'], 0.9589564800262451)","('NON-ESG', 0.0075257690623402596)","('NON-ESG', 0.0034904361236840487)"
Line 6,Our strategy is clear we are leveraging our strengths to deliver lower carbon energy to a growing world.,"('Energy_Management', 0.9540374279022217)","('Product_Design_And_Lifecycle_Management', 0.008458016440272331)","('Management_Of_Legal_And_Regulatory_Framework', 0.0037575229071080685)","(['Operational Eco-Efficiency', 'Energy Mix'], 0.9540374279022217)","('NON-ESG', 0.008458016440272331)","('NON-ESG', 0.0037575229071080685)"
Line 7,"By operating responsibly and performing with excellence, we strive to make Chevron the partner of choice and aim to be a force for shared progress and prosperity.","('Business_Model_Resilience', 0.48639729619026184)","('Human_Rights_And_Community_Relations', 0.12919388711452484)","('Employee_Engagement_Inclusion_And_Diversity', 0.0675416812300682)","('NON-ESG', 0.48639729619026184)","('NON-ESG', 0.12919388711452484)","('NON-ESG', 0.0675416812300682)"
Line 8,"Our success rests on a culture true to our Chevron Way values getting results the right way.message from our chairman and CEO As the global energy system evolves to meet the demands of a growing world, we are focused on delivering affordable, reliable and ever-cleaner energy.","('Energy_Management', 0.9706522822380066)","('Product_Design_And_Lifecycle_Management', 0.004539289977401495)","('Management_Of_Legal_And_Regulatory_Framework', 0.0028644197154790163)","(['Operational Eco-Efficiency', 'Energy Mix'], 0.9706522822380066)","('NON-ESG', 0.004539289977401495)","('NON-ESG', 0.0028644197154790163)"
Line 9,Achieving a more sustainable future for Chevron means drawing on our culture of human ingenuity to solve problems and deliver solutions.,"('Human_Rights_And_Community_Relations', 0.3277602195739746)","('Business_Model_Resilience', 0.16395041346549988)","('Systemic_Risk_Management', 0.06620096415281296)","('NON-ESG', 0.3277602195739746)","('NON-ESG', 0.16395041346549988)","('NON-ESG', 0.06620096415281296)"
Line 10,It also means being an outstanding partner with businesses around the world and with the communities we call home.,"('Human_Rights_And_Community_Relations', 0.680672824382782)","('Business_Model_Resilience', 0.06469947099685669)","('Employee_Engagement_Inclusion_And_Diversity', 0.045502278953790665)","(['Human Rights', 'Social Impacts on Communities'], 0.680672824382782)","('NON-ESG', 0.06469947099685669)","('NON-ESG', 0.045502278953790665)"
Line 11,These priorities inspire us to build trust through collaboration and to nurture the diverse talent necessary to accomplish our goals.,"('Employee_Engagement_Inclusion_And_Diversity', 0.9043527841567993)","('Employee_Health_And_Safety', 0.007823568768799305)","('Human_Rights_And_Community_Relations', 0.007515834644436836)","([], 0.9043527841567993)","('NON-ESG', 0.007823568768799305)","('NON-ESG', 0.007515834644436836)"
Line 12,"Getting results the right way isnt always easy, but at Chevron we know its the sustainable way.","('Business_Model_Resilience', 0.3474329113960266)","('Product_Design_And_Lifecycle_Management', 0.12976497411727905)","('Systemic_Risk_Management', 0.0938621312379837)","('NON-ESG', 0.3474329113960266)","('NON-ESG', 0.12976497411727905)","('NON-ESG', 0.0938621312379837)"
Line 13,"reducing our carbon intensity While conversation about the energy transition often focuses on future actions, we are making progress today.","('Energy_Management', 0.24368073046207428)","('Physical_Impacts_Of_Climate_Change', 0.21161265671253204)","('Management_Of_Legal_And_Regulatory_Framework', 0.16150379180908203)","('NON-ESG', 0.24368073046207428)","('NON-ESG', 0.21161265671253204)","('NON-ESG', 0.16150379180908203)"
Line 14,"We have identified nearly 100 GHG abatement projects to reduce the carbon intensity of our opera - t ions, and expect them to deliver approxi m ately 4 million tonnes of emissions reductions per year when completed.","('GHG_Emissions', 0.9667470455169678)","('Air_Quality', 0.004607763607054949)","('Ecological_Impacts', 0.0034315872471779585)","(['Operational Eco-Efficiency'], 0.9667470455169678)","('NON-ESG', 0.004607763607054949)","('NON-ESG', 0.0034315872471779585)"
Line 15,"In 2021, we started 36 decarbonization projects and completed five.","('Management_Of_Legal_And_Regulatory_Framework', 0.3709011375904083)","('Energy_Management', 0.1930813491344452)","('GHG_Emissions', 0.0645279809832573)","('NON-ESG', 0.3709011375904083)","('NON-ESG', 0.1930813491344452)","('NON-ESG', 0.0645279809832573)"
Line 16,"In 2022, we are more than doubling the number of projects to 75 and expect to spend approximately $2 billion total on similar projects through 2028. leading in methane management We continue to lead in methane management in our U.","('GHG_Emissions', 0.696808934211731)","('Energy_Management', 0.08498205244541168)","('Water_And_Wastewater_Management', 0.07623196393251419)","(['Operational Eco-Efficiency'], 0.696808934211731)","('NON-ESG', 0.08498205244541168)","('NON-ESG', 0.07623196393251419)"
Line 17,"S. operations, particularly in the Permian, where our methane intensity is 85% lower than the basin average.","('GHG_Emissions', 0.4148782193660736)","('Ecological_Impacts', 0.3559008836746216)","('Water_And_Wastewater_Management', 0.035890962928533554)","('NON-ESG', 0.4148782193660736)","('NON-ESG', 0.3559008836746216)","('NON-ESG', 0.035890962928533554)"
Line 18,"Chevron is on track to meet our 2028 target to reduce enterprise methane emissions intensity by more than 50% from 2016 levels and eliminate routine flaring by 2030.To continue making progress, were expanding methane detection capabilities.","('GHG_Emissions', 0.9511833786964417)","('Air_Quality', 0.011233333498239517)","('Water_And_Wastewater_Management', 0.004166515078395605)","(['Operational Eco-Efficiency'], 0.9511833786964417)","('NON-ESG', 0.011233333498239517)","('NON-ESG', 0.004166515078395605)"
Line 19,"In addition to tradi t ional ground-based sensors, were deploying detection technology using satellites, air c raft and drones for broader coverage.","('Air_Quality', 0.31652283668518066)","('Critical_Incident_Risk_Management', 0.22012312710285187)","('Data_Security', 0.10926594585180283)","('NON-ESG', 0.31652283668518066)","('NON-ESG', 0.22012312710285187)","('NON-ESG', 0.10926594585180283)"
Line 20,"Better methane detection is critical to reducing carbon intensity, and our work with industry and academic partners contributes to improving the accuracy and credibility of global methane reporting.","('GHG_Emissions', 0.9033492803573608)","('Air_Quality', 0.019961891695857048)","('Water_And_Wastewater_Management', 0.014622343704104424)","(['Operational Eco-Efficiency'], 0.9033492803573608)","('NON-ESG', 0.019961891695857048)","('NON-ESG', 0.014622343704104424)"
Line 21,"new opportunities, new partnerships Reducing carbon emissions today requires partner - s hip and collaboration, because no one company, industry or nation acting alone can meet the worlds energy and climate goals.","('GHG_Emissions', 0.5284991264343262)","('Physical_Impacts_Of_Climate_Change', 0.2620653510093689)","('Management_Of_Legal_And_Regulatory_Framework', 0.03904584422707558)","(['Operational Eco-Efficiency'], 0.5284991264343262)","('NON-ESG', 0.2620653510093689)","('NON-ESG', 0.03904584422707558)"
Line 22,"This is particularly true with harder-to-abate sectors, such as manufacturing, agriculture, aviation and heavy-duty transportation.","('Energy_Management', 0.37662473320961)","('Supply_Chain_Management', 0.22697971761226654)","('Product_Design_And_Lifecycle_Management', 0.07584978640079498)","('NON-ESG', 0.37662473320961)","('NON-ESG', 0.22697971761226654)","('NON-ESG', 0.07584978640079498)"
Line 23,We are working with innovators around the globe to develop breakthrough technologies and building new partnerships to scale lower carbon solutions.,"('Product_Design_And_Lifecycle_Management', 0.38659393787384033)","('Business_Model_Resilience', 0.15902802348136902)","('Supply_Chain_Management', 0.08794136345386505)","('NON-ESG', 0.38659393787384033)","('NON-ESG', 0.15902802348136902)","('NON-ESG', 0.08794136345386505)"
Line 24,"In this spirit, we formed Chevron New Energies, leveraging our unique capabilities, assets and customers.","('Business_Model_Resilience', 0.7032163143157959)","('Product_Design_And_Lifecycle_Management', 0.07036659121513367)","('Competitive_Behavior', 0.029802246019244194)","([], 0.7032163143157959)","('NON-ESG', 0.07036659121513367)","('NON-ESG', 0.029802246019244194)"
Line 25,"Were working to grow production of products such as renewable diesel, sustainable aviation fuel, renewable natural gas, biodiesel and renewable base oil.","('Product_Design_And_Lifecycle_Management', 0.6304647922515869)","('Energy_Management', 0.2557547390460968)","('Management_Of_Legal_And_Regulatory_Framework', 0.011873668059706688)","([], 0.6304647922515869)","('NON-ESG', 0.2557547390460968)","('NON-ESG', 0.011873668059706688)"
